"survey","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"AD90_1",8.63555406013815,2.18468970213038,8.47988972508823,674.188858173919,162.536074511313,135.417750659986,0.618778363356389,5,0.536778303885711,0,0.0933377430831709,0.282515181253616,0,0.0630141046866698,0,0.0243546670908331
"AD91_1",8.61733612370845,2.19783952466308,8.45706600924897,678.693662959512,164.268495397818,135.973779142099,0.465245858862076,4,0.244640381161782,0,0.686550491533318,0.0100498965630508,0,0.0587592307418494,0,0
"AD92_1",8.52967512705003,2.14790435253173,8.35523413943628,709.454672371322,172.268263673437,141.833916765378,0.35911557826827,2,0.234590484598112,0,0.765409515401888,0,0,0,0,0
"AD93_1",8.56027201115314,2.20021812295533,8.38690245283115,690.346362024875,168.102716452826,137.581365380505,0.684781123399938,6,0.278690697757466,0.024354667090847,0.46262620628773,0.0928095473411112,0,0.024354667090847,0,0.117164214431999
"AD94_1",8.62923431236779,2.29087223874514,8.45299477768267,667.886780232977,164.04289262566,132.909518286882,0.671527383503677,5,0.44468232871536,0,0.323908395632869,0.107350482562949,0,0.119449672080683,0,0.00460912100813852
"AD95_1",8.63522846922136,2.33536814927458,8.43499115059932,668.887642422527,164.839781536713,133.451441332893,0.51149601532412,6,0.674637801262838,0.0463856708146477,0.0362481191793552,0.043386640969695,0,0.0358300882384936,0,0.16351167953497
"AD96_1",8.63873474113591,2.36849988091882,8.4338494877676,671.568025663203,166.301112094425,133.929194491792,0.0163283093908955,2,0.991768080811018,0,0,0,0,0.00823191918898167,0,0
"AE81_1",8.70741376206909,2.25554294310382,8.51715922516204,658.488064845809,157.877675668264,133.211072215953,0.0911504996161365,3,0.95260556118476,0,0,0.0352952530432685,0,0,0,0.0120991857719719
"AE82_1",8.68556389036955,2.23183441425706,8.50346780306644,664.74030974941,159.28617473969,134.36713685329,0.364723066132677,3,0.768428577842785,0,0,0.207499647144341,0,0.0240717750128736,0,0
"AE83_1",8.67556629396549,2.21558334132702,8.4977685735643,666.203197536804,159.650086106273,134.516495997893,0.383168352140171,4,0.766411021571138,0,0,0.158119347523059,0,0.0123039307286729,0,0.0631657001771302
