"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"BG31_2","BG31","2","1990s",467499.903635527,6107499.75032856,99,0.592359601587464,1,1,TRUE
"BH57_2","BH57","2","1990s",477500.057518914,6087499.71740308,64,0.475481226110481,0.999459167117361,2,TRUE
"CC05_2","CC05","2","1990s",502500.018940672,6327499.55050851,90,0.467116381154285,0.998918334234721,3,TRUE
"BH99_2","BH99","2","1990s",497500.014400094,6097499.76610886,101,0.458819859434636,0.998377501352082,4,TRUE
"BG32_2","BG32","2","1990s",467499.912146756,6112499.74607548,85,0.448716178086262,0.997836668469443,5,TRUE
"BD07_2","BD07","2","1990s",452500.005869533,6287499.74638192,60,0.406344573610203,0.997295835586804,6,TRUE
"BH77_2","BH77","2","1990s",487500.034150619,6087499.77562375,95,0.402177976768321,0.996755002704164,7,TRUE
"BC94_2","BC94","2","1990s",497500.035447882,6322499.62760691,95,0.383380798139585,0.996214169821525,8,TRUE
"CC04_2","CC04","2","1990s",502500.015102732,6322499.62632896,101,0.381119923812157,0.995673336938886,9,TRUE
"GF74_2","GF74","2","1990s",737500.391410232,6172499.77742168,62,0.366144166036412,0.995132504056247,10,TRUE
"BF04_2","BF04","2","1990s",452500.126585402,6172499.76372504,91,0.355174743091732,0.994591671173607,11,TRUE
"BF08_2","BF08","2","1990s",452500.1095007,6192499.72538707,58,0.346392688189275,0.994050838290968,12,TRUE
"FG43_2","FG43","2","1990s",672500.225882093,6117499.59657248,101,0.329242161024417,0.993510005408329,13,TRUE
"GE01_2","GE01","2","1990s",702500.378710623,6207499.89230482,105,0.324503858120573,0.99296917252569,14,TRUE
"BD73_2","BD73","2","1990s",487500.060025383,6267499.68287945,96,0.319136161767746,0.99242833964305,15,TRUE
"BH58_2","BH58","2","1990s",477500.030949261,6092499.6836845,39,0.317282427201999,0.991887506760411,16,TRUE
"EH24_2","EH24","2","1990s",612500.212235677,6072499.81195039,97,0.311984812893704,0.991346673877772,17,TRUE
"BC83_2","BC83","2","1990s",492499.997856006,6317499.64178633,88,0.307057202591493,0.990805840995132,18,TRUE
"EH14_2","EH14","2","1990s",607500.188128752,6072499.82099751,97,0.306367746726686,0.990265008112493,19,TRUE
"FH33_2","FH33","2","1990s",667500.160024077,6067499.61964424,90,0.304106239820848,0.989724175229854,20,TRUE
"BH76_2","BH76","2","1990s",487500.048187175,6082499.80044377,44,0.30360621751575,0.989183342347215,21,TRUE
"FG92_2","FG92","2","1990s",697500.248928627,6112499.54297378,88,0.295977172365323,0.988642509464575,22,TRUE
"FE30_2","FE30","2","1990s",667500.269153674,6202499.83369963,105,0.295426521220745,0.988101676581936,23,TRUE
"BE11_2","BE11","2","1990s",457500.101272852,6207499.74352479,69,0.286194722264463,0.987560843699297,24,TRUE
"GF52_2","GF52","2","1990s",727500.439820566,6162499.72220136,84,0.283280592563998,0.987020010816658,25,TRUE
"GH59_2","GH59","2","1990s",727500.227613787,6097499.18040168,81,0.276660236593282,0.986479177934018,26,TRUE
"GG10_2","GG10","2","1990s",707500.224191048,6102499.47737853,80,0.274859787975959,0.985938345051379,27,TRUE
"EG94_2","EG94","2","1990s",647500.190165515,6122499.6571959,96,0.272749389609484,0.98539751216874,28,TRUE
"GF29_2","GF29","2","1990s",712500.430991099,6197499.81587525,84,0.272748909147491,0.9848566792861,29,TRUE
"DE34_2","DE34","2","1990s",567499.981947577,6222499.7289085,90,0.271102013117666,0.984315846403461,30,TRUE
"FF86_2","FF86","2","1990s",692500.34216482,6182499.74643745,96,0.267278813635962,0.983775013520822,31,TRUE
"HA44_2","HA44","2","1990s",885002.691353793,6124167.24465621,87,0.266847234657694,0.983234180638183,32,TRUE
"CH34_2","CH34","2","1990s",517500.07644507,6072499.72897644,74,0.265768567193696,0.982693347755544,33,TRUE
"BG29_2","BG29","2","1990s",462500.084871241,6147499.94167722,76,0.258917033462514,0.982152514872904,34,TRUE
"EF75_2","EF75","2","1990s",637500.196510979,6177499.86864843,79,0.258774840797595,0.981611681990265,35,TRUE
"BH89_2","BH89","2","1990s",492500.048697486,6097499.78774387,84,0.258030303970179,0.981070849107626,36,TRUE
"BE07_2","BE07","2","1990s",452500.139775942,6237499.6159931,78,0.25447874376176,0.980530016224986,37,TRUE
"BE06_2","BE06","2","1990s",452500.159052039,6232499.6754035,76,0.254458528860556,0.979989183342347,38,TRUE
"BC84_2","BC84","2","1990s",492500.046704985,6322499.65178247,86,0.25387114927156,0.979448350459708,39,TRUE
"BE08_2","BE08","2","1990s",452500.095196037,6242499.59439593,78,0.253064638022266,0.978907517577069,40,TRUE
"DG89_2","DG89","2","1990s",592500.145910606,6147499.96978149,58,0.252264781252729,0.97836668469443,41,TRUE
"GF46_2","GF46","2","1990s",722500.41769888,6182499.76359947,81,0.251806717542207,0.97782585181179,42,TRUE
"EF93_2","EF93","2","1990s",647500.235611454,6167499.82370214,102,0.251083652919738,0.977285018929151,43,TRUE
"FF10_2","FF10","2","1990s",657500.21434052,6152499.77735933,99,0.248756713184567,0.976744186046512,44,TRUE
"BG45_2","BG45","2","1990s",472500.02007161,6127499.9043659,44,0.248440298684691,0.976203353163872,45,TRUE
"EH15_2","EH15","2","1990s",607500.182291699,6077499.80841962,84,0.247311876831739,0.975662520281233,46,TRUE
"AF81_2","AF81","2","1990s",442500.138477192,6157499.78744643,51,0.247152482528585,0.975121687398594,47,TRUE
"BH67_2","BH67","2","1990s",482500.040844932,6087499.68621457,64,0.246787185074165,0.974580854515955,48,TRUE
"BH66_2","BH66","2","1990s",482500.000189131,6082499.79466396,42,0.246490712972327,0.974040021633315,49,TRUE
"FE91_2","FE91","2","1990s",697500.396569192,6207499.84091617,82,0.246265390264088,0.973499188750676,50,TRUE
"EF81_2","EF81","2","1990s",642500.207657552,6157499.79439164,84,0.244951484544594,0.972958355868037,51,TRUE
"BG33_2","BG33","2","1990s",467499.895840675,6117499.77949567,23,0.24059015747422,0.972417522985398,52,TRUE
"CC14_2","CC14","2","1990s",507499.94254047,6322499.64783941,84,0.239569159265011,0.971876690102758,53,TRUE
"EF02_2","EF02","2","1990s",602500.11502745,6162499.89289854,82,0.238766429812973,0.971335857220119,54,TRUE
"BF03_2","BF03","2","1990s",452500.125193609,6167499.75646735,85,0.238381915059569,0.97079502433748,55,TRUE
"AE98_2","AE98","2","1990s",447500.153133994,6242499.6437634,76,0.236872497634523,0.97025419145484,56,TRUE
"FH23_2","FH23","2","1990s",662500.15225216,6067499.61791243,92,0.232559918641452,0.969713358572201,57,TRUE
"EH23_2","EH23","2","1990s",612500.203483402,6067499.88734165,96,0.231779249284898,0.969172525689562,58,TRUE
"HA26_2","HA26","2","1990s",874161.47454869,6133287.39836534,71,0.226734406026523,0.968631692806923,59,TRUE
"DC40_2","DC40","2","1990s",572499.814865005,6302499.9695267,94,0.223972958248853,0.968090859924283,60,TRUE
"BC22_2","BC22","2","1990s",462500.03510178,6312499.73152781,84,0.22358366668632,0.967550027041644,61,TRUE
"FH24_2","FH24","2","1990s",662500.159418326,6072499.6094516,85,0.223100994883753,0.967009194159005,62,TRUE
"EH75_2","EH75","2","1990s",637500.239101261,6077499.66930355,88,0.222357359015831,0.966468361276366,63,TRUE
"EH25_2","EH25","2","1990s",612500.196397514,6077499.77830354,98,0.218970201722557,0.965927528393726,64,TRUE
"BD08_2","BD08","2","1990s",452499.987168059,6292499.76476652,70,0.218732201779548,0.965386695511087,65,TRUE
"EH08_2","EH08","2","1990s",602500.162008367,6092499.78847124,67,0.215851492057042,0.964845862628448,66,TRUE
"GF27_2","GF27","2","1990s",712500.403282234,6187499.80478846,78,0.214590290426317,0.964305029745809,67,TRUE
"CC75_2","CC75","2","1990s",537499.762846018,6327499.68405006,91,0.2144464172978,0.963764196863169,68,TRUE
"BF07_2","BF07","2","1990s",452500.115222534,6187499.67835352,59,0.213909448769926,0.96322336398053,69,TRUE
