response,guild,period_or_comparison,model_set,predictor_set,n_rows,bandwidth_value,aicc,rss,local_r2_mean,local_r2_median,local_r2_min,local_r2_max,local_cn_mean,local_cn_max,local_cn_over_30,status
guild_probability,Aerial insectivores,1970s,period,full_period,1776,100000,-14287.393565797403,0.030485407003010646,0.5888160173529744,0.5807401061781059,0.44351003160618085,0.8740633298669772,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
guild_probability,Aerial insectivores,1990s,period,full_period,1850,100000,-15317.90210308468,0.02518986595552542,0.5979871259117363,0.6140868915743192,0.389746156910228,0.8912781234564031,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
guild_probability,Aerial insectivores,2010s,period,full_period,1904,100000,-17622.099909938097,0.00980186627674303,0.7177052480282323,0.7250683353270624,0.5409826766243077,0.915562584596535,6.500891822585518,31.16218270994191,0.014180672268907563,ok
guild_probability,Dabbling ducks,1970s,period,full_period,1776,100000,-11005.132013037462,0.19351757860912577,0.36552874414002706,0.35488848326334493,0.19437223653198327,0.7844085024604305,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
guild_probability,Dabbling ducks,1990s,period,full_period,1850,100000,-12719.433531443581,0.10261861769658577,0.45207346397754666,0.4375366183466432,0.2092950370687569,0.7372970467670421,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
guild_probability,Dabbling ducks,2010s,period,full_period,1904,100000,-13351.392857207342,0.0923505086052266,0.46342466177532743,0.4323279542392753,0.33227498469314354,0.6333284189196773,6.500891822585518,31.16218270994191,0.014180672268907563,ok
guild_probability,Woodpeckers,1970s,period,full_period,1776,100000,-13339.368698288872,0.051989714240941155,0.6637360640589236,0.6561959826577897,0.5507292895068742,0.9140893821521694,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
guild_probability,Woodpeckers,1990s,period,full_period,1850,100000,-14636.654581957877,0.03640418251592368,0.7244141847419584,0.721017867088595,0.6091274574294085,0.9007999351820154,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
guild_probability,Woodpeckers,2010s,period,full_period,1904,100000,-15519.819372307345,0.02956856316695783,0.7300982161263565,0.7494609638488056,0.5310728723540618,0.9138236223222531,6.500891822585518,31.16218270994191,0.014180672268907563,ok
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,change,delta_climate_hh_fallback,1726,100000,-13354.822010790154,0.042531736992291784,0.10178278043185812,0.09009653115604545,0.02385165122457418,0.49387348667070513,13.314060450805913,108.19197755064225,0.08458864426419467,ok
delta_guild_probability,Aerial insectivores,2010s_minus_1970s,change,full_delta,1776,100000,-13895.978426575153,0.038157067642961326,0.24573635452124679,0.224910091155869,0.15113840761255137,0.39872094902237704,NA,NA,NA,ok
delta_guild_probability,Aerial insectivores,2010s_minus_1990s,change,full_delta,1850,100000,-14754.1117808213,0.034443755956973604,0.1499982890255555,0.17212434773388147,-1.2714948578064542,0.2889890226562905,NA,NA,NA,ok
delta_guild_probability,Dabbling ducks,1990s_minus_1970s,change,delta_climate_hh_fallback,1726,100000,-11244.30223247285,0.14446415551997777,0.07903092892631362,0.06796698751045879,-0.014753703256706375,0.21472635737230908,13.314060450805913,108.19197755064225,0.08458864426419467,ok
delta_guild_probability,Dabbling ducks,2010s_minus_1970s,change,full_delta,1776,100000,-11256.596886352143,0.1686539958738037,0.12405593108635958,0.12934353962444,-0.6601550836592192,0.2622543542437345,NA,NA,NA,ok
delta_guild_probability,Dabbling ducks,2010s_minus_1990s,change,full_delta,1850,100000,-12929.751270497378,0.0923391810318374,0.1226771593972012,0.1059795646951478,0.03578383028393542,0.5862261562433386,NA,NA,NA,ok
delta_guild_probability,Woodpeckers,1990s_minus_1970s,change,delta_climate_hh_fallback,1726,100000,-12940.293628772317,0.054077469082619276,0.133356433230745,0.11022864614253966,0.02073212299557088,0.34107124831551366,13.314060450805913,108.19197755064225,0.08458864426419467,ok
delta_guild_probability,Woodpeckers,2010s_minus_1970s,change,full_delta,1776,100000,-13125.952228218832,0.05886721473396168,0.17230286386641866,0.19754519243798507,-0.6810748359808296,0.3251876883684768,NA,NA,NA,ok
delta_guild_probability,Woodpeckers,2010s_minus_1990s,change,full_delta,1850,100000,-14374.084666979084,0.042298337942196035,0.2824799051441348,0.2809400994550737,0.010693749346094622,0.6479168186493367,NA,NA,NA,ok
