atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,DB71,DB71_1,Thermal,CWM STI,157,12.1180228361654,NA,32.43931361154029,DB71,587499.4899705768,6357499.898755164
1,1970s,DB72,DB72_1,Thermal,CWM STI,157,12.068048885835438,NA,55.908576498618366,DB72,587499.4900431393,6362499.784009084
1,1970s,DB73,DB73_1,Thermal,CWM STI,157,12.136145388286842,NA,47.146843135990586,DB73,587499.4724052523,6367499.8200299665
1,1970s,DB74,DB74_1,Thermal,CWM STI,157,11.957827912444204,NA,48.34054245943441,DB74,587499.4405852477,6372499.784163884
1,1970s,DB75,DB75_1,Thermal,CWM STI,157,11.80206890979619,NA,45.459526058581986,DB75,587499.4508390957,6377499.788968703
1,1970s,DB77,DB77_1,Thermal,CWM STI,157,11.930172246219465,NA,42.07148466369424,DB77,587499.4197526195,6387499.582648063
1,1970s,DB78,DB78_1,Thermal,CWM STI,157,11.872332924575728,NA,50.29357801254047,DB78,587499.3735523641,6392499.482754864
1,1970s,DB79,DB79_1,Thermal,CWM STI,157,11.938144617024651,NA,35.950141363291046,DB79,587499.3020525747,6397499.533405255
1,1970s,DB80,DB80_1,Thermal,CWM STI,157,12.000162764203534,NA,30.992502559481725,DB80,592499.4685152426,6352499.8696485795
1,1970s,BD26,BD26_1,Thermal,CWM STI,157,11.775612012309395,NA,64.70604748676764,BD26,462500.0396707308,6282499.770858137
1,1970s,DB81,DB81_1,Thermal,CWM STI,157,11.94457793823311,NA,38.83413304094953,DB81,592499.4687914647,6357499.903263027
1,1970s,DB82,DB82_1,Thermal,CWM STI,157,11.97902811496684,NA,54.88539072098092,DB82,592499.4395459738,6362499.8651057985
1,1970s,DB83,DB83_1,Thermal,CWM STI,157,11.969001676073884,NA,61.86701455776281,DB83,592499.43704912,6367499.867802329
1,1970s,DB89,DB89_1,Thermal,CWM STI,157,11.970245284250304,NA,57.10430692957908,DB89,592499.276854376,6397499.389086184
1,1970s,DC00,DC00_1,Thermal,CWM STI,157,12.09418462008218,NA,72.31382447266202,DC00,552499.7981343176,6302499.822003722
1,1970s,DC01,DC01_1,Thermal,CWM STI,157,12.086648896101527,NA,52.76880833299337,DC01,552499.82723216,6307499.828336293
1,1970s,DC02,DC02_1,Thermal,CWM STI,157,12.100588743291079,NA,52.38652211166681,DC02,552499.7944827778,6312499.871378481
1,1970s,BD27,BD27_1,Thermal,CWM STI,157,12.06407148416939,NA,54.827876675882955,BD27,462500.0084153306,6287499.80222181
1,1970s,DC03,DC03_1,Thermal,CWM STI,157,12.097616269782852,NA,43.116353749243764,DC03,552499.7615257066,6317499.840557125
