atlas,period,response,survey,site,base_site,X,Y,value
1,1970s,richness,DC03_1,DC03,DC03,552499.7615257066,6317499.840557125,43.116353749243764
1,1970s,richness,DC04_1,DC04,DC04,552499.7262227507,6322499.847153073,65.16296886701736
1,1970s,richness,DC05_1,DC05,DC05,552499.6892463007,6327499.779825433,48.52800526661009
1,1970s,richness,DC10_1,DC10,DC10,557499.8206087413,6302499.8354761265,53.15756109144478
1,1970s,richness,DC11_1,DC11,DC11,557499.7664055785,6307499.841569215,70.52925117697141
1,1970s,richness,DC12_1,DC12,DC12,557499.7547180243,6312499.886004784,42.68162783925574
1,1970s,richness,DC13_1,DC13,DC13,557499.7253695964,6317499.856604637,37.02442399664777
1,1970s,richness,DC14_1,DC14,DC14,557499.73675981,6322499.865488209,49.22722622393066
1,1970s,richness,DC15_1,DC15,DC15,557499.7273178204,6327499.9117859565,54.72262774551837
1,1970s,richness,BD28_1,BD28,BD28,462500.04522956035,6292499.758577253,58.04962780770294
1,1970s,richness,DC16_1,DC16,DC16,557499.6978451451,6332499.884155993,44.94090006460996
1,1970s,richness,DC17_1,DC17,DC17,557499.7080623058,6337499.783408084,46.679104776704605
1,1970s,richness,DC18_1,DC18,DC18,557499.693518839,6342499.831295908,53.89506356811818
1,1970s,richness,DC19_1,DC19,DC19,557499.6565704292,6347499.805162802,54.17614178185614
1,1970s,richness,DC20_1,DC20,DC20,562499.7978840575,6302499.938668321,41.93004515272562
1,1970s,richness,DC21_1,DC21,DC21,562499.7828758188,6307499.956366545,47.94068890569161
1,1970s,richness,DC22_1,DC22,DC22,562499.7944753097,6312499.901183143,42.57998846412048
1,1970s,richness,DC23_1,DC23,DC23,562499.7692934149,6317499.883481737,71.3608670407537
1,1970s,richness,DC24_1,DC24,DC24,562499.7065775642,6322499.903231546,41.26767740171656
1,1970s,richness,DC25_1,DC25,DC25,562499.7284663095,6327499.850920295,49.02525024894309
1,1970s,richness,BD29_1,BD29,BD29,462500.0292985126,6297499.752303558,43.23723051249929
1,1970s,richness,DC26_1,DC26,DC26,562499.7110273131,6332499.835998577,71.85346055835626
1,1970s,richness,DC27_1,DC27,DC27,562499.653506505,6337499.858435164,54.294671520439344
1,1970s,richness,DC28_1,DC28,DC28,562499.677609729,6342499.808717862,63.019013792376676
1,1970s,richness,DC30_1,DC30,DC30,567499.8116184272,6302499.909548791,41.51597059533896
1,1970s,richness,DC31_1,DC31,DC31,567499.7755507686,6307499.948179211,44.127495570070984
1,1970s,richness,DC32_1,DC32,DC32,567499.8096190846,6312499.914980982,55.405364251440155
1,1970s,richness,DC33_1,DC33,DC33,567499.7285674406,6317499.918270218,60.40435147109654
