atlas,period,trait_family,n_sites,min_sum,mean_sum,max_sum,max_abs_deviation_from_one
1,1970s,Foraging guild,1776,0.9999999999999989,1,1.0000000000000013,1.3322676295501878e-15
1,1970s,Migration,1776,0.9999999999999989,1,1.000000000000001,1.1102230246251565e-15
3,2010s,Foraging guild,1904,0.9999999999999989,1,1.0000000000000013,1.3322676295501878e-15
3,2010s,Migration,1904,0.9999999999999989,1,1.0000000000000016,1.5543122344752192e-15
