"survey","site","atlas","period","group","species_pool_size","group_richness","hotspot_threshold","is_hotspot"
"CF73_3","CF73","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF74_3","CF74","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF75_3","CF75","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC21_1","CC21","1","1970s","Dabbling ducks",8,0,3,FALSE
"CF76_3","CF76","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF77_3","CF77","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF78_3","CF78","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF79_3","CF79","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF80_3","CF80","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF81_3","CF81","3","2010s","Dabbling ducks",8,0,3,FALSE
"CF82_3","CF82","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF83_3","CF83","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF84_3","CF84","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF85_3","CF85","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC22_1","CC22","1","1970s","Dabbling ducks",8,0,3,FALSE
"CF86_3","CF86","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF87_3","CF87","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF88_3","CF88","3","2010s","Dabbling ducks",8,0,3,FALSE
"CF89_3","CF89","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF90_3","CF90","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF91_3","CF91","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF92_3","CF92","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF93_3","CF93","3","2010s","Dabbling ducks",8,2,3,FALSE
"CF94_3","CF94","3","2010s","Dabbling ducks",8,0,3,FALSE
"CF95_3","CF95","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC23_1","CC23","1","1970s","Dabbling ducks",8,3,3,TRUE
"CF96_3","CF96","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF97_3","CF97","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF98_3","CF98","3","2010s","Dabbling ducks",8,1,3,FALSE
"CF99_3","CF99","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG00_3","CG00","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG01_3","CG01","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG02_3","CG02","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG03_3","CG03","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG04_3","CG04","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG05_3","CG05","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC24_1","CC24","1","1970s","Dabbling ducks",8,1,3,FALSE
"CG06_3","CG06","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG07_3","CG07","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG08_3","CG08","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG09_3","CG09","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG10_3","CG10","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG11_3","CG11","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG12_3","CG12","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG13_3","CG13","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG14_3","CG14","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG15_3","CG15","3","2010s","Dabbling ducks",8,2,3,FALSE
"BC52_1","BC52","1","1970s","Dabbling ducks",8,2,3,FALSE
"CC25_1","CC25","1","1970s","Dabbling ducks",8,1,3,FALSE
"CG16_3","CG16","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG17_3","CG17","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG18_3","CG18","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG19_3","CG19","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG20_3","CG20","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG21_3","CG21","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG22_3","CG22","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG23_3","CG23","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG24_3","CG24","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG25_3","CG25","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC26_1","CC26","1","1970s","Dabbling ducks",8,0,3,FALSE
"CG26_3","CG26","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG27_3","CG27","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG28_3","CG28","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG29_3","CG29","3","2010s","Dabbling ducks",8,5,3,TRUE
"CG30_3","CG30","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG31_3","CG31","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG32_3","CG32","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG33_3","CG33","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG34_3","CG34","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG35_3","CG35","3","2010s","Dabbling ducks",8,0,3,FALSE
"CC30_1","CC30","1","1970s","Dabbling ducks",8,1,3,FALSE
"CG36_3","CG36","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG37_3","CG37","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG38_3","CG38","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG39_3","CG39","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG40_3","CG40","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG41_3","CG41","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG42_3","CG42","3","2010s","Dabbling ducks",8,3,3,TRUE
"CG43_3","CG43","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG44_3","CG44","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG45_3","CG45","3","2010s","Dabbling ducks",8,0,3,FALSE
"CC31_1","CC31","1","1970s","Dabbling ducks",8,1,3,FALSE
"CG46_3","CG46","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG47_3","CG47","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG48_3","CG48","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG49_3","CG49","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG50_3","CG50","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG51_3","CG51","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG52_3","CG52","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG53_3","CG53","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG54_3","CG54","3","2010s","Dabbling ducks",8,5,3,TRUE
"CG55_3","CG55","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC32_1","CC32","1","1970s","Dabbling ducks",8,0,3,FALSE
"CG56_3","CG56","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG57_3","CG57","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG58_3","CG58","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG59_3","CG59","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG60_3","CG60","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG61_3","CG61","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG62_3","CG62","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG63_3","CG63","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG64_3","CG64","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG65_3","CG65","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC33_1","CC33","1","1970s","Dabbling ducks",8,1,3,FALSE
"CG66_3","CG66","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG67_3","CG67","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG68_3","CG68","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG69_3","CG69","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG71_3","CG71","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG73_3","CG73","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG74_3","CG74","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG75_3","CG75","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG76_3","CG76","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG77_3","CG77","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC34_1","CC34","1","1970s","Dabbling ducks",8,0,3,FALSE
"CG78_3","CG78","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG79_3","CG79","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG80_3","CG80","3","2010s","Dabbling ducks",8,0,3,FALSE
"CG83_3","CG83","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG84_3","CG84","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG85_3","CG85","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG86_3","CG86","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG88_3","CG88","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG89_3","CG89","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG90_3","CG90","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC35_1","CC35","1","1970s","Dabbling ducks",8,0,3,FALSE
"CG94_3","CG94","3","2010s","Dabbling ducks",8,4,3,TRUE
"CG95_3","CG95","3","2010s","Dabbling ducks",8,1,3,FALSE
"CG98_3","CG98","3","2010s","Dabbling ducks",8,2,3,FALSE
"CG99_3","CG99","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH06_3","CH06","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH07_3","CH07","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH08_3","CH08","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH09_3","CH09","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH16_3","CH16","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH17_3","CH17","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC36_1","CC36","1","1970s","Dabbling ducks",8,3,3,TRUE
"CH18_3","CH18","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH19_3","CH19","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH25_3","CH25","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH26_3","CH26","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH27_3","CH27","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH28_3","CH28","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH29_3","CH29","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH34_3","CH34","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH35_3","CH35","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH36_3","CH36","3","2010s","Dabbling ducks",8,0,3,FALSE
"CC40_1","CC40","1","1970s","Dabbling ducks",8,1,3,FALSE
"CH37_3","CH37","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH38_3","CH38","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH39_3","CH39","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH45_3","CH45","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH46_3","CH46","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH47_3","CH47","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH48_3","CH48","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH49_3","CH49","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH55_3","CH55","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH56_3","CH56","3","2010s","Dabbling ducks",8,2,3,FALSE
"BC53_1","BC53","1","1970s","Dabbling ducks",8,2,3,FALSE
"CC41_1","CC41","1","1970s","Dabbling ducks",8,1,3,FALSE
"CH57_3","CH57","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH58_3","CH58","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH59_3","CH59","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH65_3","CH65","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH66_3","CH66","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH67_3","CH67","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH68_3","CH68","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH69_3","CH69","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH76_3","CH76","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH77_3","CH77","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC42_1","CC42","1","1970s","Dabbling ducks",8,0,3,FALSE
"CH78_3","CH78","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH79_3","CH79","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH85_3","CH85","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH86_3","CH86","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH87_3","CH87","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH88_3","CH88","3","2010s","Dabbling ducks",8,1,3,FALSE
"CH89_3","CH89","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH95_3","CH95","3","2010s","Dabbling ducks",8,0,3,FALSE
"CH96_3","CH96","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH97_3","CH97","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC43_1","CC43","1","1970s","Dabbling ducks",8,0,3,FALSE
"CH98_3","CH98","3","2010s","Dabbling ducks",8,2,3,FALSE
"CH99_3","CH99","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB00_3","DB00","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB01_3","DB01","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB02_3","DB02","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB03_3","DB03","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB04_3","DB04","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB05_3","DB05","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC07_3","DC07","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC08_3","DC08","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC44_1","CC44","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC09_3","DC09","3","2010s","Dabbling ducks",8,2,3,FALSE
"DA80_3","DA80","3","2010s","Dabbling ducks",8,1,3,FALSE
"DA90_3","DA90","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB10_3","DB10","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB11_3","DB11","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB12_3","DB12","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB13_3","DB13","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB14_3","DB14","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB15_3","DB15","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB16_3","DB16","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC45_1","CC45","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB20_3","DB20","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB21_3","DB21","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB22_3","DB22","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB23_3","DB23","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB24_3","DB24","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB25_3","DB25","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB26_3","DB26","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB30_3","DB30","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB31_3","DB31","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB32_3","DB32","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC46_1","CC46","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB33_3","DB33","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB34_3","DB34","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB35_3","DB35","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB36_3","DB36","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB40_3","DB40","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB41_3","DB41","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB42_3","DB42","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB43_3","DB43","3","2010s","Dabbling ducks",8,3,3,TRUE
"DB44_3","DB44","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB45_3","DB45","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC47_1","CC47","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB46_3","DB46","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB47_3","DB47","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB50_3","DB50","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB51_3","DB51","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB52_3","DB52","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB53_3","DB53","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB54_3","DB54","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB55_3","DB55","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB56_3","DB56","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB57_3","DB57","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC50_1","CC50","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB60_3","DB60","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB61_3","DB61","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB62_3","DB62","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB63_3","DB63","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB64_3","DB64","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB65_3","DB65","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB66_3","DB66","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB67_3","DB67","3","2010s","Dabbling ducks",8,4,3,TRUE
"DB68_3","DB68","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB70_3","DB70","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC51_1","CC51","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB71_3","DB71","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB72_3","DB72","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB73_3","DB73","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB74_3","DB74","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB75_3","DB75","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB76_3","DB76","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB77_3","DB77","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB78_3","DB78","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB79_3","DB79","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB80_3","DB80","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC52_1","CC52","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB81_3","DB81","3","2010s","Dabbling ducks",8,1,3,FALSE
"DB82_3","DB82","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB83_3","DB83","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB84_3","DB84","3","2010s","Dabbling ducks",8,3,3,TRUE
"DB89_3","DB89","3","2010s","Dabbling ducks",8,0,3,FALSE
"DB94_3","DB94","3","2010s","Dabbling ducks",8,2,3,FALSE
"DB99_3","DB99","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC00_3","DC00","3","2010s","Dabbling ducks",8,4,3,TRUE
"DC01_3","DC01","3","2010s","Dabbling ducks",8,3,3,TRUE
"DC02_3","DC02","3","2010s","Dabbling ducks",8,1,3,FALSE
"BC54_1","BC54","1","1970s","Dabbling ducks",8,2,3,FALSE
"CC53_1","CC53","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC03_3","DC03","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC04_3","DC04","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC05_3","DC05","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC06_3","DC06","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC10_3","DC10","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC11_3","DC11","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC12_3","DC12","3","2010s","Dabbling ducks",8,3,3,TRUE
"DC13_3","DC13","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC14_3","DC14","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC15_3","DC15","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC54_1","CC54","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC16_3","DC16","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC17_3","DC17","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC18_3","DC18","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC19_3","DC19","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC20_3","DC20","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC21_3","DC21","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC22_3","DC22","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC23_3","DC23","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC24_3","DC24","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC25_3","DC25","3","2010s","Dabbling ducks",8,2,3,FALSE
"CC55_1","CC55","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC26_3","DC26","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC27_3","DC27","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC28_3","DC28","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC29_3","DC29","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC30_3","DC30","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC31_3","DC31","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC32_3","DC32","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC33_3","DC33","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC34_3","DC34","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC35_3","DC35","3","2010s","Dabbling ducks",8,0,3,FALSE
"CC56_1","CC56","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC36_3","DC36","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC37_3","DC37","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC38_3","DC38","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC39_3","DC39","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC40_3","DC40","3","2010s","Dabbling ducks",8,6,3,TRUE
"DC41_3","DC41","3","2010s","Dabbling ducks",8,6,3,TRUE
"DC42_3","DC42","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC43_3","DC43","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC44_3","DC44","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC45_3","DC45","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC57_1","CC57","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC46_3","DC46","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC47_3","DC47","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC48_3","DC48","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC49_3","DC49","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC50_3","DC50","3","2010s","Dabbling ducks",8,4,3,TRUE
"DC51_3","DC51","3","2010s","Dabbling ducks",8,4,3,TRUE
"DC52_3","DC52","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC53_3","DC53","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC54_3","DC54","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC55_3","DC55","3","2010s","Dabbling ducks",8,0,3,FALSE
"CC60_1","CC60","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC56_3","DC56","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC57_3","DC57","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC58_3","DC58","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC59_3","DC59","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC62_3","DC62","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC63_3","DC63","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC64_3","DC64","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC65_3","DC65","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC66_3","DC66","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC67_3","DC67","3","2010s","Dabbling ducks",8,0,3,FALSE
"CC61_1","CC61","1","1970s","Dabbling ducks",8,3,3,TRUE
"DC68_3","DC68","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC69_3","DC69","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC76_3","DC76","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC77_3","DC77","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC78_3","DC78","3","2010s","Dabbling ducks",8,1,3,FALSE
"DC79_3","DC79","3","2010s","Dabbling ducks",8,0,3,FALSE
"DC88_3","DC88","3","2010s","Dabbling ducks",8,2,3,FALSE
"DC89_3","DC89","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD00_3","DD00","3","2010s","Dabbling ducks",8,0,3,FALSE
"DD01_3","DD01","3","2010s","Dabbling ducks",8,1,3,FALSE
"CC62_1","CC62","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD02_3","DD02","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD03_3","DD03","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD04_3","DD04","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD05_3","DD05","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD06_3","DD06","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD07_3","DD07","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD08_3","DD08","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD09_3","DD09","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD10_3","DD10","3","2010s","Dabbling ducks",8,3,3,TRUE
"DD11_3","DD11","3","2010s","Dabbling ducks",8,3,3,TRUE
"CC63_1","CC63","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD12_3","DD12","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD13_3","DD13","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD14_3","DD14","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD15_3","DD15","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD16_3","DD16","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD17_3","DD17","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD18_3","DD18","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD19_3","DD19","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD20_3","DD20","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD21_3","DD21","3","2010s","Dabbling ducks",8,5,3,TRUE
"CC64_1","CC64","1","1970s","Dabbling ducks",8,6,3,TRUE
"DD22_3","DD22","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD23_3","DD23","3","2010s","Dabbling ducks",8,0,3,FALSE
"DD24_3","DD24","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD25_3","DD25","3","2010s","Dabbling ducks",8,1,3,FALSE
"DD26_3","DD26","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD27_3","DD27","3","2010s","Dabbling ducks",8,2,3,FALSE
"DD28_3","DD28","3","2010s","Dabbling ducks",8,3,3,TRUE
