"survey","site","atlas","period","group","species_pool_size","group_richness","hotspot_threshold","is_hotspot"
"DC11_1","DC11","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC12_1","DC12","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC13_1","DC13","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC14_1","DC14","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC15_1","DC15","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD28_1","BD28","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC16_1","DC16","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC17_1","DC17","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC18_1","DC18","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC19_1","DC19","1","1970s","Dabbling ducks",8,3,3,TRUE
"DC20_1","DC20","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC21_1","DC21","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC22_1","DC22","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC23_1","DC23","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC24_1","DC24","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC25_1","DC25","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD29_1","BD29","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC26_1","DC26","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC27_1","DC27","1","1970s","Dabbling ducks",8,3,3,TRUE
"DC28_1","DC28","1","1970s","Dabbling ducks",8,3,3,TRUE
"DC29_1","DC29","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC30_1","DC30","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC31_1","DC31","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC32_1","DC32","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC33_1","DC33","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC34_1","DC34","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC35_1","DC35","1","1970s","Dabbling ducks",8,0,3,FALSE
"AE90_1","AE90","1","1970s","Dabbling ducks",8,4,3,TRUE
"BD30_1","BD30","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC36_1","DC36","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC37_1","DC37","1","1970s","Dabbling ducks",8,3,3,TRUE
"DC38_1","DC38","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC39_1","DC39","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC40_1","DC40","1","1970s","Dabbling ducks",8,5,3,TRUE
"DC41_1","DC41","1","1970s","Dabbling ducks",8,4,3,TRUE
"DC42_1","DC42","1","1970s","Dabbling ducks",8,3,3,TRUE
"DC43_1","DC43","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC44_1","DC44","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC45_1","DC45","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD31_1","BD31","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC46_1","DC46","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC47_1","DC47","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC48_1","DC48","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC49_1","DC49","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC50_1","DC50","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC51_1","DC51","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC52_1","DC52","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC53_1","DC53","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC54_1","DC54","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC55_1","DC55","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD32_1","BD32","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC56_1","DC56","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC57_1","DC57","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC58_1","DC58","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC59_1","DC59","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC62_1","DC62","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC63_1","DC63","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC64_1","DC64","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC65_1","DC65","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC66_1","DC66","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC67_1","DC67","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD33_1","BD33","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC68_1","DC68","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC69_1","DC69","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC76_1","DC76","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC77_1","DC77","1","1970s","Dabbling ducks",8,0,3,FALSE
"DC78_1","DC78","1","1970s","Dabbling ducks",8,1,3,FALSE
"DC79_1","DC79","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC88_1","DC88","1","1970s","Dabbling ducks",8,2,3,FALSE
"DC89_1","DC89","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD00_1","DD00","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD01_1","DD01","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD34_1","BD34","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD02_1","DD02","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD03_1","DD03","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD04_1","DD04","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD05_1","DD05","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD06_1","DD06","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD07_1","DD07","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD08_1","DD08","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD09_1","DD09","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD10_1","DD10","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD11_1","DD11","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD35_1","BD35","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD12_1","DD12","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD13_1","DD13","1","1970s","Dabbling ducks",8,0,3,FALSE
