transition,trait_value,n_species,median_total_jump,mean_total_jump,iqr_total_jump,stable_species_share,extreme_species_share,share_with_any_state_switch,share_with_supported_sign_flip,median_predictor_jumps,trait_family,reliable_group,group_stability_rank,group_jump_rank
1990s to 2010s,Dabbling ducks,7,0.4090153507957079,0.38740486467574853,0.16881206998421838,0.2857142857142857,0.2857142857142857,1,0,2,Foraging guild,TRUE,26,9
1990s to 2010s,Dippers,1,0.675220587706545,0.675220587706545,0,1,1,1,0,4,Foraging guild,FALSE,34,1
1990s to 2010s,Diurnal raptors,7,0.32516941715264563,0.33841618490063785,0.12150875729800542,0.2857142857142857,0.2857142857142857,1,0,2,Foraging guild,TRUE,12,23
1990s to 2010s,Diving ducks,3,0.2498721189471202,0.30689997405357156,0.22207290359233317,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,Foraging guild,FALSE,4,31
1990s to 2010s,Flycatchers,3,0.30214854510220407,0.3089703780894048,0.02484909839779692,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,1,Foraging guild,FALSE,9,26
1990s to 2010s,Foliage gleaners,9,0.3835216778290196,0.396596612786577,0.1769204054725757,0.3333333333333333,0.3333333333333333,1,0.1111111111111111,3,Foraging guild,TRUE,23,12
1990s to 2010s,Gallinaceous birds,2,0.1709022944083345,0.1709022944083345,0.01227287803185978,0.5,0.5,1,0,0,Foraging guild,FALSE,1,34
1990s to 2010s,Grazing waterfowl,2,0.3510247067434408,0.3510247067434408,0.00377887090960477,0.5,0.5,1,0,2,Foraging guild,FALSE,16,19
1990s to 2010s,Gulls,5,0.4477228370420858,0.5119761219558877,0.17616957071353773,0.4,0.4,1,0.4,3,Foraging guild,TRUE,27,8
1990s to 2010s,Kingfishers,1,0.40118323968846525,0.40118323968846525,0,1,1,1,0,3,Foraging guild,FALSE,24,11
1990s to 2010s,Low flycatching feeders,9,0.35352971714290016,0.3396420645039125,0.10906912789812429,0.3333333333333333,0.3333333333333333,0.8888888888888888,0,2,Foraging guild,TRUE,17,18
1990s to 2010s,Marsh warblers,6,0.3557335122574279,0.35348107841567905,0.14100256491365143,0.3333333333333333,0.3333333333333333,0.8333333333333334,0,2,Foraging guild,TRUE,18,17
1990s to 2010s,Nigthjars,1,0.5514187618237573,0.5514187618237573,0,1,1,1,0,3,Foraging guild,FALSE,32,3
1990s to 2010s,Omnivorous corvids,7,0.34094464553958637,0.3748932216255326,0.1556337830377829,0.2857142857142857,0.2857142857142857,1,0,1,Foraging guild,TRUE,14,21
1990s to 2010s,Open-land insectivores,6,0.32146753887996427,0.4049203435155706,0.2240513002739951,0.3333333333333333,0.3333333333333333,0.8333333333333334,0,1.5,Foraging guild,TRUE,11,24
1990s to 2010s,Orioles,1,0.5157947697487357,0.5157947697487357,0,1,1,1,0,3,Foraging guild,FALSE,31,4
1990s to 2010s,Owls,5,0.4489132179060415,0.47580884160320874,0.15224365765218573,0.4,0.4,1,0,3,Foraging guild,TRUE,28,7
1990s to 2010s,Passerine seedeaters,12,0.30784052917581795,0.302048028847452,0.08739845462695928,0.25,0.25,0.9166666666666666,0,2,Foraging guild,TRUE,10,25
1990s to 2010s,Plovers,6,0.37334100469547526,0.36601620024557097,0.17600476140249605,0.3333333333333333,0.3333333333333333,1,0.16666666666666666,2,Foraging guild,TRUE,20,15
1990s to 2010s,Rails,5,0.2900692567488007,0.2707271638267538,0.06499478872529368,0.4,0.4,0.8,0,2,Foraging guild,TRUE,7,28
1990s to 2010s,Reedlings,1,0.48850704168861836,0.48850704168861836,0,1,1,0,0,3,Foraging guild,FALSE,29,6
1990s to 2010s,Scolopacids,9,0.38135146694294925,0.42922090133980323,0.10456182924838597,0.3333333333333333,0.3333333333333333,1,0,2,Foraging guild,TRUE,22,13
1990s to 2010s,Shrikes,2,0.4071060611915645,0.4071060611915645,0.17174103023005388,0.5,0.5,1,0,1,Foraging guild,FALSE,25,10
1990s to 2010s,Starlings,1,0.6252188535611898,0.6252188535611898,0,1,1,1,0,5,Foraging guild,FALSE,33,2
1990s to 2010s,Terns,5,0.36787896728555086,0.3438225490821638,0.10753751947428858,0.4,0.4,0.8,0,2,Foraging guild,TRUE,19,16
1990s to 2010s,Thrushes,4,0.32704096154119844,0.3954813866868005,0.135911697902714,0.25,0.25,0.75,0,2.5,Foraging guild,FALSE,13,22
1990s to 2010s,Tit-like birds,12,0.34731648001742366,0.365841123544151,0.12197007378168867,0.25,0.25,0.9166666666666666,0,1.5,Foraging guild,TRUE,15,20
1990s to 2010s,Wading birds,2,0.20758071878551948,0.20758071878551948,0.10365896377852796,0.5,0.5,1,0,1,Foraging guild,FALSE,2,33
