species,transition,atlas_from,atlas_to,period_from,period_to,total_beta_jump,mean_abs_predictor_jump,max_abs_predictor_jump,dominant_driver,n_support_state_switches,n_supported_sign_flips,n_predictors_with_large_jump,n_predictors,migratory_strategy,foraging_guild,species_thermal_index,thermal_group,jump_percentile,species_stability_rank,species_jump_rank
Emberiza_schoeniclus,1970s to 1990s,1,2,1970s,1990s,0.2716892938035988,0.08109652520006093,0.1381984408148526,Land-use heterogeneity,2,0,0,8,sedentary and short-distance,Buntings,11.2704483494,cold,0.28846153846153844,46,112
Emberiza_schoeniclus,1990s to 2010s,2,3,1990s,2010s,0.2138177486228265,0.061954351609421074,0.13878408663603153,Temperature,2,0,0,8,sedentary and short-distance,Buntings,11.2704483494,cold,0.12179487179487179,20,138
Erithacus_rubecula,1970s to 1990s,1,2,1970s,1990s,0.20591668981248404,0.04742021518033706,0.17365229649152011,Cropland,2,0,1,8,sedentary,Low flycatching feeders,11.998445823500001,medium,0.10256410256410256,17,141
Erithacus_rubecula,1990s to 2010s,2,3,1990s,2010s,0.32552920490849396,0.09877112351327541,0.22209976378678542,Forest,3,0,2,8,sedentary,Low flycatching feeders,11.998445823500001,medium,0.4166666666666667,66,92
Falco_tinnunculus,1970s to 1990s,1,2,1970s,1990s,0.2219691121137081,0.06389925526738394,0.1587436613637414,Cropland,4,0,1,8,sedentary and short-distance,Diurnal raptors,12.4263636442,warm,0.1346153846153846,22,136
Falco_tinnunculus,1990s to 2010s,2,3,1990s,2010s,0.1882132076483366,0.05160148052168451,0.14282402982532888,Forest,3,0,0,8,sedentary and short-distance,Diurnal raptors,12.4263636442,warm,0.08333333333333333,14,144
Ficedula_hypoleuca,1970s to 1990s,1,2,1970s,1990s,0.27174080260238903,0.06698403133519407,0.23579759521122512,Precipitation,2,0,1,8,long-distance,Flycatchers,10.4275102213,very cold,0.2948717948717949,47,111
Ficedula_hypoleuca,1990s to 2010s,2,3,1990s,2010s,0.2875321961852083,0.08780666293500962,0.18210658980558592,Temperature,3,0,1,8,long-distance,Flycatchers,10.4275102213,very cold,0.2948717948717949,47,111
Ficedula_parva,1970s to 1990s,1,2,1970s,1990s,0.34573767211499373,0.10111648989249986,0.20403658546088393,Cropland,1,0,2,8,long-distance,Flycatchers,11.5985667049,cold,0.5512820512820513,87,71
Ficedula_parva,1990s to 2010s,2,3,1990s,2010s,0.30214854510220407,0.09271136413123982,0.14985795071767344,Pasture,2,0,1,8,long-distance,Flycatchers,11.5985667049,cold,0.358974358974359,57,101
Fringilla_coelebs,1970s to 1990s,1,2,1970s,1990s,0.42659356878907817,0.09994692240591221,0.37949227388408024,Cropland,1,0,1,8,sedentary and short-distance,Foliage gleaners,12.2951633877,medium,0.7371794871794872,116,42
Fringilla_coelebs,1990s to 2010s,2,3,1990s,2010s,0.4728519640429911,0.1351705356651539,0.2958935175669974,Cropland,2,0,3,8,sedentary and short-distance,Foliage gleaners,12.2951633877,medium,0.7756410256410257,122,36
Fulica_atra,1970s to 1990s,1,2,1970s,1990s,0.15095750196607824,0.04294939602422066,0.08836731440763668,Precipitation,1,0,0,8,sedentary and short-distance,Rails,12.9624637063,warm,0.019230769230769232,4,154
Fulica_atra,1990s to 2010s,2,3,1990s,2010s,0.2541613443111231,0.07861281552092056,0.14652064073673485,Urban,2,0,0,8,sedentary and short-distance,Rails,12.9624637063,warm,0.23076923076923078,37,121
Gallinago_gallinago,1970s to 1990s,1,2,1970s,1990s,0.3927267031240297,0.10603909594965659,0.3066257174637397,Cropland,4,0,2,8,short-distance,Scolopacids,10.2670472691,very cold,0.6858974358974359,108,50
Gallinago_gallinago,1990s to 2010s,2,3,1990s,2010s,0.36012873543643487,0.09386495551268793,0.28567980319272634,Forest,3,0,1,8,short-distance,Scolopacids,10.2670472691,very cold,0.5641025641025641,89,69
Gallinula_chloropus,1970s to 1990s,1,2,1970s,1990s,0.24195422116355672,0.0698207800456253,0.1663931334360758,Urban,2,0,1,8,sedentary and short-distance,Rails,13.3437206998,very warm,0.20512820512820512,33,125
Gallinula_chloropus,1990s to 2010s,2,3,1990s,2010s,0.1309884882029303,0.04046220176333212,0.07575150261569727,Precipitation,0,0,0,8,sedentary and short-distance,Rails,13.3437206998,very warm,0.019230769230769232,4,154
Garrulus_glandarius,1970s to 1990s,1,2,1970s,1990s,0.30427999998475447,0.07796306338504265,0.23885748443087235,Forest,2,0,1,8,sedentary,Omnivorous corvids,12.466780849,warm,0.42948717948717946,68,90
Garrulus_glandarius,1990s to 2010s,2,3,1990s,2010s,0.34094464553958637,0.09475983360916572,0.25590027707018953,Forest,2,0,1,8,sedentary,Omnivorous corvids,12.466780849,warm,0.44871794871794873,71,87
Haematopus_ostralegus,1970s to 1990s,1,2,1970s,1990s,0.5357509405759215,0.16972051975172547,0.27637494453944167,Urban,0,0,4,8,short-distance,Plovers,10.4739718085,very cold,0.8782051282051282,138,20
Haematopus_ostralegus,1990s to 2010s,2,3,1990s,2010s,0.475445933848089,0.13601417341138491,0.34576346391325374,Urban,2,1,4,8,short-distance,Plovers,10.4739718085,very cold,0.782051282051282,123,35
Hippolais_icterina,1970s to 1990s,1,2,1970s,1990s,0.3006470087768245,0.08762279459637992,0.22919751430646262,Land-use heterogeneity,4,0,1,8,long-distance,Foliage gleaners,11.3916568563,cold,0.40384615384615385,64,94
Hippolais_icterina,1990s to 2010s,2,3,1990s,2010s,0.4822055141118711,0.14208809815796242,0.3416223446519393,Cropland,4,0,3,8,long-distance,Foliage gleaners,11.3916568563,cold,0.7884615384615384,124,34
Hirundo_rustica,1970s to 1990s,1,2,1970s,1990s,0.465414628946357,0.13384595991005843,0.3285208079704661,Land-use heterogeneity,3,0,3,8,long-distance,Aerial insectivores,12.4305273248,warm,0.8012820512820513,126,32
Hirundo_rustica,1990s to 2010s,2,3,1990s,2010s,0.5034326896630711,0.1364221876576671,0.34711927736501164,Cropland,4,0,3,8,long-distance,Aerial insectivores,12.4305273248,warm,0.8205128205128205,129,29
Jynx_torquilla,1970s to 1990s,1,2,1970s,1990s,0.18156451938944476,0.05095620008983937,0.134958568655022,Cropland,2,0,0,8,short-distance,Woodpeckers,11.8812540667,medium,0.0641025641025641,11,147
Jynx_torquilla,1990s to 2010s,2,3,1990s,2010s,0.3280356834462449,0.09041701962858895,0.16562329292170822,Pasture,5,0,4,8,short-distance,Woodpeckers,11.8812540667,medium,0.4230769230769231,67,91
Lanius_collurio,1970s to 1990s,1,2,1970s,1990s,0.3605413687387364,0.11563462184046083,0.19098828210040833,Temperature,3,0,2,8,long-distance,Shrikes,12.6238867722,warm,0.6025641025641025,95,63
Lanius_collurio,1990s to 2010s,2,3,1990s,2010s,0.23536503096151065,0.0731023881085557,0.1475687007677567,Land-use heterogeneity,2,0,0,8,long-distance,Shrikes,12.6238867722,warm,0.17307692307692307,28,130
Lanius_excubitor,1970s to 1990s,1,2,1970s,1990s,0.6504393872140923,0.1929500736548554,0.4077622295560681,Precipitation,4,0,5,8,sedentary,Shrikes,11.2044136127,cold,0.9743589743589743,153,5
Lanius_excubitor,1990s to 2010s,2,3,1990s,2010s,0.5788470914216184,0.1605750993942361,0.38890752736216305,Grass/Shrubland,2,0,2,8,sedentary,Shrikes,11.2044136127,cold,0.9166666666666666,144,14
Larus_argentatus,1970s to 1990s,1,2,1970s,1990s,0.4623494146021007,0.1313298662104531,0.32662093714194324,Precipitation,3,0,3,8,sedentary and short-distance,Gulls,9.0583381929,very cold,0.7884615384615384,124,34
Larus_argentatus,1990s to 2010s,2,3,1990s,2010s,0.5955266230086068,0.15980346126834247,0.41445526288478407,Urban,3,1,5,8,sedentary and short-distance,Gulls,9.0583381929,very cold,0.9230769230769231,145,13
Larus_canus,1970s to 1990s,1,2,1970s,1990s,0.38715663840432035,0.10940893083547391,0.23875425632062192,Temperature,3,0,3,8,sedentary and short-distance,Gulls,8.5740563147,very cold,0.6666666666666666,105,53
Larus_canus,1990s to 2010s,2,3,1990s,2010s,0.4477228370420858,0.11995175512638721,0.3619691867033593,Urban,4,0,2,8,sedentary and short-distance,Gulls,8.5740563147,very cold,0.7371794871794872,116,42
Larus_fuscus,1970s to 1990s,1,2,1970s,1990s,0.35444466988340595,0.10564631090877227,0.2204992312564092,Urban,1,0,2,8,short-and long-distance,Gulls,8.9178677716,very cold,0.5705128205128205,90,68
Larus_fuscus,1990s to 2010s,2,3,1990s,2010s,0.6907606497198926,0.19850038096336328,0.42707694517019346,Precipitation,3,1,3,8,short-and long-distance,Gulls,8.9178677716,very cold,0.9743589743589743,153,5
Larus_marinus,1970s to 1990s,1,2,1970s,1990s,0.45760302842589456,0.14960765385530983,0.2497212552292578,Precipitation,4,0,6,8,sedentary and short-distance,Gulls,8.3694639418,very cold,0.7692307692307693,121,37
Larus_marinus,1990s to 2010s,2,3,1990s,2010s,0.40651344771378434,0.12144979439145535,0.27784709533423935,Cropland,1,0,2,8,sedentary and short-distance,Gulls,8.3694639418,very cold,0.6730769230769231,106,52
Limosa_limosa,1970s to 1990s,1,2,1970s,1990s,0.30477147642601,0.08877043147305853,0.1800683505456655,Cropland,3,0,2,8,long-distance,Scolopacids,12.0468335512,medium,0.4358974358974359,69,89
Limosa_limosa,1990s to 2010s,2,3,1990s,2010s,0.2789146756219937,0.08424410322299244,0.1505665627915404,Forest,1,0,1,8,long-distance,Scolopacids,12.0468335512,medium,0.27564102564102566,44,114
Linaria_cannabina,1970s to 1990s,1,2,1970s,1990s,0.3950893223682661,0.11584782098921564,0.2677952648559489,Urban,6,0,3,8,short-distance,Passerine seedeaters,13.1603552715,very warm,0.6923076923076923,109,49
Linaria_cannabina,1990s to 2010s,2,3,1990s,2010s,0.30025486570426746,0.0833909501864487,0.17782174814926155,Pasture,4,0,2,8,short-distance,Passerine seedeaters,13.1603552715,very warm,0.33974358974358976,54,104
Locustella_luscinioides,1970s to 1990s,1,2,1970s,1990s,0.4637307194533457,0.12149741393128419,0.3045238446942298,Precipitation,3,0,4,8,long-distance,Marsh warblers,13.5908101527,very warm,0.7948717948717948,125,33
Locustella_luscinioides,1990s to 2010s,2,3,1990s,2010s,0.46921965878698374,0.12507009387839513,0.33719703176764865,Cropland,3,0,2,8,long-distance,Marsh warblers,13.5908101527,very warm,0.7692307692307693,121,37
Locustella_naevia,1970s to 1990s,1,2,1970s,1990s,0.5515554219183139,0.18123623258304317,0.3084148287560219,Precipitation,6,1,6,8,long-distance,Marsh warblers,11.7684221003,cold,0.9038461538461539,142,16
Locustella_naevia,1990s to 2010s,2,3,1990s,2010s,0.24894846408244153,0.07756224831322558,0.14606033206996305,Grass/Shrubland,0,0,0,8,long-distance,Marsh warblers,11.7684221003,cold,0.20512820512820512,33,125
Lophophanes_cristatus,1970s to 1990s,1,2,1970s,1990s,0.3292768421572277,0.09982737833334489,0.228263467341148,Forest,3,0,1,8,sedentary,Tit-like birds,11.7118025203,cold,0.5064102564102564,80,78
Lophophanes_cristatus,1990s to 2010s,2,3,1990s,2010s,0.19589552308738156,0.05827208318272217,0.12649515985840615,Land-use heterogeneity,3,0,0,8,sedentary,Tit-like birds,11.7118025203,cold,0.09615384615384616,16,142
Loxia_curvirostra,1970s to 1990s,1,2,1970s,1990s,0.36100250755901186,0.1009712857972113,0.2561471240632551,Forest,3,0,2,8,sedentary and short-distance,Passerine seedeaters,10.4943181045,very cold,0.6089743589743589,96,62
Loxia_curvirostra,1990s to 2010s,2,3,1990s,2010s,0.2181325865021763,0.05513442937375177,0.16420770546867852,Temperature,3,0,1,8,sedentary and short-distance,Passerine seedeaters,10.4943181045,very cold,0.1346153846153846,22,136
Lullula_arborea,1970s to 1990s,1,2,1970s,1990s,0.38568117908428806,0.12161113345102949,0.22111403498811485,Precipitation,3,0,2,8,short-distance,Open-land insectivores,13.4719748078,very warm,0.6602564102564102,104,54
Lullula_arborea,1990s to 2010s,2,3,1990s,2010s,0.3498486288792848,0.10740783094625811,0.2100194628305253,Forest,4,0,2,8,short-distance,Open-land insectivores,13.4719748078,very warm,0.47435897435897434,75,83
Luscinia_luscinia,1970s to 1990s,1,2,1970s,1990s,0.2668639581179471,0.07474285248437387,0.19168095139532743,Precipitation,1,0,1,8,long-distance,Low flycatching feeders,11.8425102806,cold,0.26282051282051283,42,116
Luscinia_luscinia,1990s to 2010s,2,3,1990s,2010s,0.43964821170148827,0.12039116458201918,0.319723369432109,Temperature,3,0,4,8,long-distance,Low flycatching feeders,11.8425102806,cold,0.7307692307692307,115,43
Mareca_strepera,1970s to 1990s,1,2,1970s,1990s,0.8304168025491027,0.2071588456038884,0.722080200254145,Temperature,6,0,5,8,short-distance,Dabbling ducks,12.5158986156,warm,0.9935897435897436,156,2
Mareca_strepera,1990s to 2010s,2,3,1990s,2010s,0.5650935290835735,0.14906674387187488,0.4587744739447883,Temperature,4,0,4,8,short-distance,Dabbling ducks,12.5158986156,warm,0.9038461538461539,142,16
Mergus_merganser,1970s to 1990s,1,2,1970s,1990s,0.4226143786164719,0.1332547448122809,0.23390587868610696,Pasture,5,0,4,8,short-distance,Aquatic pursuers,7.9118621485,very cold,0.7307692307692307,115,43
Mergus_merganser,1990s to 2010s,2,3,1990s,2010s,0.49181324523301995,0.14561967746833795,0.3057418291356931,Urban,4,0,4,8,short-distance,Aquatic pursuers,7.9118621485,very cold,0.8076923076923077,127,31
Mergus_serrator,1970s to 1990s,1,2,1970s,1990s,0.27041939157191563,0.08191010154277721,0.1629239411899566,Pasture,0,0,2,8,short-distance,Aquatic pursuers,7.3724850113,very cold,0.28205128205128205,45,113
Mergus_serrator,1990s to 2010s,2,3,1990s,2010s,0.3014094375755982,0.0914010191351131,0.16002839794724255,Land-use heterogeneity,0,0,2,8,short-distance,Aquatic pursuers,7.3724850113,very cold,0.34615384615384615,55,103
Motacilla_alba,1970s to 1990s,1,2,1970s,1990s,0.3470823192086863,0.08351462941427501,0.2628684149206002,Cropland,2,0,2,8,short-distance,Open-land insectivores,11.9859302219,medium,0.5576923076923077,88,70
Motacilla_alba,1990s to 2010s,2,3,1990s,2010s,0.29308644888064367,0.08676637124979591,0.20193271567341337,Cropland,2,0,1,8,short-distance,Open-land insectivores,11.9859302219,medium,0.3141025641025641,50,108
Motacilla_cinerea,1970s to 1990s,1,2,1970s,1990s,0.30910440488317953,0.08048640487622867,0.21819594320529298,Cropland,2,0,2,8,sedentary and short-distance,Open-land insectivores,12.9122079488,warm,0.44871794871794873,71,87
Motacilla_cinerea,1990s to 2010s,2,3,1990s,2010s,0.2467722275764317,0.07173170062886261,0.14074167186528172,Temperature,2,0,0,8,sedentary and short-distance,Open-land insectivores,12.9122079488,warm,0.1987179487179487,32,126
Motacilla_flava,1970s to 1990s,1,2,1970s,1990s,0.17828619713011482,0.047057959993320506,0.12515926382373674,Grass/Shrubland,2,0,0,8,long-distance,Open-land insectivores,12.136968586,medium,0.057692307692307696,10,148
Motacilla_flava,1990s to 2010s,2,3,1990s,2010s,0.5265865679422115,0.13789800204026248,0.41715687159381426,Precipitation,3,0,3,8,long-distance,Open-land insectivores,12.136968586,medium,0.8717948717948718,137,21
Muscicapa_striata,1970s to 1990s,1,2,1970s,1990s,0.22301647021169627,0.05447343996980856,0.17241139576963324,Land-use heterogeneity,1,0,1,8,long-distance,Flycatchers,12.1492223917,medium,0.14743589743589744,24,134
Muscicapa_striata,1990s to 2010s,2,3,1990s,2010s,0.3372303929808021,0.09625697792450669,0.2456110895217237,Cropland,3,1,2,8,long-distance,Flycatchers,12.1492223917,medium,0.4423076923076923,70,88
Numenius_arquata,1970s to 1990s,1,2,1970s,1990s,0.35723608328496553,0.1023494102762281,0.2600503414399381,Cropland,3,0,2,8,short-distance,Scolopacids,10.0493203009,very cold,0.5897435897435898,93,65
Numenius_arquata,1990s to 2010s,2,3,1990s,2010s,0.36877217828239645,0.11719411049989564,0.22000494945445215,Precipitation,3,0,2,8,short-distance,Scolopacids,10.0493203009,very cold,0.5961538461538461,94,64
Oenanthe_oenanthe,1970s to 1990s,1,2,1970s,1990s,0.28579808063476386,0.08844077288239767,0.18418251678277336,Temperature,3,1,1,8,long-distance,Low flycatching feeders,11.6202368597,cold,0.34615384615384615,55,103
Oenanthe_oenanthe,1990s to 2010s,2,3,1990s,2010s,0.23547068343575234,0.0704187468004803,0.1260213118694362,Land-use heterogeneity,4,0,0,8,long-distance,Low flycatching feeders,11.6202368597,cold,0.1794871794871795,29,129
Oriolus_oriolus,1970s to 1990s,1,2,1970s,1990s,0.39068174395119676,0.10602360950186543,0.27980816415627,Pasture,2,0,2,8,long-distance,Orioles,13.4707159049,very warm,0.6794871794871795,107,51
Oriolus_oriolus,1990s to 2010s,2,3,1990s,2010s,0.5157947697487357,0.13774335767425208,0.33030862683377005,Pasture,2,0,3,8,long-distance,Orioles,13.4707159049,very warm,0.8653846153846154,136,22
Panurus_biarmicus,1970s to 1990s,1,2,1970s,1990s,0.5495602730983788,0.17258910942599215,0.3014027145793351,Cropland,4,0,5,8,sedentary,Reedlings,13.8780278318,very warm,0.8974358974358975,141,17
Panurus_biarmicus,1990s to 2010s,2,3,1990s,2010s,0.48850704168861836,0.1204186924556622,0.3709980226772205,Temperature,0,0,3,8,sedentary,Reedlings,13.8780278318,very warm,0.8012820512820513,126,32
Parus_major,1970s to 1990s,1,2,1970s,1990s,0.38047021168356193,0.10512243559472252,0.3143716752602528,Land-use heterogeneity,4,0,1,8,sedentary and short-distance,Tit-like birds,12.343727765,medium,0.6410256410256411,101,57
Parus_major,1990s to 2010s,2,3,1990s,2010s,0.35394051665539633,0.10186932576574866,0.2176415112041052,Land-use heterogeneity,3,0,3,8,sedentary and short-distance,Tit-like birds,12.343727765,medium,0.5064102564102564,80,78
Passer_domesticus,1970s to 1990s,1,2,1970s,1990s,0.4318176202874893,0.1283934140617139,0.23587911518833218,Pasture,3,1,5,8,sedentary,Passerine seedeaters,12.2628071769,medium,0.7435897435897436,117,41
Passer_domesticus,1990s to 2010s,2,3,1990s,2010s,0.3338263022775547,0.1069186551976242,0.2047664322249566,Forest,4,0,2,8,sedentary,Passerine seedeaters,12.2628071769,medium,0.42948717948717946,68,90
Passer_montanus,1970s to 1990s,1,2,1970s,1990s,0.2763895015986235,0.07462991597293922,0.1536367096533521,Land-use heterogeneity,3,0,3,8,sedentary,Passerine seedeaters,13.070887931,very warm,0.30128205128205127,48,110
Passer_montanus,1990s to 2010s,2,3,1990s,2010s,0.3154261926473685,0.09752299229749174,0.19565343191046003,Urban,3,0,2,8,sedentary,Passerine seedeaters,13.070887931,very warm,0.38461538461538464,61,97
Perdix_perdix,1970s to 1990s,1,2,1970s,1990s,0.2647456107879753,0.07567675345783738,0.19053863296896167,Land-use heterogeneity,3,0,1,8,sedentary,Gallinaceous birds,12.8463889005,warm,0.2564102564102564,41,117
Perdix_perdix,1990s to 2010s,2,3,1990s,2010s,0.15862941637647474,0.04515579719282323,0.10988130575587532,Temperature,3,0,0,8,sedentary,Gallinaceous birds,12.8463889005,warm,0.038461538461538464,7,151
Periparus_ater,1970s to 1990s,1,2,1970s,1990s,0.3084814757558965,0.08063070945345033,0.2107289496026475,Land-use heterogeneity,3,0,2,8,sedentary,Tit-like birds,11.9045668053,medium,0.4423076923076923,70,88
Periparus_ater,1990s to 2010s,2,3,1990s,2010s,0.38436503621506357,0.12286974101733597,0.22123923316067615,Grass/Shrubland,5,0,2,8,sedentary,Tit-like birds,11.9045668053,medium,0.6474358974358975,102,56
Pernis_apivorus,1970s to 1990s,1,2,1970s,1990s,0.5010897347399516,0.12992044843485362,0.37367219686729664,Cropland,2,0,3,8,long-distance,Diurnal raptors,11.9608484505,medium,0.8589743589743589,135,23
Pernis_apivorus,1990s to 2010s,2,3,1990s,2010s,0.2933892488332097,0.07499108149168973,0.22122469034365283,Cropland,1,0,1,8,long-distance,Diurnal raptors,11.9608484505,medium,0.32051282051282054,51,107
Phoenicurus_ochruros,1970s to 1990s,1,2,1970s,1990s,0.4045831145189051,0.09909132958190053,0.32753650468232426,Temperature,1,0,2,8,sedentary and short-distance,Low flycatching feeders,13.2394438706,very warm,0.6987179487179487,110,48
Phoenicurus_ochruros,1990s to 2010s,2,3,1990s,2010s,0.35604192242024196,0.10218802337900802,0.2456819614350618,Temperature,3,0,3,8,sedentary and short-distance,Low flycatching feeders,13.2394438706,very warm,0.532051282051282,84,74
Phoenicurus_phoenicurus,1970s to 1990s,1,2,1970s,1990s,0.21202665859355757,0.0597859561353576,0.13658053758436578,Forest,0,0,0,8,long-distance,Low flycatching feeders,11.3098485667,cold,0.10897435897435898,18,140
Phoenicurus_phoenicurus,1990s to 2010s,2,3,1990s,2010s,0.2981573469421184,0.08193169023085951,0.1829866926246371,Urban,3,0,2,8,long-distance,Low flycatching feeders,11.3098485667,cold,0.3333333333333333,53,105
Phylloscopus_collybita,1970s to 1990s,1,2,1970s,1990s,0.24103104875134873,0.07161501487126902,0.14655591377034582,Grass/Shrubland,2,0,1,8,short-distance,Foliage gleaners,11.9465889491,medium,0.1987179487179487,32,126
Phylloscopus_collybita,1990s to 2010s,2,3,1990s,2010s,0.46826618708478,0.12753623735666594,0.31911632887630437,Cropland,5,0,3,8,short-distance,Foliage gleaners,11.9465889491,medium,0.7628205128205128,120,38
Phylloscopus_sibilatrix,1970s to 1990s,1,2,1970s,1990s,0.11772611400884042,0.03484797059175256,0.07241744919737735,Precipitation,1,0,0,8,long-distance,Foliage gleaners,11.3755910555,cold,0.00641025641025641,2,156
Phylloscopus_sibilatrix,1990s to 2010s,2,3,1990s,2010s,0.24957841333684103,0.06172495451612027,0.21997765841416528,Precipitation,2,0,1,8,long-distance,Foliage gleaners,11.3755910555,cold,0.21153846153846154,34,124
Phylloscopus_trochilus,1970s to 1990s,1,2,1970s,1990s,0.2848450157168007,0.08864579301559729,0.16879403888121514,Forest,2,0,2,8,long-distance,Foliage gleaners,10.4596695622,very cold,0.3333333333333333,53,105
Phylloscopus_trochilus,1990s to 2010s,2,3,1990s,2010s,0.6215769962423301,0.18682999441750883,0.42284702024615917,Pasture,6,0,5,8,long-distance,Foliage gleaners,10.4596695622,very cold,0.9294871794871795,146,12
Pica_pica,1970s to 1990s,1,2,1970s,1990s,0.5614495720955902,0.1344487888100346,0.4454855807392636,Temperature,3,1,3,8,sedentary,Omnivorous corvids,12.155826028,medium,0.9166666666666666,144,14
Pica_pica,1990s to 2010s,2,3,1990s,2010s,0.5541287306060827,0.16261721892633327,0.3445685260390368,Urban,3,0,3,8,sedentary,Omnivorous corvids,12.155826028,medium,0.8846153846153846,139,19
Picus_viridis,1970s to 1990s,1,2,1970s,1990s,0.3584382179613719,0.08637629654031684,0.32381167818705564,Precipitation,1,0,1,8,sedentary,Woodpeckers,12.9413688865,warm,0.5961538461538461,94,64
Picus_viridis,1990s to 2010s,2,3,1990s,2010s,0.5054730880440351,0.1314210360453686,0.38310228844821703,Precipitation,4,1,3,8,sedentary,Woodpeckers,12.9413688865,warm,0.8269230769230769,130,28
Podiceps_cristatus,1970s to 1990s,1,2,1970s,1990s,0.22349826077295776,0.07080738623331811,0.1196692147858494,Pasture,0,0,0,8,short-distance,Aquatic pursuers,12.6860788894,warm,0.15384615384615385,25,133
Podiceps_cristatus,1990s to 2010s,2,3,1990s,2010s,0.13044288278502544,0.03612673426888382,0.09600122388377866,Urban,1,0,0,8,short-distance,Aquatic pursuers,12.6860788894,warm,0.01282051282051282,3,155
Podiceps_grisegena,1970s to 1990s,1,2,1970s,1990s,0.2947575509048985,0.07810995244377153,0.24603655164432398,Precipitation,2,0,1,8,short-distance,Aquatic pursuers,11.9386619385,medium,0.3717948717948718,59,99
Podiceps_grisegena,1990s to 2010s,2,3,1990s,2010s,0.22112630564279886,0.061329449195655895,0.1599895109932289,Precipitation,1,0,1,8,short-distance,Aquatic pursuers,11.9386619385,medium,0.14102564102564102,23,135
Podiceps_nigricollis,1970s to 1990s,1,2,1970s,1990s,0.16301588747184567,0.04712795952025247,0.1030905665598331,Cropland,0,0,0,8,short-distance,Aquatic pursuers,13.3391366196,very warm,0.03205128205128205,6,152
Podiceps_nigricollis,1990s to 2010s,2,3,1990s,2010s,0.35231238498367706,0.1038906151571271,0.20609979481600596,Grass/Shrubland,3,0,2,8,short-distance,Aquatic pursuers,13.3391366196,very warm,0.4935897435897436,78,80
Poecile_palustris,1970s to 1990s,1,2,1970s,1990s,0.21440841189620316,0.06705375824009369,0.14386878880732168,Precipitation,3,0,1,8,sedentary,Tit-like birds,12.3251392514,medium,0.12179487179487179,20,138
Poecile_palustris,1990s to 2010s,2,3,1990s,2010s,0.23379802249599127,0.06299092974021027,0.15286104132269396,Forest,0,0,1,8,sedentary,Tit-like birds,12.3251392514,medium,0.16666666666666666,27,131
Porzana_porzana,1970s to 1990s,1,2,1970s,1990s,0.2701432883714567,0.08013301656070182,0.16309075989998828,Temperature,3,0,2,8,long-distance,Rails,12.4064941754,warm,0.27564102564102566,44,114
Porzana_porzana,1990s to 2010s,2,3,1990s,2010s,0.3592605968344983,0.08520698255543947,0.29501065180312336,Temperature,2,0,2,8,long-distance,Rails,12.4064941754,warm,0.5512820512820513,87,71
Prunella_modularis,1970s to 1990s,1,2,1970s,1990s,0.2852851692363586,0.08774120028165044,0.18342128832524873,Temperature,2,0,1,8,sedentary and short-distance,Low flycatching feeders,10.9083374064,very cold,0.33974358974358976,54,104
Prunella_modularis,1990s to 2010s,2,3,1990s,2010s,0.4247459162943453,0.11772848430016142,0.28424067899873956,Pasture,3,0,2,8,sedentary and short-distance,Low flycatching feeders,10.9083374064,very cold,0.7051282051282052,111,47
Pyrrhula_pyrrhula,1970s to 1990s,1,2,1970s,1990s,0.3753240818877781,0.1082650831019924,0.23530976318106764,Precipitation,5,0,2,8,short-distance,Passerine seedeaters,10.756294956,very cold,0.6346153846153846,100,58
Pyrrhula_pyrrhula,1990s to 2010s,2,3,1990s,2010s,0.3609332937691413,0.11305040619408839,0.21272602920627354,Forest,4,0,2,8,short-distance,Passerine seedeaters,10.756294956,very cold,0.5705128205128205,90,68
Rallus_aquaticus,1970s to 1990s,1,2,1970s,1990s,0.2902164770377432,0.07710413542050228,0.22544575558437127,Precipitation,2,0,1,8,sedentary and short-distance,Rails,13.3215188918,very warm,0.358974358974359,57,101
Rallus_aquaticus,1990s to 2010s,2,3,1990s,2010s,0.2900692567488007,0.09111996814041014,0.15419670961175966,Grass/Shrubland,3,0,2,8,sedentary and short-distance,Rails,13.3215188918,very warm,0.30128205128205127,48,110
Recurvirostra_avosetta,1970s to 1990s,1,2,1970s,1990s,0.4051262096832311,0.1095407145805509,0.3120791576155504,Precipitation,0,0,2,8,short-and long-distance,Plovers,14.5831200661,very warm,0.7051282051282052,111,47
Recurvirostra_avosetta,1990s to 2010s,2,3,1990s,2010s,0.3682725955086397,0.11000451179666908,0.23233886107755441,Precipitation,1,0,2,8,short-and long-distance,Plovers,14.5831200661,very warm,0.5897435897435898,93,65
Regulus_ignicapilla,1970s to 1990s,1,2,1970s,1990s,0.7373293063917673,0.18990662150268792,0.5709333911840418,Temperature,3,0,3,8,short-distance,Tit-like birds,13.1999439071,very warm,0.9807692307692307,154,4
Regulus_ignicapilla,1990s to 2010s,2,3,1990s,2010s,0.7047960444635373,0.1606841427798749,0.6223158009094534,Temperature,3,0,3,8,short-distance,Tit-like birds,13.1999439071,very warm,0.9807692307692307,154,4
Regulus_regulus,1970s to 1990s,1,2,1970s,1990s,0.318599428591207,0.08671848850824353,0.2278631685720035,Land-use heterogeneity,1,0,2,8,short-distance,Tit-like birds,10.8075146552,very cold,0.46794871794871795,74,84
Regulus_regulus,1990s to 2010s,2,3,1990s,2010s,0.35021137111723544,0.0891749739376776,0.2904222028870108,Land-use heterogeneity,3,0,1,8,short-distance,Tit-like birds,10.8075146552,very cold,0.4807692307692308,76,82
