species,transition,atlas_from,atlas_to,period_from,period_to,total_beta_jump,mean_abs_predictor_jump,max_abs_predictor_jump,dominant_driver,n_support_state_switches,n_supported_sign_flips,n_predictors_with_large_jump,n_predictors,migratory_strategy,foraging_guild,species_thermal_index,thermal_group,jump_percentile,species_stability_rank,species_jump_rank
Anser_anser,1990s to 2010s,2,3,1990s,2010s,0.3548035776530455,0.09580714630742425,0.25273322940408766,Precipitation,3,0,3,8,sedentary and short-distance,Grazing waterfowl,11.1956416463,cold,0.5256410256410257,83,75
Anthus_pratensis,1970s to 1990s,1,2,1970s,1990s,0.16450777211805548,0.05074364583562725,0.0948237375430078,Pasture,1,0,0,8,short-distance,Open-land insectivores,9.9487726902,very cold,0.038461538461538464,7,151
Anthus_pratensis,1990s to 2010s,2,3,1990s,2010s,0.20969204773324635,0.054587210240573336,0.16221870710348185,Temperature,0,0,1,8,short-distance,Open-land insectivores,9.9487726902,very cold,0.11538461538461539,19,139
Anthus_trivialis,1970s to 1990s,1,2,1970s,1990s,0.27649694127612673,0.09090395630046158,0.14275401885311204,Land-use heterogeneity,3,0,1,8,long-distance,Low flycatching feeders,11.2439352645,cold,0.3076923076923077,49,109
Anthus_trivialis,1990s to 2010s,2,3,1990s,2010s,0.35352971714290016,0.10024596578463542,0.27266898637644865,Forest,2,0,1,8,long-distance,Low flycatching feeders,11.2439352645,cold,0.5,79,79
Apus_apus,1970s to 1990s,1,2,1970s,1990s,0.3286754800962069,0.10466892612904546,0.201355349680908,Temperature,5,1,2,8,long-distance,Aerial insectivores,12.4470483242,warm,0.5,79,79
Apus_apus,1990s to 2010s,2,3,1990s,2010s,0.2218182459159016,0.06547346661988858,0.14776429363562532,Temperature,5,0,0,8,long-distance,Aerial insectivores,12.4470483242,warm,0.14743589743589744,24,134
Ardea_cinerea,1970s to 1990s,1,2,1970s,1990s,0.29600875159751616,0.08389197304815965,0.2250694122755308,Temperature,2,0,1,8,sedentary and short-distance,Wading birds,12.6943991523,warm,0.3782051282051282,60,98
Ardea_cinerea,1990s to 2010s,2,3,1990s,2010s,0.10392175500699155,0.03382957538848714,0.05603098963521443,Cropland,1,0,0,8,sedentary and short-distance,Wading birds,12.6943991523,warm,0,1,157
Asio_flammeus,1970s to 1990s,1,2,1970s,1990s,0.4603988884196252,0.12162746721780698,0.36688867518374757,Forest,2,0,2,8,sedentary and short-distance,Owls,9.6200242401,very cold,0.7756410256410257,122,36
Asio_flammeus,1990s to 2010s,2,3,1990s,2010s,0.74489991939616,0.21865450065837364,0.49273875746021123,Cropland,6,0,5,8,sedentary and short-distance,Owls,9.6200242401,very cold,0.9935897435897436,156,2
Asio_otus,1970s to 1990s,1,2,1970s,1990s,0.3814957273082154,0.1160892730881173,0.22736811165691959,Temperature,4,0,2,8,sedentary,Owls,12.2940439872,medium,0.6474358974358975,102,56
Asio_otus,1990s to 2010s,2,3,1990s,2010s,0.360048608288117,0.10024425417042626,0.2397696036281126,Temperature,3,0,2,8,sedentary,Owls,12.2940439872,medium,0.5576923076923077,88,70
Astur_gentilis,1970s to 1990s,1,2,1970s,1990s,0.484679065525015,0.1388811724119152,0.34042537171295884,Precipitation,4,0,4,8,sedentary,Diurnal raptors,11.8007973825,cold,0.8397435897435898,132,26
Astur_gentilis,1990s to 2010s,2,3,1990s,2010s,0.17027977328664964,0.05384636205636229,0.11199886057929324,Precipitation,2,0,0,8,sedentary,Diurnal raptors,11.8007973825,cold,0.057692307692307696,10,148
Athene_noctua,1970s to 1990s,1,2,1970s,1990s,0.2595839029495169,0.07812555444843865,0.1595251259126055,Pasture,2,0,1,8,sedentary,Owls,14.2083192272,very warm,0.23717948717948717,38,120
Athene_noctua,1990s to 2010s,2,3,1990s,2010s,0.4489132179060415,0.13727709832649154,0.2113165061600075,Pasture,4,0,5,8,sedentary,Owls,14.2083192272,very warm,0.7435897435897436,117,41
Aythya_ferina,1970s to 1990s,1,2,1970s,1990s,0.4608170018163963,0.12520512978445847,0.35350290324008876,Cropland,5,0,2,8,short-distance,Diving ducks,12.445391892,warm,0.782051282051282,123,35
Aythya_ferina,1990s to 2010s,2,3,1990s,2010s,0.2498721189471202,0.0767810146537405,0.1462670795173009,Precipitation,2,0,0,8,short-distance,Diving ducks,12.445391892,warm,0.21794871794871795,35,123
Aythya_fuligula,1970s to 1990s,1,2,1970s,1990s,0.35690585150481263,0.08758201883501238,0.24635717230515042,Grass/Shrubland,2,0,2,8,short-distance,Diving ducks,10.1385920012,very cold,0.5833333333333334,92,66
Aythya_fuligula,1990s to 2010s,2,3,1990s,2010s,0.11334099801446412,0.03522687984154415,0.0707101895004808,Forest,0,0,0,8,short-distance,Diving ducks,10.1385920012,very cold,0.00641025641025641,2,156
Botaurus_stellaris,1970s to 1990s,1,2,1970s,1990s,0.44610184583086804,0.11147877635465596,0.38645636526814486,Precipitation,5,0,1,8,sedentary and short-distance,Wading birds,13.1076210929,very warm,0.7628205128205128,120,38
Botaurus_stellaris,1990s to 2010s,2,3,1990s,2010s,0.31123968256404744,0.08509044281537828,0.17495244710594562,Pasture,1,0,2,8,sedentary and short-distance,Wading birds,13.1076210929,very warm,0.3717948717948718,59,99
Buteo_buteo,1970s to 1990s,1,2,1970s,1990s,0.32410983828771545,0.09634459952225298,0.1784844104189464,Temperature,3,0,2,8,sedentary and short-distance,Diurnal raptors,12.6973693303,warm,0.4935897435897436,78,80
Buteo_buteo,1990s to 2010s,2,3,1990s,2010s,0.32516941715264563,0.09328575670361511,0.20436967627886604,Forest,3,0,2,8,sedentary and short-distance,Diurnal raptors,12.6973693303,warm,0.41025641025641024,65,93
Calidris_alpina,1970s to 1990s,1,2,1970s,1990s,0.4899527050500701,0.14503155085277655,0.2752811926096229,Precipitation,1,0,4,8,long-distance,Scolopacids,7.0663752664,very cold,0.8461538461538461,133,25
Calidris_alpina,1990s to 2010s,2,3,1990s,2010s,0.5109401407511498,0.12655088904730274,0.4103562156136308,Forest,4,0,3,8,long-distance,Scolopacids,7.0663752664,very cold,0.8461538461538461,133,25
Calidris_pugnax,1970s to 1990s,1,2,1970s,1990s,0.32060476145583217,0.10355262979026564,0.21041999517865145,Precipitation,5,0,1,8,long-distance,Scolopacids,7.9732949741,very cold,0.4807692307692308,76,82
Calidris_pugnax,1990s to 2010s,2,3,1990s,2010s,0.7280645812293655,0.19001292218401045,0.5563730221746596,Cropland,4,0,4,8,long-distance,Scolopacids,7.9732949741,very cold,0.9871794871794872,155,3
Caprimulgus_europaeus,1970s to 1990s,1,2,1970s,1990s,0.33833299269568123,0.09635982404882586,0.2286989192701549,Cropland,2,0,2,8,long-distance,Nigthjars,13.110333547,very warm,0.532051282051282,84,74
Caprimulgus_europaeus,1990s to 2010s,2,3,1990s,2010s,0.5514187618237573,0.13323992453583447,0.4636649736217443,Urban,3,0,3,8,long-distance,Nigthjars,13.110333547,very warm,0.8782051282051282,138,20
Carduelis_carduelis,1970s to 1990s,1,2,1970s,1990s,0.3002806139633426,0.09308544117477441,0.18670762056238271,Temperature,4,0,1,8,sedentary and short-distance,Passerine seedeaters,13.4542440183,very warm,0.3974358974358974,63,95
Carduelis_carduelis,1990s to 2010s,2,3,1990s,2010s,0.36756632820412916,0.1171481967242178,0.18737090234657286,Land-use heterogeneity,4,0,3,8,sedentary and short-distance,Passerine seedeaters,13.4542440183,very warm,0.5769230769230769,91,67
Carpodacus_erythrinus,1970s to 1990s,1,2,1970s,1990s,0.4203897980423754,0.1143090849398792,0.28279754409023683,Temperature,5,0,3,8,long-distance,Passerine seedeaters,10.348256227,very cold,0.7243589743589743,114,44
Carpodacus_erythrinus,1990s to 2010s,2,3,1990s,2010s,0.3211389258850169,0.08197184310578624,0.25240405952445333,Precipitation,0,0,2,8,long-distance,Passerine seedeaters,10.348256227,very cold,0.40384615384615385,64,94
Certhia_brachydactyla,1970s to 1990s,1,2,1970s,1990s,0.5984680525315564,0.14956877541624503,0.46137603153449663,Precipitation,3,0,3,8,sedentary,Tit-like birds,13.8972978687,very warm,0.9551282051282052,150,8
Certhia_brachydactyla,1990s to 2010s,2,3,1990s,2010s,0.6432307720514775,0.18301926548652786,0.45156883978799767,Temperature,4,0,4,8,sedentary,Tit-like birds,13.8972978687,very warm,0.9423076923076923,148,10
Certhia_familiaris,1970s to 1990s,1,2,1970s,1990s,0.27907467044412526,0.07664375056571794,0.17141133130496977,Forest,2,0,2,8,sedentary,Tit-like birds,11.119463211,cold,0.3141025641025641,50,108
Certhia_familiaris,1990s to 2010s,2,3,1990s,2010s,0.14530677931795072,0.03544302108893003,0.10234162033948932,Land-use heterogeneity,1,0,0,8,sedentary,Tit-like birds,11.119463211,cold,0.03205128205128205,6,152
Charadrius_dubius,1970s to 1990s,1,2,1970s,1990s,0.2223400466366198,0.06743771976538268,0.15205825036506795,Temperature,2,0,1,8,short-and long-distance,Plovers,12.7729324864,warm,0.14102564102564102,23,135
Charadrius_dubius,1990s to 2010s,2,3,1990s,2010s,0.24415185810265133,0.07465765944896989,0.168149304729043,Cropland,2,0,1,8,short-and long-distance,Plovers,12.7729324864,warm,0.19230769230769232,31,127
Charadrius_hiaticula,1970s to 1990s,1,2,1970s,1990s,0.20363042833355322,0.055991183769865435,0.1515208162531702,Pasture,1,0,1,8,short-distance,Plovers,8.2214626932,very cold,0.09615384615384616,16,142
Charadrius_hiaticula,1990s to 2010s,2,3,1990s,2010s,0.16901030195225056,0.04511526739183636,0.11649783425965982,Temperature,1,0,0,8,short-distance,Plovers,8.2214626932,very cold,0.05128205128205128,9,149
Chlidonias_niger,1970s to 1990s,1,2,1970s,1990s,0.3346632611545779,0.09169310731585781,0.2476329944274337,Precipitation,3,0,1,8,long-distance,Terns,13.0082465521,very warm,0.5256410256410257,83,75
Chlidonias_niger,1990s to 2010s,2,3,1990s,2010s,0.48839849741950886,0.14958152046318132,0.2659039342211365,Temperature,1,0,5,8,long-distance,Terns,13.0082465521,very warm,0.7948717948717948,125,33
Chloris_chloris,1970s to 1990s,1,2,1970s,1990s,0.3026086817993512,0.08558361639997566,0.22517522442258722,Land-use heterogeneity,2,0,1,8,sedentary and short-distance,Passerine seedeaters,12.6006224966,warm,0.4166666666666667,66,92
Chloris_chloris,1990s to 2010s,2,3,1990s,2010s,0.28448840694344124,0.0780070019022236,0.20823725199533955,Land-use heterogeneity,2,0,1,8,sedentary and short-distance,Passerine seedeaters,12.6006224966,warm,0.28205128205128205,45,113
Chroicocephalus_ridibundus,1970s to 1990s,1,2,1970s,1990s,0.24764887228509744,0.06569333728694672,0.17191991043540242,Cropland,2,0,2,8,short-distance,Gulls,11.0679667544,cold,0.22435897435897437,36,122
Chroicocephalus_ridibundus,1990s to 2010s,2,3,1990s,2010s,0.4193570522950691,0.14162849306766603,0.22750258401851398,Precipitation,4,0,4,8,short-distance,Gulls,11.0679667544,cold,0.6987179487179487,110,48
Cinclus_cinclus,1970s to 1990s,1,2,1970s,1990s,0.5579773308486289,0.16059130740691863,0.40425224131950493,Temperature,0,0,3,8,short-distance,Dippers,11.0150016531,cold,0.9102564102564102,143,15
Cinclus_cinclus,1990s to 2010s,2,3,1990s,2010s,0.675220587706545,0.19021054126006695,0.4317477836322284,Temperature,2,0,4,8,short-distance,Dippers,11.0150016531,cold,0.967948717948718,152,6
Circus_aeruginosus,1970s to 1990s,1,2,1970s,1990s,0.6396975705894657,0.18661420034285114,0.4963572875385603,Precipitation,7,0,3,8,short-and long-distance,Diurnal raptors,13.2259231132,very warm,0.967948717948718,152,6
Circus_aeruginosus,1990s to 2010s,2,3,1990s,2010s,0.3542850017633141,0.11038528018319031,0.18227844850953215,Temperature,3,0,2,8,short-and long-distance,Diurnal raptors,13.2259231132,very warm,0.5128205128205128,81,77
Circus_pygargus,1970s to 1990s,1,2,1970s,1990s,0.7516421578806304,0.21973453328544917,0.4703278251785699,Precipitation,4,0,6,8,long-distance,Diurnal raptors,13.6904029809,very warm,0.9871794871794872,155,3
Circus_pygargus,1990s to 2010s,2,3,1990s,2010s,0.6672416763060661,0.1945371085108242,0.3996845142360403,Forest,4,0,5,8,long-distance,Diurnal raptors,13.6904029809,very warm,0.9551282051282052,150,8
Coccothraustes_coccothraustes,1970s to 1990s,1,2,1970s,1990s,0.3177108467220837,0.08640344735377739,0.19417711258261006,Land-use heterogeneity,1,0,3,8,sedentary,Passerine seedeaters,12.9763477132,warm,0.46153846153846156,73,85
Coccothraustes_coccothraustes,1990s to 2010s,2,3,1990s,2010s,0.16745628863506704,0.049880331355132555,0.10278104827093287,Urban,1,0,0,8,sedentary,Passerine seedeaters,12.9763477132,warm,0.04487179487179487,8,150
Coloeus_monedula,1970s to 1990s,1,2,1970s,1990s,0.19493561389669947,0.06228392616607149,0.11849269877149515,Urban,1,0,0,8,sedentary and short-distance,Omnivorous corvids,12.9581704982,warm,0.08974358974358974,15,143
Coloeus_monedula,1990s to 2010s,2,3,1990s,2010s,0.2924357356270301,0.09295389974314595,0.16729881324283696,Urban,3,0,1,8,sedentary and short-distance,Omnivorous corvids,12.9581704982,warm,0.3076923076923077,49,109
Columba_oenas,1970s to 1990s,1,2,1970s,1990s,0.3196870561221225,0.09865978742278539,0.16736471465720976,Cropland,1,0,3,8,short-distance,Columbids,12.4358174295,warm,0.47435897435897434,75,83
Columba_oenas,1990s to 2010s,2,3,1990s,2010s,0.19786086047297777,0.053240776126830154,0.1278152374399238,Temperature,3,0,0,8,short-distance,Columbids,12.4358174295,warm,0.10897435897435898,18,140
Columba_palumbus,1970s to 1990s,1,2,1970s,1990s,0.3871696335721683,0.1097283304743373,0.29658710327365456,Urban,1,0,1,8,sedentary and short-distance,Columbids,12.2214205187,medium,0.6730769230769231,106,52
Columba_palumbus,1990s to 2010s,2,3,1990s,2010s,0.3932687723069782,0.11813429214067316,0.24414976093426405,Cropland,3,0,2,8,sedentary and short-distance,Columbids,12.2214205187,medium,0.6538461538461539,103,55
Corvus_corax,1970s to 1990s,1,2,1970s,1990s,0.5615468136121694,0.13144717444780643,0.4729761773650357,Precipitation,1,0,3,8,sedentary,Omnivorous corvids,11.7378412998,cold,0.9230769230769231,145,13
Corvus_corax,1990s to 2010s,2,3,1990s,2010s,0.22883841856357526,0.053098524328170846,0.20905400412285322,Temperature,1,0,1,8,sedentary,Omnivorous corvids,11.7378412998,cold,0.16025641025641027,26,132
Corvus_cornix,1970s to 1990s,1,2,1970s,1990s,0.3661634097227486,0.11417452458586726,0.21157597859035462,Precipitation,4,0,2,8,sedentary,Omnivorous corvids,12.1293990446,medium,0.6153846153846154,97,61
