thermal_group,n_species,min_sti,median_sti,max_sti
very cold,32,6.7214988279,9.9136463862,10.9083374064
cold,31,11.0150016531,11.3956704897,11.8425102806
medium,31,11.8812540667,12.1293990446,12.343727765
warm,31,12.3470551373,12.6607518772,12.9763477132
very warm,32,13.0082465521,13.5019455895,16.3071703744
