survey,site,atlas,period,X,Y,dominant_model_land_use,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,tmean_breeding,prec_breeding
AD90_1,AD90,1,1970s,447500.0709493527,6252499.57832838,Pasture,0.618778363356389,0,0.0933377430831709,0.282515181253616,0,0.0630141046866698,8.47988972508823,135.417750659986
AD91_1,AD91,1,1970s,447500.05017916387,6257499.546271402,Cropland,0.465245858862076,0,0.686550491533318,0.0100498965630508,0,0.0587592307418494,8.45706600924897,135.973779142099
AD92_1,AD92,1,1970s,447500.02377636905,6262499.551973275,Cropland,0.35911557826827,0,0.765409515401888,0,0,0,8.35523413943628,141.833916765378
AD93_1,AD93,1,1970s,447499.9924736935,6267499.595406948,Cropland,0.684781123399938,0.024354667090847,0.46262620628773,0.0928095473411112,0,0.024354667090847,8.38690245283115,137.581365380505
AD94_1,AD94,1,1970s,447499.9570043505,6272499.676545255,Cropland,0.671527383503677,0,0.323908395632869,0.107350482562949,0,0.119449672080683,8.45299477768267,132.909518286882
AD95_1,AD95,1,1970s,447499.9167107371,6277499.684056323,Urban,0.51149601532412,0.0463856708146477,0.0362481191793552,0.043386640969695,0,0.0358300882384936,8.43499115059932,133.451441332893
AE93_1,AE93,1,1970s,447500.1701742312,6217499.746982312,Pasture,0.621691950187603,0,0.164776611581978,0.267973353628069,0,0.0184453502582338,8.52242180386939,131.322362343124
AE94_1,AE94,1,1970s,447500.1510277113,6222499.78450804,Pasture,0.756679131484106,0.0730640012684725,0.245253799657739,0.375251820547168,0,0.0730640012684725,8.51371379896814,132.596517577008
AE95_1,AE95,1,1970s,447500.18198725476,6227499.747924402,Cropland,0.732970374468581,0,0.404580547734799,0.2047691509229,0,0.0487093341811538,8.5168810188315,132.909869287577
AE96_1,AE96,1,1970s,447500.139576756,6232499.638727918,Pasture,0.761504054704857,0.0232868478271317,0.19904061933138,0.237909668925871,0,0.196754077490452,8.49797003164103,134.024450716166
AE97_1,AE97,1,1970s,447500.1513174165,6237499.67796077,Pasture,0.768620653373905,0.0334407731488741,0.0474534900703358,0.294391643590816,0.265663485452003,0.124460123138197,8.45987645164354,137.514326170635
AE98_1,AE98,1,1970s,447500.15313399426,6242499.6437634,Pasture,0.736490545700444,0.036043720626647,0,0.280608480392262,0.177647357173422,0.0585630043599876,8.47879870646434,135.143847071318
AF81_1,AF81,1,1970s,442500.1384771916,6157499.787446427,Pasture,0.542041051569938,0,0,0.233454083847035,0,0.0851631910489606,8.52129170899646,127.527184552289
AF82_1,AF82,1,1970s,442500.15165183047,6162499.8084204225,Pasture,0.364014863454494,0,0,0.211848399256095,0,0.0196428247798178,8.52620434496228,127.293445417597
AF91_1,AF91,1,1970s,447500.16279772675,6157499.807246089,Pasture,0.485432138107201,0,0,0.676821502493962,0.155321044167828,0.107086579036576,8.51953995971227,126.86610741572
AF92_1,AF92,1,1970s,447500.2057250942,6162499.834014087,Pasture,0.440558857035078,0,0,0.696897430094562,0.128780239979252,0.174322329926185,8.51867831318454,126.653111471449
AF93_1,AF93,1,1970s,447500.1653840631,6167499.788514787,Pasture,0.456261358047516,0,0,0.701720201338416,0.0806025310869514,0.12048590284045,8.51470698167725,127.835317930828
AF94_1,AF94,1,1970s,447500.1697669054,6172499.780493908,Forest,0.654479600749046,0,0,0.263099871933481,0.298336148798784,0.00608866677233008,8.51939834551958,128.103598390175
AF96_1,AF96,1,1970s,447500.12389998813,6182499.65648123,Pasture,0.610155502954433,0,0,0.252884950173074,0.0413778219260443,0,8.51061165729971,130.26159364061
AF97_1,AF97,1,1970s,447500.13908220717,6187499.650967309,Pasture,0.474917151687391,0,0,0.255842963185316,0.00268418551038751,0.0110155018608449,8.54161102422078,128.323703426271
AF98_1,AF98,1,1970s,447500.13873657817,6192499.683587027,Pasture,0.464712421207272,0,0,0.221665486279843,0,0,8.54637254719238,128.117911276935
AF99_1,AF99,1,1970s,447500.1235891788,6197499.754315107,Pasture,0.474758153387068,0,0,0.387657117241607,0,0,8.54436782993506,128.890239244196
BC10_1,BC10,1,1970s,457500.06312543934,6302499.745828598,Pasture,0.595505549096321,0,0,0.411457968206845,0.0744125014939774,0.257464753724383,8.31374268728592,141.546839788868
BC11_1,BC11,1,1970s,457500.0287272008,6307499.784091797,Pasture,0.546799254461468,0,0,0.257758363356234,0,0.0969945417455595,8.33515191154878,141.498078077144
BC20_1,BC20,1,1970s,462500.0832758646,6302499.782276433,Forest,0.75369206484551,0.00543142722909764,0.229882244893078,0.0543837498299692,0.353208044589856,0.202912706972045,8.33884311995448,134.693639481393
BC21_1,BC21,1,1970s,462500.08463837503,6307499.738256342,Forest,0.689908880456291,0,0.0834584985144627,0.259555293773208,0.436564417651838,0.203622491358314,8.31924583708412,139.221090998178
BC30_1,BC30,1,1970s,467500.03225555073,6302499.688678854,Cropland,0.250445664164378,0.121879289794346,0.85688315468945,0,0,0.0212375555162041,8.34355824971507,136.25171559602
BC31_1,BC31,1,1970s,467500.0700814336,6307499.683991895,Cropland,0.540072795191187,0.0391467763495599,0.648477699454678,0.156855622600465,0.0911844471039307,0.0643354544913657,8.34858359141039,135.479707249559
BC32_1,BC32,1,1970s,467500.03942602925,6312499.716500132,Forest,0.679787461262237,0,0.315541611290894,0.182128609520623,0.41303556023193,0.0892942189565536,8.31007795012647,138.897920562531
BC33_1,BC33,1,1970s,467500.06162332307,6317499.67391025,Forest,0.6434092761478,0,0,0.329435791324981,0.462620738298279,0.100593959241116,8.29229347103908,142.769119000363
BC34_1,BC34,1,1970s,467500.01645873167,6322499.668462578,Forest,0.390122416826543,0,0,0.094630230697258,0.114629039926166,0.0257094916917212,8.36689726659117,140.992629439072
BC40_1,BC40,1,1970s,472500.05137193855,6302499.68679326,Cropland,0.155340491034104,0.0848738089653363,0.915126191034664,0,0,0,8.32582930437392,138.592216548935
BC41_1,BC41,1,1970s,472500.0641984955,6307499.732148187,Cropland,0.478571105804336,0.396489386544993,0.603510613455007,0,0,0,8.3209457992336,137.542639851999
BC43_1,BC43,1,1970s,472500.07431792136,6317499.709834675,Forest,0.674901705732427,0,0.178747751098121,0.0514605518786043,0.503002375537109,0.104435591895765,8.23502131185067,141.533540811344
BC44_1,BC44,1,1970s,472500.07316175365,6322499.753427244,Forest,0.668385114668699,0,0.00255678731890827,0.366993160831666,0.415713124655777,0.0444262095937246,8.33098264980287,140.205607508722
BC45_1,BC45,1,1970s,472500.04746136797,6327499.722303724,Pasture,0.441293153790489,0,0,0.310055027688158,0,0.0103717918924028,8.36681423778945,141.934548442117
BC50_1,BC50,1,1970s,477500.03517784266,6302499.666388486,Cropland,0.662769755139725,0.0974186720438042,0.471301388764753,0,0,0.0361644753147433,8.38339300690578,134.208360840745
BC51_1,BC51,1,1970s,477500.0219923793,6307499.660629535,Cropland,0.589488272496726,0.0775932457830977,0.551944793614417,0,0,0.0504907275334045,8.35821479461151,134.445458290462
BC52_1,BC52,1,1970s,477500.0270955203,6312499.691159323,Cropland,0.485280040340072,0.240429564880964,0.674088165061542,0,0.0358003979050109,0.0246341641694599,8.29930752795384,138.977862892165
