"site","guild_richness_1990s","guild_richness_2010s","delta_2010s_minus_1990s"
"DB68",26,22,-4
"DB73",23,19,-4
"DC52",23,19,-4
"DD00",22,18,-4
"DE02",27,23,-4
"DE12",26,22,-4
"DE17",23,19,-4
"DE22",25,21,-4
"DE38",22,18,-4
"DE50",19,15,-4
"DE51",27,23,-4
"DE57",25,21,-4
"DE90",22,18,-4
"DF59",25,21,-4
"DG34",24,20,-4
"DG73",25,21,-4
"DH69",23,19,-4
"ED02",21,17,-4
"ED10",24,20,-4
"ED30",25,21,-4
"ED41",17,13,-4
"EE29",22,18,-4
"EF78",27,23,-4
"EF92",29,25,-4
"EG30",24,20,-4
"EH23",27,23,-4
"EH66",27,23,-4
"EH67",27,23,-4
"EH74",20,16,-4
"EH85",23,19,-4
"FF10",29,25,-4
"FF17",22,18,-4
"FF32",23,19,-4
"FF54",29,25,-4
"FF67",26,22,-4
"FF80",27,23,-4
"FG31",22,18,-4
"FG75",26,22,-4
"FH04",20,16,-4
"FH31",17,13,-4
"FH42",26,22,-4
"FH54",27,23,-4
"GF66",9,5,-4
"GG06",22,18,-4
"GG25",27,23,-4
"HA27",21,17,-4
"HA44",28,24,-4
"HA55",26,22,-4
"AF91",25,20,-5
"BC83",28,23,-5
"BD60",24,19,-5
"BD62",23,18,-5
"BD64",23,18,-5
"BD66",21,16,-5
"BE11",26,21,-5
"BE17",25,20,-5
"BE62",22,17,-5
"BE83",23,18,-5
"BF91",23,18,-5
"BF97",25,20,-5
"BG79",27,22,-5
"CC68",23,18,-5
"CC85",28,23,-5
"CD25",25,20,-5
"CD67",28,23,-5
"CD96",28,23,-5
"CE89",25,20,-5
"CE93",26,21,-5
"CE94",23,18,-5
"CE99",25,20,-5
"CF19",20,15,-5
"CG89",25,20,-5
"CH87",26,21,-5
"DB20",23,18,-5
"DB40",25,20,-5
"DB82",20,15,-5
"DB84",26,21,-5
"DC05",27,22,-5
"DC37",26,21,-5
"DD41",27,22,-5
"DD52",28,23,-5
"DE39",19,14,-5
"DE84",27,22,-5
"DF91",18,13,-5
"DG47",25,20,-5
"DG50",27,22,-5
"DG60",27,22,-5
"EF06",25,20,-5
"EF60",23,18,-5
"EF94",27,22,-5
"EH57",12,7,-5
"EH96",26,21,-5
"EH97",26,21,-5
"FG43",29,24,-5
"FG97",23,18,-5
"FH23",28,23,-5
"FH60",5,0,-5
"BC42",23,17,-6
"BD77",25,19,-6
"BE09",22,16,-6
"BE58",26,20,-6
"BE82",24,18,-6
"BF90",23,17,-6
"BG41",25,19,-6
"BG42",27,21,-6
"BG66",24,18,-6
"CC25",21,15,-6
"CC54",27,21,-6
"CD29",25,19,-6
"CD42",27,21,-6
"CE95",22,16,-6
"CF15",20,14,-6
"DD03",28,22,-6
"DD42",24,18,-6
"DE28",23,17,-6
"DF48",30,24,-6
"DG17",27,21,-6
"ED32",18,12,-6
"EF10",25,19,-6
"EF83",22,16,-6
"EF90",25,19,-6
"EG19",27,21,-6
"FF72",24,18,-6
"FG84",21,15,-6
"FG86",28,22,-6
"FH48",27,21,-6
"GE04",24,18,-6
"GE34",21,15,-6
"GF12",21,15,-6
"GF74",23,17,-6
"GG04",22,16,-6
"GG08",26,20,-6
"GG50",22,16,-6
"HA36",26,20,-6
"HA45",25,19,-6
"AF95",23,16,-7
"BD07",24,17,-7
"BD09",20,13,-7
"BE16",24,17,-7
"CE63",27,20,-7
"CH89",27,20,-7
"DC06",25,18,-7
"DE49",25,18,-7
"DE77",23,16,-7
"DF47",23,16,-7
"DG49",24,17,-7
"DH59",21,14,-7
"ED01",28,21,-7
"ED03",21,14,-7
"EE19",21,14,-7
"EG44",7,0,-7
"EH77",26,19,-7
"EH83",25,18,-7
"FF02",27,20,-7
"FF42",23,16,-7
"FG50",26,19,-7
"FG69",26,19,-7
"FG74",26,19,-7
"FG85",25,18,-7
"FG99",25,18,-7
"FH94",23,16,-7
"GH06",23,16,-7
"BD63",24,16,-8
"CD16",24,16,-8
"CD34",29,21,-8
"CE20",26,18,-8
"CE54",26,18,-8
"EE38",25,17,-8
"EF54",24,16,-8
"EH17",28,20,-8
"EH78",26,18,-8
"GG05",24,16,-8
"GH05",24,16,-8
"BF76",25,16,-9
"CE88",29,20,-9
"CG68",24,15,-9
"DH49",22,13,-9
"EF19",12,3,-9
"EH88",25,16,-9
"EH56",21,11,-10
"GF75",23,13,-10
"GG07",24,14,-10
"GG15",26,16,-10
"DF58",22,11,-11
