"survey","site","atlas","period","guild_richness","species_richness"
"BF81_2","BF81","2","1990s",21,60
"BF83_2","BF83","2","1990s",24,69
"BF85_2","BF85","2","1990s",20,59
"BF86_2","BF86","2","1990s",21,63
"BF87_2","BF87","2","1990s",20,51
"BF90_2","BF90","2","1990s",23,71
"BF91_2","BF91","2","1990s",23,58
"BF92_2","BF92","2","1990s",24,68
"BF93_2","BF93","2","1990s",22,64
"BF96_2","BF96","2","1990s",21,60
"BF97_2","BF97","2","1990s",25,64
"BF98_2","BF98","2","1990s",22,54
"BF99_2","BF99","2","1990s",23,63
"BG09_2","BG09","2","1990s",6,9
"BG19_2","BG19","2","1990s",15,25
"BG27_2","BG27","2","1990s",25,61
"BG28_2","BG28","2","1990s",25,69
"BG29_2","BG29","2","1990s",26,77
"BG30_2","BG30","2","1990s",13,28
"BG31_2","BG31","2","1990s",30,102
"BG32_2","BG32","2","1990s",27,88
"BG33_2","BG33","2","1990s",9,23
"BG36_2","BG36","2","1990s",22,59
"BG37_2","BG37","2","1990s",21,56
"BG40_2","BG40","2","1990s",18,36
"BG41_2","BG41","2","1990s",25,68
"BG42_2","BG42","2","1990s",27,65
"BG43_2","BG43","2","1990s",17,39
"BG48_2","BG48","2","1990s",11,18
"BG49_2","BG49","2","1990s",24,64
"BG55_2","BG55","2","1990s",24,79
"BG56_2","BG56","2","1990s",23,57
"BG57_2","BG57","2","1990s",23,44
"BG58_2","BG58","2","1990s",26,78
"BG59_2","BG59","2","1990s",20,47
"BG64_2","BG64","2","1990s",21,66
"BG65_2","BG65","2","1990s",25,73
"BG66_2","BG66","2","1990s",24,73
"BG67_2","BG67","2","1990s",21,55
"BG68_2","BG68","2","1990s",18,56
"BG70_2","BG70","2","1990s",19,57
"BG72_2","BG72","2","1990s",19,54
"BG73_2","BG73","2","1990s",26,72
"BG75_2","BG75","2","1990s",22,67
"BG76_2","BG76","2","1990s",24,70
"BG77_2","BG77","2","1990s",20,55
"BG78_2","BG78","2","1990s",18,42
"BG79_2","BG79","2","1990s",27,70
"BG86_2","BG86","2","1990s",22,61
"BG87_2","BG87","2","1990s",21,64
"BG90_2","BG90","2","1990s",21,66
"BG92_2","BG92","2","1990s",22,64
"BG93_2","BG93","2","1990s",23,65
"BG95_2","BG95","2","1990s",26,79
"BG98_2","BG98","2","1990s",23,60
"BH49_2","BH49","2","1990s",3,3
"BH57_2","BH57","2","1990s",25,69
"BH76_2","BH76","2","1990s",20,46
"BH77_2","BH77","2","1990s",26,95
"BH78_2","BH78","2","1990s",22,66
"BH79_2","BH79","2","1990s",23,78
"BH86_2","BH86","2","1990s",25,82
"BH87_2","BH87","2","1990s",27,86
"BH89_2","BH89","2","1990s",25,85
"BH98_2","BH98","2","1990s",22,70
"BH99_2","BH99","2","1990s",29,102
"CC01_2","CC01","2","1990s",11,32
"CC04_2","CC04","2","1990s",30,101
"CC05_2","CC05","2","1990s",30,90
"CC06_2","CC06","2","1990s",28,78
"CD03_2","CD03","2","1990s",26,77
"CD04_2","CD04","2","1990s",23,73
"CD05_2","CD05","2","1990s",18,42
"CD09_2","CD09","2","1990s",21,56
"CE01_2","CE01","2","1990s",23,52
"CE02_2","CE02","2","1990s",26,75
"CE06_2","CE06","2","1990s",21,54
"CF02_2","CF02","2","1990s",22,65
"CF06_2","CF06","2","1990s",24,57
"CF07_2","CF07","2","1990s",16,41
"CB80_2","CB80","2","1990s",18,53
"CB81_2","CB81","2","1990s",15,40
"CB91_2","CB91","2","1990s",19,50
"CB93_2","CB93","2","1990s",20,46
"CB94_2","CB94","2","1990s",16,35
"CC11_2","CC11","2","1990s",20,46
"CC14_2","CC14","2","1990s",27,84
"CC15_2","CC15","2","1990s",21,62
"CC16_2","CC16","2","1990s",21,63
"CC23_2","CC23","2","1990s",20,51
"CC24_2","CC24","2","1990s",21,54
"CC25_2","CC25","2","1990s",21,57
"CC30_2","CC30","2","1990s",24,67
"CC34_2","CC34","2","1990s",22,71
"CC35_2","CC35","2","1990s",24,79
"CC36_2","CC36","2","1990s",24,74
"CC41_2","CC41","2","1990s",21,58
"CC44_2","CC44","2","1990s",21,65
"CC46_2","CC46","2","1990s",25,83
"CC47_2","CC47","2","1990s",10,15
"CC52_2","CC52","2","1990s",21,60
"CC53_2","CC53","2","1990s",24,78
"CC54_2","CC54","2","1990s",27,73
"CC55_2","CC55","2","1990s",23,72
"CC61_2","CC61","2","1990s",25,76
"CC63_2","CC63","2","1990s",27,68
"CC64_2","CC64","2","1990s",24,73
"CC65_2","CC65","2","1990s",22,72
"CC66_2","CC66","2","1990s",24,66
"CC67_2","CC67","2","1990s",24,71
"CC68_2","CC68","2","1990s",23,55
"CC74_2","CC74","2","1990s",25,72
"CC75_2","CC75","2","1990s",27,91
"CC77_2","CC77","2","1990s",24,83
"CC80_2","CC80","2","1990s",25,81
"CC85_2","CC85","2","1990s",28,87
"CC86_2","CC86","2","1990s",25,72
"CC91_2","CC91","2","1990s",22,61
"CC92_2","CC92","2","1990s",25,67
"CC93_2","CC93","2","1990s",19,58
"CC94_2","CC94","2","1990s",23,69
"CC95_2","CC95","2","1990s",23,69
"CC97_2","CC97","2","1990s",22,60
"CC98_2","CC98","2","1990s",20,53
"CC99_2","CC99","2","1990s",17,45
"CD10_2","CD10","2","1990s",21,47
"CD11_2","CD11","2","1990s",22,56
"CD13_2","CD13","2","1990s",23,73
"CD14_2","CD14","2","1990s",17,35
"CD16_2","CD16","2","1990s",24,76
"CD17_2","CD17","2","1990s",24,68
"CD18_2","CD18","2","1990s",21,56
"CD21_2","CD21","2","1990s",26,78
"CD23_2","CD23","2","1990s",24,65
"CD24_2","CD24","2","1990s",23,74
"CD25_2","CD25","2","1990s",25,55
"CD29_2","CD29","2","1990s",25,65
"CD31_2","CD31","2","1990s",26,75
"CD32_2","CD32","2","1990s",26,73
"CD33_2","CD33","2","1990s",25,62
"CD34_2","CD34","2","1990s",29,83
"CD35_2","CD35","2","1990s",24,60
"CD40_2","CD40","2","1990s",25,70
"CD41_2","CD41","2","1990s",25,79
"CD42_2","CD42","2","1990s",27,74
"CD43_2","CD43","2","1990s",24,69
"CD44_2","CD44","2","1990s",18,49
"CD45_2","CD45","2","1990s",16,45
"CD47_2","CD47","2","1990s",20,53
"CD50_2","CD50","2","1990s",27,80
"CD51_2","CD51","2","1990s",22,67
"CD52_2","CD52","2","1990s",26,70
"CD54_2","CD54","2","1990s",26,66
"CD55_2","CD55","2","1990s",22,61
"CD56_2","CD56","2","1990s",22,63
"CD57_2","CD57","2","1990s",22,63
"CD60_2","CD60","2","1990s",23,67
"CD61_2","CD61","2","1990s",22,55
"CD62_2","CD62","2","1990s",24,68
"CD63_2","CD63","2","1990s",26,73
"CD64_2","CD64","2","1990s",20,46
"CD65_2","CD65","2","1990s",20,54
"CD66_2","CD66","2","1990s",21,57
"CD67_2","CD67","2","1990s",28,81
"CD68_2","CD68","2","1990s",23,60
"CD69_2","CD69","2","1990s",21,55
"CD70_2","CD70","2","1990s",21,49
"CD71_2","CD71","2","1990s",22,61
"CD72_2","CD72","2","1990s",21,50
"CD74_2","CD74","2","1990s",25,69
"CD75_2","CD75","2","1990s",24,59
"CD76_2","CD76","2","1990s",24,72
"CD80_2","CD80","2","1990s",17,45
"CD81_2","CD81","2","1990s",25,75
"CD82_2","CD82","2","1990s",23,64
"CD83_2","CD83","2","1990s",25,64
"CD84_2","CD84","2","1990s",23,69
"CD87_2","CD87","2","1990s",22,59
"CD88_2","CD88","2","1990s",18,52
"CD90_2","CD90","2","1990s",21,69
"CD91_2","CD91","2","1990s",23,79
"CD92_2","CD92","2","1990s",25,74
"CD95_2","CD95","2","1990s",25,75
"CD96_2","CD96","2","1990s",28,83
"CD98_2","CD98","2","1990s",24,72
"CE11_2","CE11","2","1990s",22,69
"CE13_2","CE13","2","1990s",18,38
"CE15_2","CE15","2","1990s",21,66
"CE16_2","CE16","2","1990s",18,55
"CE17_2","CE17","2","1990s",23,64
"CE19_2","CE19","2","1990s",19,49
"CE20_2","CE20","2","1990s",26,77
"CE21_2","CE21","2","1990s",25,79
"CE22_2","CE22","2","1990s",23,73
"CE23_2","CE23","2","1990s",20,58
"CE24_2","CE24","2","1990s",23,69
"CE27_2","CE27","2","1990s",16,39
"CE30_2","CE30","2","1990s",21,65
"CE31_2","CE31","2","1990s",25,71
"CE34_2","CE34","2","1990s",17,39
"CE35_2","CE35","2","1990s",21,47
"CE38_2","CE38","2","1990s",22,67
"CE42_2","CE42","2","1990s",23,65
"CE49_2","CE49","2","1990s",26,72
"CE51_2","CE51","2","1990s",28,76
"CE52_2","CE52","2","1990s",28,81
"CE54_2","CE54","2","1990s",26,77
"CE55_2","CE55","2","1990s",24,62
"CE57_2","CE57","2","1990s",20,49
"CE60_2","CE60","2","1990s",26,72
"CE61_2","CE61","2","1990s",23,68
"CE62_2","CE62","2","1990s",26,73
"CE63_2","CE63","2","1990s",27,74
"CE64_2","CE64","2","1990s",28,92
"CE65_2","CE65","2","1990s",25,65
"CE67_2","CE67","2","1990s",24,57
"CE69_2","CE69","2","1990s",25,70
"CE72_2","CE72","2","1990s",25,78
"CE74_2","CE74","2","1990s",24,77
"CE75_2","CE75","2","1990s",25,74
"CE77_2","CE77","2","1990s",23,64
"CE78_2","CE78","2","1990s",26,84
"CE80_2","CE80","2","1990s",23,67
"CE81_2","CE81","2","1990s",23,59
"CE82_2","CE82","2","1990s",27,94
"CE83_2","CE83","2","1990s",23,68
"CE84_2","CE84","2","1990s",25,76
"CE85_2","CE85","2","1990s",26,70
"CE86_2","CE86","2","1990s",27,60
"CE88_2","CE88","2","1990s",29,91
"CE89_2","CE89","2","1990s",25,77
"CE90_2","CE90","2","1990s",20,59
"CE91_2","CE91","2","1990s",22,65
"CE92_2","CE92","2","1990s",27,69
"CE93_2","CE93","2","1990s",26,79
"CE94_2","CE94","2","1990s",23,67
"CE95_2","CE95","2","1990s",22,57
"CE96_2","CE96","2","1990s",20,56
"CE99_2","CE99","2","1990s",25,82
"CF10_2","CF10","2","1990s",25,75
"CF13_2","CF13","2","1990s",25,78
"CF14_2","CF14","2","1990s",22,61
"CF15_2","CF15","2","1990s",20,64
"CF19_2","CF19","2","1990s",20,61
"CF21_2","CF21","2","1990s",22,68
"CF23_2","CF23","2","1990s",22,63
"CF25_2","CF25","2","1990s",21,56
"CF29_2","CF29","2","1990s",27,82
"CF31_2","CF31","2","1990s",22,72
"CF32_2","CF32","2","1990s",26,88
"CF33_2","CF33","2","1990s",28,81
"CF34_2","CF34","2","1990s",26,75
"CF36_2","CF36","2","1990s",20,67
"CF38_2","CF38","2","1990s",18,62
"CF40_2","CF40","2","1990s",25,75
"CF41_2","CF41","2","1990s",21,69
"CF42_2","CF42","2","1990s",21,56
"CF43_2","CF43","2","1990s",22,64
"CF44_2","CF44","2","1990s",25,75
"CF49_2","CF49","2","1990s",25,71
"CF50_2","CF50","2","1990s",27,90
"CF51_2","CF51","2","1990s",26,84
"CF52_2","CF52","2","1990s",22,69
"CF53_2","CF53","2","1990s",20,64
"CF54_2","CF54","2","1990s",27,86
"CF55_2","CF55","2","1990s",27,80
"CF56_2","CF56","2","1990s",22,65
"CF57_2","CF57","2","1990s",18,55
"CF58_2","CF58","2","1990s",19,52
"CF59_2","CF59","2","1990s",20,60
"CF60_2","CF60","2","1990s",25,78
"CF61_2","CF61","2","1990s",25,80
"CF62_2","CF62","2","1990s",23,73
"CF63_2","CF63","2","1990s",24,72
"CF64_2","CF64","2","1990s",28,87
"CF65_2","CF65","2","1990s",25,69
"CF66_2","CF66","2","1990s",23,64
"CF67_2","CF67","2","1990s",22,47
"CF68_2","CF68","2","1990s",22,62
"CF69_2","CF69","2","1990s",24,73
"CF70_2","CF70","2","1990s",26,79
"CF71_2","CF71","2","1990s",18,53
"CF72_2","CF72","2","1990s",21,62
"CF73_2","CF73","2","1990s",22,69
"CF74_2","CF74","2","1990s",18,59
"CF75_2","CF75","2","1990s",22,55
"CF77_2","CF77","2","1990s",20,51
"CF78_2","CF78","2","1990s",25,74
"CF79_2","CF79","2","1990s",21,56
"CF81_2","CF81","2","1990s",23,63
"CF82_2","CF82","2","1990s",27,93
"CF83_2","CF83","2","1990s",22,72
"CF84_2","CF84","2","1990s",21,51
"CF86_2","CF86","2","1990s",21,57
"CF87_2","CF87","2","1990s",23,66
"CF89_2","CF89","2","1990s",24,66
"CF90_2","CF90","2","1990s",20,53
"CF91_2","CF91","2","1990s",23,60
"CF92_2","CF92","2","1990s",19,58
"CF93_2","CF93","2","1990s",23,75
"CF95_2","CF95","2","1990s",22,64
"CF98_2","CF98","2","1990s",22,68
"CG05_2","CG05","2","1990s",23,78
"CG07_2","CG07","2","1990s",24,74
"CG09_2","CG09","2","1990s",23,74
"CG13_2","CG13","2","1990s",18,55
"CG17_2","CG17","2","1990s",21,67
"CG29_2","CG29","2","1990s",19,47
"CG39_2","CG39","2","1990s",24,82
"CG40_2","CG40","2","1990s",24,87
"CG42_2","CG42","2","1990s",24,65
"CG43_2","CG43","2","1990s",24,70
"CG44_2","CG44","2","1990s",27,94
"CG47_2","CG47","2","1990s",24,75
"CG48_2","CG48","2","1990s",24,76
"CG49_2","CG49","2","1990s",21,67
"CG50_2","CG50","2","1990s",25,74
"CG51_2","CG51","2","1990s",26,90
"CG52_2","CG52","2","1990s",25,82
"CG53_2","CG53","2","1990s",24,76
"CG54_2","CG54","2","1990s",30,95
"CG56_2","CG56","2","1990s",21,64
"CG57_2","CG57","2","1990s",24,72
"CG58_2","CG58","2","1990s",26,82
"CG59_2","CG59","2","1990s",24,80
"CG61_2","CG61","2","1990s",24,70
"CG63_2","CG63","2","1990s",20,62
"CG65_2","CG65","2","1990s",22,54
"CG66_2","CG66","2","1990s",23,68
"CG68_2","CG68","2","1990s",24,75
"CG69_2","CG69","2","1990s",23,71
"CG73_2","CG73","2","1990s",24,66
"CG75_2","CG75","2","1990s",22,57
"CG76_2","CG76","2","1990s",18,50
"CG78_2","CG78","2","1990s",24,72
"CG79_2","CG79","2","1990s",21,73
"CG80_2","CG80","2","1990s",22,56
"CG83_2","CG83","2","1990s",23,63
"CG84_2","CG84","2","1990s",28,75
"CG85_2","CG85","2","1990s",25,68
"CG86_2","CG86","2","1990s",18,47
"CG88_2","CG88","2","1990s",23,60
"CG89_2","CG89","2","1990s",25,74
"CG90_2","CG90","2","1990s",24,68
"CG94_2","CG94","2","1990s",25,64
"CG95_2","CG95","2","1990s",22,52
"CG98_2","CG98","2","1990s",23,55
"CH06_2","CH06","2","1990s",20,60
"CH07_2","CH07","2","1990s",21,58
"CH08_2","CH08","2","1990s",21,63
"CH25_2","CH25","2","1990s",14,18
"CH34_2","CH34","2","1990s",23,77
"CH35_2","CH35","2","1990s",23,83
"CH45_2","CH45","2","1990s",26,81
"CH46_2","CH46","2","1990s",23,68
"CH48_2","CH48","2","1990s",25,76
"CH49_2","CH49","2","1990s",23,79
"CH55_2","CH55","2","1990s",20,61
"CH56_2","CH56","2","1990s",24,84
"CH57_2","CH57","2","1990s",27,94
"CH58_2","CH58","2","1990s",27,85
"CH59_2","CH59","2","1990s",24,81
"CH66_2","CH66","2","1990s",22,50
"CH69_2","CH69","2","1990s",23,65
"CH76_2","CH76","2","1990s",15,33
"CH77_2","CH77","2","1990s",24,77
"CH79_2","CH79","2","1990s",25,82
"CH85_2","CH85","2","1990s",17,25
"CH86_2","CH86","2","1990s",20,51
"CH87_2","CH87","2","1990s",26,58
"CH88_2","CH88","2","1990s",21,60
"CH89_2","CH89","2","1990s",27,78
"CH95_2","CH95","2","1990s",19,37
"CH96_2","CH96","2","1990s",23,47
"CH97_2","CH97","2","1990s",23,79
"CH99_2","CH99","2","1990s",26,67
"DB04_2","DB04","2","1990s",24,68
"DB05_2","DB05","2","1990s",26,71
"DC07_2","DC07","2","1990s",24,79
"DC09_2","DC09","2","1990s",20,58
"DA80_2","DA80","2","1990s",19,51
"DA90_2","DA90","2","1990s",25,65
"DB10_2","DB10","2","1990s",21,60
"DB13_2","DB13","2","1990s",23,75
"DB14_2","DB14","2","1990s",20,53
"DB15_2","DB15","2","1990s",22,63
"DB16_2","DB16","2","1990s",21,48
"DB20_2","DB20","2","1990s",23,65
"DB22_2","DB22","2","1990s",26,67
"DB24_2","DB24","2","1990s",22,63
"DB34_2","DB34","2","1990s",22,74
"DB35_2","DB35","2","1990s",21,62
"DB36_2","DB36","2","1990s",22,67
"DB40_2","DB40","2","1990s",25,72
"DB42_2","DB42","2","1990s",24,66
"DB45_2","DB45","2","1990s",21,54
"DB46_2","DB46","2","1990s",22,70
"DB47_2","DB47","2","1990s",19,42
"DB50_2","DB50","2","1990s",24,72
"DB52_2","DB52","2","1990s",22,59
"DB54_2","DB54","2","1990s",21,70
"DB55_2","DB55","2","1990s",26,79
"DB61_2","DB61","2","1990s",20,56
"DB62_2","DB62","2","1990s",22,47
"DB63_2","DB63","2","1990s",24,72
"DB64_2","DB64","2","1990s",23,79
"DB65_2","DB65","2","1990s",24,62
"DB66_2","DB66","2","1990s",20,54
"DB67_2","DB67","2","1990s",25,61
"DB68_2","DB68","2","1990s",26,68
"DB72_2","DB72","2","1990s",23,66
"DB73_2","DB73","2","1990s",23,77
"DB74_2","DB74","2","1990s",18,57
"DB76_2","DB76","2","1990s",15,37
"DB77_2","DB77","2","1990s",20,55
"DB78_2","DB78","2","1990s",25,69
"DB79_2","DB79","2","1990s",24,64
"DB82_2","DB82","2","1990s",20,46
"DB83_2","DB83","2","1990s",27,79
"DB84_2","DB84","2","1990s",26,59
"DB89_2","DB89","2","1990s",21,65
"DB94_2","DB94","2","1990s",18,41
"DB99_2","DB99","2","1990s",12,28
"DC00_2","DC00","2","1990s",28,93
"DC01_2","DC01","2","1990s",25,73
"DC04_2","DC04","2","1990s",24,72
"DC05_2","DC05","2","1990s",27,75
"DC06_2","DC06","2","1990s",25,83
"DC10_2","DC10","2","1990s",23,60
"DC11_2","DC11","2","1990s",24,68
"DC12_2","DC12","2","1990s",19,48
"DC13_2","DC13","2","1990s",26,76
"DC14_2","DC14","2","1990s",24,77
"DC15_2","DC15","2","1990s",26,76
"DC16_2","DC16","2","1990s",20,62
"DC17_2","DC17","2","1990s",22,65
"DC18_2","DC18","2","1990s",23,63
"DC19_2","DC19","2","1990s",21,60
"DC23_2","DC23","2","1990s",22,68
"DC24_2","DC24","2","1990s",20,50
"DC25_2","DC25","2","1990s",24,63
"DC26_2","DC26","2","1990s",23,71
"DC27_2","DC27","2","1990s",22,63
"DC29_2","DC29","2","1990s",22,68
"DC32_2","DC32","2","1990s",20,51
"DC33_2","DC33","2","1990s",21,57
"DC34_2","DC34","2","1990s",21,52
"DC35_2","DC35","2","1990s",23,68
"DC36_2","DC36","2","1990s",24,71
"DC37_2","DC37","2","1990s",26,81
"DC38_2","DC38","2","1990s",22,65
"DC39_2","DC39","2","1990s",21,69
"DC40_2","DC40","2","1990s",28,96
"DC41_2","DC41","2","1990s",23,71
"DC42_2","DC42","2","1990s",23,70
"DC46_2","DC46","2","1990s",22,74
"DC47_2","DC47","2","1990s",21,65
"DC48_2","DC48","2","1990s",19,54
"DC49_2","DC49","2","1990s",24,68
"DC50_2","DC50","2","1990s",21,69
"DC52_2","DC52","2","1990s",23,74
"DC53_2","DC53","2","1990s",21,68
"DC54_2","DC54","2","1990s",22,70
"DC56_2","DC56","2","1990s",23,75
"DC57_2","DC57","2","1990s",26,88
"DC58_2","DC58","2","1990s",24,77
"DC63_2","DC63","2","1990s",22,63
"DC64_2","DC64","2","1990s",25,80
"DC65_2","DC65","2","1990s",24,75
"DC66_2","DC66","2","1990s",26,87
"DC67_2","DC67","2","1990s",18,51
"DC76_2","DC76","2","1990s",22,65
"DC77_2","DC77","2","1990s",22,74
"DC78_2","DC78","2","1990s",26,82
"DC88_2","DC88","2","1990s",25,80
"DC89_2","DC89","2","1990s",22,68
"DD00_2","DD00","2","1990s",22,57
"DD01_2","DD01","2","1990s",25,89
"DD02_2","DD02","2","1990s",27,65
"DD03_2","DD03","2","1990s",28,81
"DD04_2","DD04","2","1990s",22,54
"DD05_2","DD05","2","1990s",24,73
"DD06_2","DD06","2","1990s",25,69
"DD07_2","DD07","2","1990s",24,62
"DD08_2","DD08","2","1990s",25,83
"DD09_2","DD09","2","1990s",21,70
"DD10_2","DD10","2","1990s",23,65
"DD11_2","DD11","2","1990s",22,73
"DD12_2","DD12","2","1990s",25,69
"DD13_2","DD13","2","1990s",22,54
"DD14_2","DD14","2","1990s",24,67
"DD15_2","DD15","2","1990s",23,62
"DD16_2","DD16","2","1990s",22,59
"DD17_2","DD17","2","1990s",24,62
"DD18_2","DD18","2","1990s",28,97
"DD19_2","DD19","2","1990s",25,74
"DD21_2","DD21","2","1990s",26,81
"DD22_2","DD22","2","1990s",21,51
"DD24_2","DD24","2","1990s",24,73
"DD25_2","DD25","2","1990s",22,67
"DD26_2","DD26","2","1990s",23,69
"DD28_2","DD28","2","1990s",25,72
"DD29_2","DD29","2","1990s",25,65
"DD30_2","DD30","2","1990s",23,68
"DD31_2","DD31","2","1990s",28,81
"DD32_2","DD32","2","1990s",23,60
"DD35_2","DD35","2","1990s",25,61
"DD36_2","DD36","2","1990s",23,68
"DD37_2","DD37","2","1990s",23,76
"DD38_2","DD38","2","1990s",25,76
"DD39_2","DD39","2","1990s",21,64
"DD40_2","DD40","2","1990s",24,75
"DD41_2","DD41","2","1990s",27,80
"DD42_2","DD42","2","1990s",24,77
"DD43_2","DD43","2","1990s",23,75
"DD45_2","DD45","2","1990s",24,72
"DD46_2","DD46","2","1990s",24,71
"DD47_2","DD47","2","1990s",27,89
"DD48_2","DD48","2","1990s",23,75
"DD49_2","DD49","2","1990s",24,77
"DD50_2","DD50","2","1990s",23,63
"DD51_2","DD51","2","1990s",26,78
"DD52_2","DD52","2","1990s",28,76
"DD53_2","DD53","2","1990s",25,72
"DD54_2","DD54","2","1990s",23,66
"DD55_2","DD55","2","1990s",21,59
"DD56_2","DD56","2","1990s",22,59
"DD57_2","DD57","2","1990s",24,66
"DD58_2","DD58","2","1990s",22,58
"DD59_2","DD59","2","1990s",22,74
"DD60_2","DD60","2","1990s",20,53
"DD61_2","DD61","2","1990s",21,61
"DD63_2","DD63","2","1990s",22,66
"DD64_2","DD64","2","1990s",24,64
"DD65_2","DD65","2","1990s",23,73
"DD67_2","DD67","2","1990s",20,52
"DD70_2","DD70","2","1990s",28,78
"DD71_2","DD71","2","1990s",19,52
"DD72_2","DD72","2","1990s",19,60
"DD73_2","DD73","2","1990s",23,54
"DD80_2","DD80","2","1990s",25,76
"DD81_2","DD81","2","1990s",21,53
"DD82_2","DD82","2","1990s",20,57
"DD90_2","DD90","2","1990s",24,79
"DD91_2","DD91","2","1990s",24,72
"DD93_2","DD93","2","1990s",12,23
"DE01_2","DE01","2","1990s",24,64
"DE02_2","DE02","2","1990s",27,81
"DE03_2","DE03","2","1990s",24,76
"DE06_2","DE06","2","1990s",23,72
"DE07_2","DE07","2","1990s",23,75
"DE08_2","DE08","2","1990s",21,64
"DE09_2","DE09","2","1990s",26,73
"DE11_2","DE11","2","1990s",28,90
"DE12_2","DE12","2","1990s",26,88
"DE13_2","DE13","2","1990s",22,73
"DE14_2","DE14","2","1990s",25,78
"DE15_2","DE15","2","1990s",22,69
"DE16_2","DE16","2","1990s",24,86
"DE17_2","DE17","2","1990s",23,75
"DE18_2","DE18","2","1990s",23,67
"DE19_2","DE19","2","1990s",25,82
"DE21_2","DE21","2","1990s",22,61
"DE22_2","DE22","2","1990s",25,72
"DE23_2","DE23","2","1990s",21,68
"DE24_2","DE24","2","1990s",24,76
"DE25_2","DE25","2","1990s",23,68
"DE26_2","DE26","2","1990s",22,69
"DE27_2","DE27","2","1990s",22,72
"DE28_2","DE28","2","1990s",23,68
"DE29_2","DE29","2","1990s",21,51
"DE30_2","DE30","2","1990s",21,63
"DE31_2","DE31","2","1990s",20,57
"DE32_2","DE32","2","1990s",23,56
"DE34_2","DE34","2","1990s",29,90
"DE35_2","DE35","2","1990s",23,66
"DE36_2","DE36","2","1990s",24,79
"DE37_2","DE37","2","1990s",22,76
"DE38_2","DE38","2","1990s",22,71
"DE39_2","DE39","2","1990s",19,55
"DE40_2","DE40","2","1990s",20,60
"DE41_2","DE41","2","1990s",21,55
"DE42_2","DE42","2","1990s",21,57
"DE43_2","DE43","2","1990s",23,55
"DE44_2","DE44","2","1990s",26,65
"DE46_2","DE46","2","1990s",22,52
"DE48_2","DE48","2","1990s",24,62
"DE49_2","DE49","2","1990s",25,76
"DE50_2","DE50","2","1990s",19,53
"DE51_2","DE51","2","1990s",27,82
"DE52_2","DE52","2","1990s",23,69
"DE53_2","DE53","2","1990s",23,75
"DE54_2","DE54","2","1990s",19,56
"DE55_2","DE55","2","1990s",17,49
"DE57_2","DE57","2","1990s",25,65
"DE58_2","DE58","2","1990s",21,59
"DE65_2","DE65","2","1990s",12,20
"DE68_2","DE68","2","1990s",25,88
"DE70_2","DE70","2","1990s",24,55
"DE75_2","DE75","2","1990s",20,54
"DE76_2","DE76","2","1990s",21,35
"DE77_2","DE77","2","1990s",23,61
"DE78_2","DE78","2","1990s",20,58
"DE79_2","DE79","2","1990s",24,79
"DE80_2","DE80","2","1990s",16,34
"DE83_2","DE83","2","1990s",20,58
"DE84_2","DE84","2","1990s",27,74
"DE85_2","DE85","2","1990s",27,65
"DE86_2","DE86","2","1990s",25,68
"DE87_2","DE87","2","1990s",28,83
"DE88_2","DE88","2","1990s",22,77
"DE89_2","DE89","2","1990s",24,81
"DE90_2","DE90","2","1990s",22,63
"DE91_2","DE91","2","1990s",22,58
"DE93_2","DE93","2","1990s",14,28
"DE94_2","DE94","2","1990s",23,62
"DE95_2","DE95","2","1990s",23,58
"DE96_2","DE96","2","1990s",25,90
"DE97_2","DE97","2","1990s",28,85
"DE98_2","DE98","2","1990s",23,75
"DE99_2","DE99","2","1990s",20,57
"DF02_2","DF02","2","1990s",20,65
"DF04_2","DF04","2","1990s",20,63
"DF05_2","DF05","2","1990s",17,50
"DF06_2","DF06","2","1990s",19,53
"DF08_2","DF08","2","1990s",25,88
"DF09_2","DF09","2","1990s",24,66
"DF10_2","DF10","2","1990s",16,39
"DF14_2","DF14","2","1990s",20,46
"DF15_2","DF15","2","1990s",20,54
"DF16_2","DF16","2","1990s",22,69
"DF17_2","DF17","2","1990s",20,62
"DF18_2","DF18","2","1990s",26,77
"DF19_2","DF19","2","1990s",18,49
"DF20_2","DF20","2","1990s",23,71
"DF21_2","DF21","2","1990s",18,40
"DF25_2","DF25","2","1990s",24,64
"DF27_2","DF27","2","1990s",22,56
"DF28_2","DF28","2","1990s",28,78
"DF29_2","DF29","2","1990s",22,59
"DF30_2","DF30","2","1990s",22,63
"DF31_2","DF31","2","1990s",28,79
"DF32_2","DF32","2","1990s",6,11
"DF36_2","DF36","2","1990s",9,21
"DF37_2","DF37","2","1990s",26,76
"DF38_2","DF38","2","1990s",28,93
"DF41_2","DF41","2","1990s",28,81
"DF42_2","DF42","2","1990s",27,74
"DF43_2","DF43","2","1990s",26,69
"DF47_2","DF47","2","1990s",23,65
"DF48_2","DF48","2","1990s",30,86
"DF49_2","DF49","2","1990s",21,53
"DF51_2","DF51","2","1990s",21,58
"DF55_2","DF55","2","1990s",21,42
"DF58_2","DF58","2","1990s",22,44
"DF59_2","DF59","2","1990s",25,75
"DF61_2","DF61","2","1990s",22,58
"DF65_2","DF65","2","1990s",18,47
"DF66_2","DF66","2","1990s",21,57
"DF69_2","DF69","2","1990s",6,10
"DF70_2","DF70","2","1990s",21,56
"DF71_2","DF71","2","1990s",22,66
"DF72_2","DF72","2","1990s",20,60
"DF77_2","DF77","2","1990s",7,8
"DF80_2","DF80","2","1990s",27,71
