"comparison_id","comparison_label","start_period","end_period","site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","delta_richness","pct_lnd","richness_2010s","delta_richness_2010s_minus_1990s"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE13",41,61,20,20,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE14",46,63,17,17,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE15",45,57,12,12,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE16",44,63,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE17",71,71,0,0,99.2996588061194,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE20",58,63,5,5,95.4598068353035,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE22",52,57,5,5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE27",43,54,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE30",58,57,-1,-1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE32",49,56,7,7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE34",61,69,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE36",38,62,24,24,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE45",47,52,5,5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE55",54,47,-7,-7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE59",43,54,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE62",54,55,1,1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE63",45,63,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE78",47,58,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE80",59,79,20,20,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE82",53,72,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE84",51,57,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE86",50,56,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE89",72,48,-24,-24,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE92",55,70,15,15,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE94",56,68,12,12,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE95",47,55,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE96",38,56,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE99",62,80,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF02",54,83,29,29,90.0620386642933,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF03",63,84,21,21,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF04",48,90,42,42,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF05",59,91,32,32,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF06",54,64,10,10,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF07",51,59,8,8,95.872277152451,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF08",44,58,14,14,64.9344661919674,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF11",58,77,19,19,70.0185889959049,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF16",43,57,14,14,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF18",33,48,15,15,38.3930891877643,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF21",50,65,15,15,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF31",54,61,7,7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF32",71,79,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF33",63,73,10,10,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF38",47,72,25,25,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF49",66,69,3,3,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF50",55,58,3,3,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF58",43,44,1,1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF59",61,56,-5,-5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF60",59,68,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF61",45,60,15,15,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF72",53,69,16,16,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF80",52,56,4,4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF81",55,60,5,5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF83",60,69,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF97",47,64,17,17,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG27",64,61,-3,-3,49.8379213582154,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG28",59,69,10,10,72.4785331288395,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG29",87,76,-11,-11,45.2829931338949,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG30",37,28,-9,-9,33.5351059999925,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG31",85,99,14,14,78.6841263949782,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG32",91,85,-6,-6,68.5141514097215,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG33",17,23,6,6,36.8837338130741,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG41",61,68,7,7,34.9995711224918,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG42",72,65,-7,-7,45.4397723268083,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG43",39,38,-1,-1,36.7732424325284,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG49",66,64,-2,-2,94.2709071021557,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG55",73,78,5,5,36.9332843715852,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG64",60,66,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG65",60,73,13,13,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG66",65,73,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG70",50,57,7,7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG72",59,54,-5,-5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG73",65,71,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG75",54,66,12,12,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG76",80,68,-12,-12,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG79",47,70,23,23,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG86",52,61,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG90",61,65,4,4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG92",57,63,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG93",65,63,-2,-2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH57",66,63,-3,-3,53.1740038115592,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH76",74,44,-30,-30,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH77",86,95,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH78",63,66,3,3,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH79",62,77,15,15,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH86",47,82,35,35,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH87",82,86,4,4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH89",58,84,26,26,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH99",89,100,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC04",67,101,34,34,97.6915925236043,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC05",47,88,41,41,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC06",61,77,16,16,95.0939311489514,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC14",38,84,46,46,74.2985797171558,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC16",50,63,13,13,66.6923075088162,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC23",57,51,-6,-6,37.5625086392495,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC24",55,54,-1,-1,99.9687592292757,,
