"comparison_id","change_class","n_species","comparison_label","total_species","proportion_species"
"1990s_minus_1970s","Decrease",9,"1990s minus 1970s",156,0.0576923076923077
"1990s_minus_1970s","Stable",106,"1990s minus 1970s",156,0.67948717948718
"1990s_minus_1970s","Increase",41,"1990s minus 1970s",156,0.262820512820513
"2010s_minus_1990s","Decrease",16,"2010s minus 1990s",156,0.102564102564103
"2010s_minus_1990s","Stable",128,"2010s minus 1990s",156,0.82051282051282
"2010s_minus_1990s","Increase",12,"2010s minus 1990s",156,0.0769230769230769
