"site","survey","atlas","period","species_richness","modelled_species_pool_size"
"CC96","CC96_1","1","1970s",60,157
"CC97","CC97_1","1","1970s",79,157
"CC98","CC98_1","1","1970s",55,157
"CC99","CC99_1","1","1970s",39,157
"CD10","CD10_1","1","1970s",41,157
"CD11","CD11_1","1","1970s",61,157
"CD13","CD13_1","1","1970s",48,157
"CD14","CD14_1","1","1970s",53,157
"CD15","CD15_1","1","1970s",47,157
"CD16","CD16_1","1","1970s",50,157
"CD17","CD17_1","1","1970s",46,157
"CD18","CD18_1","1","1970s",43,157
"CD21","CD21_1","1","1970s",54,157
"CD22","CD22_1","1","1970s",57,157
"CD23","CD23_1","1","1970s",45,157
"CD24","CD24_1","1","1970s",45,157
"CD26","CD26_1","1","1970s",46,157
"CD29","CD29_1","1","1970s",41,157
"CD31","CD31_1","1","1970s",46,157
"CD32","CD32_1","1","1970s",45,157
"CD33","CD33_1","1","1970s",74,157
"CD34","CD34_1","1","1970s",45,157
"CD36","CD36_1","1","1970s",42,157
"CD40","CD40_1","1","1970s",68,157
"CD41","CD41_1","1","1970s",40,157
"CD42","CD42_1","1","1970s",59,157
"CD43","CD43_1","1","1970s",59,157
"CD44","CD44_1","1","1970s",39,157
"CD45","CD45_1","1","1970s",43,157
"CD47","CD47_1","1","1970s",60,157
"CD49","CD49_1","1","1970s",48,157
"CD50","CD50_1","1","1970s",52,157
"CD51","CD51_1","1","1970s",54,157
"CD52","CD52_1","1","1970s",41,157
"CD53","CD53_1","1","1970s",48,157
"CD54","CD54_1","1","1970s",60,157
"CD57","CD57_1","1","1970s",47,157
"CD58","CD58_1","1","1970s",40,157
"CD59","CD59_1","1","1970s",43,157
"CD60","CD60_1","1","1970s",65,157
"CD61","CD61_1","1","1970s",37,157
"CD62","CD62_1","1","1970s",69,157
"CD63","CD63_1","1","1970s",55,157
"CD64","CD64_1","1","1970s",50,157
"CD66","CD66_1","1","1970s",51,157
"CD67","CD67_1","1","1970s",57,157
"CD68","CD68_1","1","1970s",35,157
"CD69","CD69_1","1","1970s",52,157
"CD70","CD70_1","1","1970s",52,157
"CD71","CD71_1","1","1970s",61,157
"CD72","CD72_1","1","1970s",51,157
"CD73","CD73_1","1","1970s",72,157
"CD74","CD74_1","1","1970s",70,157
"CD75","CD75_1","1","1970s",56,157
"CD76","CD76_1","1","1970s",38,157
"CD77","CD77_1","1","1970s",45,157
"CD78","CD78_1","1","1970s",38,157
"CD80","CD80_1","1","1970s",52,157
"CD81","CD81_1","1","1970s",49,157
"CD82","CD82_1","1","1970s",56,157
"CD83","CD83_1","1","1970s",68,157
"CD84","CD84_1","1","1970s",74,157
"CD85","CD85_1","1","1970s",60,157
"CD86","CD86_1","1","1970s",44,157
"CD89","CD89_1","1","1970s",62,157
"CD90","CD90_1","1","1970s",62,157
"CD91","CD91_1","1","1970s",53,157
"CD92","CD92_1","1","1970s",63,157
"CD94","CD94_1","1","1970s",27,157
"CD95","CD95_1","1","1970s",70,157
"CD98","CD98_1","1","1970s",56,157
"CD99","CD99_1","1","1970s",49,157
"CE10","CE10_1","1","1970s",60,157
"CE11","CE11_1","1","1970s",41,157
"CE12","CE12_1","1","1970s",26,157
"CE13","CE13_1","1","1970s",16,157
"CE14","CE14_1","1","1970s",34,157
"CE15","CE15_1","1","1970s",41,157
"CE16","CE16_1","1","1970s",35,157
"CE17","CE17_1","1","1970s",67,157
"CE18","CE18_1","1","1970s",63,157
"CE19","CE19_1","1","1970s",55,157
"CE20","CE20_1","1","1970s",51,157
"CE21","CE21_1","1","1970s",37,157
"CE22","CE22_1","1","1970s",59,157
"CE23","CE23_1","1","1970s",26,157
"CE24","CE24_1","1","1970s",31,157
"CE25","CE25_1","1","1970s",44,157
"CE26","CE26_1","1","1970s",39,157
"CE27","CE27_1","1","1970s",47,157
"CE29","CE29_1","1","1970s",44,157
"CE30","CE30_1","1","1970s",74,157
"CE31","CE31_1","1","1970s",71,157
"CE32","CE32_1","1","1970s",45,157
"CE33","CE33_1","1","1970s",41,157
"CE34","CE34_1","1","1970s",39,157
"CE35","CE35_1","1","1970s",55,157
"CE37","CE37_1","1","1970s",40,157
"CE38","CE38_1","1","1970s",61,157
"CE39","CE39_1","1","1970s",36,157
"CE40","CE40_1","1","1970s",38,157
"CE41","CE41_1","1","1970s",41,157
"CE42","CE42_1","1","1970s",47,157
"CE45","CE45_1","1","1970s",51,157
"CE46","CE46_1","1","1970s",38,157
"CE47","CE47_1","1","1970s",55,157
"CE48","CE48_1","1","1970s",41,157
"CE49","CE49_1","1","1970s",73,157
"CE50","CE50_1","1","1970s",46,157
"CE51","CE51_1","1","1970s",85,157
"CE52","CE52_1","1","1970s",66,157
"CE54","CE54_1","1","1970s",44,157
"CE55","CE55_1","1","1970s",43,157
"CE56","CE56_1","1","1970s",35,157
"CE57","CE57_1","1","1970s",47,157
"CE58","CE58_1","1","1970s",44,157
"CE59","CE59_1","1","1970s",41,157
"CE60","CE60_1","1","1970s",81,157
"CE61","CE61_1","1","1970s",60,157
"CE62","CE62_1","1","1970s",64,157
"CE63","CE63_1","1","1970s",51,157
"CE64","CE64_1","1","1970s",72,157
"CE65","CE65_1","1","1970s",44,157
"CE66","CE66_1","1","1970s",50,157
"CE67","CE67_1","1","1970s",57,157
"CE68","CE68_1","1","1970s",57,157
"CE69","CE69_1","1","1970s",48,157
"CE70","CE70_1","1","1970s",58,157
"CE71","CE71_1","1","1970s",57,157
"CE72","CE72_1","1","1970s",83,157
"CE74","CE74_1","1","1970s",54,157
"CE75","CE75_1","1","1970s",55,157
"CE76","CE76_1","1","1970s",48,157
"CE77","CE77_1","1","1970s",56,157
"CE78","CE78_1","1","1970s",65,157
"CE79","CE79_1","1","1970s",60,157
"CE80","CE80_1","1","1970s",68,157
"CE81","CE81_1","1","1970s",75,157
"CE82","CE82_1","1","1970s",74,157
"CE83","CE83_1","1","1970s",55,157
"CE84","CE84_1","1","1970s",53,157
"CE85","CE85_1","1","1970s",51,157
"CE86","CE86_1","1","1970s",56,157
"CE87","CE87_1","1","1970s",55,157
"CE88","CE88_1","1","1970s",70,157
"CE89","CE89_1","1","1970s",45,157
"CE90","CE90_1","1","1970s",69,157
"CE91","CE91_1","1","1970s",76,157
"CE92","CE92_1","1","1970s",71,157
"CE93","CE93_1","1","1970s",44,157
"CE94","CE94_1","1","1970s",41,157
"CE96","CE96_1","1","1970s",50,157
"CE97","CE97_1","1","1970s",54,157
"CE98","CE98_1","1","1970s",49,157
"CE99","CE99_1","1","1970s",51,157
"CF10","CF10_1","1","1970s",70,157
"CF13","CF13_1","1","1970s",74,157
"CF14","CF14_1","1","1970s",56,157
"CF15","CF15_1","1","1970s",57,157
"CF16","CF16_1","1","1970s",47,157
"CF17","CF17_1","1","1970s",41,157
"CF18","CF18_1","1","1970s",48,157
"CF19","CF19_1","1","1970s",62,157
"CF21","CF21_1","1","1970s",41,157
"CF23","CF23_1","1","1970s",56,157
"CF25","CF25_1","1","1970s",39,157
"CF26","CF26_1","1","1970s",30,157
"CF27","CF27_1","1","1970s",30,157
"CF28","CF28_1","1","1970s",42,157
"CF29","CF29_1","1","1970s",62,157
"CF30","CF30_1","1","1970s",58,157
"CF31","CF31_1","1","1970s",48,157
"CF32","CF32_1","1","1970s",62,157
"CF33","CF33_1","1","1970s",73,157
"CF34","CF34_1","1","1970s",74,157
"CF35","CF35_1","1","1970s",68,157
"CF37","CF37_1","1","1970s",37,157
"CF38","CF38_1","1","1970s",56,157
"CF39","CF39_1","1","1970s",53,157
"CF40","CF40_1","1","1970s",66,157
"CF41","CF41_1","1","1970s",60,157
"CF42","CF42_1","1","1970s",38,157
"CF43","CF43_1","1","1970s",54,157
"CF44","CF44_1","1","1970s",63,157
"CF45","CF45_1","1","1970s",62,157
"CF47","CF47_1","1","1970s",36,157
"CF48","CF48_1","1","1970s",32,157
"CF49","CF49_1","1","1970s",71,157
"CF50","CF50_1","1","1970s",72,157
"CF51","CF51_1","1","1970s",75,157
"CF52","CF52_1","1","1970s",56,157
"CF54","CF54_1","1","1970s",66,157
"CF55","CF55_1","1","1970s",62,157
"CF56","CF56_1","1","1970s",35,157
"CF57","CF57_1","1","1970s",42,157
"CF58","CF58_1","1","1970s",52,157
