"survey","site","atlas","period","species_richness","retained_species_pool_size"
"CG69_1","CG69","1","1970s",81,156
"CG73_1","CG73","1","1970s",57,156
"CG75_1","CG75","1","1970s",54,156
"CG77_1","CG77","1","1970s",80,156
"CG78_1","CG78","1","1970s",54,156
"CG79_1","CG79","1","1970s",72,156
"CG80_1","CG80","1","1970s",50,156
"CG83_1","CG83","1","1970s",60,156
"CG84_1","CG84","1","1970s",44,156
"CG85_1","CG85","1","1970s",35,156
"CG89_1","CG89","1","1970s",75,156
"CG90_1","CG90","1","1970s",38,156
"CG99_1","CG99","1","1970s",56,156
"CH06_1","CH06","1","1970s",53,156
"CH16_1","CH16","1","1970s",72,156
"CH18_1","CH18","1","1970s",54,156
"CH26_1","CH26","1","1970s",72,156
"CH27_1","CH27","1","1970s",79,156
"CH28_1","CH28","1","1970s",55,156
"CH34_1","CH34","1","1970s",60,156
"CH35_1","CH35","1","1970s",60,156
"CH36_1","CH36","1","1970s",68,156
"CH37_1","CH37","1","1970s",76,156
"CH45_1","CH45","1","1970s",57,156
"CH46_1","CH46","1","1970s",76,156
"CH47_1","CH47","1","1970s",45,156
"CH48_1","CH48","1","1970s",71,156
"CH55_1","CH55","1","1970s",87,156
"CH56_1","CH56","1","1970s",87,156
"CH57_1","CH57","1","1970s",68,156
"CH58_1","CH58","1","1970s",72,156
"CH59_1","CH59","1","1970s",63,156
"CH65_1","CH65","1","1970s",44,156
"CH66_1","CH66","1","1970s",71,156
"CH67_1","CH67","1","1970s",70,156
"CH68_1","CH68","1","1970s",55,156
"CH76_1","CH76","1","1970s",49,156
"CH77_1","CH77","1","1970s",102,156
"CH78_1","CH78","1","1970s",54,156
"CH86_1","CH86","1","1970s",72,156
"CH87_1","CH87","1","1970s",49,156
"CH88_1","CH88","1","1970s",62,156
"CH95_1","CH95","1","1970s",77,156
"CH96_1","CH96","1","1970s",81,156
"CH97_1","CH97","1","1970s",75,156
"CH98_1","CH98","1","1970s",55,156
"CH99_1","CH99","1","1970s",46,156
"DB11_1","DB11","1","1970s",57,156
"DB14_1","DB14","1","1970s",37,156
"DB16_1","DB16","1","1970s",53,156
"DB24_1","DB24","1","1970s",51,156
"DB25_1","DB25","1","1970s",49,156
"DB26_1","DB26","1","1970s",48,156
"DB32_1","DB32","1","1970s",43,156
"DB33_1","DB33","1","1970s",52,156
"DB34_1","DB34","1","1970s",63,156
"DB35_1","DB35","1","1970s",48,156
"DB40_1","DB40","1","1970s",64,156
"DB43_1","DB43","1","1970s",49,156
"DB44_1","DB44","1","1970s",59,156
"DB45_1","DB45","1","1970s",47,156
"DB53_1","DB53","1","1970s",43,156
"DB54_1","DB54","1","1970s",53,156
"DB55_1","DB55","1","1970s",60,156
"DB60_1","DB60","1","1970s",48,156
"DB62_1","DB62","1","1970s",44,156
"DB64_1","DB64","1","1970s",53,156
"DB65_1","DB65","1","1970s",46,156
"DB68_1","DB68","1","1970s",27,156
"DB70_1","DB70","1","1970s",41,156
"DB72_1","DB72","1","1970s",55,156
"DB74_1","DB74","1","1970s",46,156
"DB75_1","DB75","1","1970s",46,156
"DB78_1","DB78","1","1970s",50,156
"DB79_1","DB79","1","1970s",35,156
"DB80_1","DB80","1","1970s",29,156
"DB81_1","DB81","1","1970s",38,156
"DB82_1","DB82","1","1970s",54,156
"DB83_1","DB83","1","1970s",64,156
"DB89_1","DB89","1","1970s",60,156
"DC00_1","DC00","1","1970s",74,156
"DC01_1","DC01","1","1970s",52,156
"DC02_1","DC02","1","1970s",51,156
"DC04_1","DC04","1","1970s",67,156
"DC07_1","DC07","1","1970s",91,156
"DC08_1","DC08","1","1970s",88,156
"DC09_1","DC09","1","1970s",46,156
"DC10_1","DC10","1","1970s",53,156
"DC11_1","DC11","1","1970s",72,156
"DC15_1","DC15","1","1970s",55,156
"DC18_1","DC18","1","1970s",53,156
"DC19_1","DC19","1","1970s",55,156
"DC23_1","DC23","1","1970s",76,156
"DC25_1","DC25","1","1970s",49,156
"DC26_1","DC26","1","1970s",74,156
"DC27_1","DC27","1","1970s",54,156
"DC28_1","DC28","1","1970s",66,156
"DC32_1","DC32","1","1970s",57,156
"DC33_1","DC33","1","1970s",63,156
"DC40_1","DC40","1","1970s",73,156
"DC41_1","DC41","1","1970s",58,156
"DC42_1","DC42","1","1970s",66,156
"DC53_1","DC53","1","1970s",58,156
"DC57_1","DC57","1","1970s",49,156
"DC69_1","DC69","1","1970s",46,156
"DC89_1","DC89","1","1970s",42,156
"DD00_1","DD00","1","1970s",44,156
"DD01_1","DD01","1","1970s",68,156
"DD03_1","DD03","1","1970s",49,156
"DD05_1","DD05","1","1970s",66,156
"DD08_1","DD08","1","1970s",60,156
"DD09_1","DD09","1","1970s",80,156
"DD10_1","DD10","1","1970s",54,156
"DD11_1","DD11","1","1970s",78,156
"DD12_1","DD12","1","1970s",69,156
"DD13_1","DD13","1","1970s",42,156
"DD16_1","DD16","1","1970s",66,156
"DD17_1","DD17","1","1970s",65,156
"DD18_1","DD18","1","1970s",69,156
"DD19_1","DD19","1","1970s",63,156
"DD20_1","DD20","1","1970s",52,156
"DD21_1","DD21","1","1970s",53,156
"DD26_1","DD26","1","1970s",70,156
"DD28_1","DD28","1","1970s",53,156
"DD29_1","DD29","1","1970s",67,156
"DD30_1","DD30","1","1970s",63,156
"DD37_1","DD37","1","1970s",57,156
"DD43_1","DD43","1","1970s",55,156
"DD47_1","DD47","1","1970s",56,156
"DD51_1","DD51","1","1970s",67,156
"DD52_1","DD52","1","1970s",47,156
"DD53_1","DD53","1","1970s",58,156
"DD57_1","DD57","1","1970s",61,156
"DD61_1","DD61","1","1970s",56,156
"DD62_1","DD62","1","1970s",55,156
"DD63_1","DD63","1","1970s",52,156
"DD64_1","DD64","1","1970s",55,156
"DD70_1","DD70","1","1970s",63,156
"DD72_1","DD72","1","1970s",48,156
"DD80_1","DD80","1","1970s",63,156
"DD90_1","DD90","1","1970s",40,156
"DD91_1","DD91","1","1970s",59,156
"DE00_1","DE00","1","1970s",64,156
"DE01_1","DE01","1","1970s",79,156
