"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"BG76","BG76_1","1","1970s",80,154,100
"BG79","BG79_1","1","1970s",47,154,100
"BG86","BG86_1","1","1970s",52,154,100
"BG90","BG90_1","1","1970s",61,154,100
"BG92","BG92_1","1","1970s",57,154,100
"BG93","BG93_1","1","1970s",65,154,100
"BH57","BH57_1","1","1970s",66,154,53.1740038115592
"BH76","BH76_1","1","1970s",74,154,100
"BH77","BH77_1","1","1970s",86,154,100
"BH78","BH78_1","1","1970s",63,154,100
"BH79","BH79_1","1","1970s",62,154,100
"BH86","BH86_1","1","1970s",47,154,100
"BH87","BH87_1","1","1970s",82,154,100
"BH89","BH89_1","1","1970s",58,154,100
"BH99","BH99_1","1","1970s",89,154,100
"CC04","CC04_1","1","1970s",67,154,97.6915925236043
"CC05","CC05_1","1","1970s",47,154,100
"CC06","CC06_1","1","1970s",61,154,95.0939311489514
"CD03","CD03_1","1","1970s",72,154,87.7493218512554
"CD04","CD04_1","1","1970s",60,154,58.1458688653336
"CD09","CD09_1","1","1970s",55,154,57.7273319267787
"CE02","CE02_1","1","1970s",57,154,100
"CF07","CF07_1","1","1970s",49,154,100
"CC14","CC14_1","1","1970s",38,154,74.2985797171558
"CC16","CC16_1","1","1970s",50,154,66.6923075088162
"CC23","CC23_1","1","1970s",57,154,37.5625086392495
"CC24","CC24_1","1","1970s",55,154,99.9687592292757
"CC25","CC25_1","1","1970s",45,154,100
"CC35","CC35_1","1","1970s",43,154,100
"CC36","CC36_1","1","1970s",59,154,81.1049903598051
"CC41","CC41_1","1","1970s",52,154,100
"CC46","CC46_1","1","1970s",72,154,99.4126900796323
"CC53","CC53_1","1","1970s",71,154,89.0326125016613
"CC54","CC54_1","1","1970s",62,154,57.8198622032521
"CC61","CC61_1","1","1970s",75,154,99.0996831886711
"CC64","CC64_1","1","1970s",57,154,48.267872939201
"CC65","CC65_1","1","1970s",48,154,100
"CC68","CC68_1","1","1970s",43,154,57.5382109369765
"CC75","CC75_1","1","1970s",96,154,79.0514381705116
"CC77","CC77_1","1","1970s",61,154,100
"CC80","CC80_1","1","1970s",82,154,100
"CC85","CC85_1","1","1970s",84,154,88.0171803414787
"CC86","CC86_1","1","1970s",50,154,100
"CC92","CC92_1","1","1970s",58,154,100
"CC93","CC93_1","1","1970s",62,154,100
"CC94","CC94_1","1","1970s",62,154,67.6865433444742
"CC95","CC95_1","1","1970s",30,154,46.815369838424
"CC97","CC97_1","1","1970s",79,154,100
"CC98","CC98_1","1","1970s",55,154,100
"CD11","CD11_1","1","1970s",61,154,100
"CD17","CD17_1","1","1970s",46,154,80.2982792587547
