"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Dryocopus_martius",49,113,895,49,113,103,0.0547486033519553,0.126256983240223,64,0.0715083798882682,7.15083798882682,"Stable","sedentary","Woodpeckers",11.1193962821,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Cyanistes_caeruleus",819,879,895,819,879,871,0.915083798882682,0.982122905027933,60,0.0670391061452514,6.70391061452514,"Stable","sedentary","Tit-like birds",12.7367473555,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Passer_montanus",796,855,895,796,855,845,0.889385474860335,0.955307262569832,59,0.0659217877094973,6.59217877094973,"Stable","sedentary","Passerine seedeaters",13.070887931,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinula_chloropus",686,744,895,686,744,577,0.766480446927374,0.831284916201117,58,0.0648044692737431,6.48044692737431,"Stable","sedentary and short-distance","Rails",13.3437206998,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Troglodytes_troglodytes",830,887,895,830,887,891,0.927374301675978,0.991061452513966,57,0.0636871508379888,6.36871508379888,"Stable","sedentary","Low flycatching feeders",12.2368253494,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Cygnus_olor",501,557,895,501,557,577,0.559776536312849,0.622346368715084,56,0.0625698324022346,6.25698324022346,"Stable","sedentary and short-distance","Grazing waterfowl",12.1899516659,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Pernis_apivorus",129,184,895,129,184,197,0.14413407821229,0.205586592178771,55,0.0614525139664805,6.14525139664805,"Stable","long-distance","Diurnal raptors",11.9608484505,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Remiz_pendulinus",11,66,895,11,66,18,0.0122905027932961,0.0737430167597765,55,0.0614525139664805,6.14525139664805,"Stable","short-distance","Tit-like birds",13.7399153521,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Aythya_ferina",93,148,895,93,148,99,0.10391061452514,0.16536312849162,55,0.0614525139664804,6.14525139664804,"Stable","short-distance","Diving ducks",12.445391892,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Erithacus_rubecula",814,868,895,814,868,865,0.909497206703911,0.969832402234637,54,0.0603351955307262,6.03351955307262,"Stable","sedentary","Low flycatching feeders",11.9984458235,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Cuculus_canorus",798,851,895,798,851,798,0.891620111731844,0.950837988826816,53,0.0592178770949722,5.92178770949722,"Stable","long-distance","Cuckoos",12.1394391784,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sylvia_borin",792,845,895,792,845,819,0.884916201117318,0.94413407821229,53,0.0592178770949721,5.92178770949721,"Stable","long-distance","Foliage gleaners",11.3163422901,"cold"
