"response","moran_i","expected_i","variance_i","p_value","n_sites","n_no_neighbour_sites"
"1970s richness",0.174675630152648,-0.00115207373271889,0.00074260111782965,5.51098753912561e-11,895,26
"1990s richness",0.205765560159012,-0.00115207373271889,0.000742574925112976,1.55996957981059e-14,895,26
"2010s richness",0.205027658014076,-0.00115207373271889,0.000742547607583681,1.91995592104412e-14,895,26
"1990s minus 1970s richness",0.147783130537864,-0.00115207373271889,0.000742532208393619,2.30641163277726e-08,895,26
"2010s minus 1990s richness",0.192227493935406,-0.00115207373271889,0.000742560992721787,6.3975614461081e-13,895,26
