"site","survey","atlas","period","species_richness","retained_species_pool_size"
"BF05","BF05_1","1","1970s",59,156
"BF06","BF06_1","1","1970s",54,156
"BF07","BF07_1","1","1970s",52,156
"BF08","BF08_1","1","1970s",44,156
"BF11","BF11_1","1","1970s",58,156
"BF16","BF16_1","1","1970s",43,156
"BF18","BF18_1","1","1970s",33,156
"BF21","BF21_1","1","1970s",50,156
"BF31","BF31_1","1","1970s",54,156
"BF32","BF32_1","1","1970s",71,156
"BF33","BF33_1","1","1970s",63,156
"BF38","BF38_1","1","1970s",47,156
"BF49","BF49_1","1","1970s",66,156
"BF50","BF50_1","1","1970s",55,156
"BF58","BF58_1","1","1970s",43,156
"BF59","BF59_1","1","1970s",61,156
"BF60","BF60_1","1","1970s",59,156
"BF61","BF61_1","1","1970s",45,156
"BF72","BF72_1","1","1970s",53,156
"BF80","BF80_1","1","1970s",52,156
"BF81","BF81_1","1","1970s",55,156
"BF83","BF83_1","1","1970s",60,156
"BF97","BF97_1","1","1970s",47,156
"BG27","BG27_1","1","1970s",64,156
"BG28","BG28_1","1","1970s",59,156
"BG29","BG29_1","1","1970s",87,156
"BG30","BG30_1","1","1970s",37,156
"BG31","BG31_1","1","1970s",85,156
"BG32","BG32_1","1","1970s",92,156
"BG33","BG33_1","1","1970s",17,156
"BG41","BG41_1","1","1970s",61,156
"BG42","BG42_1","1","1970s",72,156
"BG43","BG43_1","1","1970s",39,156
"BG49","BG49_1","1","1970s",66,156
"BG55","BG55_1","1","1970s",73,156
"BG64","BG64_1","1","1970s",60,156
"BG65","BG65_1","1","1970s",60,156
"BG66","BG66_1","1","1970s",65,156
"BG70","BG70_1","1","1970s",50,156
"BG72","BG72_1","1","1970s",59,156
"BG73","BG73_1","1","1970s",65,156
"BG75","BG75_1","1","1970s",54,156
"BG76","BG76_1","1","1970s",80,156
"BG79","BG79_1","1","1970s",47,156
"BG86","BG86_1","1","1970s",52,156
"BG90","BG90_1","1","1970s",61,156
"BG92","BG92_1","1","1970s",57,156
"BG93","BG93_1","1","1970s",65,156
"BH57","BH57_1","1","1970s",67,156
"BH76","BH76_1","1","1970s",75,156
"BH77","BH77_1","1","1970s",86,156
"BH78","BH78_1","1","1970s",63,156
"BH79","BH79_1","1","1970s",63,156
"BH86","BH86_1","1","1970s",47,156
"BH87","BH87_1","1","1970s",82,156
"BH89","BH89_1","1","1970s",59,156
"BH99","BH99_1","1","1970s",91,156
"CC04","CC04_1","1","1970s",67,156
"CC05","CC05_1","1","1970s",48,156
"CC06","CC06_1","1","1970s",61,156
"CD03","CD03_1","1","1970s",72,156
"CD04","CD04_1","1","1970s",60,156
"CD09","CD09_1","1","1970s",55,156
"CE02","CE02_1","1","1970s",57,156
"CF07","CF07_1","1","1970s",49,156
"CC14","CC14_1","1","1970s",38,156
"CC16","CC16_1","1","1970s",50,156
"CC23","CC23_1","1","1970s",57,156
"CC24","CC24_1","1","1970s",55,156
"CC25","CC25_1","1","1970s",45,156
"CC35","CC35_1","1","1970s",43,156
"CC36","CC36_1","1","1970s",59,156
"CC41","CC41_1","1","1970s",52,156
"CC46","CC46_1","1","1970s",72,156
"CC53","CC53_1","1","1970s",71,156
"CC54","CC54_1","1","1970s",62,156
"CC61","CC61_1","1","1970s",75,156
"CC64","CC64_1","1","1970s",57,156
"CC65","CC65_1","1","1970s",48,156
"CC68","CC68_1","1","1970s",43,156
"CC75","CC75_1","1","1970s",96,156
"CC77","CC77_1","1","1970s",61,156
"CC80","CC80_1","1","1970s",83,156
"CC85","CC85_1","1","1970s",84,156
"CC86","CC86_1","1","1970s",50,156
"CC92","CC92_1","1","1970s",58,156
"CC93","CC93_1","1","1970s",62,156
"CC94","CC94_1","1","1970s",62,156
"CC95","CC95_1","1","1970s",30,156
"CC97","CC97_1","1","1970s",79,156
"CC98","CC98_1","1","1970s",55,156
"CD11","CD11_1","1","1970s",61,156
"CD17","CD17_1","1","1970s",46,156
"CD18","CD18_1","1","1970s",43,156
"CD21","CD21_1","1","1970s",54,156
"CD31","CD31_1","1","1970s",46,156
"CD32","CD32_1","1","1970s",45,156
"CD33","CD33_1","1","1970s",74,156
"CD40","CD40_1","1","1970s",68,156
"CD42","CD42_1","1","1970s",59,156
"CD43","CD43_1","1","1970s",59,156
"CD47","CD47_1","1","1970s",60,156
"CD50","CD50_1","1","1970s",52,156
"CD51","CD51_1","1","1970s",54,156
"CD54","CD54_1","1","1970s",60,156
