"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Podiceps_grisegena",174,307,895,174,307,362,0.194413407821229,0.343016759776536,133,0.148603351955307,14.8603351955307,"Increase","short-distance","Aquatic pursuers",11.9386619385,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Muscicapa_striata",419,548,895,419,548,503,0.468156424581006,0.612290502793296,129,0.144134078212291,14.4134078212291,"Increase","long-distance","Flycatchers",12.1492223917,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_frugilegus",180,304,895,180,304,411,0.201117318435754,0.339664804469274,124,0.13854748603352,13.854748603352,"Increase","sedentary","Omnivorous corvids",12.7340640684,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Locustella_naevia",146,265,895,146,265,286,0.163128491620112,0.29608938547486,119,0.132960893854749,13.2960893854749,"Increase","long-distance","Marsh warblers",11.7684221003,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Fulica_atra",709,825,895,709,825,656,0.792178770949721,0.921787709497207,116,0.129608938547486,12.9608938547486,"Increase","sedentary and short-distance","Rails",12.9624637063,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Rallus_aquaticus",177,287,895,177,287,351,0.197765363128492,0.320670391061453,110,0.122905027932961,12.2905027932961,"Increase","sedentary and short-distance","Rails",13.3215188918,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anas_platyrhynchos",759,866,895,759,866,742,0.84804469273743,0.967597765363128,107,0.119553072625698,11.9553072625698,"Increase","sedentary and short-distance","Dabbling ducks",11.8110548425,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Certhia_brachydactyla",24,130,895,24,130,302,0.0268156424581006,0.145251396648045,106,0.118435754189944,11.8435754189944,"Increase","sedentary","Tit-like birds",13.8972978687,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phoenicurus_phoenicurus",532,638,895,532,638,850,0.594413407821229,0.712849162011173,106,0.118435754189944,11.8435754189944,"Increase","long-distance","Low flycatching feeders",11.3098485667,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Periparus_ater",631,733,895,631,733,727,0.705027932960894,0.818994413407821,102,0.113966480446927,11.3966480446927,"Increase","sedentary","Tit-like birds",11.9045668053,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sitta_europaea",445,547,895,445,547,705,0.497206703910615,0.611173184357542,102,0.113966480446927,11.3966480446927,"Increase","sedentary","Tit-like birds",12.7946675987,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Haematopus_ostralegus",300,401,895,300,401,424,0.335195530726257,0.44804469273743,101,0.112849162011173,11.2849162011173,"Increase","short-distance","Plovers",10.4739718085,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_scirpaceus",618,718,895,618,718,669,0.690502793296089,0.802234636871508,100,0.111731843575419,11.1731843575419,"Increase","long-distance","Marsh warblers",13.1524057431,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Spinus_spinus",87,184,895,87,184,103,0.0972067039106145,0.205586592178771,97,0.108379888268156,10.8379888268156,"Increase","sedentary and short-distance","Passerine seedeaters",10.2425165856,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_cornix",749,845,895,749,845,783,0.836871508379888,0.94413407821229,96,0.107262569832402,10.7262569832402,"Increase","sedentary","Omnivorous corvids",12.1293990446,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Aegithalos_caudatus",312,404,895,312,404,441,0.348603351955307,0.451396648044693,92,0.102793296089385,10.2793296089385,"Increase","sedentary","Tit-like birds",12.6607518772,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oriolus_oriolus",135,43,895,135,43,14,0.150837988826816,0.0480446927374302,-92,-0.102793296089385,-10.2793296089385,"Decrease","long-distance","Orioles",13.4707159049,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Chroicocephalus_ridibundus",323,215,895,323,215,137,0.360893854748603,0.240223463687151,-108,-0.120670391061453,-12.0670391061453,"Decrease","short-distance","Gulls",11.0679667544,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_flava",297,178,895,297,178,224,0.331843575418994,0.198882681564246,-119,-0.132960893854749,-13.2960893854749,"Decrease","long-distance","Open-land insectivores",12.136968586,"medium"
