"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE78",47,58,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE80",59,79,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE82",53,72,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE84",51,57,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE86",50,56,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE89",72,48,-24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE92",55,70,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE94",56,68,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE95",47,55,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE96",38,56,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE99",62,80,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF02",54,83,29
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF03",63,85,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF04",48,91,43
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF05",59,91,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF06",54,64,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF07",52,59,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF08",44,58,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF11",58,77,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF16",43,57,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF18",33,48,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF21",50,65,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF31",54,61,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF32",71,79,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF33",63,73,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF38",47,72,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF49",66,69,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF50",55,58,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF58",43,44,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF59",61,57,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF60",59,68,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF61",45,60,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF72",53,69,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF80",52,56,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF81",55,60,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF83",60,69,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF97",47,64,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG27",64,61,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG28",59,69,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG29",87,76,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG30",37,28,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG31",85,99,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG32",92,85,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG33",17,23,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG41",61,68,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG42",72,65,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG43",39,38,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG49",66,64,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG55",73,78,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG64",60,66,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG65",60,73,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG66",65,73,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG70",50,57,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG72",59,54,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG73",65,71,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG75",54,66,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG76",80,68,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG79",47,70,23
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG86",52,61,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG90",61,65,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG92",57,63,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BG93",65,63,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH57",67,64,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH76",75,44,-31
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH77",86,95,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH78",63,66,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH79",63,77,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH86",47,82,35
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH87",82,86,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH89",59,84,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BH99",91,101,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC04",67,101,34
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC05",48,89,41
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC06",61,77,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC14",38,84,46
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC16",50,63,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC23",57,51,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC24",55,54,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC25",45,57,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC35",43,78,35
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC36",59,72,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC41",52,58,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC46",72,82,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC53",71,78,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC54",62,73,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC61",75,75,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC64",57,73,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC65",48,72,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC68",43,55,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC75",96,91,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC77",61,83,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC80",83,81,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC85",84,87,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC86",50,72,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC92",58,67,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC93",62,58,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC94",62,69,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC95",30,68,38
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC97",79,60,-19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC98",55,53,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD03",72,77,5
