response,group,period_or_comparison,model_set,predictor_set,n_rows,bandwidth_value,aicc,rss,local_r2_mean,local_r2_median,local_r2_min,local_r2_max,local_cn_mean,local_cn_max,local_cn_over_30,status
cwm_sti,aerial_insectivores,1970s,period,full_period,1776,100000,-10503.759951760492,0.25663951693918097,0.5659998212509739,0.5333698626939531,0.4582155173973658,0.7979988772258086,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
cwm_sti,aerial_insectivores,1990s,period,full_period,1850,100000,-12120.098704171796,0.14188035709805996,0.5494104820333736,0.5483406911162108,0.4511587936152529,0.7034278983099059,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
cwm_sti,aerial_insectivores,2010s,period,full_period,1904,100000,-13801.620491891968,0.07290280532866251,0.849214620022631,0.8507971030890562,0.7472656900179221,0.9733816977500533,6.500891822585518,31.16218270994191,0.014180672268907563,ok
cwm_sti,all_species,1970s,period,full_period,1776,100000,-4558.1007073550145,7.298714739182362,0.7299916850792334,0.7336681871961188,0.5929165838766928,0.9001081732802537,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
cwm_sti,all_species,1990s,period,full_period,1850,100000,-5382.600629541037,5.414712138242612,0.7448590792292689,0.7455769767428224,0.6216609006901057,0.8822473708145607,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
cwm_sti,all_species,2010s,period,full_period,1904,100000,-6941.813565110734,2.675701566028069,0.8052447814113315,0.8084389851304545,0.6532927798148125,0.934488474879127,6.500891822585518,31.16218270994191,0.014180672268907563,ok
cwm_sti,dabbling_ducks,1970s,period,full_period,1727,100000,-3381.0026257527734,13.009860672012046,0.44379732975709213,0.41503939100560844,0.22402140550297103,0.9765733082955631,7.004750079863965,29.548163658367493,0,ok
cwm_sti,dabbling_ducks,1990s,period,full_period,1845,100000,-5045.889677315675,6.428721014368107,0.5293414776392923,0.5307632106376357,0.32288457709312673,0.7664856326232878,5.747742315591574,30.03154965214406,0.001084010840108401,ok
cwm_sti,dabbling_ducks,2010s,period,full_period,1897,100000,-6948.387380975782,2.620412984890889,0.6989348469887011,0.6858797452032991,0.5544894056856443,0.8746133234649294,6.498492057678413,31.151036089889807,0.014232999472851872,ok
cwm_sti,woodpeckers,1970s,period,full_period,1555,100000,-3760.5106649421887,7.325023591139036,0.777893568613282,0.7395386883399676,0.5902062048977395,0.9862527456301454,7.357025254068813,29.895216220047306,0,ok
cwm_sti,woodpeckers,1990s,period,full_period,1728,100000,-4881.579127060234,5.476911883530374,0.8012794534101665,0.7784556048765325,0.5658525758348619,0.9971311371344773,5.942123341724924,30.190547099207365,0.004629629629629629,ok
cwm_sti,woodpeckers,2010s,period,full_period,1871,100000,-5368.469767325496,5.710218075951323,0.6996605226320881,0.667711109189736,0.47736859140471233,0.9788502921230898,6.578419775743994,31.168429646244814,0.014430785676109033,ok
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,change,delta_climate_hh_fallback,1726,100000,-9941.673080823612,0.307274424580174,0.3024949699985192,0.2783856247134898,0.18143603425178637,0.5114936377194194,13.314060450805913,108.19197755064225,0.08458864426419467,ok
delta_cwm_sti,aerial_insectivores,2010s_minus_1970s,change,full_delta,1776,100000,-9398.888872067193,0.4800335605737142,0.2817291659065406,0.3730374204961733,-7.191837572796542,0.7125798364028366,NA,NA,NA,ok
delta_cwm_sti,aerial_insectivores,2010s_minus_1990s,change,full_delta,1850,100000,-10355.373612551342,0.37130507852285494,0.31381919729205526,0.300003903000171,0.18086921504073802,0.5629873531063395,NA,NA,NA,ok
delta_cwm_sti,all_species,1990s_minus_1970s,change,delta_climate_hh_fallback,1726,100000,-4627.804376055159,6.677240429837361,0.1309215210768921,0.1210265563921396,0.0693090041931436,0.27018351018205267,13.314060450805913,108.19197755064225,0.08458864426419467,ok
delta_cwm_sti,all_species,2010s_minus_1970s,change,full_delta,1776,100000,-4518.831132830615,7.492338753455089,0.29149269203960493,0.3271898578049118,-0.2946649078274697,0.4412947319136522,NA,NA,NA,ok
delta_cwm_sti,all_species,2010s_minus_1990s,change,full_delta,1850,100000,-5657.479018041707,4.7052139424818265,0.18940956886989638,0.178853603108295,0.08534795860957342,0.5385045186381215,NA,NA,NA,ok
delta_cwm_sti,dabbling_ducks,1990s_minus_1970s,change,full_delta,1676,100000,-3286.108935620283,12.642520232613656,0.017328208541935935,0.18134312824180598,-13.662942512935865,0.5246652866631502,NA,NA,NA,ok
delta_cwm_sti,dabbling_ducks,2010s_minus_1970s,change,full_delta,1721,100000,-1695.67608512055,33.697773843870166,-0.24740664964277564,0.1626202267441926,-31.09234311376028,0.5691223513143284,NA,NA,NA,ok
delta_cwm_sti,dabbling_ducks,2010s_minus_1990s,change,full_delta,1839,100000,-3958.7223739149395,11.586155432198847,0.13665504267883202,0.20888354436273124,-6.154496710630932,0.5003052494912001,NA,NA,NA,ok
delta_cwm_sti,woodpeckers,1990s_minus_1970s,change,full_delta,1456,100000,-2797.7160120637136,11.327013840369913,0.24279903821374343,0.24326559818848453,-0.2248818887021939,0.43921859773849586,NA,NA,NA,ok
delta_cwm_sti,woodpeckers,2010s_minus_1970s,change,full_delta,1546,100000,-2561.6724382788366,15.736208933592536,0.4631292456798406,0.4962481224243557,-0.23399067398296608,0.7124678422717255,NA,NA,NA,ok
delta_cwm_sti,woodpeckers,2010s_minus_1990s,change,full_delta,1721,100000,-3906.5497316512065,9.583227950224341,0.42851519346451244,0.40422978085965416,0.2334217880426168,0.8507989539038172,NA,NA,NA,ok
