comparison,base_site,thermal_group,contribution
1990s_minus_1970s,BE15,very_cold,0
1990s_minus_1970s,BE16,very_cold,0
1990s_minus_1970s,BE17,very_cold,0
1990s_minus_1970s,BE18,very_cold,0
1990s_minus_1970s,BE19,very_cold,0
1990s_minus_1970s,BE20,very_cold,0
1990s_minus_1970s,BE21,very_cold,0
1990s_minus_1970s,BE22,very_cold,0
1990s_minus_1970s,BE23,very_cold,0
1990s_minus_1970s,BE24,very_cold,0
1990s_minus_1970s,BE25,very_cold,0
1990s_minus_1970s,BE26,very_cold,0
1990s_minus_1970s,BE27,very_cold,0
1990s_minus_1970s,BE30,very_cold,0
1990s_minus_1970s,BE31,very_cold,0
1990s_minus_1970s,BE32,very_cold,0
1990s_minus_1970s,BE33,very_cold,0
1990s_minus_1970s,BE34,very_cold,0
1990s_minus_1970s,BE35,very_cold,0
1990s_minus_1970s,BE36,very_cold,0
1990s_minus_1970s,BE37,very_cold,0
1990s_minus_1970s,BE38,very_cold,0
1990s_minus_1970s,BE39,very_cold,0
1990s_minus_1970s,BE40,very_cold,0
1990s_minus_1970s,BE41,very_cold,0
1990s_minus_1970s,BE42,very_cold,0
1990s_minus_1970s,BE43,very_cold,0
1990s_minus_1970s,BE44,very_cold,0
1990s_minus_1970s,BE45,very_cold,0
1990s_minus_1970s,BE46,very_cold,0
1990s_minus_1970s,BE47,very_cold,0
1990s_minus_1970s,BE48,very_cold,0
1990s_minus_1970s,BE50,very_cold,0
1990s_minus_1970s,BE51,very_cold,0
1990s_minus_1970s,BE52,very_cold,0
1990s_minus_1970s,BE53,very_cold,0
1990s_minus_1970s,BE54,very_cold,0
1990s_minus_1970s,BE55,very_cold,0
1990s_minus_1970s,BE56,very_cold,0
1990s_minus_1970s,BE57,very_cold,0
1990s_minus_1970s,BE58,very_cold,0
1990s_minus_1970s,BE59,very_cold,0
1990s_minus_1970s,BE60,very_cold,0
1990s_minus_1970s,BE61,very_cold,0
1990s_minus_1970s,BE62,very_cold,0
1990s_minus_1970s,BE63,very_cold,0
1990s_minus_1970s,BE64,very_cold,0
1990s_minus_1970s,BE65,very_cold,0
1990s_minus_1970s,BE66,very_cold,0
1990s_minus_1970s,BE67,very_cold,0
1990s_minus_1970s,BE68,very_cold,0
1990s_minus_1970s,BE69,very_cold,0
1990s_minus_1970s,BE70,very_cold,0
1990s_minus_1970s,BE71,very_cold,0
1990s_minus_1970s,BE73,very_cold,0
1990s_minus_1970s,BE74,very_cold,0
1990s_minus_1970s,BE75,very_cold,0
1990s_minus_1970s,BE76,very_cold,0
1990s_minus_1970s,BE77,very_cold,0
1990s_minus_1970s,BE78,very_cold,0
1990s_minus_1970s,BE79,very_cold,0
1990s_minus_1970s,BE80,very_cold,0
1990s_minus_1970s,BE81,very_cold,0
1990s_minus_1970s,BE82,very_cold,0
1990s_minus_1970s,BE83,very_cold,0
1990s_minus_1970s,BE84,very_cold,0
1990s_minus_1970s,BE85,very_cold,0
1990s_minus_1970s,BE86,very_cold,0
1990s_minus_1970s,BE87,very_cold,0
1990s_minus_1970s,BE88,very_cold,0
1990s_minus_1970s,BE89,very_cold,0
1990s_minus_1970s,BE90,very_cold,0
1990s_minus_1970s,BE91,very_cold,0
1990s_minus_1970s,BE92,very_cold,0
1990s_minus_1970s,BE93,very_cold,0
1990s_minus_1970s,BE94,very_cold,0
1990s_minus_1970s,BE95,very_cold,0
1990s_minus_1970s,BE96,very_cold,0
1990s_minus_1970s,BE97,very_cold,0
1990s_minus_1970s,BE98,very_cold,0
1990s_minus_1970s,BE99,very_cold,0
1990s_minus_1970s,BF00,very_cold,0
1990s_minus_1970s,BF01,very_cold,0
1990s_minus_1970s,BF02,very_cold,0
1990s_minus_1970s,BF03,very_cold,0
1990s_minus_1970s,BF04,very_cold,0
1990s_minus_1970s,BF05,very_cold,0
1990s_minus_1970s,BF06,very_cold,0
1990s_minus_1970s,BF07,very_cold,0
1990s_minus_1970s,BF08,very_cold,0
1990s_minus_1970s,BF11,very_cold,0
1990s_minus_1970s,BF12,very_cold,0
1990s_minus_1970s,BF14,very_cold,0
1990s_minus_1970s,BF15,very_cold,0
1990s_minus_1970s,BF16,very_cold,0
1990s_minus_1970s,BF17,very_cold,0
1990s_minus_1970s,BF18,very_cold,0
1990s_minus_1970s,BF21,very_cold,0
1990s_minus_1970s,BF24,very_cold,0
1990s_minus_1970s,BF27,very_cold,0
1990s_minus_1970s,BF28,very_cold,0
1990s_minus_1970s,BF29,very_cold,0
1990s_minus_1970s,BF31,very_cold,0
1990s_minus_1970s,BF32,very_cold,0
1990s_minus_1970s,BF33,very_cold,0
1990s_minus_1970s,BF34,very_cold,0
1990s_minus_1970s,BF35,very_cold,0
1990s_minus_1970s,BF36,very_cold,0
1990s_minus_1970s,BF37,very_cold,0
1990s_minus_1970s,BF38,very_cold,0
1990s_minus_1970s,BF40,very_cold,0
1990s_minus_1970s,BF41,very_cold,0
1990s_minus_1970s,BF43,very_cold,0
1990s_minus_1970s,BF46,very_cold,0
1990s_minus_1970s,BF47,very_cold,0
1990s_minus_1970s,BF48,very_cold,0
1990s_minus_1970s,BF49,very_cold,0
1990s_minus_1970s,BF50,very_cold,0
1990s_minus_1970s,BF51,very_cold,0
1990s_minus_1970s,BF53,very_cold,0
1990s_minus_1970s,BF55,very_cold,0
1990s_minus_1970s,BF56,very_cold,0
1990s_minus_1970s,BF57,very_cold,0
1990s_minus_1970s,BF58,very_cold,0
1990s_minus_1970s,BF59,very_cold,0
1990s_minus_1970s,BF60,very_cold,0
1990s_minus_1970s,BF61,very_cold,0
1990s_minus_1970s,BF62,very_cold,0
1990s_minus_1970s,BF63,very_cold,0
1990s_minus_1970s,BF64,very_cold,0
1990s_minus_1970s,BF65,very_cold,0
1990s_minus_1970s,BF67,very_cold,0
1990s_minus_1970s,BF68,very_cold,0
1990s_minus_1970s,BF69,very_cold,0
1990s_minus_1970s,BF70,very_cold,0
1990s_minus_1970s,BF71,very_cold,0
1990s_minus_1970s,BF72,very_cold,0
1990s_minus_1970s,BF73,very_cold,0
1990s_minus_1970s,BF76,very_cold,0
1990s_minus_1970s,BF77,very_cold,0
1990s_minus_1970s,BF78,very_cold,0
1990s_minus_1970s,BF79,very_cold,0
1990s_minus_1970s,BF80,very_cold,0
1990s_minus_1970s,BF81,very_cold,0
1990s_minus_1970s,BF82,very_cold,0
1990s_minus_1970s,BF83,very_cold,0
1990s_minus_1970s,BF85,very_cold,0
1990s_minus_1970s,BF87,very_cold,0
1990s_minus_1970s,BF88,very_cold,0
1990s_minus_1970s,BF89,very_cold,0
1990s_minus_1970s,BF90,very_cold,0
1990s_minus_1970s,BF91,very_cold,0
1990s_minus_1970s,BF92,very_cold,0
1990s_minus_1970s,BF93,very_cold,0
1990s_minus_1970s,BF94,very_cold,0
1990s_minus_1970s,BF95,very_cold,0
1990s_minus_1970s,BF97,very_cold,0
1990s_minus_1970s,BF98,very_cold,0
1990s_minus_1970s,BF99,very_cold,0
1990s_minus_1970s,BG27,very_cold,0
1990s_minus_1970s,BG28,very_cold,0
1990s_minus_1970s,BG29,very_cold,0
1990s_minus_1970s,BG30,very_cold,0
1990s_minus_1970s,BG31,very_cold,0
1990s_minus_1970s,BG32,very_cold,0
1990s_minus_1970s,BG33,very_cold,0
1990s_minus_1970s,BG39,very_cold,0
1990s_minus_1970s,BG41,very_cold,0
1990s_minus_1970s,BG42,very_cold,0
1990s_minus_1970s,BG43,very_cold,0
1990s_minus_1970s,BG45,very_cold,0
1990s_minus_1970s,BG49,very_cold,0
1990s_minus_1970s,BG50,very_cold,0
1990s_minus_1970s,BG55,very_cold,0
1990s_minus_1970s,BG57,very_cold,0
1990s_minus_1970s,BG58,very_cold,0
1990s_minus_1970s,BG60,very_cold,0
1990s_minus_1970s,BG61,very_cold,0
1990s_minus_1970s,BG62,very_cold,0
1990s_minus_1970s,BG63,very_cold,0
1990s_minus_1970s,BG64,very_cold,0
1990s_minus_1970s,BG65,very_cold,0
1990s_minus_1970s,BG66,very_cold,0
1990s_minus_1970s,BG67,very_cold,0
1990s_minus_1970s,BG68,very_cold,0
1990s_minus_1970s,BG69,very_cold,0
1990s_minus_1970s,BG70,very_cold,0
1990s_minus_1970s,BG71,very_cold,0
1990s_minus_1970s,BG72,very_cold,0
1990s_minus_1970s,BG73,very_cold,0
1990s_minus_1970s,BG74,very_cold,0
1990s_minus_1970s,BG75,very_cold,0
1990s_minus_1970s,BG76,very_cold,0
1990s_minus_1970s,BG79,very_cold,0
1990s_minus_1970s,BG80,very_cold,0
1990s_minus_1970s,BG81,very_cold,0
1990s_minus_1970s,BG82,very_cold,0
1990s_minus_1970s,BG83,very_cold,0
1990s_minus_1970s,BG84,very_cold,0
1990s_minus_1970s,BG85,very_cold,0
1990s_minus_1970s,BG86,very_cold,0
1990s_minus_1970s,BG87,very_cold,0
1990s_minus_1970s,BG89,very_cold,0
1990s_minus_1970s,BG90,very_cold,0
1990s_minus_1970s,BG91,very_cold,0
1990s_minus_1970s,BG92,very_cold,0
1990s_minus_1970s,BG93,very_cold,0
1990s_minus_1970s,BG94,very_cold,0
1990s_minus_1970s,BG95,very_cold,0
1990s_minus_1970s,BG96,very_cold,0
1990s_minus_1970s,BG98,very_cold,0
1990s_minus_1970s,BG99,very_cold,0
1990s_minus_1970s,BH57,very_cold,0
1990s_minus_1970s,BH58,very_cold,0
1990s_minus_1970s,BH59,very_cold,0
1990s_minus_1970s,BH66,very_cold,0
1990s_minus_1970s,BH67,very_cold,0
1990s_minus_1970s,BH68,very_cold,0
1990s_minus_1970s,BH69,very_cold,0
1990s_minus_1970s,BH76,very_cold,0
1990s_minus_1970s,BH77,very_cold,0
1990s_minus_1970s,BH78,very_cold,0
1990s_minus_1970s,BH79,very_cold,0
1990s_minus_1970s,BH86,very_cold,0
1990s_minus_1970s,BH87,very_cold,0
1990s_minus_1970s,BH88,very_cold,0
1990s_minus_1970s,BH89,very_cold,0
1990s_minus_1970s,BH96,very_cold,0
1990s_minus_1970s,BH97,very_cold,0
1990s_minus_1970s,BH98,very_cold,0
1990s_minus_1970s,BH99,very_cold,0
1990s_minus_1970s,CB80,very_cold,0
1990s_minus_1970s,CB81,very_cold,0
1990s_minus_1970s,CB93,very_cold,0
1990s_minus_1970s,CC04,very_cold,0
1990s_minus_1970s,CC05,very_cold,0
1990s_minus_1970s,CC06,very_cold,0
1990s_minus_1970s,CC14,very_cold,0
1990s_minus_1970s,CC15,very_cold,0
1990s_minus_1970s,CC16,very_cold,0
1990s_minus_1970s,CC20,very_cold,0
1990s_minus_1970s,CC23,very_cold,0
1990s_minus_1970s,CC24,very_cold,0
1990s_minus_1970s,CC25,very_cold,0
1990s_minus_1970s,CC26,very_cold,0
1990s_minus_1970s,CC30,very_cold,0
1990s_minus_1970s,CC31,very_cold,0
1990s_minus_1970s,CC33,very_cold,0
1990s_minus_1970s,CC34,very_cold,0
1990s_minus_1970s,CC35,very_cold,0
1990s_minus_1970s,CC36,very_cold,0
1990s_minus_1970s,CC40,very_cold,0
1990s_minus_1970s,CC41,very_cold,0
1990s_minus_1970s,CC44,very_cold,0
1990s_minus_1970s,CC45,very_cold,0
1990s_minus_1970s,CC46,very_cold,0
1990s_minus_1970s,CC50,very_cold,0
1990s_minus_1970s,CC52,very_cold,0
1990s_minus_1970s,CC53,very_cold,0
1990s_minus_1970s,CC54,very_cold,0
1990s_minus_1970s,CC56,very_cold,0
1990s_minus_1970s,CC57,very_cold,0
1990s_minus_1970s,CC60,very_cold,0
1990s_minus_1970s,CC61,very_cold,0
1990s_minus_1970s,CC62,very_cold,0
1990s_minus_1970s,CC63,very_cold,0
1990s_minus_1970s,CC64,very_cold,0
1990s_minus_1970s,CC65,very_cold,0
1990s_minus_1970s,CC66,very_cold,0
1990s_minus_1970s,CC67,very_cold,0
1990s_minus_1970s,CC68,very_cold,0
1990s_minus_1970s,CC70,very_cold,0
1990s_minus_1970s,CC71,very_cold,0
1990s_minus_1970s,CC72,very_cold,0
1990s_minus_1970s,CC75,very_cold,0
1990s_minus_1970s,CC76,very_cold,0
1990s_minus_1970s,CC77,very_cold,0
1990s_minus_1970s,CC80,very_cold,0
1990s_minus_1970s,CC81,very_cold,0
1990s_minus_1970s,CC82,very_cold,0
1990s_minus_1970s,CC83,very_cold,0
1990s_minus_1970s,CC84,very_cold,0
1990s_minus_1970s,CC85,very_cold,0
1990s_minus_1970s,CC86,very_cold,0
1990s_minus_1970s,CC88,very_cold,0
1990s_minus_1970s,CC89,very_cold,0
1990s_minus_1970s,CC90,very_cold,0
1990s_minus_1970s,CC91,very_cold,0
1990s_minus_1970s,CC92,very_cold,0
1990s_minus_1970s,CC93,very_cold,0
1990s_minus_1970s,CC94,very_cold,0
1990s_minus_1970s,CC95,very_cold,0
1990s_minus_1970s,CC96,very_cold,0
1990s_minus_1970s,CC97,very_cold,0
1990s_minus_1970s,CC98,very_cold,0
1990s_minus_1970s,CC99,very_cold,0
1990s_minus_1970s,CD00,very_cold,0
1990s_minus_1970s,CD01,very_cold,0
1990s_minus_1970s,CD02,very_cold,0
1990s_minus_1970s,CD03,very_cold,0
1990s_minus_1970s,CD04,very_cold,0
1990s_minus_1970s,CD05,very_cold,0
1990s_minus_1970s,CD06,very_cold,0
1990s_minus_1970s,CD07,very_cold,0
1990s_minus_1970s,CD08,very_cold,0
1990s_minus_1970s,CD09,very_cold,0
1990s_minus_1970s,CD10,very_cold,0
1990s_minus_1970s,CD11,very_cold,0
1990s_minus_1970s,CD13,very_cold,0
1990s_minus_1970s,CD14,very_cold,0
1990s_minus_1970s,CD15,very_cold,0
1990s_minus_1970s,CD16,very_cold,0
1990s_minus_1970s,CD17,very_cold,0
1990s_minus_1970s,CD18,very_cold,0
1990s_minus_1970s,CD21,very_cold,0
1990s_minus_1970s,CD22,very_cold,0
1990s_minus_1970s,CD23,very_cold,0
1990s_minus_1970s,CD24,very_cold,0
1990s_minus_1970s,CD26,very_cold,0
1990s_minus_1970s,CD29,very_cold,0
1990s_minus_1970s,CD31,very_cold,0
1990s_minus_1970s,CD32,very_cold,0
1990s_minus_1970s,CD33,very_cold,0
1990s_minus_1970s,CD34,very_cold,0
1990s_minus_1970s,CD36,very_cold,0
1990s_minus_1970s,CD40,very_cold,0
1990s_minus_1970s,CD41,very_cold,0
1990s_minus_1970s,CD42,very_cold,0
1990s_minus_1970s,CD43,very_cold,0
1990s_minus_1970s,CD44,very_cold,0
1990s_minus_1970s,CD45,very_cold,0
1990s_minus_1970s,CD47,very_cold,0
1990s_minus_1970s,CD49,very_cold,0
1990s_minus_1970s,CD50,very_cold,0
1990s_minus_1970s,CD51,very_cold,0
1990s_minus_1970s,CD52,very_cold,0
1990s_minus_1970s,CD53,very_cold,0
1990s_minus_1970s,CD54,very_cold,0
1990s_minus_1970s,CD57,very_cold,0
1990s_minus_1970s,CD58,very_cold,0
1990s_minus_1970s,CD59,very_cold,0
1990s_minus_1970s,CD60,very_cold,0
1990s_minus_1970s,CD61,very_cold,0
1990s_minus_1970s,CD62,very_cold,0
1990s_minus_1970s,CD63,very_cold,0
1990s_minus_1970s,CD64,very_cold,0
1990s_minus_1970s,CD66,very_cold,0
1990s_minus_1970s,CD67,very_cold,0
1990s_minus_1970s,CD68,very_cold,0
1990s_minus_1970s,CD69,very_cold,0
1990s_minus_1970s,CD70,very_cold,0
1990s_minus_1970s,CD71,very_cold,0
1990s_minus_1970s,CD72,very_cold,0
1990s_minus_1970s,CD73,very_cold,0
1990s_minus_1970s,CD74,very_cold,0
1990s_minus_1970s,CD75,very_cold,0
1990s_minus_1970s,CD76,very_cold,0
1990s_minus_1970s,CD77,very_cold,0
1990s_minus_1970s,CD78,very_cold,0
1990s_minus_1970s,CD80,very_cold,0
1990s_minus_1970s,CD81,very_cold,0
1990s_minus_1970s,CD82,very_cold,0
1990s_minus_1970s,CD83,very_cold,0
1990s_minus_1970s,CD84,very_cold,0
1990s_minus_1970s,CD85,very_cold,0
1990s_minus_1970s,CD86,very_cold,0
1990s_minus_1970s,CD89,very_cold,0
1990s_minus_1970s,CD90,very_cold,0
1990s_minus_1970s,CD91,very_cold,0
1990s_minus_1970s,CD92,very_cold,0
1990s_minus_1970s,CD94,very_cold,0
1990s_minus_1970s,CD95,very_cold,0
1990s_minus_1970s,CD98,very_cold,0
1990s_minus_1970s,CD99,very_cold,0
1990s_minus_1970s,CE00,very_cold,0
1990s_minus_1970s,CE01,very_cold,0
1990s_minus_1970s,CE02,very_cold,0
1990s_minus_1970s,CE03,very_cold,0
1990s_minus_1970s,CE04,very_cold,0
1990s_minus_1970s,CE05,very_cold,0
1990s_minus_1970s,CE06,very_cold,0
1990s_minus_1970s,CE07,very_cold,0
1990s_minus_1970s,CE09,very_cold,0
1990s_minus_1970s,CE10,very_cold,0
1990s_minus_1970s,CE11,very_cold,0
1990s_minus_1970s,CE12,very_cold,0
1990s_minus_1970s,CE13,very_cold,0
1990s_minus_1970s,CE14,very_cold,0
1990s_minus_1970s,CE15,very_cold,0
1990s_minus_1970s,CE16,very_cold,0
1990s_minus_1970s,CE17,very_cold,0
1990s_minus_1970s,CE18,very_cold,0
1990s_minus_1970s,CE19,very_cold,0
1990s_minus_1970s,CE20,very_cold,0
1990s_minus_1970s,CE21,very_cold,0
1990s_minus_1970s,CE22,very_cold,0
1990s_minus_1970s,CE23,very_cold,0
1990s_minus_1970s,CE24,very_cold,0
1990s_minus_1970s,CE25,very_cold,0
1990s_minus_1970s,CE26,very_cold,0
1990s_minus_1970s,CE27,very_cold,0
1990s_minus_1970s,CE29,very_cold,0
1990s_minus_1970s,CE30,very_cold,0
1990s_minus_1970s,CE31,very_cold,0
1990s_minus_1970s,CE32,very_cold,0
1990s_minus_1970s,CE33,very_cold,0
1990s_minus_1970s,CE34,very_cold,0
1990s_minus_1970s,CE35,very_cold,0
1990s_minus_1970s,CE37,very_cold,0
1990s_minus_1970s,CE38,very_cold,0
1990s_minus_1970s,CE39,very_cold,0
1990s_minus_1970s,CE40,very_cold,0
1990s_minus_1970s,CE41,very_cold,0
1990s_minus_1970s,CE42,very_cold,0
1990s_minus_1970s,CE45,very_cold,0
1990s_minus_1970s,CE46,very_cold,0
1990s_minus_1970s,CE47,very_cold,0
1990s_minus_1970s,CE48,very_cold,0
1990s_minus_1970s,CE49,very_cold,0
1990s_minus_1970s,CE50,very_cold,0
1990s_minus_1970s,CE51,very_cold,0
1990s_minus_1970s,CE52,very_cold,0
1990s_minus_1970s,CE54,very_cold,0
1990s_minus_1970s,CE55,very_cold,0
1990s_minus_1970s,CE56,very_cold,0
1990s_minus_1970s,CE57,very_cold,0
1990s_minus_1970s,CE58,very_cold,0
1990s_minus_1970s,CE59,very_cold,0
1990s_minus_1970s,CE60,very_cold,0
1990s_minus_1970s,CE61,very_cold,0
1990s_minus_1970s,CE62,very_cold,0
1990s_minus_1970s,CE63,very_cold,0
1990s_minus_1970s,CE64,very_cold,0
1990s_minus_1970s,CE65,very_cold,0
1990s_minus_1970s,CE66,very_cold,0
1990s_minus_1970s,CE67,very_cold,0
1990s_minus_1970s,CE68,very_cold,0
1990s_minus_1970s,CE69,very_cold,0
1990s_minus_1970s,CE70,very_cold,0
1990s_minus_1970s,CE71,very_cold,0
1990s_minus_1970s,CE72,very_cold,0
1990s_minus_1970s,CE74,very_cold,0
1990s_minus_1970s,CE75,very_cold,0
1990s_minus_1970s,CE76,very_cold,0
1990s_minus_1970s,CE77,very_cold,0
1990s_minus_1970s,CE78,very_cold,0
1990s_minus_1970s,CE79,very_cold,0
1990s_minus_1970s,CE80,very_cold,0
1990s_minus_1970s,CE81,very_cold,0
1990s_minus_1970s,CE82,very_cold,0
1990s_minus_1970s,CE83,very_cold,0
1990s_minus_1970s,CE84,very_cold,0
1990s_minus_1970s,CE85,very_cold,0
1990s_minus_1970s,CE86,very_cold,0
1990s_minus_1970s,CE87,very_cold,0
1990s_minus_1970s,CE88,very_cold,0
1990s_minus_1970s,CE89,very_cold,0
1990s_minus_1970s,CE90,very_cold,0
1990s_minus_1970s,CE91,very_cold,0
1990s_minus_1970s,CE92,very_cold,0
1990s_minus_1970s,CE93,very_cold,0
1990s_minus_1970s,CE94,very_cold,0
1990s_minus_1970s,CE96,very_cold,0
1990s_minus_1970s,CE97,very_cold,0
1990s_minus_1970s,CE98,very_cold,0
1990s_minus_1970s,CE99,very_cold,0
1990s_minus_1970s,CF02,very_cold,0
1990s_minus_1970s,CF03,very_cold,0
1990s_minus_1970s,CF04,very_cold,0
1990s_minus_1970s,CF05,very_cold,0
1990s_minus_1970s,CF06,very_cold,0
1990s_minus_1970s,CF07,very_cold,0
1990s_minus_1970s,CF08,very_cold,0
1990s_minus_1970s,CF09,very_cold,0
1990s_minus_1970s,CF10,very_cold,0
1990s_minus_1970s,CF13,very_cold,0
1990s_minus_1970s,CF14,very_cold,0
1990s_minus_1970s,CF15,very_cold,0
1990s_minus_1970s,CF16,very_cold,0
1990s_minus_1970s,CF17,very_cold,0
1990s_minus_1970s,CF18,very_cold,0
1990s_minus_1970s,CF19,very_cold,0
1990s_minus_1970s,CF21,very_cold,0
1990s_minus_1970s,CF23,very_cold,0
1990s_minus_1970s,CF25,very_cold,0
1990s_minus_1970s,CF26,very_cold,0
1990s_minus_1970s,CF27,very_cold,0
1990s_minus_1970s,CF28,very_cold,0
1990s_minus_1970s,CF29,very_cold,0
1990s_minus_1970s,CF30,very_cold,0
