"site","richness_1990s","richness_2010s","delta_raptor_richness"
"DD93",0,0,0
"DE00",3,4,1
"DE01",2,4,2
"DE02",4,3,-1
"DE03",4,2,-2
"DE04",2,1,-1
"DE05",5,1,-4
"DE06",2,2,0
"DE07",5,1,-4
"DE08",4,2,-2
"DE09",4,6,2
"DE10",3,4,1
"DE11",3,5,2
"DE12",4,3,-1
"DE13",2,1,-1
"DE14",3,1,-2
"DE15",5,3,-2
"DE16",7,3,-4
"DE17",5,2,-3
"DE18",3,4,1
"DE19",4,3,-1
"DE20",2,4,2
"DE21",3,1,-2
"DE22",1,2,1
"DE23",3,3,0
"DE24",4,3,-1
"DE25",6,4,-2
"DE26",5,4,-1
"DE27",5,2,-3
"DE28",3,4,1
"DE29",3,3,0
"DE30",4,5,1
"DE31",3,6,3
"DE32",2,3,1
"DE33",1,2,1
"DE34",5,5,0
"DE35",3,2,-1
"DE36",4,4,0
"DE37",4,5,1
"DE38",3,4,1
"DE39",1,2,1
"DE40",1,3,2
"DE41",3,2,-1
"DE42",3,2,-1
"DE43",3,1,-2
"DE44",3,3,0
"DE45",1,1,0
"DE46",3,3,0
"DE47",1,2,1
"DE48",5,2,-3
"DE49",4,2,-2
"DE50",1,1,0
"DE51",3,3,0
"DE52",3,2,-1
"DE53",4,4,0
"DE54",2,1,-1
"DE55",2,1,-1
"DE56",3,2,-1
"DE57",2,3,1
"DE58",3,3,0
"DE59",4,3,-1
"DE65",0,0,0
"DE66",1,2,1
"DE67",2,2,0
"DE68",4,4,0
"DE69",1,3,2
"DE70",2,2,0
"DE75",2,2,0
"DE76",1,0,-1
"DE77",1,1,0
"DE78",2,3,1
"DE79",4,5,1
"DE80",0,0,0
"DE83",3,1,-2
"DE84",3,2,-1
"DE85",1,2,1
"DE86",2,2,0
"DE87",3,3,0
"DE88",3,4,1
"DE89",4,6,2
"DE90",3,0,-3
"DE91",3,2,-1
"DE93",0,1,1
"DE94",3,4,1
"DE95",1,2,1
"DE96",6,4,-2
"DE97",4,4,0
"DE98",5,3,-2
"DE99",3,3,0
"DF00",1,3,2
"DF01",3,2,-1
"DF02",5,4,-1
"DF04",3,4,1
"DF05",2,2,0
"DF06",3,2,-1
"DF07",2,3,1
"DF08",4,4,0
"DF09",1,3,2
"DF10",1,2,1
"DF14",1,4,3
"DF15",3,4,1
"DF16",5,7,2
"DF17",2,3,1
"DF18",4,4,0
"DF19",3,1,-2
"DF20",4,3,-1
"DF21",3,2,-1
"DF24",1,1,0
"DF25",3,6,3
"DF26",3,3,0
"DF27",1,1,0
"DF28",3,5,2
"DF29",3,4,1
"DF30",3,1,-2
"DF31",4,3,-1
"DF32",0,0,0
"DF36",1,0,-1
"DF37",2,3,1
"DF38",6,5,-1
"DF39",4,5,1
"DF40",4,4,0
"DF41",4,4,0
"DF42",4,3,-1
"DF43",4,4,0
"DF47",3,1,-2
"DF48",4,1,-3
"DF49",0,3,3
"DF50",0,0,0
"DF51",5,5,0
"DF52",3,2,-1
"DF55",0,3,3
"DF58",0,0,0
"DF59",3,3,0
"DF60",3,2,-1
"DF61",4,2,-2
"DF62",3,3,0
"DF65",1,3,2
"DF66",3,2,-1
"DF69",0,0,0
"DF70",3,2,-1
"DF71",4,3,-1
"DF72",3,3,0
"DF77",0,0,0
"DF80",3,3,0
"DF81",4,1,-3
"DF90",1,0,-1
"DF91",0,0,0
"DF96",3,2,-1
"DF97",3,4,1
"DF98",1,3,2
"DG00",3,1,-2
"DG05",0,0,0
"DG06",0,2,2
"DG07",2,5,3
"DG08",2,4,2
"DG09",0,3,3
"DG14",1,3,2
"DG15",0,4,4
"DG16",3,4,1
"DG17",5,3,-2
"DG18",1,1,0
"DG19",1,0,-1
"DG21",0,0,0
"DG22",3,2,-1
"DG23",3,5,2
"DG24",5,5,0
"DG25",3,4,1
"DG26",3,2,-1
"DG27",2,1,-1
"DG28",4,2,-2
"DG29",2,3,1
"DG30",1,1,0
"DG31",1,1,0
"DG32",2,2,0
"DG33",0,4,4
"DG34",4,3,-1
"DG35",3,2,-1
"DG36",2,2,0
"DG37",6,5,-1
"DG38",5,4,-1
"DG39",3,2,-1
"DG40",1,1,0
"DG41",3,1,-2
"DG42",2,3,1
"DG43",3,5,2
"DG44",2,2,0
"DG45",4,2,-2
"DG46",5,5,0
"DG47",4,0,-4
"DG48",5,6,1
"DG49",4,2,-2
"DG50",2,0,-2
"DG51",3,3,0
"DG52",2,1,-1
"DG53",3,3,0
"DG54",3,2,-1
"DG55",3,3,0
"DG56",5,3,-2
"DG57",6,2,-4
"DG58",5,1,-4
"DG59",6,2,-4
"DG60",2,2,0
"DG61",6,4,-2
"DG62",6,8,2
"DG63",6,6,0
"DG64",3,4,1
"DG65",2,3,1
"DG66",2,1,-1
"DG67",2,2,0
"DG68",3,2,-1
"DG69",4,1,-3
"DG70",3,4,1
"DG71",6,6,0
"DG72",6,4,-2
"DG73",5,3,-2
"DG74",4,3,-1
"DG75",3,4,1
"DG76",1,2,1
"DG77",1,1,0
"DG78",0,3,3
"DG79",4,3,-1
"DG80",1,2,1
"DG81",1,6,5
"DG82",5,7,2
"DG83",3,6,3
"DG84",3,7,4
"DG85",0,3,3
"DG86",0,3,3
"DG87",1,3,2
"DG88",1,3,2
"DG89",1,2,1
"DG90",2,5,3
"DG91",5,5,0
"DG92",3,2,-1
"DG93",2,2,0
"DG94",3,7,4
"DG95",3,6,3
"DG96",5,6,1
"DG97",4,4,0
"DG98",3,3,0
"DG99",1,2,1
"DH06",4,4,0
"DH07",5,3,-2
"DH08",2,3,1
"DH09",3,3,0
"DH16",3,3,0
"DH17",3,4,1
"DH18",4,4,0
"DH19",4,3,-1
"DH25",0,0,0
"DH26",0,2,2
"DH27",1,3,2
"DH28",3,3,0
"DH29",0,4,4
"DH36",2,4,2
"DH37",0,1,1
"DH38",1,2,1
"DH49",1,0,-1
"DH57",1,1,0
"DH58",0,0,0
"DH59",0,0,0
"DH66",0,2,2
"DH67",0,2,2
"DH69",1,2,1
"DH75",1,2,1
"DH76",0,1,1
"DH77",0,1,1
"DH78",0,0,0
"DH79",2,1,-1
"DH85",1,2,1
"DH86",2,2,0
"DH87",0,0,0
"DH88",1,2,1
"DH89",1,3,2
"DH95",0,0,0
"DH96",0,2,2
"DH97",0,1,1
"DH98",2,4,2
"DH99",3,3,0
"ED00",3,3,0
"ED01",3,1,-2
"ED02",4,2,-2
"ED03",3,1,-2
"EE08",2,4,2
"EE09",2,4,2
"EB01",2,0,-2
"EB02",0,0,0
"EB03",0,3,3
"EB04",2,3,1
"EB05",0,0,0
"EB06",2,0,-2
"EB07",2,1,-1
"EB08",1,3,2
"EB09",0,1,1
"EB10",1,1,0
"EB11",0,0,0
"EB12",1,2,1
"EB13",1,0,-1
"EB14",0,0,0
"ED10",3,3,0
"ED11",1,4,3
"ED12",4,1,-3
"ED13",3,1,-2
"ED20",3,4,1
"ED21",3,3,0
"ED22",5,3,-2
"ED23",5,4,-1
"ED30",4,0,-4
"ED31",3,2,-1
"ED32",0,0,0
"ED41",3,2,-1
"EE04",0,0,0
"EE05",3,2,-1
"EE06",2,2,0
"EE07",6,3,-3
"EE14",0,1,1
"EE15",2,3,1
"EE16",6,5,-1
"EE17",6,4,-2
"EE18",4,2,-2
"EE19",2,1,-1
"EE20",0,0,0
"EE24",0,0,0
"EE26",0,1,1
"EE27",2,5,3
"EE28",5,5,0
"EE29",2,1,-1
"EE38",5,1,-4
"EE39",2,5,3
"EE81",0,1,1
"EE90",1,1,0
"EE91",0,1,1
"EF00",2,2,0
"EF01",3,2,-1
"EF02",4,3,-1
"EF06",2,1,-1
"EF07",2,2,0
"EF08",2,3,1
"EF09",2,2,0
"EF10",5,1,-4
"EF11",1,1,0
"EF19",0,0,0
"EF20",1,2,1
"EF35",0,1,1
"EF44",0,2,2
"EF45",3,2,-1
"EF53",0,0,0
"EF54",0,0,0
"EF55",1,1,0
"EF60",1,0,-1
"EF61",1,1,0
"EF63",0,1,1
"EF64",1,4,3
"EF65",4,3,-1
"EF66",1,1,0
"EF68",0,0,0
"EF69",2,1,-1
"EF70",1,2,1
"EF71",2,4,2
"EF72",1,1,0
"EF73",0,1,1
"EF74",3,5,2
"EF75",3,3,0
"EF76",0,1,1
"EF78",1,2,1
"EF79",0,0,0
"EF80",2,2,0
"EF81",3,2,-1
"EF82",2,1,-1
"EF83",3,2,-1
"EF84",2,2,0
"EF85",1,3,2
"EF86",1,1,0
"EF87",0,0,0
"EF90",6,2,-4
"EF91",5,5,0
"EF92",4,4,0
"EF93",7,8,1
"EF94",6,4,-2
"EF95",0,0,0
"EF96",2,2,0
"EF97",3,1,-2
"EF98",0,2,2
"EG00",3,3,0
"EG01",4,4,0
"EG02",3,4,1
"EG03",1,4,3
"EG04",5,7,2
"EG05",5,3,-2
"EG06",2,6,4
"EG07",1,3,2
"EG08",3,3,0
"EG09",1,2,1
"EG10",3,5,2
"EG11",1,6,5
"EG12",2,3,1
"EG13",2,4,2
"EG14",4,4,0
"EG15",3,5,2
"EG16",0,3,3
"EG17",3,3,0
"EG18",2,1,-1
"EG19",4,1,-3
"EG21",0,1,1
"EG22",1,1,0
"EG23",1,3,2
"EG24",1,1,0
"EG25",5,6,1
"EG26",2,5,3
"EG27",0,4,4
"EG30",4,2,-2
"EG31",0,1,1
"EG33",0,0,0
"EG34",1,0,-1
"EG35",2,2,0
"EG36",0,0,0
"EG40",4,2,-2
"EG41",2,4,2
"EG42",4,2,-2
"EG44",0,0,0
"EG46",0,1,1
"EG67",4,1,-3
"EG72",1,0,-1
"EG73",2,1,-1
"EG74",2,2,0
"EG76",2,1,-1
"EG77",2,2,0
"EG78",1,1,0
"EG79",1,1,0
"EG83",2,2,0
"EG84",1,4,3
"EG85",4,2,-2
"EG86",2,1,-1
"EG87",3,1,-2
"EG88",3,1,-2
"EG89",0,2,2
"EG93",2,3,1
"EG94",3,2,-1
"EG95",4,3,-1
"EG96",3,2,-1
"EG97",1,4,3
"EG98",0,2,2
"EG99",5,1,-4
"EH05",1,0,-1
"EH06",0,1,1
"EH07",0,1,1
"EH08",1,2,1
"EH09",4,3,-1
"EH13",3,1,-2
"EH14",4,3,-1
"EH15",4,1,-3
"EH16",4,0,-4
"EH17",2,2,0
"EH18",1,2,1
"EH19",1,2,1
"EH23",4,2,-2
"EH24",6,3,-3
"EH25",6,3,-3
"EH26",5,3,-2
"EH27",3,2,-1
"EH28",1,1,0
"EH36",6,0,-6
"EH37",0,3,3
"EH38",4,3,-1
"EH39",6,6,0
"EH49",2,2,0
"EH54",1,1,0
"EH55",3,2,-1
"EH56",1,0,-1
"EH57",0,0,0
"EH63",3,2,-1
"EH64",4,3,-1
"EH65",3,3,0
"EH66",2,1,-1
"EH67",0,2,2
"EH68",0,0,0
"EH73",4,2,-2
"EH74",1,2,1
"EH75",3,2,-1
"EH76",2,1,-1
"EH77",3,1,-2
"EH78",2,1,-1
"EH83",2,1,-1
"EH84",5,4,-1
"EH85",4,3,-1
"EH86",2,2,0
"EH87",4,1,-3
"EH88",1,2,1
"EH92",2,4,2
"EH93",2,4,2
"EH94",3,4,1
"EH95",1,1,0
"EH96",4,3,-1
"EH97",6,2,-4
"EH98",4,1,-3
"FD01",0,0,0
"FD02",1,1,0
"FD03",0,0,0
"FE00",0,0,0
"FE10",3,4,1
"FE20",4,2,-2
"FE30",4,4,0
"FE36",0,0,0
"FE40",2,2,0
"FE41",2,2,0
"FE50",2,1,-1
"FE51",3,3,0
"FE60",5,4,-1
"FE61",3,4,1
"FE62",2,1,-1
"FE70",5,4,-1
"FE71",3,4,1
"FE72",3,5,2
"FE73",0,1,1
"FE80",4,4,0
"FE81",4,6,2
"FE82",4,5,1
"FE83",3,3,0
"FE90",3,3,0
"FE91",3,6,3
"FE92",2,2,0
"FE93",1,2,1
"FE94",1,2,1
"FF00",2,1,-1
"FF01",2,2,0
"FF02",5,4,-1
"FF03",6,3,-3
"FF04",3,4,1
"FF05",1,0,-1
"FF06",0,3,3
"FF07",1,2,1
"FF08",0,2,2
"FF10",6,5,-1
"FF11",0,3,3
"FF12",3,5,2
"FF13",1,5,4
"FF14",4,5,1
"FF15",0,1,1
"FF16",0,2,2
"FF17",2,1,-1
"FF18",4,4,0
"FF19",1,2,1
"FF20",0,4,4
"FF21",1,0,-1
"FF22",5,2,-3
"FF23",1,1,0
"FF24",1,5,4
"FF25",1,2,1
"FF26",1,4,3
"FF27",4,5,1
"FF28",2,1,-1
"FF29",3,3,0
"FF30",6,5,-1
"FF31",2,1,-1
"FF32",2,1,-1
"FF33",2,2,0
"FF34",0,2,2
"FF35",1,0,-1
"FF36",2,3,1
"FF37",0,2,2
"FF38",4,3,-1
"FF39",3,2,-1
"FF40",5,6,1
"FF41",2,2,0
"FF42",1,2,1
"FF43",2,1,-1
"FF44",2,3,1
"FF45",1,2,1
"FF46",0,1,1
"FF47",0,3,3
"FF48",0,2,2
"FF49",4,1,-3
"FF50",6,6,0
"FF51",3,6,3
"FF52",1,1,0
"FF53",2,3,1
"FF54",5,7,2
"FF55",1,2,1
"FF56",1,1,0
"FF57",2,2,0
"FF60",2,6,4
"FF61",2,7,5
"FF62",4,7,3
"FF63",3,3,0
"FF64",3,0,-3
"FF65",1,0,-1
"FF66",4,5,1
"FF67",4,6,2
"FF68",1,0,-1
"FF69",4,5,1
"FF70",4,4,0
"FF71",3,4,1
"FF72",1,2,1
"FF73",2,3,1
"FF74",3,4,1
"FF75",0,3,3
"FF76",3,3,0
"FF77",2,1,-1
"FF78",3,4,1
"FF79",5,6,1
"FF80",4,3,-1
"FF81",4,4,0
"FF82",2,2,0
"FF83",2,2,0
"FF84",2,3,1
"FF85",1,4,3
"FF86",6,6,0
"FF87",2,2,0
"FF88",1,4,3
"FF89",1,1,0
"FF90",4,3,-1
"FF91",2,3,1
"FF92",2,2,0
"FF93",2,2,0
"FF94",1,1,0
"FF95",2,2,0
"FF96",2,3,1
"FF97",2,4,2
"FF98",3,3,0
"FF99",3,1,-2
"FG00",0,1,1
"FG03",1,2,1
"FG04",3,3,0
"FG05",1,2,1
"FG06",1,2,1
"FG07",2,2,0
"FG08",3,3,0
"FG09",1,2,1
"FG13",1,0,-1
"FG14",4,4,0
"FG15",1,3,2
"FG16",0,2,2
"FG17",2,4,2
"FG18",5,4,-1
"FG19",3,4,1
"FG23",0,1,1
"FG24",1,1,0
"FG25",0,2,2
"FG26",6,2,-4
"FG27",6,4,-2
"FG28",6,5,-1
"FG29",3,4,1
"FG31",0,0,0
"FG33",0,3,3
"FG34",1,1,0
"FG35",2,1,-1
"FG36",0,3,3
"FG37",5,5,0
"FG38",5,3,-2
"FG39",2,3,1
"FG41",3,0,-3
"FG42",2,1,-1
"FG43",4,4,0
"FG44",4,3,-1
"FG45",5,3,-2
"FG46",0,4,4
"FG47",4,6,2
"FG48",3,3,0
"FG49",0,1,1
"FG50",1,1,0
"FG51",3,3,0
"FG52",0,3,3
"FG53",5,5,0
"FG54",3,1,-2
"FG55",2,1,-1
"FG56",6,7,1
"FG57",3,5,2
"FG58",2,2,0
"FG59",1,1,0
"FG60",1,3,2
"FG61",2,1,-1
"FG62",2,2,0
"FG63",3,3,0
"FG64",2,2,0
"FG65",4,1,-3
"FG66",5,6,1
"FG67",0,0,0
"FG68",3,0,-3
"FG69",5,2,-3
"FG70",4,4,0
"FG71",0,3,3
"FG72",3,1,-2
"FG73",0,2,2
"FG74",5,0,-5
"FG75",6,4,-2
"FG76",6,2,-4
"FG77",4,4,0
"FG78",0,1,1
"FG79",4,4,0
"FG80",3,0,-3
"FG81",0,1,1
"FG82",1,3,2
"FG83",3,1,-2
"FG84",3,1,-2
"FG85",4,1,-3
"FG86",6,2,-4
"FG87",5,3,-2
"FG88",4,2,-2
"FG89",4,5,1
"FG92",3,4,1
"FG93",4,1,-3
"FG94",1,2,1
"FG95",5,2,-3
"FG96",0,2,2
"FG97",5,1,-4
"FG98",2,2,0
"FG99",5,1,-4
"FH01",1,3,2
"FH02",0,1,1
"FH03",2,1,-1
"FH04",3,6,3
"FH05",3,5,2
"FH06",4,1,-3
"FH07",2,2,0
"FH08",2,3,1
"FH10",1,0,-1
"FH11",4,4,0
"FH12",1,1,0
"FH13",1,2,1
"FH14",2,4,2
"FH15",3,2,-1
"FH16",3,4,1
"FH17",1,0,-1
"FH18",0,2,2
"FH20",0,0,0
"FH21",2,2,0
"FH22",4,2,-2
"FH23",6,4,-2
"FH24",5,7,2
"FH25",3,4,1
"FH27",0,0,0
"FH28",2,1,-1
"FH29",2,0,-2
"FH31",1,0,-1
"FH32",2,4,2
"FH33",7,6,-1
"FH34",5,3,-2
"FH35",2,1,-1
"FH36",5,2,-3
"FH37",0,0,0
"FH42",4,5,1
"FH43",3,3,0
"FH44",5,4,-1
"FH45",2,2,0
"FH46",1,5,4
"FH47",0,0,0
"FH48",1,2,1
"FH51",0,0,0
"FH52",4,3,-1
"FH53",4,0,-4
"FH54",5,4,-1
"FH55",3,1,-2
"FH56",1,3,2
"FH57",1,3,2
"FH58",2,3,1
"FH60",0,0,0
"FH61",0,0,0
"FH62",5,3,-2
"FH63",5,3,-2
"FH64",4,3,-1
"FH65",4,4,0
"FH66",0,4,4
"FH67",1,3,2
"FH68",1,1,0
"FH69",1,1,0
"FH70",2,0,-2
"FH71",3,4,1
"FH72",1,1,0
"FH73",1,3,2
"FH74",4,4,0
"FH75",5,2,-3
"FH76",6,3,-3
"FH77",2,1,-1
"FH78",1,1,0
"FH79",1,3,2
"FH80",2,2,0
"FH81",5,3,-2
"FH82",1,1,0
"FH83",2,3,1
"FH84",2,2,0
"FH85",4,4,0
"FH86",5,5,0
"FH87",3,3,0
"FH88",1,2,1
"FH89",3,2,-1
"FG90",0,2,2
"FG91",3,7,4
"FH94",2,1,-1
"FH95",3,0,-3
"FH96",2,3,1
"FH97",2,2,0
"FH98",2,3,1
"FH99",2,4,2
"GE00",5,6,1
"GE01",5,8,3
"GE02",5,5,0
"GE03",4,4,0
"GE04",4,3,-1
"GE10",4,4,0
"GE11",5,7,2
"GE12",5,4,-1
"GE13",5,8,3
"GE14",1,3,2
"GE20",5,7,2
"GE21",4,5,1
"GE22",4,3,-1
"GE23",5,7,2
"GE24",2,3,1
"GE30",3,6,3
"GE31",3,2,-1
"GE32",5,8,3
"GE33",5,7,2
"GE34",3,2,-1
"GE40",3,2,-1
"GE41",2,2,0
"GE42",3,2,-1
"GE43",5,6,1
"GE44",0,0,0
"GF00",2,2,0
"GF01",2,2,0
"GF02",2,3,1
"GF03",3,3,0
"GF04",2,2,0
"GF05",5,3,-2
"GF06",3,3,0
"GF07",2,4,2
"GF08",4,7,3
"GF09",4,6,2
"GF12",1,0,-1
"GF13",1,3,2
"GF14",2,2,0
"GF15",4,3,-1
"GF16",4,4,0
"GF17",6,5,-1
"GF18",4,5,1
"GF19",3,4,1
"GF23",2,3,1
"GF24",2,3,1
"GF25",3,4,1
"GF26",3,3,0
"GF27",5,6,1
"GF28",3,4,1
"GF29",6,5,-1
"GF33",2,2,0
"GF34",2,3,1
"GF35",2,4,2
"GF36",2,3,1
"GF37",3,4,1
"GF38",3,4,1
"GF39",4,5,1
"GF42",1,0,-1
"GF43",3,4,1
"GF44",2,2,0
"GF45",2,2,0
"GF46",2,4,2
"GF47",4,4,0
"GF48",5,3,-2
"GF49",3,3,0
"GF52",2,3,1
"GF53",3,3,0
"GF54",2,3,1
"GF55",2,1,-1
"GF56",1,1,0
"GF57",0,1,1
"GF63",1,1,0
"GF64",0,0,0
"GF65",0,0,0
"GF66",0,0,0
"GF73",0,0,0
"GF74",1,2,1
"GF75",1,0,-1
"GG00",1,2,1
"GG01",2,3,1
"GG02",3,3,0
"GG04",2,0,-2
"GG05",4,1,-3
"GG06",4,1,-3
"GG07",4,0,-4
"GG08",6,2,-4
"GG09",4,4,0
"GG10",3,3,0
"GG11",5,2,-3
"GG15",5,2,-3
"GG16",1,2,1
"GG17",3,1,-2
"GG18",3,3,0
"GG19",0,0,0
"GG20",1,4,3
"GG25",2,2,0
"GG26",3,3,0
"GG27",5,5,0
"GG28",6,4,-2
"GG30",2,2,0
"GG35",0,2,2
"GG36",1,3,2
"GG37",2,5,3
"GG38",0,3,3
"GG40",3,4,1
"GG50",2,0,-2
"GH05",3,3,0
"GH06",3,2,-1
"GH07",2,3,1
"GH08",2,3,1
"GH09",2,2,0
"GH17",2,2,0
"GH18",2,1,-1
"GH19",1,3,2
"GH29",1,3,2
"GH39",2,1,-1
"GH49",5,5,0
"GH59",5,4,-1
"HA03",3,4,1
"HA04",3,2,-1
"HA05",2,4,2
"HA06",3,3,0
"HA07",3,7,4
"HA08",2,4,2
"HA12",0,0,0
"HA13",3,5,2
"HA14",3,3,0
"HA15",1,3,2
"HA16",3,5,2
"HA17",3,4,1
"HA18",4,4,0
"HA22",1,0,-1
"HA23",2,4,2
"HA24",5,5,0
"HA25",4,4,0
"HA26",4,7,3
"HA27",2,0,-2
"HA31",0,0,0
"HA32",2,3,1
"HA33",4,3,-1
"HA34",4,6,2
"HA35",4,3,-1
"HA36",3,1,-2
"HA41",1,1,0
"HA42",1,5,4
"HA43",5,4,-1
"HA44",7,2,-5
"HA45",2,3,1
"HA46",0,0,0
"HA51",0,0,0
"HA52",3,3,0
"HA53",3,2,-1
"HA54",5,2,-3
"HA55",2,1,-1
"HA63",0,0,0
"HA64",0,0,0
"HA69",0,0,0
