"site","richness_1990s","richness_2010s","delta_raptor_richness"
"BF00",2,2,0
"BF01",2,2,0
"BF02",7,3,-4
"BF03",4,2,-2
"BF04",5,3,-2
"BF05",5,4,-1
"BF06",4,4,0
"BF07",2,3,1
"BF08",1,1,0
"BF10",0,0,0
"BF11",4,2,-2
"BF12",3,4,1
"BF13",1,2,1
"BF14",3,3,0
"BF15",1,1,0
"BF16",2,2,0
"BF17",2,1,-1
"BF18",1,0,-1
"BF20",2,3,1
"BF21",3,1,-2
"BF22",6,2,-4
"BF23",3,3,0
"BF24",2,3,1
"BF25",3,3,0
"BF26",3,3,0
"BF27",1,2,1
"BF28",3,2,-1
"BF29",2,3,1
"BF30",2,3,1
"BF31",3,1,-2
"BF32",4,3,-1
"BF33",4,3,-1
"BF34",3,4,1
"BF35",2,4,2
"BF36",3,2,-1
"BF37",1,1,0
"BF38",3,4,1
"BF39",1,3,2
"BF40",3,2,-1
"BF41",1,2,1
"BF42",1,3,2
"BF43",3,3,0
"BF44",1,1,0
"BF45",1,4,3
"BF46",2,2,0
"BF47",2,2,0
"BF48",3,1,-2
"BF49",5,3,-2
"BF50",3,1,-2
"BF51",3,2,-1
"BF52",4,3,-1
"BF53",3,3,0
"BF54",1,1,0
"BF55",2,3,1
"BF56",2,1,-1
"BF57",0,1,1
"BF58",1,1,0
"BF59",5,5,0
"BF60",3,2,-1
"BF61",2,4,2
"BF62",1,2,1
"BF63",3,2,-1
"BF64",3,2,-1
"BF65",3,3,0
"BF66",4,2,-2
"BF67",1,2,1
"BF68",3,2,-1
"BF69",4,0,-4
"BF70",3,1,-2
"BF71",0,3,3
"BF72",4,3,-1
"BF73",2,2,0
"BF74",3,2,-1
"BF75",2,1,-1
"BF76",2,1,-1
"BF77",2,2,0
"BF78",1,2,1
"BF79",2,3,1
"BF80",4,3,-1
"BF81",1,1,0
"BF82",4,2,-2
"BF83",4,2,-2
"BF84",1,1,0
"BF85",4,2,-2
"BF86",2,1,-1
"BF87",4,2,-2
"BF88",3,0,-3
"BF89",1,1,0
"BF90",4,2,-2
"BF91",3,1,-2
"BF92",4,3,-1
"BF93",5,1,-4
"BF94",1,3,2
"BF95",4,3,-1
"BF96",3,2,-1
"BF97",4,1,-3
"BF98",2,2,0
"BF99",2,1,-1
"BG09",0,0,0
"BG19",0,0,0
"BG26",0,0,0
"BG27",3,3,0
"BG28",3,1,-2
"BG29",2,3,1
"BG30",0,0,0
"BG31",6,2,-4
"BG32",4,1,-3
"BG33",2,0,-2
"BG36",0,1,1
"BG37",0,1,1
"BG38",0,0,0
"BG39",2,3,1
"BG40",0,1,1
"BG41",2,0,-2
"BG42",1,0,-1
"BG43",2,0,-2
"BG45",1,3,2
"BG48",0,0,0
"BG49",4,3,-1
"BG50",2,4,2
"BG51",2,1,-1
"BG52",1,0,-1
"BG53",1,0,-1
"BG54",1,1,0
"BG55",4,2,-2
"BG56",0,0,0
"BG57",0,2,2
"BG58",3,0,-3
"BG59",1,1,0
"BG60",2,4,2
"BG61",3,3,0
"BG62",4,4,0
"BG63",2,3,1
"BG64",6,1,-5
"BG65",4,5,1
"BG66",4,4,0
"BG67",1,3,2
"BG68",3,3,0
"BG69",0,1,1
"BG70",2,2,0
"BG71",1,1,0
"BG72",0,3,3
"BG73",3,1,-2
"BG74",1,2,1
"BG75",4,2,-2
"BG76",4,4,0
"BG77",1,1,0
"BG78",2,3,1
"BG79",4,2,-2
"BG80",2,2,0
"BG81",4,2,-2
"BG82",2,3,1
"BG83",2,4,2
"BG84",3,2,-1
"BG85",3,1,-2
"BG86",5,1,-4
