base_site,site_from,site_to,X,Y,predictor,predictor_label,coefficient,local_t,abs_local_t,direction,local_r2,trait_family,trait_value,n_species,model_set,supported,dominant_driver,dominant_direction
DH28,DH28,DH28,562500.1479966408,6092499.930620275,hh,Land-use heterogeneity,-0.004707109502358904,-5.693769338500823,5.693769338500823,Negative,0.30664688471809637,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
DH36,DH36,DH36,567500.1276941404,6082499.895786983,hh,Land-use heterogeneity,-0.004338650536376696,-4.945628762529572,4.945628762529572,Negative,0.3155877587729572,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
DH37,DH37,DH37,567500.1504468835,6087499.901725202,hh,Land-use heterogeneity,-0.004432288303694389,-5.158796314910848,5.158796314910848,Negative,0.31581877378381557,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
DH67,DH67,DH67,582500.150456362,6087499.846226105,hh,Land-use heterogeneity,-0.003657482069552165,-3.902554247842778,3.902554247842778,Negative,0.33925142466701813,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
DH75,DH75,DH75,587500.1331639127,6077499.873700988,perc_forest,Forest,-0.003755092275418632,-3.2383391261492163,3.2383391261492163,Negative,0.3348935543296277,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
DH76,DH76,DH76,587500.1690374067,6082499.854533708,perc_forest,Forest,-0.0038700029084899872,-3.407911075092537,3.407911075092537,Negative,0.33783653320349033,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
DH85,DH85,DH85,592500.1356770925,6077499.908513531,perc_forest,Forest,-0.0036145573997044653,-3.0452046910415165,3.0452046910415165,Negative,0.33855671728471276,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
DH86,DH86,DH86,592500.1422768618,6082499.831678937,perc_forest,Forest,-0.003738134584374325,-3.2161985863212013,3.2161985863212013,Negative,0.3428856502276738,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
DH98,DH98,DH98,597500.1549924235,6092499.78831973,perc_forest,Forest,-0.0038006365349153434,-3.3301846509877278,3.3301846509877278,Negative,0.3558887241951411,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
DH99,DH99,DH99,597500.1873019559,6097499.787314182,perc_forest,Forest,-0.0038717927509093527,-3.46693121276383,3.46693121276383,Negative,0.3606636324451392,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
