variable,predictor_label,n_sites,min_delta,q10_delta,median_delta,mean_delta,q90_delta,max_delta,sd_delta,prop_positive,prop_zero,prop_negative
tmean_breeding,Temperature,1776,1.0431447310466613,1.0691887328084908,1.1432688239924493,1.166075574822343,1.2902356471425147,1.4148272511561704,0.08658277654253788,1,0,0
prec_breeding,Precipitation,1776,37.30812883850899,64.7303929627245,75.44205569385801,76.22566845605704,89.322979698463,107.23299608429298,10.600787063580594,1,0,0
hh,Land-use heterogeneity,1776,-0.344189027897861,-0.05219682663314196,0.020709709646520247,0.062003502519162035,0.24079283313947708,0.6130169143471758,0.12453054756068756,0.6227477477477478,0.05912162162162162,0.31813063063063063
perc_urban,Urban,1776,-0.18657329977247783,0,0,0.018701331002944264,0.073064004227201,0.3678924716576145,0.04401874318659405,0.3885135135135135,0.543918918918919,0.06756756756756757
perc_cropland,Cropland,1776,-0.494547392832196,-0.21253204039348256,-0.025302527806218,-0.056888334729859956,0.04870933807135043,0.5140989581212789,0.11283135998622783,0.23873873873873874,0.14245495495495494,0.6188063063063063
perc_pasture,Pasture,1776,-0.4383652993019779,-0.05672342085832864,0,-0.0030859163253946125,0.0487093323857709,0.381049823619067,0.06411020342686834,0.2916666666666667,0.4560810810810811,0.25225225225225223
perc_forest,Forest,1776,-0.4162279521598711,-0.02215429863992085,0,0.027693910910736398,0.1131620499948375,0.614591634846807,0.07188363908141222,0.49268018018018017,0.35135135135135137,0.15596846846846846
perc_grass_shrub,Grass/Shrubland,1776,-0.5011133137077418,-0.09148184953112251,0,0.012991395739266822,0.12133332279917058,0.4171192713134,0.09111115912383148,0.4752252252252252,0.1981981981981982,0.32657657657657657
