trait_family,trait_value,n_species,model_set,predictor,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_r2_max,max_abs_local_t,status
Migratory strategy,long-distance,44,single_predictor,Temperature,1776,100000,-8399.238035614082,0.9032380240881628,0.369362518221254,0.3176884511825142,0.6329531920912304,15.122257277219129,ok
Migratory strategy,sedentary,35,single_predictor,Land-use heterogeneity,1776,100000,-7396.551428747367,1.5812914701923377,0.11292761462592073,0.0843315946469102,0.6491683796795856,2.5447044972151773,ok
Migratory strategy,sedentary,35,single_predictor,Cropland,1776,100000,-7401.796643921801,1.5768121036415508,0.11569415852325496,0.08720628489724525,0.6000608302287413,3.213737632344812,ok
Migratory strategy,sedentary,35,single_predictor,Forest,1776,100000,-7400.082235600518,1.5771889702372877,0.11388439201138661,0.0890995214389175,0.5846302161675512,4.038431566325241,ok
Migratory strategy,sedentary,35,single_predictor,Grass/Shrubland,1776,100000,-7398.55102152688,1.5783602963569094,0.11311125162841167,0.08542648950156737,0.6176002798745035,2.5311760727723795,ok
Migratory strategy,sedentary,35,single_predictor,Pasture,1776,100000,-7398.996456735413,1.5771774455959706,0.11578466901311052,0.0866118572796045,0.5855130762339209,3.7266516624047377,ok
Migratory strategy,sedentary,35,single_predictor,Urban,1776,100000,-7391.587313368796,1.5856448259300409,0.11001742783852499,0.08012293566356898,0.5876709966070071,3.0746784302664167,ok
Migratory strategy,sedentary,35,single_predictor,Precipitation,1776,100000,-7408.382348207196,1.5733594290872959,0.11221254143332637,0.08629983063087335,0.5835061934857321,4.788296590936676,ok
Migratory strategy,sedentary,35,single_predictor,Temperature,1776,100000,-7405.181675465747,1.5808256143186894,0.11295120652623931,0.09058111784677547,0.5847652698547412,5.789689460702051,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Land-use heterogeneity,1776,100000,-9463.767083380397,0.4937475725411703,0.28694559466065234,0.2980332440589253,0.49279611210977886,7.158525707951706,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Cropland,1776,100000,-9458.391558691861,0.4953020605036112,0.2836329551299329,0.2872488412462678,0.45924355103341047,6.21038788623738,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Forest,1776,100000,-9448.153625702065,0.49780381739768875,0.2831018852768274,0.2861987385942607,0.46603235230909723,6.0783611234991675,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Grass/Shrubland,1776,100000,-9447.10523969904,0.4980381034733882,0.28049804193950745,0.2807702331195785,0.46787782360362573,5.262513827347271,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Pasture,1776,100000,-9416.759550015073,0.5063682815923168,0.2718455519547877,0.27089181110903554,0.45734620542648835,2.9636576332569637,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Urban,1776,100000,-9427.330724245387,0.5039587972692063,0.2749600041473675,0.2723053646740589,0.4552242844384125,4.561510400641409,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Precipitation,1776,100000,-9460.331064136404,0.49551213645429715,0.28378420580348007,0.27996511223492687,0.4940630568397242,10.253137958247796,ok
Migratory strategy,sedentary and short-distance,31,single_predictor,Temperature,1776,100000,-9427.182108533205,0.5063300720339872,0.2704905871683674,0.2648736631359423,0.46459255047799014,16.30251357333661,ok
Migratory strategy,short-and long-distance,8,single_predictor,Land-use heterogeneity,1776,100000,-13568.054931900215,0.04896234396454163,0.10019003714568718,0.09440183486561983,0.5069171283579151,7.121297469525405,ok
Migratory strategy,short-and long-distance,8,single_predictor,Cropland,1776,100000,-13568.116401395693,0.04896636047449891,0.10085023785709078,0.09798384981336114,0.5063627662087798,7.077583830202028,ok
Migratory strategy,short-and long-distance,8,single_predictor,Forest,1776,100000,-13509.071663958897,0.0505848998071099,0.07385559506594314,0.054034562276289694,0.5090161817171533,4.576460076059652,ok
Migratory strategy,short-and long-distance,8,single_predictor,Grass/Shrubland,1776,100000,-13504.25395985885,0.05071623120235491,0.068965289884691,0.052149730774562,0.49162215441552337,4.229167756985415,ok
Migratory strategy,short-and long-distance,8,single_predictor,Pasture,1776,100000,-13589.660875940575,0.048310920448579986,0.11815965985028855,0.10787881924302876,0.49350906624573115,7.475789691125028,ok
Migratory strategy,short-and long-distance,8,single_predictor,Urban,1776,100000,-13492.62413853592,0.05108433789853469,0.062072263478366856,0.04760309892626217,0.49910784372871,3.711315282269897,ok
Migratory strategy,short-and long-distance,8,single_predictor,Precipitation,1776,100000,-13555.456446032516,0.04939148325872391,0.08601544493742189,0.05821344794770425,0.513600638611689,7.9996965535261735,ok
Migratory strategy,short-and long-distance,8,single_predictor,Temperature,1776,100000,-13513.307006879095,0.05072621162480112,0.0684731780801703,0.050836589348370854,0.5359455076155047,6.6877030303645775,ok
Migratory strategy,short-distance,39,single_predictor,Land-use heterogeneity,1776,100000,-9414.694366137865,0.5075805585177795,0.08450824859390889,0.06751658626975672,0.7049319556994137,5.832327967943129,ok
Migratory strategy,short-distance,39,single_predictor,Cropland,1776,100000,-9440.400255867655,0.5003450887076089,0.09911647017743738,0.08988485578496125,0.7104696542026036,6.737695830877079,ok
Migratory strategy,short-distance,39,single_predictor,Forest,1776,100000,-9397.915727955706,0.5120862987221806,0.07430543471493053,0.06065894274825237,0.7101671306885912,5.616098365081637,ok
Migratory strategy,short-distance,39,single_predictor,Grass/Shrubland,1776,100000,-9397.57766142333,0.5121224399751743,0.07608845525182988,0.06157936362585979,0.7048002765971746,5.850073051534004,ok
Migratory strategy,short-distance,39,single_predictor,Pasture,1776,100000,-9393.990868940256,0.5129018170513382,0.07703058635767966,0.0648017488146406,0.725816863990966,4.802480384012687,ok
Migratory strategy,short-distance,39,single_predictor,Urban,1776,100000,-9363.818163673122,0.5223072886095175,0.05708201756117679,0.04256892389566337,0.7103513608783995,2.74335187751763,ok
Migratory strategy,short-distance,39,single_predictor,Precipitation,1776,100000,-9423.575765631394,0.5058738843358132,0.08166855698161765,0.04561869988394648,0.7152538728407911,10.29211001627139,ok
Migratory strategy,short-distance,39,single_predictor,Temperature,1776,100000,-9392.646714426823,0.5162723197297546,0.062262929451900276,0.03653712770653186,0.7838509501982704,6.176257986794413,ok
