trait_family,trait_value,n_species,model_set,predictor,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_r2_max,max_abs_local_t,status
Foraging guild,Gulls,5,single_predictor,Cropland,1776,100000,-12478.455126713116,0.09043953957410163,0.0798527065846094,0.07505047208758235,0.23837854078266185,4.786223760508548,ok
Foraging guild,Gulls,5,single_predictor,Forest,1776,100000,-12461.17410274933,0.09125753090866501,0.07207267589703584,0.0660012944351003,0.23055374535097845,2.7285695812329123,ok
Foraging guild,Gulls,5,single_predictor,Grass/Shrubland,1776,100000,-12471.836279830693,0.09070044493691701,0.07675663412595196,0.06742057198108356,0.23743793187050172,4.087972205783488,ok
Foraging guild,Gulls,5,single_predictor,Pasture,1776,100000,-12476.203029183936,0.09043258148603658,0.07973518583379577,0.07718242454496405,0.3763645554498869,4.315978236701877,ok
Foraging guild,Gulls,5,single_predictor,Urban,1776,100000,-12490.562618919888,0.08981048965522577,0.08892463886200158,0.08322022406031698,0.47401777978760423,5.274526732629277,ok
Foraging guild,Gulls,5,single_predictor,Precipitation,1776,100000,-12469.076256825549,0.09105635154843016,0.07149633291681833,0.05634171742038599,0.237938003025173,5.243224112688626,ok
Foraging guild,Gulls,5,single_predictor,Temperature,1776,100000,-12478.792692476982,0.0908254534100742,0.07274435711967357,0.0602994498844026,0.2446725926380089,6.622771001218794,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Land-use heterogeneity,1776,100000,-10237.955792973791,0.3192924115737099,0.265673244162442,0.24899296742178256,0.7851857565288318,3.4336793342340606,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Cropland,1776,100000,-10238.193708223911,0.31928688121544074,0.26581414684019655,0.24799763360799243,0.8018662539819679,3.8734679313841602,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Forest,1776,100000,-10237.941293730888,0.31910040258545735,0.2645230968939413,0.24070707707458416,0.8286558720208396,3.3782463930334314,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Grass/Shrubland,1776,100000,-10247.03188486434,0.31743321191892493,0.26817591016293546,0.2505963189397859,0.784960438617374,3.8789862770917103,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Pasture,1776,100000,-10262.097900854904,0.31459479089925646,0.27290115273160565,0.25266921967523615,0.7845837292611704,5.750527609647065,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Urban,1776,100000,-10233.623891224574,0.32005748265337175,0.2633131749364453,0.24637302917915502,0.7847683498841826,3.7562152104225763,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Precipitation,1776,100000,-10281.728487922497,0.31202811545574943,0.2736450028232247,0.2505825726149177,0.7864977082702101,8.595156707109744,ok
Foraging guild,Low flycatching feeders,9,single_predictor,Temperature,1776,100000,-10259.94096789796,0.3168070833493381,0.2671464999714145,0.2458838732788629,0.7850036659402942,9.758025766403362,ok
Foraging guild,Marsh warblers,6,single_predictor,Land-use heterogeneity,1776,100000,-11135.843674532056,0.19258542715975804,0.18688603137175783,0.17255852883725087,0.552655855293487,5.016134397474456,ok
Foraging guild,Marsh warblers,6,single_predictor,Cropland,1776,100000,-11146.598409714265,0.19144506087460528,0.19097412000125477,0.18074096524140176,0.5554003767444071,5.632373411659136,ok
Foraging guild,Marsh warblers,6,single_predictor,Forest,1776,100000,-11136.500187331532,0.19239690886993205,0.18882315365018368,0.17377985463671874,0.5526317053152929,4.8432815303908034,ok
Foraging guild,Marsh warblers,6,single_predictor,Grass/Shrubland,1776,100000,-11123.092800339326,0.1938316303707946,0.18122189433188898,0.15811496375830408,0.5521972974994735,3.7146148144409556,ok
Foraging guild,Marsh warblers,6,single_predictor,Pasture,1776,100000,-11112.096075919731,0.19493825289207908,0.17666651957149299,0.15415643875648838,0.5624830680989429,2.7592320939155948,ok
Foraging guild,Marsh warblers,6,single_predictor,Urban,1776,100000,-11115.509342977637,0.19479417517946687,0.17718465486716006,0.15564427266099068,0.560697649545602,2.5364351778299867,ok
Foraging guild,Marsh warblers,6,single_predictor,Precipitation,1776,100000,-11131.852667295148,0.1933340985667064,0.1812094426100398,0.15352599475288997,0.5871351242277867,5.366257506806697,ok
Foraging guild,Marsh warblers,6,single_predictor,Temperature,1776,100000,-11130.209772272905,0.1940812333575226,0.18016772316127366,0.15467459143781653,0.5651986298142616,8.322839254584357,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Land-use heterogeneity,1776,100000,-10951.872627424655,0.21360470500923734,0.23310003392983591,0.18110775525544448,0.5207072687832742,3.0259875984469926,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Cropland,1776,100000,-10961.694995731337,0.2124513799021404,0.2376501513573426,0.1859476570307818,0.5218663602001586,4.1018930289066,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Forest,1776,100000,-10980.984283737633,0.2100038225079362,0.24398531745082125,0.1955461626495552,0.5361487185972403,4.603185890125928,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Grass/Shrubland,1776,100000,-10951.864753968255,0.2134498874296526,0.23258557610701405,0.17911802469748184,0.5181087430500763,3.021472516996586,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Pasture,1776,100000,-10948.64957773686,0.21373000134853704,0.23181534686431557,0.1833209685610443,0.5233883057937615,2.923326941745529,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Urban,1776,100000,-10971.779565045643,0.21121412265631617,0.24182216175286794,0.19006448275745375,0.518378245939627,5.506034543190329,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Precipitation,1776,100000,-10968.391210667196,0.21197299435286854,0.2355192687326638,0.18364078308414322,0.5189979976082957,6.131408644509537,ok
Foraging guild,Omnivorous corvids,7,single_predictor,Temperature,1776,100000,-10961.145881132927,0.21346447651249864,0.23123932571008796,0.1869404820596669,0.5217892789485833,8.953480139308205,ok
Foraging guild,Open-land insectivores,6,single_predictor,Land-use heterogeneity,1776,100000,-12531.802963590717,0.08775305877141244,0.09128042294946524,0.08108096306281135,0.35151416835586907,3.8713614613507983,ok
Foraging guild,Open-land insectivores,6,single_predictor,Cropland,1776,100000,-12533.133133065408,0.08769758752243415,0.0907280683935535,0.08309075943510423,0.3508455504264223,4.964668725096162,ok
Foraging guild,Open-land insectivores,6,single_predictor,Forest,1776,100000,-12520.653077769777,0.0882518894427359,0.08692541401522243,0.08155831163021539,0.3358883204956262,4.509441403777797,ok
Foraging guild,Open-land insectivores,6,single_predictor,Grass/Shrubland,1776,100000,-12541.80181484319,0.08719676697431865,0.09483322096562596,0.08784630386178327,0.3420434426856506,4.716219856016403,ok
Foraging guild,Open-land insectivores,6,single_predictor,Pasture,1776,100000,-12536.444045035158,0.08741659390258423,0.09673641197085912,0.08976929049270546,0.4024654639349452,5.34757529457307,ok
Foraging guild,Open-land insectivores,6,single_predictor,Urban,1776,100000,-12523.37002153746,0.08816668258537291,0.08552663881196988,0.07888095415882979,0.33921211444608224,4.147508290292316,ok
Foraging guild,Open-land insectivores,6,single_predictor,Precipitation,1776,100000,-12573.632479744309,0.08585044883910223,0.10105007290369743,0.08443627283051089,0.45425469560981,10.456563286734546,ok
Foraging guild,Open-land insectivores,6,single_predictor,Temperature,1776,100000,-12538.66040597485,0.08781481938307974,0.08745038215106812,0.072868331424054,0.3585703164467991,8.705653588735816,ok
Foraging guild,Owls,5,single_predictor,Land-use heterogeneity,1776,100000,-13945.922582682886,0.0395785852419178,0.2629826159727813,0.19858607642234732,0.7795169263868856,4.223561074435247,ok
