atlas,atlas_index,component,n_species,mean_scaled_variance_explained,median_scaled_variance_explained,q25_scaled_variance_explained,q75_scaled_variance_explained,mean_total_explained,median_total_explained,q25_total_explained,q75_total_explained,mean_component_share_of_total
1970s,1,Climate,157,0.024125933695135927,0.011022858130409947,0.005153392162466096,0.030340123476354952,0.27726652965678505,0.2710507440999282,0.18910621686860407,0.3732871357230921,0.08701350907734974
1970s,1,Land-use,157,0.049856880462284106,0.03692800605624186,0.02251047480729316,0.06363416813006856,0.27726652965678505,0.2710507440999282,0.18910621686860407,0.3732871357230921,0.179815719279206
1970s,1,Spatial,157,0.20328371549936503,0.20090161939744625,0.12089730987436426,0.2781474219382157,0.27726652965678505,0.2710507440999282,0.18910621686860407,0.3732871357230921,0.7331707716434442
1990s,2,Climate,157,0.024645375184106533,0.01157956855843119,0.005962338697749905,0.027027903151392182,0.2867806696909852,0.2816080830793124,0.1994321878856549,0.37782191546110844,0.08593806273854743
1990s,2,Land-use,157,0.06512941676986608,0.04795384798660366,0.03280459720948933,0.08254529871973597,0.2867806696909852,0.2816080830793124,0.1994321878856549,0.37782191546110844,0.22710532352143883
1990s,2,Spatial,157,0.1970058777370126,0.19331262576372238,0.11936687210277286,0.263152606333922,0.2867806696909852,0.2816080830793124,0.1994321878856549,0.37782191546110844,0.6869566137400138
2010s,3,Climate,157,0.02508988268616504,0.013291768837668645,0.00570010289553108,0.02865236330038532,0.2619674847979484,0.254666698395941,0.16522270368286504,0.3515548395311999,0.09577479703451171
2010s,3,Land-use,157,0.07873633741243846,0.06263126286881539,0.03826650835185542,0.10075958514100025,0.2619674847979484,0.254666698395941,0.16522270368286504,0.3515548395311999,0.3005576721598355
2010s,3,Spatial,157,0.1581412646993449,0.14990492969832997,0.09555577723616776,0.21808157410436155,0.2619674847979484,0.254666698395941,0.16522270368286504,0.3515548395311999,0.6036675308056527
