atlas,trait_family,full_r2t_y,drop_r2t_y,contribution_mean,contribution_median,contribution_lower_95,contribution_upper_95,prob_positive
1970s,Species thermal index,0.1504240703813595,0.14797356508140871,0.0024505052999507708,0.0036258563580977426,-0.02469053973834685,0.023641326715801048,0.622
1990s,Species thermal index,0.1726470643129186,0.17752318872911851,-0.00487612441619993,-0.002667025513091191,-0.03544723354801598,0.015419740705498865,0.409
2010s,Species thermal index,0.2399774977164002,0.22908142044691426,0.010896077269485925,0.011622702330402593,-0.029765431350431446,0.041240501084593505,0.773
1970s,Migratory strategy,0.1504240703813595,0.0832931181809995,0.06713095220035999,0.06689866605052569,0.02070500799407709,0.11675002040801799,0.998
1990s,Migratory strategy,0.1726470643129186,0.09762214523796069,0.07502491907495791,0.07502837177905308,0.024035899508990037,0.12856218240469341,1
2010s,Migratory strategy,0.2399774977164002,0.14793215805621032,0.09204533966018988,0.09185628210999038,0.03558778811608823,0.1524502588929381,0.999
1970s,Foraging guild,0.1504240703813595,0.07419965860855726,0.07622441177280223,0.07272930533336236,-0.021663631700230092,0.18971781485585376,0.935
1990s,Foraging guild,0.1726470643129186,0.06939908165594852,0.10324798265697008,0.10431669854011816,-0.01042371215883213,0.21325288033880946,0.956
2010s,Foraging guild,0.2399774977164002,0.10211165275091313,0.13786584496548707,0.13978794154040625,0.004968667047039299,0.2596324002858611,0.985
