atlas,summed_trait_r2t_beta,mean_trait_r2t_beta,n_variables
1970s,1.6233099084902374,0.20291373856127964,8
1990s,1.7609652708844532,0.22012065886055662,8
2010s,1.881483698372683,0.23518546229658538,8
