atlas,row_var_raw,col_var_raw,row_var,col_var,mean_correlation,median_correlation,lower_95,upper_95,prob_positive,supported
1990s,perc_pasture,tmean_breeding,Pasture,Temperature,-0.04559926684106842,-0.04724401146039715,-0.242789927017355,0.1719429934207602,0.335,FALSE
1990s,perc_pasture,prec_breeding,Pasture,Precipitation,0.1487634067551785,0.1530496756168704,-0.0849164479428706,0.35561344754012036,0.904,FALSE
1990s,perc_pasture,hh,Pasture,Land-use heterogeneity,-0.34136459226218296,-0.34746059623864634,-0.5365366736769276,-0.12025445563073502,0,TRUE
1990s,perc_pasture,perc_urban,Pasture,Urban,0.27056295463799745,0.27118302750124945,0.07269822345380508,0.47394951826617476,0.993,TRUE
1990s,perc_pasture,perc_cropland,Pasture,Cropland,0.2397591994509672,0.24288187160278787,0.029151781755485363,0.43268492717970886,0.99,TRUE
1990s,perc_pasture,perc_forest,Pasture,Forest,0.2328516590286126,0.231951446976264,0.0076514386979053,0.42786366732745756,0.977,TRUE
1990s,perc_pasture,perc_grass_shrub,Pasture,Grass/shrubland,0.34170609888720394,0.34812352154025605,0.13105005636290964,0.5231994762703236,1,TRUE
1990s,perc_cropland,tmean_breeding,Cropland,Temperature,-0.3165037736850747,-0.32445654633542,-0.49922398717352257,-0.11102381125558733,0.002,TRUE
1990s,perc_cropland,prec_breeding,Cropland,Precipitation,0.2679385235602895,0.2703152311246659,0.04627968406556703,0.4614842997832326,0.995,TRUE
1990s,perc_cropland,hh,Cropland,Land-use heterogeneity,-0.11382461981547065,-0.1168590275152348,-0.33862018284609025,0.12401649035312237,0.186,FALSE
1990s,perc_cropland,perc_urban,Cropland,Urban,0.4908539004873741,0.4946680868239126,0.32439492343211784,0.6490881922669965,1,TRUE
1990s,perc_cropland,perc_pasture,Cropland,Pasture,0.2397591994509672,0.24288187160278787,0.02915178175548536,0.43268492717970886,0.99,TRUE
1990s,perc_cropland,perc_forest,Cropland,Forest,0.4763350076930351,0.48075549043044175,0.29043706118845986,0.635382119043135,1,TRUE
1990s,perc_cropland,perc_grass_shrub,Cropland,Grass/shrubland,0.36635327313552,0.37092253828174626,0.15862314684190415,0.5491646224602871,1,TRUE
1990s,perc_urban,tmean_breeding,Urban,Temperature,-0.3272844608510866,-0.3347899408017706,-0.4979455100356023,-0.13556722382796838,0,TRUE
1990s,perc_urban,prec_breeding,Urban,Precipitation,0.1441659464704956,0.1491731275806013,-0.07544528426828599,0.36084881871886204,0.882,FALSE
1990s,perc_urban,hh,Urban,Land-use heterogeneity,-0.30344295342022465,-0.30449713928153216,-0.5024567318996588,-0.0906956939481194,0.005,TRUE
1990s,perc_urban,perc_cropland,Urban,Cropland,0.4908539004873741,0.4946680868239126,0.32439492343211784,0.6490881922669965,1,TRUE
1990s,perc_urban,perc_pasture,Urban,Pasture,0.27056295463799745,0.27118302750124945,0.07269822345380508,0.4739495182661748,0.993,TRUE
1990s,perc_urban,perc_forest,Urban,Forest,0.2551586838546951,0.2572023725805638,0.04491962943891052,0.4299213324535641,0.992,TRUE
1990s,perc_urban,perc_grass_shrub,Urban,Grass/shrubland,0.3222226564260028,0.3276896259438319,0.10951128779322568,0.5025897606749204,1,TRUE
1990s,hh,tmean_breeding,Land-use heterogeneity,Temperature,0.04322481434164371,0.04371856432874083,-0.18641280961541484,0.25429061172099443,0.665,FALSE
1990s,hh,prec_breeding,Land-use heterogeneity,Precipitation,-0.25657360739191637,-0.2576425840495511,-0.47038599420825283,-0.02743488573405016,0.015,TRUE
1990s,hh,perc_urban,Land-use heterogeneity,Urban,-0.30344295342022465,-0.3044971392815321,-0.5024567318996588,-0.0906956939481194,0.005,TRUE
1990s,hh,perc_cropland,Land-use heterogeneity,Cropland,-0.11382461981547065,-0.11685902751523482,-0.3386201828460903,0.12401649035312237,0.186,FALSE
1990s,hh,perc_pasture,Land-use heterogeneity,Pasture,-0.34136459226218296,-0.34746059623864634,-0.5365366736769276,-0.12025445563073502,0,TRUE
1990s,hh,perc_forest,Land-use heterogeneity,Forest,-0.20496387388529747,-0.20790332942225348,-0.42869638795720694,0.05021435070268721,0.058,FALSE
1990s,hh,perc_grass_shrub,Land-use heterogeneity,Grass/shrubland,-0.3816559051624316,-0.3853787745514118,-0.5664810497040558,-0.17603830042028928,0,TRUE
1990s,prec_breeding,tmean_breeding,Precipitation,Temperature,0.0457261922240393,0.04661852383380534,-0.1622261019123496,0.25367467190552534,0.661,FALSE
1990s,prec_breeding,hh,Precipitation,Land-use heterogeneity,-0.25657360739191637,-0.2576425840495511,-0.4703859942082528,-0.02743488573405016,0.015,TRUE
1990s,prec_breeding,perc_urban,Precipitation,Urban,0.1441659464704956,0.14917312758060128,-0.07544528426828599,0.36084881871886204,0.882,FALSE
1990s,prec_breeding,perc_cropland,Precipitation,Cropland,0.2679385235602895,0.27031523112466593,0.046279684065567026,0.4614842997832326,0.995,TRUE
1990s,prec_breeding,perc_pasture,Precipitation,Pasture,0.1487634067551785,0.1530496756168704,-0.0849164479428706,0.3556134475401204,0.904,FALSE
1990s,prec_breeding,perc_forest,Precipitation,Forest,0.34926333129058224,0.3548620036731384,0.13155852333243576,0.5357619099353411,1,TRUE
1990s,prec_breeding,perc_grass_shrub,Precipitation,Grass/shrubland,0.30323151703613993,0.3079587955761942,0.09626945708635136,0.4964836670214797,0.995,TRUE
1990s,tmean_breeding,prec_breeding,Temperature,Precipitation,0.0457261922240393,0.04661852383380534,-0.1622261019123496,0.25367467190552534,0.661,FALSE
1990s,tmean_breeding,hh,Temperature,Land-use heterogeneity,0.04322481434164371,0.04371856432874083,-0.18641280961541484,0.25429061172099443,0.665,FALSE
1990s,tmean_breeding,perc_urban,Temperature,Urban,-0.3272844608510866,-0.3347899408017706,-0.4979455100356023,-0.13556722382796838,0,TRUE
1990s,tmean_breeding,perc_cropland,Temperature,Cropland,-0.3165037736850747,-0.3244565463354199,-0.4992239871735225,-0.11102381125558733,0.002,TRUE
1990s,tmean_breeding,perc_pasture,Temperature,Pasture,-0.04559926684106842,-0.04724401146039715,-0.242789927017355,0.1719429934207602,0.335,FALSE
1990s,tmean_breeding,perc_forest,Temperature,Forest,-0.32416473045199656,-0.327209392664778,-0.5023616552218696,-0.121543422468031,0.003,TRUE
1990s,tmean_breeding,perc_grass_shrub,Temperature,Grass/shrubland,-0.11273886099266381,-0.11234119370042438,-0.305973523786514,0.09950358521802331,0.145,FALSE
2010s,perc_grass_shrub,tmean_breeding,Grass/shrubland,Temperature,-0.20150378574751276,-0.20765792289895163,-0.40369188853273746,0.025501793629185233,0.044,TRUE
2010s,perc_grass_shrub,prec_breeding,Grass/shrubland,Precipitation,0.06396158281227385,0.0663135911355471,-0.15864689463111498,0.2714533403296942,0.719,FALSE
2010s,perc_grass_shrub,hh,Grass/shrubland,Land-use heterogeneity,-0.3313995529616522,-0.3348321234364383,-0.5152205511039917,-0.125448377877417,0.002,TRUE
2010s,perc_grass_shrub,perc_urban,Grass/shrubland,Urban,0.34201508273754866,0.34545505454469944,0.14343434837013416,0.5187080773225744,0.999,TRUE
2010s,perc_grass_shrub,perc_cropland,Grass/shrubland,Cropland,0.4951546519307509,0.4980330767146059,0.3170066547274014,0.6433309246142896,1,TRUE
2010s,perc_grass_shrub,perc_pasture,Grass/shrubland,Pasture,0.23613266421256435,0.24026314708997898,0.04428527723212425,0.4248562487776367,0.991,TRUE
2010s,perc_grass_shrub,perc_forest,Grass/shrubland,Forest,0.5068468870095841,0.5077881066607696,0.34838185038472447,0.6501215748276453,1,TRUE
2010s,perc_forest,tmean_breeding,Forest,Temperature,-0.297371975905809,-0.2999290534758069,-0.4933318957079297,-0.07846932520716818,0.003,TRUE
2010s,perc_forest,prec_breeding,Forest,Precipitation,0.20868868825063655,0.20871768417690229,-0.013823590192028562,0.4206974967372609,0.968,TRUE
2010s,perc_forest,hh,Forest,Land-use heterogeneity,-0.15373406082621824,-0.16022298558243464,-0.3594925506886691,0.07674103285393477,0.1,FALSE
2010s,perc_forest,perc_urban,Forest,Urban,0.17262409276000681,0.1747987987165622,-0.047954432428504994,0.3756900940289218,0.942,FALSE
2010s,perc_forest,perc_cropland,Forest,Cropland,0.4847587424256058,0.49427390509382907,0.3044853395277701,0.6331622440941348,1,TRUE
2010s,perc_forest,perc_pasture,Forest,Pasture,0.13804887474300512,0.1464808561160854,-0.08178512736673794,0.3440181225572375,0.9,FALSE
2010s,perc_forest,perc_grass_shrub,Forest,Grass/shrubland,0.5068468870095841,0.5077881066607696,0.34838185038472447,0.6501215748276453,1,TRUE
2010s,perc_pasture,tmean_breeding,Pasture,Temperature,0.10260566122786431,0.10154144918841665,-0.10022685355539775,0.3165110031485906,0.828,FALSE
2010s,perc_pasture,prec_breeding,Pasture,Precipitation,0.06306280117035766,0.07000542348155081,-0.1632664394329566,0.27818537318084113,0.709,FALSE
2010s,perc_pasture,hh,Pasture,Land-use heterogeneity,-0.25109223020089794,-0.2558807294326363,-0.435964155288632,-0.03472481412708936,0.01,TRUE
2010s,perc_pasture,perc_urban,Pasture,Urban,0.13258180992944413,0.1353476305863507,-0.06929458891323471,0.3296793837534232,0.889,FALSE
2010s,perc_pasture,perc_cropland,Pasture,Cropland,0.17052098234048782,0.17304684929375888,-0.045613293792905865,0.3716261706478355,0.935,FALSE
2010s,perc_pasture,perc_forest,Pasture,Forest,0.13804887474300512,0.1464808561160854,-0.08178512736673794,0.3440181225572375,0.9,FALSE
2010s,perc_pasture,perc_grass_shrub,Pasture,Grass/shrubland,0.23613266421256435,0.24026314708997898,0.044285277232124255,0.4248562487776367,0.991,TRUE
2010s,perc_cropland,tmean_breeding,Cropland,Temperature,-0.25067096481867895,-0.2561802361969968,-0.4530305436989162,-0.03311381691274567,0.009,TRUE
2010s,perc_cropland,prec_breeding,Cropland,Precipitation,-0.007730310123679506,-0.007372128045134742,-0.2224042636968258,0.21938927546876102,0.479,FALSE
2010s,perc_cropland,hh,Cropland,Land-use heterogeneity,-0.19606021728453565,-0.19734754580307523,-0.40229265428188676,0.03855330615726479,0.05,TRUE
2010s,perc_cropland,perc_urban,Cropland,Urban,0.44482039168972076,0.45100878458733207,0.2562073918730439,0.6001252873415307,1,TRUE
2010s,perc_cropland,perc_pasture,Cropland,Pasture,0.17052098234048782,0.17304684929375888,-0.04561329379290587,0.3716261706478355,0.935,FALSE
2010s,perc_cropland,perc_forest,Cropland,Forest,0.4847587424256058,0.49427390509382907,0.3044853395277701,0.6331622440941347,1,TRUE
2010s,perc_cropland,perc_grass_shrub,Cropland,Grass/shrubland,0.4951546519307509,0.49803307671460584,0.3170066547274014,0.6433309246142895,1,TRUE
2010s,perc_urban,tmean_breeding,Urban,Temperature,-0.2157691561312169,-0.22341967888988112,-0.41619231606554363,0.006351858015313337,0.027,TRUE
2010s,perc_urban,prec_breeding,Urban,Precipitation,-0.08513525562924387,-0.08473540807050603,-0.28533134602329246,0.11601459184196546,0.222,FALSE
2010s,perc_urban,hh,Urban,Land-use heterogeneity,-0.33629013121247603,-0.34269286186395387,-0.5131212311721259,-0.13123266696632221,0.002,TRUE
2010s,perc_urban,perc_cropland,Urban,Cropland,0.44482039168972076,0.4510087845873321,0.2562073918730439,0.6001252873415306,1,TRUE
2010s,perc_urban,perc_pasture,Urban,Pasture,0.13258180992944413,0.1353476305863507,-0.06929458891323471,0.32967938375342326,0.889,FALSE
2010s,perc_urban,perc_forest,Urban,Forest,0.17262409276000681,0.17479879871656223,-0.047954432428504994,0.37569009402892184,0.942,FALSE
2010s,perc_urban,perc_grass_shrub,Urban,Grass/shrubland,0.34201508273754866,0.34545505454469944,0.1434343483701342,0.5187080773225744,0.999,TRUE
2010s,hh,tmean_breeding,Land-use heterogeneity,Temperature,0.13348230505858244,0.14122955161296286,-0.08786237315802797,0.34279534938910605,0.867,FALSE
2010s,hh,prec_breeding,Land-use heterogeneity,Precipitation,-0.09478690902153257,-0.09686863015042849,-0.31854547450644277,0.13823746181236546,0.215,FALSE
2010s,hh,perc_urban,Land-use heterogeneity,Urban,-0.33629013121247603,-0.34269286186395387,-0.5131212311721259,-0.13123266696632221,0.002,TRUE
2010s,hh,perc_cropland,Land-use heterogeneity,Cropland,-0.19606021728453565,-0.19734754580307523,-0.40229265428188676,0.038553306157264794,0.05,TRUE
2010s,hh,perc_pasture,Land-use heterogeneity,Pasture,-0.25109223020089794,-0.2558807294326363,-0.43596415528863197,-0.034724814127089366,0.01,TRUE
2010s,hh,perc_forest,Land-use heterogeneity,Forest,-0.15373406082621824,-0.16022298558243464,-0.3594925506886691,0.07674103285393478,0.1,FALSE
2010s,hh,perc_grass_shrub,Land-use heterogeneity,Grass/shrubland,-0.3313995529616522,-0.3348321234364383,-0.5152205511039917,-0.125448377877417,0.002,TRUE
2010s,prec_breeding,tmean_breeding,Precipitation,Temperature,0.033473517649549533,0.03700996177265861,-0.1864384969698775,0.24163168586567133,0.623,FALSE
2010s,prec_breeding,hh,Precipitation,Land-use heterogeneity,-0.09478690902153257,-0.09686863015042849,-0.31854547450644277,0.13823746181236546,0.215,FALSE
2010s,prec_breeding,perc_urban,Precipitation,Urban,-0.08513525562924387,-0.08473540807050602,-0.28533134602329246,0.11601459184196547,0.222,FALSE
2010s,prec_breeding,perc_cropland,Precipitation,Cropland,-0.007730310123679505,-0.007372128045134742,-0.2224042636968258,0.21938927546876102,0.479,FALSE
2010s,prec_breeding,perc_pasture,Precipitation,Pasture,0.06306280117035766,0.07000542348155081,-0.1632664394329566,0.2781853731808412,0.709,FALSE
2010s,prec_breeding,perc_forest,Precipitation,Forest,0.20868868825063655,0.20871768417690229,-0.013823590192028563,0.4206974967372609,0.968,TRUE
2010s,prec_breeding,perc_grass_shrub,Precipitation,Grass/shrubland,0.06396158281227385,0.06631359113554713,-0.15864689463111498,0.2714533403296942,0.719,FALSE
2010s,tmean_breeding,prec_breeding,Temperature,Precipitation,0.03347351764954954,0.037009961772658605,-0.1864384969698775,0.24163168586567133,0.623,FALSE
2010s,tmean_breeding,hh,Temperature,Land-use heterogeneity,0.13348230505858244,0.14122955161296286,-0.08786237315802796,0.34279534938910605,0.867,FALSE
2010s,tmean_breeding,perc_urban,Temperature,Urban,-0.2157691561312169,-0.22341967888988112,-0.41619231606554363,0.006351858015313336,0.027,TRUE
2010s,tmean_breeding,perc_cropland,Temperature,Cropland,-0.25067096481867895,-0.25618023619699676,-0.45303054369891627,-0.03311381691274567,0.009,TRUE
2010s,tmean_breeding,perc_pasture,Temperature,Pasture,0.10260566122786431,0.10154144918841666,-0.10022685355539773,0.3165110031485906,0.828,FALSE
2010s,tmean_breeding,perc_forest,Temperature,Forest,-0.297371975905809,-0.2999290534758069,-0.4933318957079297,-0.07846932520716818,0.003,TRUE
2010s,tmean_breeding,perc_grass_shrub,Temperature,Grass/shrubland,-0.20150378574751276,-0.20765792289895163,-0.40369188853273746,0.025501793629185233,0.044,TRUE
