atlas,draw,trait_family,full_r2t_y,drop_r2t_y,contribution
1970s,9,Species thermal index,0.1371796289072582,0.13928148470802976,-0.002101855800771546
1970s,9,Migratory strategy,0.1371796289072582,0.05644362540954808,0.08073600349771012
1970s,9,Foraging guild,0.1371796289072582,0.08620245181535348,0.05097717709190473
1970s,10,Species thermal index,0.16199136703359848,0.15421875147987202,0.007772615553726464
1970s,10,Migratory strategy,0.16199136703359848,0.10185349225641195,0.06013787477718653
1970s,10,Foraging guild,0.16199136703359848,0.10199346874191367,0.05999789829168481
1970s,11,Species thermal index,0.10240521000634205,0.09203907713998778,0.010366132866354266
1970s,11,Migratory strategy,0.10240521000634205,0.03520960721593025,0.0671956027904118
1970s,11,Foraging guild,0.10240521000634205,0.10259133876243794,-1.8612875609588797e-4
1970s,12,Species thermal index,0.2711648080071042,0.2620970368217793,0.009067771185324869
1970s,12,Migratory strategy,0.2711648080071042,0.1858571942599842,0.08530761374711998
1970s,12,Foraging guild,0.2711648080071042,0.09267430303256927,0.17849050497453492
1970s,13,Species thermal index,0.10097497744795068,0.08395445061078008,0.017020526837170605
1970s,13,Migratory strategy,0.10097497744795068,0.05631597869608955,0.044658998751861134
1970s,13,Foraging guild,0.10097497744795068,0.08309100016768521,0.017883977280265473
1970s,14,Species thermal index,0.17289095499997437,0.1498626374320779,0.023028317567896472
1970s,14,Migratory strategy,0.17289095499997437,0.08359761485174107,0.0892933401482333
1970s,14,Foraging guild,0.17289095499997437,0.10235783524897778,0.07053311975099659
1970s,15,Species thermal index,0.22886118432748254,0.21708381610215197,0.01177736822533057
1970s,15,Migratory strategy,0.22886118432748254,0.14933947006821843,0.0795217142592641
1970s,15,Foraging guild,0.22886118432748254,0.0821797522576812,0.14668143206980133
1970s,16,Species thermal index,0.14385897832362818,0.13381959989682765,0.010039378426800527
1970s,16,Migratory strategy,0.14385897832362818,0.04702856172981549,0.0968304165938127
1970s,16,Foraging guild,0.14385897832362818,0.1198023182260083,0.024056660097619878
1970s,17,Species thermal index,0.2247186976810023,0.21705744697379226,0.007661250707210049
1970s,17,Migratory strategy,0.2247186976810023,0.15131055671930446,0.07340814096169784
1970s,17,Foraging guild,0.2247186976810023,0.09583871945746404,0.12887997822353825
1970s,18,Species thermal index,0.2302067601561094,0.2246818944843769,0.005524865671732521
