variable,trait_family,trait_value,n,n_species,r_squared,slope,direction,p_value,significance,variable_clean,sig_label
tmean_breeding,Migratory strategy,long-distance,132,44,2.425586791397695e-4,-4.948433436784532e-4,decreasing,0.8593168239823463,ns,Temperature,
tmean_breeding,Migratory strategy,short-and long-distance,24,8,0.0015315395457937578,-0.0010874143870206136,decreasing,0.8559317040999805,ns,Temperature,
tmean_breeding,Migratory strategy,short-distance,117,39,8.187596508495857e-4,-7.144584629676695e-4,decreasing,0.7594164942636404,ns,Temperature,
tmean_breeding,Migratory strategy,sedentary and short-distance,93,31,1.7912464380184463e-5,-5.588990187807577e-5,decreasing,0.9678833710859014,ns,Temperature,
tmean_breeding,Migratory strategy,sedentary,105,35,9.543418944026166e-4,-0.001153283085237849,decreasing,0.7544033320705322,ns,Temperature,
prec_breeding,Migratory strategy,long-distance,132,44,0.007247846207422517,0.0016342449151245102,increasing,0.33175806002577213,ns,Precipitation,
prec_breeding,Migratory strategy,short-and long-distance,24,8,0.023008049511605493,0.003723750641719635,increasing,0.47923206765391313,ns,Precipitation,
prec_breeding,Migratory strategy,short-distance,117,39,0.002776677071374582,0.0010150768264568849,increasing,0.5725857936307921,ns,Precipitation,
prec_breeding,Migratory strategy,sedentary and short-distance,93,31,0.011910018500427152,9.960685997788606e-4,increasing,0.29772662728688376,ns,Precipitation,
prec_breeding,Migratory strategy,sedentary,105,35,4.066615673523295e-5,1.1259682248253037e-4,increasing,0.9485217321262496,ns,Precipitation,
hh,Migratory strategy,long-distance,132,44,0.00925390740523161,7.393622078865744e-4,increasing,0.27252907021710276,ns,"Habitat
heterogeneity",
hh,Migratory strategy,short-and long-distance,24,8,0.03784134217639904,-0.002836086640965482,decreasing,0.36236850160175005,ns,"Habitat
heterogeneity",
hh,Migratory strategy,short-distance,117,39,1.682805865751875e-4,2.1252005708976218e-4,increasing,0.8895954033162026,ns,"Habitat
heterogeneity",
