"model_name","atlas","covariate","effect","gradient_min","gradient_max","n_gradient_points","n_posterior_draws","n_species","richness_low_median","richness_high_median","delta_median","delta_q025","delta_q975","pr_delta_positive","slope_median","slope_pr_positive","direction","supported_direction"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","tmean_breeding","marginal",8.48662092784028,10.07246739392,30,100,157,60.1601511465946,71.0941503836551,11.5015920587984,3.67891298135491,19.1093124231765,1,7.08051254065937,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","hh","total",0,0.82671060479546,30,100,157,56.0672131628472,66.1793583891161,10.4746983663959,6.17035800894841,14.3047901896034,1,12.5317856313813,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","hh","total",0,0.843464827578149,30,100,157,45.9271561924295,61.5309490585564,15.5787008468474,10.2023739400918,19.4419147769713,1,18.2306806989666,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","hh","total",0,0.84531197802587,30,100,157,58.7218068449948,74.8381315732202,15.9238216316968,12.722932592408,18.5862168609532,1,18.8128144827317,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_cropland","total",0,1,30,100,157,66.2140731812004,58.3188138889459,-7.94100813589594,-11.2472324853789,-4.05874260735056,0,-7.8397316180268,0,"negative","negative"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_cropland","total",0,1,30,100,157,59.3686459291887,49.8826405596711,-9.56487445454338,-13.298769115321,-5.88526583958027,0,-9.54279636418553,0,"negative","negative"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_cropland","total",0,1,30,100,157,74.4308578766239,61.9006873726314,-11.9368888317363,-15.9048581498175,-8.37352818439215,0,-11.8545460278612,0,"negative","negative"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_forest","total",0,0.97873895673172,30,100,157,60.5905982316988,78.2060127617805,17.6454677089689,13.3291899153097,23.3114904425057,1,18.4550115236019,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_forest","total",0,0.99142837960925,30,100,157,51.0559759688531,72.5119099689388,21.4372953772948,16.2890764869027,26.6105018387043,1,22.4382590262108,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_forest","total",0,1,30,100,157,63.9522468949628,81.4255883948559,17.5464250275064,11.979931694411,21.6421573134337,1,18.2960199928545,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_grass_shrub","total",0,0.566842484934837,30,100,157,61.1047315219807,79.6031552717586,18.210278351036,10.5242805758242,28.7010877042555,1,31.845384671193,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_grass_shrub","total",0,0.705593845871106,30,100,157,52.5947852887935,66.8933214203979,14.0814615650022,8.10046153434931,20.3240359243258,1,19.9497353973064,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_grass_shrub","total",0,0.48307046552177,30,100,157,66.238907120349,70.7734425021924,4.66429209330866,1.52086233888624,7.49809012900919,1,9.80085641036069,1,"positive","positive"
