grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Flycatchers,Rails,Flycatchers | Rails,15,Supported positive,3,0.10628406183961547,-0.05085085085085228,0.3634300967634273,0.03785168338099639,0.3634300967634273,0,FALSE,FALSE,0.3634300967634273,0.006272939606271399,-0.05085085085085228,-0.4142809476142796,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Buntings,Reedlings,Buntings | Reedlings,3,Supported positive,3,-0.040484929373818326,-0.2235568902235569,0.09009009009008917,0.037806792007228245,0.2235568902235569,0,FALSE,FALSE,-0.2235568902235569,0.01201201201201274,0.09009009009008917,0.3136469803136461,TRUE,Direction flip,TRUE
foraging_guild,Foraging guild,Within group,Diving ducks,Diving ducks,Diving ducks,3,Supported positive,3,-0.15715715715715659,-0.24591257924591187,0.011011011011010985,0.035422270784431074,0.24591257924591187,0,FALSE,FALSE,-0.23656990323656885,0.011011011011010985,-0.24591257924591187,-0.00934267600934302,FALSE,Mixed direction,TRUE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Wading birds,Foliage gleaners | Wading birds,18,Supported positive,3,-0.0036703370036704442,-0.09448337226115044,0.08886664442219983,0.03397013761403901,0.09448337226115044,0,FALSE,FALSE,-0.005394283172060699,-0.09448337226115044,0.08886664442219983,0.09426092759426052,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Gallinaceous birds,Plovers,Gallinaceous birds | Plovers,12,Supported positive,3,-0.016961405850294948,-0.15515515515515538,0.09751418084751384,0.033603195114062574,0.15515515515515538,0,FALSE,FALSE,-0.15515515515515538,0.09751418084751384,0.006756756756756688,0.16191191191191207,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Grazing waterfowl,Omnivorous corvids,Grazing waterfowl | Omnivorous corvids,14,Supported positive,3,-0.07278707278707289,-0.2829257829257831,0.07064207064207106,0.03226608246213239,0.2829257829257831,0,FALSE,FALSE,-0.2829257829257831,-0.006077506077506678,0.07064207064207106,0.35356785356785414,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Within group,Buntings,Buntings,Buntings,3,Supported positive,3,0.28461795128461814,0.009676343009676236,0.4280947614280953,0.031232324572670375,0.4280947614280953,0,TRUE,FALSE,0.4280947614280953,0.009676343009676236,0.4160827494160828,-0.012012012012012518,FALSE,Consistently above null,TRUE
foraging_guild,Foraging guild,Between group,Buntings,Dabbling ducks,Buntings | Dabbling ducks,21,Supported positive,3,-0.03930915042026051,-0.07531340864674041,-0.004814338147671293,0.030743571412866474,0.07531340864674041,0,FALSE,TRUE,-0.03779970446636982,-0.07531340864674041,-0.004814338147671293,0.03298536631869853,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Dabbling ducks,Open-land insectivores,Dabbling ducks | Open-land insectivores,42,Supported positive,3,0.002899725121949105,-0.08010391343724366,0.08546641879975259,0.030529866549028496,0.08546641879975259,0,FALSE,FALSE,0.003336670003338371,-0.08010391343724366,0.08546641879975259,0.08212974879641421,FALSE,Mixed direction,FALSE
foraging_guild,Foraging guild,Between group,Kingfishers,Omnivorous corvids,Kingfishers | Omnivorous corvids,7,Supported positive,3,0.07083273749940537,0.007007007007007626,0.1401401401401413,0.02950202076921881,0.1401401401401413,0,TRUE,FALSE,0.007007007007007626,0.06535106535106716,0.1401401401401413,0.13313313313313369,FALSE,Consistently above null,TRUE
foraging_guild,Foraging guild,Between group,Low flycatching feeders,Wading birds,Low flycatching feeders | Wading birds,18,Supported positive,3,-0.0950209468727985,-0.14981648314981633,-0.004615726837948753,0.027991841084987916,0.14981648314981633,0,FALSE,TRUE,-0.004615726837948753,-0.14981648314981633,-0.1306306306306304,-0.12601490379268165,FALSE,Consistently below null,FALSE
