grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,observed_prop,null_mean,null_sd,null_lower_95,null_upper_95,observed_minus_null,null_z,empirical_p_upper,empirical_p_lower,empirical_p_two_sided,unstable_small_pair_count,fdr_p,fdr_0_05,display_name
foraging_guild,1,1970s,Between group,Columbids,Diving ducks,Columbids | Diving ducks,12,Supported negative,0.16666666666666666,0.026109442776109396,0.050941162514543524,0,0.16666666666666666,0.14055722389055725,2.759207229525409,0.056,0.991,0.112,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Buntings,Grazing waterfowl,Buntings | Grazing waterfowl,6,Supported negative,0.16666666666666666,0.027527527527527566,0.07151456333952834,0,0.16666666666666666,0.13913913913913908,1.9456056590676618,0.145,0.981,0.29,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Scolopacids,Woodpeckers,Scolopacids | Woodpeckers,45,Supported negative,0.15555555555555556,0.023912801690579393,0.027136605676339694,0,0.08888888888888889,0.13164275386497618,4.851113489840588,0.004,1,0.008,FALSE,0.441,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Diurnal raptors,Reedlings,Diurnal raptors | Reedlings,7,Supported negative,0.14285714285714285,0.022165022165022134,0.0634622886952331,0,0.2857142857142857,0.12069212069212071,1.9017927524127627,0.125,0.971,0.25,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Omnivorous corvids,Wading birds,Omnivorous corvids | Wading birds,14,Supported negative,0.14285714285714285,0.026240526240526318,0.049235296625979724,0,0.14285714285714285,0.11661661661661653,2.368557206073215,0.073,0.98,0.146,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Foliage gleaners,Scolopacids,Foliage gleaners | Scolopacids,81,Supported negative,0.13580246913580246,0.02440712317255506,0.021470550324656973,0,0.07407407407407407,0.1113953459632474,5.188285548289835,0.001,1,0.002,FALSE,0.18568421052631578,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Diving ducks,Woodpeckers,Diving ducks | Woodpeckers,15,Supported negative,0.13333333333333333,0.02782782782782776,0.04520848741540154,0,0.13333333333333333,0.10550550550550557,2.3337543797044216,0.078,0.989,0.156,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Columbids,Wading birds,Columbids | Wading birds,8,Supported negative,0.125,0.023273273273273273,0.05614892519003681,0,0.125,0.10172672672672672,1.8117306142981584,0.164,0.979,0.328,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Aerial insectivores,Wading birds,Aerial insectivores | Wading birds,8,Supported negative,0.125,0.02414914914914915,0.056751371905912555,0,0.13124999999999432,0.10085085085085085,1.7770645442378084,0.169,0.975,0.338,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Columbids,Grazing waterfowl,Columbids | Grazing waterfowl,8,Supported negative,0.125,0.02702702702702703,0.06612689166953245,0,0.25,0.09797297297297297,1.4815904770269643,0.173,0.965,0.346,TRUE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Gulls,Tit-like birds,Gulls | Tit-like birds,60,Supported negative,0.11666666666666667,0.02524190857524199,0.026175011856669997,0,0.08333333333333333,0.09142475809142468,3.4928258520779827,0.01,0.996,0.02,FALSE,0.7669565217391305,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Open-land insectivores,Plovers,Open-land insectivores | Plovers,36,Supported negative,0.1111111111111111,0.023690357023690527,0.030324287355874897,0,0.1111111111111111,0.08742075408742057,2.882862606513457,0.03,0.99,0.06,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Aquatic pursuers,Buntings,Aquatic pursuers | Buntings,18,Supported negative,0.1111111111111111,0.025469914358803337,0.04307718033976574,0,0.1111111111111111,0.08564119675230777,1.988087337119649,0.096,0.98,0.192,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Gulls,Open-land insectivores,Gulls | Open-land insectivores,30,Supported negative,0.1,0.022589255922589372,0.030766432723935557,0,0.1,0.07741074407741064,2.516077985771386,0.049,0.988,0.098,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Within group,Woodpeckers,Woodpeckers,Woodpeckers,10,Supported negative,0.1,0.02292292292292294,0.055958267668916505,0,0.2,0.07707707707707706,1.3774028447969906,0.176,0.957,0.352,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Plovers,Woodpeckers,Plovers | Woodpeckers,30,Supported negative,0.1,0.023390056723390173,0.03254079718640139,0,0.1,0.07660994327660983,2.3542737087161676,0.058,0.98,0.116,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Open-land insectivores,Terns,Open-land insectivores | Terns,30,Supported negative,0.1,0.024391057724391204,0.033201209493789394,0,0.1,0.0756089422756088,2.277294816315417,0.061,0.978,0.122,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Wading birds,Woodpeckers,Wading birds | Woodpeckers,10,Supported negative,0.1,0.025225225225225266,0.05577226385179847,0,0.2,0.07477477477477473,1.3407161483254637,0.202,0.957,0.404,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Grazing waterfowl,Woodpeckers,Grazing waterfowl | Woodpeckers,10,Supported negative,0.1,0.02622622622622627,0.058990105424119546,0,0.2,0.07377377377377374,1.2506126789122423,0.204,0.952,0.408,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Omnivorous corvids,Scolopacids,Omnivorous corvids | Scolopacids,63,Supported negative,0.09523809523809523,0.023785690452357046,0.023001898565663103,0,0.07936507936507936,0.0714524047857382,3.10636987558937,0.016,0.994,0.032,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Low flycatching feeders,Terns,Low flycatching feeders | Terns,45,Supported negative,0.08888888888888889,0.024669113558002373,0.02767527637229731,0,0.08888888888888889,0.06421977533088652,2.3204745805237885,0.053,0.981,0.106,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Diurnal raptors,Terns,Diurnal raptors | Terns,35,Supported negative,0.08571428571428572,0.02459602459602452,0.029882045040641677,0,0.08571428571428572,0.0611182611182612,2.045317214238051,0.08,0.98,0.16,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Grazing waterfowl,Tit-like birds,Grazing waterfowl | Tit-like birds,24,Supported negative,0.08333333333333333,0.024149149149149198,0.037338296786596316,0,0.125,0.05918418418418413,1.5850799119854346,0.141,0.953,0.282,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Passerine seedeaters,Wading birds,Passerine seedeaters | Wading birds,24,Supported negative,0.08333333333333333,0.024649649649649694,0.03798371892250359,0,0.125,0.05868368368368364,1.5449694065874178,0.15,0.953,0.3,FALSE,1,FALSE,Foraging guild
