bootstrap,atlas,period,support_class,n_pairs,prop_pairs
37,1,1970s,Supported positive,6936,0.5663890249877511
37,1,1970s,Supported negative,306,0.024987751102400785
37,1,1970s,Unsupported,5004,0.4086232239098481
38,1,1970s,Supported positive,6989,0.5707169688061408
38,1,1970s,Supported negative,314,0.02564102564102564
38,1,1970s,Unsupported,4943,0.4036420055528336
39,1,1970s,Supported positive,6909,0.5641842234198922
39,1,1970s,Supported negative,322,0.0262943001796505
39,1,1970s,Unsupported,5015,0.4095214764004573
40,1,1970s,Supported positive,6977,0.5697370569982035
40,1,1970s,Supported negative,308,0.025151069737056997
40,1,1970s,Unsupported,4961,0.4051118732647395
41,1,1970s,Supported positive,6949,0.5674505961130165
41,1,1970s,Supported negative,305,0.024906091785072675
41,1,1970s,Unsupported,4992,0.40764331210191085
42,1,1970s,Supported positive,6934,0.5662257063530949
42,1,1970s,Supported negative,314,0.02564102564102564
42,1,1970s,Unsupported,4998,0.40813326800587946
43,1,1970s,Supported positive,6939,0.5666340029397354
43,1,1970s,Supported negative,308,0.025151069737056997
43,1,1970s,Unsupported,4999,0.4082149273232076
44,1,1970s,Supported positive,6912,0.5644292013718766
44,1,1970s,Supported negative,304,0.02482443246774457
44,1,1970s,Unsupported,5030,0.4107463661603789
45,1,1970s,Supported positive,6930,0.5658990690837825
45,1,1970s,Supported negative,308,0.025151069737056997
45,1,1970s,Unsupported,5008,0.40894986117916055
46,1,1970s,Supported positive,6906,0.5639392454679079
46,1,1970s,Supported negative,315,0.02572268495835375
46,1,1970s,Unsupported,5025,0.41033806957373836
47,1,1970s,Supported positive,6935,0.566307365670423
47,1,1970s,Supported negative,308,0.025151069737056997
47,1,1970s,Unsupported,5003,0.40854156459252
48,1,1970s,Supported positive,6937,0.5664706843050792
48,1,1970s,Supported negative,320,0.026130981544994283
48,1,1970s,Unsupported,4989,0.4073983341499265
49,1,1970s,Supported positive,6932,0.5660623877184386
49,1,1970s,Supported negative,307,0.02506941041972889
49,1,1970s,Unsupported,5007,0.4088682018618324
50,1,1970s,Supported positive,6961,0.5684305079209537
50,1,1970s,Supported negative,324,0.02645761881430671
50,1,1970s,Unsupported,4961,0.4051118732647395
51,1,1970s,Supported positive,6912,0.5644292013718766
51,1,1970s,Supported negative,316,0.025804344275681856
51,1,1970s,Unsupported,5018,0.40976645435244163
52,1,1970s,Supported positive,6910,0.5642658827372203
52,1,1970s,Supported negative,315,0.02572268495835375
52,1,1970s,Unsupported,5021,0.41001143230442594
53,1,1970s,Supported positive,6978,0.5698187163155316
53,1,1970s,Supported negative,309,0.025232729054385106
53,1,1970s,Unsupported,4959,0.4049485546300833
54,1,1970s,Supported positive,6942,0.5668789808917197
54,1,1970s,Supported negative,307,0.02506941041972889
54,1,1970s,Unsupported,4997,0.40805160868855134
55,1,1970s,Supported positive,6920,0.5650824759105014
55,1,1970s,Supported negative,307,0.02506941041972889
55,1,1970s,Unsupported,5019,0.4098481136697697
56,1,1970s,Supported positive,6950,0.5675322554303446
56,1,1970s,Supported negative,316,0.025804344275681856
56,1,1970s,Unsupported,4980,0.4066634002939735
57,1,1970s,Supported positive,6923,0.5653274538624857
57,1,1970s,Supported negative,305,0.024906091785072675
57,1,1970s,Unsupported,5018,0.40976645435244163
58,1,1970s,Supported positive,6995,0.5712069247101095
58,1,1970s,Supported negative,323,0.026375959496978605
58,1,1970s,Unsupported,4928,0.40241711579291195
59,1,1970s,Supported positive,6961,0.5684305079209537
59,1,1970s,Supported negative,303,0.024742773150416463
59,1,1970s,Unsupported,4982,0.40682671892862976
60,1,1970s,Supported positive,6888,0.5624693777560019
60,1,1970s,Supported negative,304,0.02482443246774457
60,1,1970s,Unsupported,5054,0.41270618977625345
61,1,1970s,Supported positive,6965,0.5687571451902662
61,1,1970s,Supported negative,311,0.02539604768904132
61,1,1970s,Unsupported,4970,0.4058468071206925
62,1,1970s,Supported positive,6971,0.5692471010942348
62,1,1970s,Supported negative,314,0.02564102564102564
62,1,1970s,Unsupported,4961,0.4051118732647395
63,1,1970s,Supported positive,6906,0.5639392454679079
63,1,1970s,Supported negative,307,0.02506941041972889
63,1,1970s,Unsupported,5033,0.4109913441123632
64,1,1970s,Supported positive,6932,0.5660623877184386
64,1,1970s,Supported negative,312,0.025477707006369428
64,1,1970s,Unsupported,5002,0.4084599052751919
65,1,1970s,Supported positive,6935,0.566307365670423
65,1,1970s,Supported negative,314,0.02564102564102564
65,1,1970s,Unsupported,4997,0.40805160868855134
66,1,1970s,Supported positive,6925,0.565490772497142
66,1,1970s,Supported negative,307,0.02506941041972889
66,1,1970s,Unsupported,5014,0.4094398170831292
67,1,1970s,Supported positive,6961,0.5684305079209537
67,1,1970s,Supported negative,306,0.024987751102400785
67,1,1970s,Unsupported,4979,0.40658174097664546
68,1,1970s,Supported positive,6971,0.5692471010942348
68,1,1970s,Supported negative,309,0.025232729054385106
68,1,1970s,Unsupported,4966,0.40552016985138006
69,1,1970s,Supported positive,6949,0.5674505961130165
69,1,1970s,Supported negative,308,0.025151069737056997
69,1,1970s,Unsupported,4989,0.4073983341499265
70,1,1970s,Supported positive,6916,0.564755838641189
70,1,1970s,Supported negative,311,0.02539604768904132
70,1,1970s,Unsupported,5019,0.4098481136697697
71,1,1970s,Supported positive,6978,0.5698187163155316
71,1,1970s,Supported negative,306,0.024987751102400785
71,1,1970s,Unsupported,4962,0.40519353258206764
72,1,1970s,Supported positive,6929,0.5658174097664543
72,1,1970s,Supported negative,320,0.026130981544994283
72,1,1970s,Unsupported,4997,0.40805160868855134
73,1,1970s,Supported positive,6897,0.5632043116119549
73,1,1970s,Supported negative,308,0.025151069737056997
73,1,1970s,Unsupported,5041,0.41164461865098806
74,1,1970s,Supported positive,6922,0.5652457945451576
74,1,1970s,Supported negative,299,0.024416135881104035
74,1,1970s,Unsupported,5025,0.41033806957373836
75,1,1970s,Supported positive,6914,0.5645925200065327
75,1,1970s,Supported negative,306,0.024987751102400785
75,1,1970s,Unsupported,5026,0.4104197288910665
76,1,1970s,Supported positive,6947,0.5672872774783603
76,1,1970s,Supported negative,307,0.02506941041972889
76,1,1970s,Unsupported,4992,0.40764331210191085
77,1,1970s,Supported positive,6964,0.5686754858729381
