atlas,period,guild_pair_type,guild_1,guild_2,guild_pair,n_pairs,mean_omega,median_omega,mean_abs_omega,prop_supported_positive,prop_supported_negative,net_support_prop,atlas_mean_omega,atlas_median_omega,atlas_prop_supported_positive,atlas_prop_supported_negative,atlas_net_support_prop,n_species_guild_1,n_species_guild_2,mean_omega_minus_atlas_average,prop_positive_minus_atlas_average,prop_negative_minus_atlas_average,net_support_minus_atlas_average,unstable_small_pair_count
1,1970s,Between guild,Grazing waterfowl,Nigthjars,Grazing waterfowl | Nigthjars,2,-0.3291278099578604,-0.3291278099578604,0.3291278099578604,0,0.5,-0.5,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,2,1,-0.6939306044879257,-0.5662257063530949,0.4750939082149273,-1.0413196145680224,TRUE
1,1970s,Between guild,Gulls,Kingfishers,Gulls | Kingfishers,5,-0.193404148774314,-0.307225743522677,0.3062114159647598,0.2,0.4,-0.2,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,1,-0.5582069433043793,-0.36622570635309487,0.37509390821492733,-0.7413196145680223,TRUE
1,1970s,Between guild,Nigthjars,Reedlings,Nigthjars | Reedlings,1,-0.1931940871525411,-0.1931940871525411,0.1931940871525411,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,1,-0.5579968816826063,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Aquatic pursuers,Nigthjars,Aquatic pursuers | Nigthjars,6,-0.18585057984885123,-0.2108610464047948,0.2338157376412227,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,6,1,-0.5506533743789164,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Kingfishers,Plovers,Kingfishers | Plovers,6,-0.1821788714802184,-0.30746480013698296,0.2795586430242719,0,0.6666666666666666,-0.6666666666666666,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,6,-0.5469816660102836,-0.5662257063530949,0.641760574881594,-1.2079862812346889,TRUE
1,1970s,Between guild,Kingfishers,Terns,Kingfishers | Terns,5,-0.17557678383104774,-0.3094016661162818,0.252415645790946,0,0.6,-0.6,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,5,-0.54037957836111294,-0.5662257063530949,0.5750939082149273,-1.1413196145680222,TRUE
1,1970s,Between guild,Nigthjars,Terns,Nigthjars | Terns,5,-0.1553795787703199,-0.10853397264954,0.1553795787703199,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,5,-0.5201823733003851,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Orioles,Reedlings,Orioles | Reedlings,1,-0.1337053888537509,-0.1337053888537509,0.1337053888537509,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,1,-0.4985081833838161,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Gulls,Nigthjars,Gulls | Nigthjars,5,-0.1316694760636415,-0.1639929886154926,0.13416647770121862,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,1,-0.4964722705937067,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Aerial insectivores,Starlings,Aerial insectivores | Starlings,4,0.8599727040608778,0.8948945417100077,0.8599727040608778,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,4,1,0.4951699095308126,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Gulls,Woodpeckers,Gulls | Woodpeckers,25,-0.12048446851728419,-0.1588139643856079,0.22624126461642455,0,0.24,-0.24,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,5,-0.48528726304734937,-0.5662257063530949,0.21509390821492733,-0.7813196145680222,FALSE
1,1970s,Between guild,Reedlings,Woodpeckers,Reedlings | Woodpeckers,5,-0.11526505788670474,-0.1146748650642872,0.13520696143575742,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,5,-0.48006785241676997,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Cuckoos,Flycatchers,Cuckoos | Flycatchers,3,0.8312293327826753,0.8417624270048824,0.8312293327826753,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,3,0.4664265382526101,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Terns,Woodpeckers,Terns | Woodpeckers,25,-0.08969194889495213,0.005478127530188213,0.16066636210654542,0,0.32,-0.32,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,5,-0.45449474342501733,-0.5662257063530949,0.2950939082149273,-0.8613196145680222,FALSE
1,1970s,Between guild,Flycatchers,Starlings,Flycatchers | Starlings,3,0.8117139980116854,0.8242790114957561,0.8117139980116854,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,3,1,0.4469112034816202,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Nigthjars,Wading birds,Nigthjars | Wading birds,2,-0.08199635182129525,-0.08199635182129525,0.16751473216103796,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,2,-0.4467991463513604,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Foliage gleaners,Gulls,Foliage gleaners | Gulls,45,-0.07642682691092173,-0.05970169661860023,0.15020064495814447,0.08888888888888889,0.044444444444444446,0.044444444444444446,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,9,5,-0.44122962144098693,-0.477336817464206,0.01953835265937177,-0.4968751701235778,FALSE
1,1970s,Between guild,Marsh warblers,Rails,Marsh warblers | Rails,30,0.7991553174540307,0.8233219258885691,0.7991553174540307,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,6,5,0.4343525229239655,0.4337742936469051,-0.024906091785072675,0.45868038543197776,FALSE
1,1970s,Between guild,Rails,Reedlings,Rails | Reedlings,5,0.7951070800039626,0.8605702698893701,0.7951070800039626,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,1,0.4303042854738974,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Gulls,Shrikes,Gulls | Shrikes,10,-0.064848756720279635,-0.09905510777797749,0.1371992654624953,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,2,-0.4296515512503448,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,FALSE
1,1970s,Between guild,Diving ducks,Nigthjars,Diving ducks | Nigthjars,3,-0.05859260725143263,-0.005575206219188944,0.09734683029090446,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,3,1,-0.4233954017814978,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Gulls,Thrushes,Gulls | Thrushes,20,-0.057052999557087675,-0.11013025908649571,0.15435246126379581,0.05,0,0.05,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,4,-0.4218557940871529,-0.5162257063530948,-0.024906091785072675,-0.49131961456802226,FALSE
1,1970s,Between guild,Dabbling ducks,Reedlings,Dabbling ducks | Reedlings,7,0.786326233433874,0.7634038032058271,0.786326233433874,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,7,1,0.4215234389038088,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Marsh warblers,Reedlings,Marsh warblers | Reedlings,6,0.7843009642961098,0.826114134494589,0.7843009642961098,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,6,1,0.41949816976604465,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Dabbling ducks,Rails,Dabbling ducks | Rails,35,0.7773735347537207,0.792386248127531,0.7773735347537207,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,7,5,0.41257074022365553,0.4337742936469051,-0.024906091785072675,0.45868038543197776,FALSE
1,1970s,Between guild,Gulls,Tit-like birds,Gulls | Tit-like birds,60,-0.045842791082942695,-0.049025569126205926,0.19113782594803885,0.1,0.11666666666666667,-0.016666666666666663,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,5,12,-0.4106455856130079,-0.4662257063530949,0.09176057488159399,-0.557986281234689,FALSE
1,1970s,Between guild,Cuckoos,Marsh warblers,Cuckoos | Marsh warblers,6,0.7652301611460562,0.7903332521196704,0.7652301611460562,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,6,0.40042736661599104,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Cuckoos,Rails,Cuckoos | Rails,5,0.7617022547012603,0.7875176762635527,0.7617022547012603,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,5,0.3968994601711951,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Dippers,Kingfishers,Dippers | Kingfishers,1,0.760989597796187,0.760989597796187,0.760989597796187,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,1,0.3961868032661218,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
