comparison,atlas_to,atlas_from,support_class,mean,median,lower_80,upper_80,lower_95,upper_95,pr_change_gt_0,pr_change_lt_0,observed_prop_change
Atlas 2 - Atlas 1,2,1,Supported negative,0.0041573575044912625,0.004164625183733464,0.0034296913277804993,0.004899559039686429,0.003021394741139962,0.005307855626326963,1,0,0.004572921770374001
Atlas 2 - Atlas 1,2,1,Supported positive,0.08491368610158419,0.0849256900212314,0.0809978768577494,0.08860852523272911,0.07904009472480805,0.09080516086885515,1,0,0.08566062387718443
Atlas 2 - Atlas 1,2,1,Unsupported,-0.08907104360607546,-0.08909031520496485,-0.09292830311938594,-0.08508084272415484,-0.09505348685284992,-0.08288216560509559,0,1,-0.09023354564755837
Atlas 3 - Atlas 1,3,1,Supported negative,0.026070145353584845,0.026049322227666177,0.025151069737056997,0.027029234035603464,0.024659072350155152,0.02760084925690021,1,0,0.025886003593009962
Atlas 3 - Atlas 1,3,1,Supported positive,0.013757635146170174,0.013882083945778168,0.010370733300669621,0.01698513800424628,0.00865588763677938,0.01886330230279276,1,0,0.014045402580434407
Atlas 3 - Atlas 1,3,1,Unsupported,-0.03982778049975502,-0.04001306549077249,-0.043034460231912486,-0.03642005552833577,-0.045239261799771335,-0.03470520986444553,0,1,-0.03993140617344437
Atlas 3 - Atlas 2,3,2,Supported negative,0.021912787849093583,0.021884697043932713,0.020986444553323533,0.022864608851869996,0.020496488649354893,0.02343622407316675,1,0,0.02131308182263596
Atlas 3 - Atlas 2,3,2,Supported positive,-0.07115605095541401,-0.0711252653927813,-0.07399150743099792,-0.06843050792095373,-0.07561652784582718,-0.06704229952637597,0,1,-0.07161522129675002
Atlas 3 - Atlas 2,3,2,Unsupported,0.04924326310632043,0.0492405683488486,0.04629266699330392,0.052261963089988595,0.04474930589580273,0.053976808753878835,1,0,0.050302139474113994
