"period","direction","n_pairs","median_strength","mean_strength","q10_strength","q90_strength","median_1970s_strength","difference_from_1970s_median"
"1970s","supported positive",6934,0.597325358581718,0.590569171378987,0.2998565855382,0.863209951203544,0.597325358581718,0
"1970s","supported negative",305,0.318666231728648,0.331164007807544,0.174017523266313,0.499701348636043,0.318666231728648,0
"1990s","supported positive",7983,0.606892288933896,0.598815582758994,0.303894794086628,0.877547596945918,0.597325358581718,0.00956693035217848
"1990s","supported negative",361,0.365578786590763,0.379167617714984,0.203152015371318,0.570858091984127,0.318666231728648,0.046912554862115
"2010s","supported positive",7106,0.586250270002482,0.585894151138621,0.313220500981267,0.858705008375063,0.597325358581718,-0.0110750885792354
"2010s","supported negative",622,0.345002969995916,0.365880623469388,0.201030956498181,0.58327149202697,0.318666231728648,0.0263367382672684
