grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Nigthjars,Tit-like birds,Nigthjars | Tit-like birds,12,Supported negative,3,0.24076854632410188,-0.026609943276609916,0.38705372038705377,0.4410447835001125,0.38705372038705377,0,FALSE,FALSE,-0.026609943276609916,0.38705372038705377,0.36186186186186176,0.3884718051384717,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Woodpeckers,Gulls | Woodpeckers,25,Supported negative,3,0.2858191524858195,0.13205205205205228,0.5105905905905912,3.2941985263087687,0.5105905905905912,0,TRUE,FALSE,0.21481481481481501,0.13205205205205228,0.5105905905905912,0.2957757757757762,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Diving ducks,Thrushes,Diving ducks | Thrushes,12,Supported negative,3,0.048548548548548565,-0.028194861528194805,0.19869869869869863,0.5194543840868913,0.19869869869869863,0,FALSE,FALSE,-0.024858191524858134,-0.028194861528194805,0.19869869869869863,0.22355689022355676,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Plovers,Woodpeckers,Plovers | Woodpeckers,30,Supported negative,3,0.17714381047714362,0.07660994327660983,0.28441775108441747,2.3542737087161676,0.28441775108441747,0,TRUE,FALSE,0.07660994327660983,0.17040373707040357,0.28441775108441747,0.20780780780780764,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Tit-like birds,Gulls | Tit-like birds,60,Supported negative,3,0.149049049049049,0.07155488822155476,0.28416750083416753,2.540108479995416,0.28416750083416753,0,TRUE,FALSE,0.09142475809142468,0.07155488822155476,0.28416750083416753,0.19274274274274283,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Grazing waterfowl,Passerine seedeaters,Grazing waterfowl | Passerine seedeaters,24,Supported negative,3,0.03301913024135245,-0.031906906906906965,0.1561561561561562,0.630117846699047,0.1561561561561562,0,FALSE,FALSE,-0.025191858525191867,-0.031906906906906965,0.1561561561561562,0.18134801468134806,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Columbids,Terns,Columbids | Terns,20,Supported negative,3,0.14673006339673,0.06921921921921907,0.2746246246246245,1.4997237079351111,0.2746246246246245,0,TRUE,FALSE,0.2746246246246245,0.06921921921921907,0.09634634634634646,-0.17827827827827802,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Flycatchers,Gulls,Flycatchers | Gulls,15,Supported negative,3,0.09927705483261035,-0.025492158825492096,0.17190523857190532,0.5694960331740968,0.17190523857190532,0,FALSE,FALSE,-0.025492158825492096,0.17190523857190532,0.1514180847514178,0.1769102435769099,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Diving ducks,Woodpeckers,Diving ducks | Woodpeckers,15,Supported negative,3,0.11854076298520735,-0.030830830830830755,0.2809476142809473,0.5982654660096499,0.2809476142809473,0,FALSE,FALSE,0.10550550550550557,-0.030830830830830755,0.2809476142809473,0.1754421087754417,FALSE,Mixed direction,FALSE
foraging_guild,Foraging guild,Between group,Diving ducks,Rails,Diving ducks | Rails,15,Supported negative,3,0.03234345456567675,-0.030697364030697283,0.15141808475141783,0.5298806710313816,0.15141808475141783,0,FALSE,FALSE,-0.023690357023690302,-0.030697364030697283,0.15141808475141783,0.17510844177510812,TRUE,Direction flip,FALSE
