model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Haematopus_ostralegus,Sitta_europaea,-0.07662497733887914,0.116,0.884,Haematopus_ostralegus__Sitta_europaea,Unsupported,FALSE,FALSE,Plovers,short-distance,10.4739718085,Tit-like birds,sedentary,12.7946675987,Plovers,Tit-like birds,Plovers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Larus_argentatus,Sitta_europaea,-0.01212644843326347,0.444,0.556,Larus_argentatus__Sitta_europaea,Unsupported,FALSE,FALSE,Gulls,sedentary and short-distance,9.0583381929,Tit-like birds,sedentary,12.7946675987,Gulls,Tit-like birds,Gulls | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Larus_canus,Sitta_europaea,-0.1354228385024652,0.054,0.946,Larus_canus__Sitta_europaea,Unsupported,FALSE,FALSE,Gulls,sedentary and short-distance,8.5740563147,Tit-like birds,sedentary,12.7946675987,Gulls,Tit-like birds,Gulls | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Larus_fuscus,Sitta_europaea,-0.1408930513969797,0.092,0.908,Larus_fuscus__Sitta_europaea,Unsupported,FALSE,FALSE,Gulls,short-and long-distance,8.9178677716,Tit-like birds,sedentary,12.7946675987,Gulls,Tit-like birds,Gulls | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Larus_marinus,Sitta_europaea,-0.1147537319773723,0.113,0.887,Larus_marinus__Sitta_europaea,Unsupported,FALSE,FALSE,Gulls,sedentary and short-distance,8.3694639418,Tit-like birds,sedentary,12.7946675987,Gulls,Tit-like birds,Gulls | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Limosa_limosa,Sitta_europaea,-0.5724566685794078,0,1,Limosa_limosa__Sitta_europaea,Supported negative,FALSE,TRUE,Scolopacids,long-distance,12.0468335512,Tit-like birds,sedentary,12.7946675987,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Numenius_arquata,Sitta_europaea,-0.3321648148346908,0.025,0.975,Numenius_arquata__Sitta_europaea,Supported negative,FALSE,TRUE,Scolopacids,short-distance,10.0493203009,Tit-like birds,sedentary,12.7946675987,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Recurvirostra_avosetta,Sitta_europaea,-0.1377627772982398,0.062,0.938,Recurvirostra_avosetta__Sitta_europaea,Unsupported,FALSE,FALSE,Plovers,short-and long-distance,14.5831200661,Tit-like birds,sedentary,12.7946675987,Plovers,Tit-like birds,Plovers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Scolopax_rusticola,Sitta_europaea,0.4099298410880345,0.966,0.034,Scolopax_rusticola__Sitta_europaea,Supported positive,TRUE,FALSE,Scolopacids,sedentary and short-distance,10.6010955955,Tit-like birds,sedentary,12.7946675987,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Sterna_hirundo,Sitta_europaea,-0.06323574548416523,0.239,0.761,Sterna_hirundo__Sitta_europaea,Unsupported,FALSE,FALSE,Terns,long-distance,11.4396148713,Tit-like birds,sedentary,12.7946675987,Terns,Tit-like birds,Terns | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Sterna_paradisaea,Sitta_europaea,-0.01775695712853262,0.424,0.576,Sterna_paradisaea__Sitta_europaea,Unsupported,FALSE,FALSE,Terns,long-distance,6.7214988279,Tit-like birds,sedentary,12.7946675987,Terns,Tit-like birds,Terns | Tit-like birds,Between guild
