atlas,period,support_class,mean,median,lower_80,upper_80,lower_95,upper_95,observed_n_pairs,observed_prop_pairs
1,1970s,Supported positive,0.5667920137187653,0.5667973215743917,0.5638575861505798,0.5698268822472644,0.5622223583210844,0.5713702433447656,6934,0.5662257063530949
1,1970s,Supported negative,0.02526269802384452,0.025232729054385106,0.024742773150416463,0.025804344275681856,0.024416135881104035,0.026130981544994283,305,0.024906091785072675
1,1970s,Unsupported,0.4079452882573902,0.4079699493712233,0.40486689531275516,0.4109913441123632,0.40331332680058796,0.41254287114159727,5007,0.4088682018618324
2,1990s,Supported positive,0.6517056998203495,0.651641352278295,0.6491915727584517,0.6543361097501225,0.6480483423158583,0.6556467417932386,7983,0.6518863302302793
2,1990s,Supported negative,0.029420055528335782,0.02939735423811857,0.028907398334149927,0.02996896945941532,0.0285807610648375,0.03021394741139964,361,0.029479013555446677
2,1990s,Unsupported,0.3188742446513147,0.3189612934835865,0.31610321737710273,0.3214110730034297,0.3146333496651968,0.3226359627633513,3902,0.31863465621427406
3,2010s,Supported positive,0.5805496488649355,0.5805160868855136,0.5791278784909358,0.5820676139147477,0.578474603952311,0.5828045892536338,7106,0.5802711089335293
3,2010s,Supported negative,0.05133284337742936,0.05128205128205128,0.05054711742609832,0.05218030377266046,0.05022048015678589,0.052588600359301,622,0.05079209537808264
3,2010s,Unsupported,0.36811750775763513,0.3682018618324351,0.3663236975338886,0.3698350481789972,0.36534378572595133,0.3705699820349502,4518,0.36893679568838805
