grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Dabbling ducks,Gulls,Dabbling ducks | Gulls,35,Supported positive,3,0.28903188903188975,0.23463463463463508,0.3224653224653241,2.016691239166452,0.3224653224653241,0,TRUE,FALSE,0.23463463463463508,0.3224653224653241,0.30999570999571013,0.07536107536107506,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Between group,long-distance,sedentary,long-distance | sedentary,1540,Supported negative,3,0.016258032924699562,0.011949611949611881,0.022904722904722848,1.806365134914706,0.022904722904722848,0,TRUE,FALSE,0.011949611949611881,0.013919763919763961,0.022904722904722848,0.010955110955110967,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Between group,sedentary,short-and long-distance,sedentary | short-and long-distance,280,Supported negative,3,0.051792268458935024,0.03449163449163443,0.0669276419276418,1.4941186770972292,0.0669276419276418,0,TRUE,FALSE,0.05395752895752884,0.0669276419276418,0.03449163449163443,-0.01946589446589441,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Within group,sedentary and short-distance,sedentary and short-distance,sedentary and short-distance,465,Supported negative,3,-0.02022022022022031,-0.026572809368508424,-0.01569957053828027,1.2184490712379072,0.026572809368508424,0,FALSE,TRUE,-0.01569957053828027,-0.018388280753872235,-0.026572809368508424,-0.010873238830228154,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,sedentary and short-distance,short-distance,sedentary and short-distance | short-distance,1209,Supported negative,3,-0.010504024840942414,-0.013013013013012997,-0.0065723291529743225,0.9261518942873977,0.013013013013012997,0,FALSE,TRUE,-0.0065723291529743225,-0.013013013013012997,-0.011926732356839921,-0.005354403203865599,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,long-distance,sedentary and short-distance,long-distance | sedentary and short-distance,1364,Supported negative,3,-0.010264663490470022,-0.014320038513586958,-0.006601175956014754,0.8401256744117118,0.014320038513586958,0,FALSE,TRUE,-0.009872776001808355,-0.006601175956014754,-0.014320038513586958,-0.004447262511778603,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Within group,sedentary,sedentary,sedentary,595,Supported negative,3,-0.019211929015850705,-0.02537831949596709,-0.010600516482869329,0.7823935965534371,0.02537831949596709,0,FALSE,TRUE,-0.021656951068715694,-0.010600516482869329,-0.02537831949596709,-0.0037213684272513967,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,sedentary,sedentary and short-distance,sedentary | sedentary and short-distance,1085,Supported negative,3,-0.009791358178454933,-0.013953123630542984,-0.004619365909688471,0.5851602302234157,0.013953123630542984,0,FALSE,TRUE,-0.004619365909688471,-0.010801584995133347,-0.013953123630542984,-0.009333757720854513,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,sedentary,short-distance,sedentary | short-distance,1365,Supported negative,3,0.009399387177164846,0.003565470232136981,0.01770048436715113,0.5322030822834526,0.01770048436715113,0,TRUE,FALSE,0.003565470232136981,0.01770048436715113,0.006932206932206426,0.0033667367000694455,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Between group,short-and long-distance,short-distance,short-and long-distance | short-distance,312,Supported negative,3,0.014045027933916722,0.010520135520135414,0.018046893046892918,0.4651721533713092,0.018046893046892918,0,TRUE,FALSE,0.013568055234721831,0.018046893046892918,0.010520135520135414,-0.0030479197145864174,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Within group,long-distance,long-distance,long-distance,946,Supported negative,3,-0.006183773625634062,-0.008453485197671255,-0.0049192956169699514,0.31071567254265325,0.008453485197671255,0,FALSE,TRUE,-0.00517854006226098,-0.008453485197671255,-0.0049192956169699514,2.592444452910285e-4,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,sedentary,short-and long-distance,sedentary | short-and long-distance,280,Supported positive,3,-0.23743505410172053,-0.27243314743314756,-0.21551909051908968,2.975512690560477,0.27243314743314756,1,FALSE,TRUE,-0.27243314743314756,-0.21551909051908968,-0.22435292435292437,0.048080223080223194,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,long-distance,sedentary,long-distance | sedentary,1540,Supported positive,3,-0.05747479080812427,-0.06959946959946983,-0.04514189514189526,1.6630881718299908,0.06959946959946983,0,FALSE,TRUE,-0.04514189514189526,-0.057683007683007714,-0.06959946959946983,-0.02445757445757457,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Within group,sedentary,sedentary,sedentary,595,Supported positive,3,0.10660688699904393,0.08277689454160053,0.1445260386436854,1.5174730056463335,0.1445260386436854,0,TRUE,FALSE,0.08277689454160053,0.09251772781184586,0.1445260386436854,0.061749144102084874,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Within group,sedentary and short-distance,sedentary and short-distance,sedentary and short-distance,465,Supported positive,3,0.09158549230233877,0.0705027608253419,0.12320277266513902,1.247015317666563,0.12320277266513902,0,TRUE,FALSE,0.0705027608253419,0.0810509434165354,0.12320277266513902,0.05270001183979711,FALSE,Consistently above null,FALSE
migratory_strategy,Migratory strategy,Within group,short-and long-distance,short-and long-distance,short-and long-distance,28,Supported positive,3,-0.18609085275751933,-0.21181896181896237,-0.1681681681681682,1.1241578835475379,0.21181896181896237,0,FALSE,TRUE,-0.1681681681681682,-0.21181896181896237,-0.17828542828542743,-0.01011726011725922,FALSE,Consistently below null,FALSE
migratory_strategy,Migratory strategy,Between group,short-and long-distance,short-distance,short-and long-distance | short-distance,312,Supported positive,3,-0.09378181600403807,-0.1200334950334952,-0.0781903698570362,1.0340951257943545,0.1200334950334952,0,FALSE,TRUE,-0.1200334950334952,-0.0831215831215828,-0.0781903698570362,0.041843125176458995,FALSE,Consistently below null,FALSE
