"variable","variable_label","hotspot_mean","other_mean","hotspot_median","other_median","mean_difference","median_difference","standardized_mean_difference"
"perc_cropland","Cropland",0.240775191782093,0.544695316298728,0.189541878438234,0.58665383701696,-0.303920124516635,-0.397111958578726,-1.07855463840987
"perc_pasture","Pasture",0.130536202249272,0.0376158784587826,0.070634620935383,0,0.0929203237904893,0.070634620935383,1.0517742102442
"perc_fresh_saltwater","Fresh/saltwater",0.256232382614797,0.113394232169578,0.137087323149533,0,0.142838150445219,0.137087323149533,0.658961933658803
"hh","Habitat heterogeneity",0.599837375709492,0.475068049033669,0.623637553296231,0.514438302772747,0.124769326675823,0.109199250523484,0.64120407714083
"unique","Land-cover class richness",4.8586387434555,4.22942206654991,5,4,0.629216676905584,1,0.508869895043876
"perc_forest","Forest",0.194541632362205,0.121130892232236,0.126500541915977,0.0517387526214163,0.0734107401299696,0.0747617892945607,0.420465844330049
"prec_winter","Winter precipitation",141.482224439903,151.164851088007,137.660334344612,151.315117118486,-9.68262664810382,-13.654782773874,-0.40587711281567
"tmean_year","Annual temperature",9.71906505810997,9.62888114293776,9.71953608047108,9.62295275394558,0.0901839151722097,0.0965833265255007,0.386915591838545
"prec_breeding","Breeding precipitation",197.571404644533,205.573591769641,194.157804835595,202.148711337698,-8.00218712510815,-7.990906502103,-0.380676958730951
"tmean_winter","Winter temperature",2.34915122035957,2.20715410042365,2.40272006286974,2.22221429287685,0.141997119935913,0.18050576999289,0.303906111712844
"prec_year","Annual precipitation",548.372001422843,569.39630006095,517.789194705616,553.547992361664,-21.0242986381066,-35.758797656048,-0.281709206571316
"perc_grass_shrub","Grass/shrub",0.0488076905074236,0.0695359857975639,0.0281820259185185,0.048709333623838,-0.0207282952901403,-0.0205273077053195,-0.269882946539662
"tmean_breeding","Breeding temperature",9.60376127994146,9.55448096144652,9.61061148435921,9.54634055823547,0.0492803184949455,0.06427092612374,0.25172826457852
"perc_urban","Urban",0.127400823771271,0.113038494474392,0.0668659685768223,0.0664585101228088,0.0143623292968792,0.000407458454013493,0.0965352053482835
