"survey","site","rarity_score","rarity_percentile","rarity_rank","is_top_decile","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","perc_urban","perc_cropland","perc_pasture","perc_forest","perc_grass_shrub","perc_fresh_saltwater","hotspot_group","dominant_landcover"
"CC05_3","CC05",0.523106768580429,1,1,TRUE,9.76640736590763,2.92755486003016,9.53751469103255,571.243417364984,164.183424076598,203.311585875476,0.693026235721828,4,0.0495577104814113,0.27521555328382,0.345974594573931,0,0,0.329252141660837,"Top-decile rarity hotspots","Pasture"
"AE98_3","AE98",0.503997111625229,0.999474513925381,2,TRUE,9.91671991200946,3.19536838803427,9.53736057857733,614.483796925308,163.400370883403,198.854502768896,0.734836424852048,6,0.0580747243501769,0.0243546670909719,0.286697147165005,0.173774689142721,0.00996133480344407,0.447137437447681,"Top-decile rarity hotspots","Fresh/saltwater"
"CC04_3","CC04",0.491459886921224,0.998949027850762,3,TRUE,9.75564854428193,2.87584146125067,9.54331718747262,576.049472700116,165.897550839486,205.951092713972,0.661474936001125,6,0.000424187549992996,0.27130391312481,0.487607200354894,0.0730640030674031,0,0.1676006959029,"Top-decile rarity hotspots","Pasture"
"BG45_3","BG45",0.452736984512496,0.998423541776143,4,TRUE,10.1661514594658,3.12424194613389,9.84032843170606,624.829211226715,155.440543744405,213.073613089237,0.564869039218993,4,0,0,0.146128003971886,0,0.0730640019859429,0.780807994042172,"Top-decile rarity hotspots","Fresh/saltwater"
"BG31_3","BG31",0.446487766461792,0.997898055701524,5,TRUE,10.2502414547786,3.26388920001995,9.88248737684629,615.355784988117,147.558329624798,208.956710778633,0.689531036781252,5,0,0,0.435141006265673,0.0765503698362349,0,0.415244619781981,"Top-decile rarity hotspots","Pasture"
"DC88_3","DC88",0.437138247429093,0.997372569626905,6,TRUE,9.65341466267652,2.56170147910785,9.58955439236623,492.044788182299,137.84674969558,179.658510279309,0.51972210953776,4,0.0390836171852021,0,0.274364679107543,0,0.0121773339255454,0.674374369781709,"Top-decile rarity hotspots","Fresh/saltwater"
"BF04_3","BF04",0.424893197196743,0.996847083552286,7,TRUE,10.1180094130599,3.42720625356628,9.67788496240386,588.048999712632,151.03458157017,193.187141635158,0.697620185454376,4,0,0.172873910965346,0.395524818400189,0.139345252678726,0,0.292256017955739,"Top-decile rarity hotspots","Pasture"
"BD08_3","BD08",0.418988342926499,0.996321597477667,8,TRUE,9.91132803339501,3.41883748178103,9.48383727691975,605.207097385806,169.472880455818,191.929664609797,0.438861066353141,3,0,0,0.174935505306242,0,0,0.825064494693758,"Top-decile rarity hotspots","Fresh/saltwater"
"BH86_3","BH86",0.41407452955853,0.995796111403048,9,TRUE,10.1230394991521,2.48423112907264,10.0403702168449,672.051518406219,158.078159221275,237.401364677635,0.578498968502816,3,0.131758054080597,0.579449403959173,0.209639871714175,0,0.0791526702460551,0,"Top-decile rarity hotspots","Cropland"
"BG32_3","BG32",0.398483741362364,0.995270625328429,10,TRUE,10.2393499873055,3.25841840606867,9.8724738251673,614.319569894303,148.424084297548,208.978023234411,0.551345519129878,5,0,0,0.518494718295939,0.0260978508971671,0,0.452320947860159,"Top-decile rarity hotspots","Pasture"
"DC41_3","DC41",0.386158518421033,0.99474513925381,11,TRUE,9.62669267814771,2.20685776637925,9.67714729338705,492.202870781734,133.77473026872,187.085587618742,0.638256057319649,5,0,0.20424715924694,0.525628536180058,0.201962913112317,0.0362999385947855,0,"Top-decile rarity hotspots","Pasture"
"AE95_3","AE95",0.373264061110483,0.994219653179191,12,TRUE,9.96386593170838,3.22211576863013,9.56915016175862,606.962178753688,159.989739218606,196.315004690952,0.719195817709949,4,0,0.380225880644222,0.277833152194631,0,0,0.341940967161147,"Top-decile rarity hotspots","Cropland"
"GG10_3","GG10",0.371298492758866,0.993694167104572,13,TRUE,9.8498336767904,2.39096374286791,9.68363903693581,493.045578440172,120.569057771122,185.617817379569,0.537705115061557,6,0.000146000652764518,0.00268267888899221,0.127124847564842,0.10533782029434,0.0021515874742949,0.762557065124766,"Top-decile rarity hotspots","Fresh/saltwater"
"GE01_3","GE01",0.366977544955218,0.993168681029953,14,TRUE,9.42958062649308,1.51464734052039,9.5609385425618,510.620223217262,121.703635506557,193.909745092474,0.721441023902543,4,0.329247659627475,0.294406749092142,0,0.267739179176813,0.10860641210357,0,"Top-decile rarity hotspots","Urban"
"CC14_3","CC14",0.362971198353297,0.992643194955334,15,TRUE,9.77052472381278,2.82257037227567,9.58337166830387,566.525348046044,161.75515299252,204.444527214834,0.724988709936091,5,0.0388788843087538,0.387344909316087,0.254225503015539,0,0,0.31955070335962,"Top-decile rarity hotspots","Cropland"
"BH76_3","BH76",0.349852665942298,0.992117708880715,16,TRUE,10.165088187457,2.63151334050147,10.0332405684583,656.018444107929,154.20870778725,230.258020299793,0.526153630345265,2,0,0.470691387087386,0.499761102245572,0,0.0295475106670426,0,"Top-decile rarity hotspots","Pasture"
"BF08_3","BF08",0.338345565117223,0.991592222806096,17,TRUE,10.0422558202445,3.26889240100015,9.64388893350204,599.307878710519,156.629731999264,196.46303881022,0.522588443142166,3,0,0,0.416996651963653,0,0.0243546681646002,0.558648679871746,"Top-decile rarity hotspots","Fresh/saltwater"
