"migration","sti.n","sti.mean","sti.median","sti.sd","sti.min","sti.max"
"sedentary",35,12.5468124129829,12.466780849,0.836908510505707,11.1193962821,14.2313581317
"sedentary and short-distance",31,11.8078277258,12.2214205187,1.45037301289681,8.3694639418,13.4633891991
"short-distance",39,11.1730033889718,11.532605723,1.72179211381334,7.3724850113,13.8814196118
"short-and long-distance",8,12.6993935944,12.9994277998,2.39249154778509,8.9178677716,16.3071703744
"long-distance",44,11.7075408566023,11.9648487789,1.65110453580318,6.7214988279,13.8793523116
