"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"DF37_3","DF37","3","2010s",567499.970027603,6187499.83955628,89,0.266022341522274,0.980557015239096,38,TRUE
"GE12_3","GE12","3","2010s",707500.440443458,6212499.83544799,85,0.262244872257618,0.980031529164477,39,TRUE
"AF98_3","AF98","3","2010s",447500.138736578,6192499.68358703,61,0.26089819163839,0.979506043089858,40,TRUE
"BG28_3","BG28","3","2010s",462500.065651239,6142499.95134978,60,0.259128080260742,0.978980557015239,41,TRUE
"DB78_3","DB78","3","2010s",587499.373552364,6392499.48275486,72,0.25580952706665,0.97845507094062,42,TRUE
"HA43_3","HA43","3","2010s",885432.633903014,6119176.53044757,64,0.251043560394937,0.977929584866001,43,TRUE
"BG33_3","BG33","3","2010s",467499.895840675,6117499.77949567,16,0.251015413736289,0.977404098791382,44,TRUE
"CC87_3","CC87","3","2010s",542499.693033839,6337499.64094277,64,0.248503284481434,0.976878612716763,45,TRUE
"EG84_3","EG84","3","2010s",642500.182127009,6122499.75285182,86,0.24707398231511,0.976353126642144,46,TRUE
"FG93_3","FG93","3","2010s",697500.272298716,6117499.53376504,59,0.246506186487168,0.975827640567525,47,TRUE
"HA24_3","HA24","3","2010s",875021.921474236,6123307.11331084,82,0.245200009264028,0.975302154492906,48,TRUE
"DC40_3","DC40","3","2010s",572499.814865005,6302499.9695267,91,0.243073810655012,0.974776668418287,49,TRUE
"FH24_3","FH24","3","2010s",662500.159418326,6072499.6094516,94,0.24274577361422,0.974251182343668,50,TRUE
"DB65_3","DB65","3","2010s",582499.470286001,6377499.71475614,70,0.242295391488953,0.973725696269049,51,TRUE
"BC94_3","BC94","3","2010s",497500.035447882,6322499.62760691,89,0.24180897281709,0.97320021019443,52,TRUE
"BD07_3","BD07","3","2010s",452500.005869533,6287499.74638192,43,0.232787486331975,0.972674724119811,53,TRUE
"BG30_3","BG30","3","2010s",467499.99674375,6102499.68006447,36,0.231919686776266,0.972149238045192,54,TRUE
"EF02_3","EF02","3","2010s",602500.11502745,6162499.89289854,82,0.229275166098427,0.971623751970573,55,TRUE
"GE11_3","GE11","3","2010s",707500.409073655,6207499.81585062,95,0.227832722821423,0.971098265895954,56,TRUE
"BF43_3","BF43","3","2010s",472500.098778225,6167499.76658857,62,0.223292370126132,0.970572779821335,57,TRUE
"DD57_3","DD57","3","2010s",577499.837320245,6287500.01588594,79,0.222578516685013,0.970047293746716,58,TRUE
"BF29_3","BF29","3","2010s",462500.078542376,6197499.79133959,76,0.221602408549785,0.969521807672097,59,TRUE
"BD06_3","BD06","3","2010s",452500.005927646,6282499.76554113,57,0.220431859278361,0.968996321597478,60,TRUE
"GF01_3","GF01","3","2010s",702500.33851183,6157499.70464013,71,0.219649786168268,0.968470835522859,61,TRUE
"EG26_3","EG26","3","2010s",612500.200980525,6132499.87014104,96,0.219095391328168,0.96794534944824,62,TRUE
"GF38_3","GF38","3","2010s",717500.435970246,6192499.75018539,91,0.214977140777176,0.967419863373621,63,TRUE
"BG54_3","BG54","3","2010s",477500.01269075,6122499.81898028,48,0.211411961480209,0.966894377299002,64,TRUE
"HA34_3","HA34","3","2010s",880012.223443911,6123737.1941189,83,0.210559114547323,0.966368891224383,65,TRUE
"GE32_3","GE32","3","2010s",717500.462835331,6212499.88848785,92,0.208072638328677,0.965843405149764,66,TRUE
"FH63_3","FH63","3","2010s",682500.157132731,6067499.66484215,79,0.207986076860756,0.965317919075145,67,TRUE
"DG23_3","DG23","3","2010s",562500.082842501,6117499.91076088,81,0.206390399700032,0.964792433000526,68,TRUE
"BG95_3","BG95","3","2010s",497500.04839081,6127499.8942135,72,0.204776181673464,0.964266946925906,69,TRUE
"BE82_3","BE82","3","2010s",492500.055951099,6212499.79597841,46,0.203566293854234,0.963741460851287,70,TRUE
"DF41_3","DF41","3","2010s",572500.087412724,6157499.9099431,92,0.202047582195262,0.963215974776668,71,TRUE
"BH99_3","BH99","3","2010s",497500.014400094,6097499.76610886,72,0.201515136074049,0.962690488702049,72,TRUE
"GH17_3","GH17","3","2010s",707500.162074453,6087499.45901155,61,0.1987970017948,0.96216500262743,73,TRUE
"DH67_3","DH67","3","2010s",582500.150456362,6087499.8462261,79,0.197786366836657,0.961639516552811,74,TRUE
"EH92_3","EH92","3","2010s",647500.195749991,6062499.68777492,88,0.195779048610571,0.961114030478192,75,TRUE
"FH21_3","FH21","3","2010s",662500.130102888,6057499.66692142,74,0.194737714661866,0.960588544403573,76,TRUE
"GE13_3","GE13","3","2010s",707500.408154536,6217499.90810033,93,0.194705549010899,0.960063058328954,77,TRUE
"CG54_3","CG54","3","2010s",527500.065031351,6122499.80360858,97,0.194586178987472,0.959537572254335,78,TRUE
"GF27_3","GF27","3","2010s",712500.403282234,6187499.80478846,83,0.193485652159828,0.959012086179716,79,TRUE
"CC91_3","CC91","3","2010s",547499.827723457,6307499.80397622,99,0.191928693234913,0.958486600105097,80,TRUE
"BG62_3","BG62","3","2010s",482499.979308296,6112499.8150475,68,0.191324618917742,0.957961114030478,81,TRUE
"FG63_3","FG63","3","2010s",682500.278271986,6117499.67732292,80,0.19088192860876,0.957435627955859,82,TRUE
"BD73_3","BD73","3","2010s",487500.060025383,6267499.68287945,76,0.190744547583552,0.95691014188124,83,TRUE
"DC00_3","DC00","3","2010s",552499.798134318,6302499.82200372,105,0.189278436570043,0.956384655806621,84,TRUE
"GH19_3","GH19","3","2010s",707500.249412663,6097499.45561771,75,0.188463536136856,0.955859169732002,85,TRUE
"DF80_3","DF80","3","2010s",592500.100089202,6152499.90405467,77,0.188333078718958,0.955333683657383,86,TRUE
"FG52_3","FG52","3","2010s",677500.260739334,6112499.57783704,81,0.187385988094867,0.954808197582764,87,TRUE
"CC75_3","CC75","3","2010s",537499.762846018,6327499.68405006,84,0.186701504569412,0.954282711508145,88,TRUE
"CF34_3","CF34","3","2010s",517500.035763805,6172499.77595747,76,0.186579716717357,0.953757225433526,89,TRUE
"FF79_3","FF79","3","2010s",687500.314355697,6197499.87356095,90,0.184953007350316,0.953231739358907,90,TRUE
"FF62_3","FF62","3","2010s",682500.293161072,6162499.78015157,90,0.184910088404101,0.952706253284288,91,TRUE
