"","kvadratkod","survey","tmean_breeding"
"AD90","AD90","AD90_3",9.53574431702078
"AD91","AD91","AD91_3",9.51773525566579
"AD92","AD92","AD92_3",9.4164774135172
"AD93","AD93","AD93_3",9.43999581796044
"AD94","AD94","AD94_3",9.50055410730533
"AD95","AD95","AD95_3",9.48853976418937
"AD96","AD96","AD96_3",9.48809475718196
"AE81","AE81","AE81_3",9.58476994733342
"AE82","AE82","AE82_3",9.57814522540518
"AE83","AE83","AE83_3",9.57279544720158
"AE90","AE90","AE90_3",9.61186567813622
"AE91","AE91","AE91_3",9.6115086452075
"AE92","AE92","AE92_3",9.61490817083971
"AE93","AE93","AE93_3",9.5968545629041
"AE94","AE94","AE94_3",9.57632422180502
"AE95","AE95","AE95_3",9.56915016175862
"AE96","AE96","AE96_3",9.55884503091599
"AE97","AE97","AE97_3",9.52145759900594
"AE98","AE98","AE98_3",9.53736057857733
"AE99","AE99","AE99_3",9.54124712914775
"AF81","AF81","AF81_3",9.66887919683771
"AF82","AF82","AF82_3",9.66402018107294
"AF90","AF90","AF90_3",9.71016234638717
"AF91","AF91","AF91_3",9.6624830265597
"AF92","AF92","AF92_3",9.6520807116914
"AF93","AF93","AF93_3",9.64637633036197
"AF94","AF94","AF94_3",9.64792945355784
"AF95","AF95","AF95_3",9.63628339141532
"AF96","AF96","AF96_3",9.6182340518584
"AF97","AF97","AF97_3",9.63417025185354
"AF98","AF98","AF98_3",9.61680218971684
"AF99","AF99","AF99_3",9.61506583316981
"BC10","BC10","BC10_3",9.38039313801377
"BC11","BC11","BC11_3",9.40498370192227
"BC20","BC20","BC20_3",9.40491990749084
"BC21","BC21","BC21_3",9.38020063721433
"BC22","BC22","BC22_3",9.3861773147527
"BC23","BC23","BC23_3",9.43139592479536
"BC30","BC30","BC30_3",9.40183440015615
"BC31","BC31","BC31_3",9.40541944204627
"BC32","BC32","BC32_3",9.3652098868568
"BC33","BC33","BC33_3",9.34781737831899
"BC34","BC34","BC34_3",9.41602629207949
"BC40","BC40","BC40_3",9.38432953337764
"BC41","BC41","BC41_3",9.38187357529286
"BC42","BC42","BC42_3",9.35569536633975
"BC43","BC43","BC43_3",9.28822501518729
"BC44","BC44","BC44_3",9.38290764989452
"BC45","BC45","BC45_3",9.41277623712028
"BC50","BC50","BC50_3",9.44309510865104
"BC51","BC51","BC51_3",9.41674351716106
"BC52","BC52","BC52_3",9.34925561601443
"BC53","BC53","BC53_3",9.29755486739808
"BC54","BC54","BC54_3",9.33227894124364
"BC55","BC55","BC55_3",9.34006444518431
"BC56","BC56","BC56_3",9.3525411296708
"BC60","BC60","BC60_3",9.37079010285627
"BC61","BC61","BC61_3",9.52195286244552
"BC62","BC62","BC62_3",9.44382254311665
"BC63","BC63","BC63_3",9.39311825037472
"BC64","BC64","BC64_3",9.43704768371593
"BC65","BC65","BC65_3",9.39933472865079
"BC70","BC70","BC70_3",9.46669583008151
"BC71","BC71","BC71_3",9.49126932319615
"BC72","BC72","BC72_3",9.4952662806993
"BC73","BC73","BC73_3",9.45701312258393
"BC74","BC74","BC74_3",9.46540204218275
"BC75","BC75","BC75_3",9.47509080647489
"BC80","BC80","BC80_3",9.5704178692315
"BC81","BC81","BC81_3",9.48496057220353
"BC82","BC82","BC82_3",9.52494407140548
"BC83","BC83","BC83_3",9.52552638537347
"BC84","BC84","BC84_3",9.47223992846134
"BC85","BC85","BC85_3",9.45837757936996
"BC86","BC86","BC86_3",9.49828259733192
"BC91","BC91","BC91_3",9.58627309221596
"BC92","BC92","BC92_3",9.57419533652033
"BC93","BC93","BC93_3",9.54375395098174
"BC94","BC94","BC94_3",9.51435552895859
"BC95","BC95","BC95_3",9.48469981667292
"BC96","BC96","BC96_3",9.47595151472922
"BD00","BD00","BD00_3",9.53896449071347
"BD01","BD01","BD01_3",9.49756005857088
"BD02","BD02","BD02_3",9.36270805239285
"BD03","BD03","BD03_3",9.36847227951856
"BD04","BD04","BD04_3",9.46638089475317
"BD05","BD05","BD05_3",9.50319597607185
"BD06","BD06","BD06_3",9.48803445641184
"BD07","BD07","BD07_3",9.49231411128926
"BD08","BD08","BD08_3",9.48383727691975
"BD09","BD09","BD09_3",9.46187487653427
"BD10","BD10","BD10_3",9.52706895800653
