"","kvadratkod","survey","tmean_year"
"AD90","AD90","AD90_3",9.92801227071647
"AD91","AD91","AD91_3",9.91260547744505
"AD92","AD92","AD92_3",9.82114527240381
"AD93","AD93","AD93_3",9.85073517587911
"AD94","AD94","AD94_3",9.9154604337557
"AD95","AD95","AD95_3",9.92232383983183
"AD96","AD96","AD96_3",9.92795421112598
"AE81","AE81","AE81_3",10.0269529553182
"AE82","AE82","AE82_3",10.0055871280197
"AE83","AE83","AE83_3",9.99370807262903
"AE90","AE90","AE90_3",10.0345545720633
"AE91","AE91","AE91_3",10.0226740390073
"AE92","AE92","AE92_3",10.0093401840767
"AE93","AE93","AE93_3",9.98969182212685
"AE94","AE94","AE94_3",9.97107481581364
"AE95","AE95","AE95_3",9.96386593170838
"AE96","AE96","AE96_3",9.94127663307476
"AE97","AE97","AE97_3",9.89842129988964
"AE98","AE98","AE98_3",9.91671991200946
"AE99","AE99","AE99_3",9.93149496917266
"AF81","AF81","AF81_3",10.2274215074076
"AF82","AF82","AF82_3",10.2063588770928
"AF90","AF90","AF90_3",10.2341226720672
"AF91","AF91","AF91_3",10.1895525677323
"AF92","AF92","AF92_3",10.1656274619093
"AF93","AF93","AF93_3",10.1449477803264
"AF94","AF94","AF94_3",10.1280877085296
"AF95","AF95","AF95_3",10.1005313811425
"AF96","AF96","AF96_3",10.0723014210458
"AF97","AF97","AF97_3",10.0803125574408
"AF98","AF98","AF98_3",10.0593593271174
"AF99","AF99","AF99_3",10.0464892125588
"BC10","BC10","BC10_3",9.80396372480935
"BC11","BC11","BC11_3",9.83022874967035
"BC20","BC20","BC20_3",9.79493446060953
"BC21","BC21","BC21_3",9.78499893138178
"BC22","BC22","BC22_3",9.79938254997252
"BC23","BC23","BC23_3",9.8354192837634
"BC30","BC30","BC30_3",9.75732810737682
"BC31","BC31","BC31_3",9.77592586182219
"BC32","BC32","BC32_3",9.7488706361594
"BC33","BC33","BC33_3",9.748214785356
"BC34","BC34","BC34_3",9.8109140062907
"BC40","BC40","BC40_3",9.70866004172251
"BC41","BC41","BC41_3",9.72590950410732
"BC42","BC42","BC42_3",9.71346385980922
"BC43","BC43","BC43_3",9.66321761843499
"BC44","BC44","BC44_3",9.76518719755173
"BC45","BC45","BC45_3",9.79682555753715
"BC50","BC50","BC50_3",9.74265284050556
"BC51","BC51","BC51_3",9.73328003917459
"BC52","BC52","BC52_3",9.68218933271973
"BC53","BC53","BC53_3",9.64441010083265
"BC54","BC54","BC54_3",9.68678679350752
"BC55","BC55","BC55_3",9.70517783159246
"BC56","BC56","BC56_3",9.72237330250922
"BC60","BC60","BC60_3",9.64850834795551
"BC61","BC61","BC61_3",9.80828477579508
"BC62","BC62","BC62_3",9.74959020832641
"BC63","BC63","BC63_3",9.70943995837506
