"","kvadratkod","survey","prec_breeding"
"AD90","AD90","AD90_3",196.760619024112
"AD91","AD91","AD91_3",197.585678964939
"AD92","AD92","AD92_3",205.748814248969
"AD93","AD93","AD93_3",200.670802934712
"AD94","AD94","AD94_3",192.352564954999
"AD95","AD95","AD95_3",191.601454649853
"AD96","AD96","AD96_3",191.727288468553
"AE81","AE81","AE81_3",194.867823344871
"AE82","AE82","AE82_3",195.922467705467
"AE83","AE83","AE83_3",196.500496220999
"AE90","AE90","AE90_3",193.597105822526
"AE91","AE91","AE91_3",192.966362697221
"AE92","AE92","AE92_3",192.690438355417
"AE93","AE93","AE93_3",194.678521931305
"AE94","AE94","AE94_3",196.322081249916
"AE95","AE95","AE95_3",196.315004690952
"AE96","AE96","AE96_3",197.745587450135
"AE97","AE97","AE97_3",202.144468640191
"AE98","AE98","AE98_3",198.854502768896
"AE99","AE99","AE99_3",197.510493685296
"AF81","AF81","AF81_3",190.740688135104
"AF82","AF82","AF82_3",191.597065631795
"AF90","AF90","AF90_3",190.924240502908
"AF91","AF91","AF91_3",193.615506870335
"AF92","AF92","AF92_3",193.665351505975
"AF93","AF93","AF93_3",195.333174067195
"AF94","AF94","AF94_3",195.535244848208
"AF95","AF95","AF95_3",198.213967456488
"AF96","AF96","AF96_3",199.018140055844
"AF97","AF97","AF97_3",194.862985441888
"AF98","AF98","AF98_3",193.483751985964
"AF99","AF99","AF99_3",193.708406372519
"BC10","BC10","BC10_3",201.727877865982
"BC11","BC11","BC11_3",201.030281188321
"BC20","BC20","BC20_3",194.359551816398
"BC21","BC21","BC21_3",198.812263774321
"BC22","BC22","BC22_3",202.226590937683
"BC23","BC23","BC23_3",200.544047411098
"BC30","BC30","BC30_3",200.472878158155
"BC31","BC31","BC31_3",197.033192036031
"BC32","BC32","BC32_3",200.263648147133
"BC33","BC33","BC33_3",205.108533149164
"BC34","BC34","BC34_3",201.702029407936
"BC40","BC40","BC40_3",206.389785830476
"BC41","BC41","BC41_3",203.186060169045
"BC42","BC42","BC42_3",201.280532769565
"BC43","BC43","BC43_3",206.206414850281
"BC44","BC44","BC44_3",203.679526676781
"BC45","BC45","BC45_3",205.42511123908
"BC50","BC50","BC50_3",201.147377338603
"BC51","BC51","BC51_3",199.758431399167
"BC52","BC52","BC52_3",205.058521888833
"BC53","BC53","BC53_3",204.656501393577
"BC54","BC54","BC54_3",205.868754508434
"BC55","BC55","BC55_3",209.842942937096
"BC56","BC56","BC56_3",209.963045111817
"BC60","BC60","BC60_3",214.59841584715
"BC61","BC61","BC61_3",197.610050629563
"BC62","BC62","BC62_3",202.242989944298
"BC63","BC63","BC63_3",200.06060318308
"BC64","BC64","BC64_3",195.382233109916
"BC65","BC65","BC65_3",201.218375626138
"BC70","BC70","BC70_3",203.743395736602
"BC71","BC71","BC71_3",205.767038912696
"BC72","BC72","BC72_3",203.569752373166
"BC73","BC73","BC73_3",203.313259621139
"BC74","BC74","BC74_3",205.381012961473
"BC75","BC75","BC75_3",202.980099387879
"BC80","BC80","BC80_3",202.804406955801
"BC81","BC81","BC81_3",211.391118329013
"BC82","BC82","BC82_3",206.283757729672
"BC83","BC83","BC83_3",203.401908803944
"BC84","BC84","BC84_3",208.434739335038
"BC85","BC85","BC85_3",208.976188773932
"BC86","BC86","BC86_3",207.012093858407
"BC91","BC91","BC91_3",204.810761912713
"BC92","BC92","BC92_3",205.257770050349
"BC93","BC93","BC93_3",207.582425435347
"BC94","BC94","BC94_3",205.583478485001
"BC95","BC95","BC95_3",206.877812930514
"BC96","BC96","BC96_3",209.484180903601
"BD00","BD00","BD00_3",202.148711337698
"BD01","BD01","BD01_3",203.410674473185
"BD02","BD02","BD02_3",207.754103528405
"BD03","BD03","BD03_3",201.037937027978
"BD04","BD04","BD04_3",195.493439625
"BD05","BD05","BD05_3",192.027289970291
"BD06","BD06","BD06_3",192.071041527756
"BD07","BD07","BD07_3",192.014200336059
"BD08","BD08","BD08_3",191.929664609797
"BD09","BD09","BD09_3",196.271671315039
"BD10","BD10","BD10_3",207.660795662271
"BD11","BD11","BD11_3",208.604115680498
"BD12","BD12","BD12_3",207.424999981197
"BD13","BD13","BD13_3",205.574337226572
"BD14","BD14","BD14_3",195.983512838967
"BD16","BD16","BD16_3",206.343235802713
"BD17","BD17","BD17_3",216.251489613184
"BD18","BD18","BD18_3",200.589048614312
"BD19","BD19","BD19_3",195.396435460136
"BD20","BD20","BD20_3",215.762519935906
"BD21","BD21","BD21_3",217.004577966036
"BD22","BD22","BD22_3",209.937968781542
"BD23","BD23","BD23_3",214.049477877796
"BD24","BD24","BD24_3",199.313093406143
"BD26","BD26","BD26_3",203.400103046142
"BD27","BD27","BD27_3",212.37237190795
"BD28","BD28","BD28_3",204.29198346007
"BD29","BD29","BD29_3",198.692322973544
"BD30","BD30","BD30_3",224.565721873158
"BD31","BD31","BD31_3",219.029012908931
"BD32","BD32","BD32_3",212.270202238167
"BD33","BD33","BD33_3",199.458455207863
"BD34","BD34","BD34_3",210.713360997626
"BD35","BD35","BD35_3",211.038890827881
"BD36","BD36","BD36_3",204.069548598356
"BD37","BD37","BD37_3",192.720242743358
"BD38","BD38","BD38_3",190.500813332284
"BD39","BD39","BD39_3",198.234210988821
"BD40","BD40","BD40_3",227.012095986431
"BD41","BD41","BD41_3",216.658075527866
"BD42","BD42","BD42_3",208.559480146618
"BD43","BD43","BD43_3",209.853440456559
"BD44","BD44","BD44_3",211.319338942027
"BD45","BD45","BD45_3",214.102120681493
"BD46","BD46","BD46_3",202.804429151635
"BD47","BD47","BD47_3",201.61624040056
"BD48","BD48","BD48_3",198.16170048883
"BD49","BD49","BD49_3",199.671797134801
"BD50","BD50","BD50_3",226.304748109606
"BD51","BD51","BD51_3",212.294174303153
"BD52","BD52","BD52_3",208.64138325602
"BD53","BD53","BD53_3",212.256622154845
"BD54","BD54","BD54_3",210.317348915639
"BD55","BD55","BD55_3",205.465804104713
"BD56","BD56","BD56_3",207.465913769636
"BD57","BD57","BD57_3",212.731928677975
"BD58","BD58","BD58_3",214.992379407546
"BD59","BD59","BD59_3",200.627979893635
"BD60","BD60","BD60_3",220.841616849911
"BD61","BD61","BD61_3",217.176524466754
"BD62","BD62","BD62_3",216.09275560084
"BD63","BD63","BD63_3",216.438505791755
"BD64","BD64","BD64_3",224.292342480509
"BD65","BD65","BD65_3",210.672950025666
"BD66","BD66","BD66_3",211.888728535763
"BD67","BD67","BD67_3",215.138762222203
"BD68","BD68","BD68_3",214.585868859343
"BD69","BD69","BD69_3",207.32889298055
"BD70","BD70","BD70_3",236.136400389483
"BD71","BD71","BD71_3",230.604386103794
"BD72","BD72","BD72_3",220.4609423911
"BD73","BD73","BD73_3",215.594483095189
"BD74","BD74","BD74_3",217.085472450854
"BD75","BD75","BD75_3",215.198537280296
"BD76","BD76","BD76_3",207.905122843199
"BD77","BD77","BD77_3",207.736544642113
"BD78","BD78","BD78_3",205.170935231442
"BD79","BD79","BD79_3",209.36685100717
"BD80","BD80","BD80_3",222.817273292962
"BD81","BD81","BD81_3",212.382154626181
"BD82","BD82","BD82_3",217.846460409423
"BD83","BD83","BD83_3",216.438314199263
"BD84","BD84","BD84_3",223.269411344251
