"","kvadratkod","survey","prec_year"
"BD47","BD47","BD47_3",597.935376829167
"BD48","BD48","BD48_3",589.69759845055
"BD49","BD49","BD49_3",599.724432892929
"BD50","BD50","BD50_3",656.439467242886
"BD51","BD51","BD51_3",610.501888700916
"BD52","BD52","BD52_3",601.541284101428
"BD53","BD53","BD53_3",612.609207393722
"BD54","BD54","BD54_3",609.758474486113
"BD55","BD55","BD55_3",597.247079573969
"BD56","BD56","BD56_3",603.300612841119
"BD57","BD57","BD57_3",622.291841707623
"BD58","BD58","BD58_3",627.703532821791
"BD59","BD59","BD59_3",592.107699987999
"BD60","BD60","BD60_3",632.853235775868
"BD61","BD61","BD61_3",617.381775058985
"BD62","BD62","BD62_3",617.199614599664
"BD63","BD63","BD63_3",619.84432243857
"BD64","BD64","BD64_3",642.162179647581
"BD65","BD65","BD65_3",603.498277705668
"BD66","BD66","BD66_3",609.873963903968
"BD67","BD67","BD67_3",623.495106792181
"BD68","BD68","BD68_3",617.894780115438
"BD69","BD69","BD69_3",600.02710574379
"BD70","BD70","BD70_3",671.152182451607
"BD71","BD71","BD71_3",648.28552178241
"BD72","BD72","BD72_3",622.855116978871
"BD73","BD73","BD73_3",610.728227338925
"BD74","BD74","BD74_3",615.449695001479
"BD75","BD75","BD75_3",606.600438006662
"BD76","BD76","BD76_3",590.318178457473
"BD77","BD77","BD77_3",594.762699675271
"BD78","BD78","BD78_3",584.882759606587
"BD79","BD79","BD79_3",597.55805731055
"BD80","BD80","BD80_3",629.716640017507
"BD81","BD81","BD81_3",592.236573683486
"BD82","BD82","BD82_3",608.500873841151
"BD83","BD83","BD83_3",604.764195186437
"BD84","BD84","BD84_3",627.198610315893
"BD85","BD85","BD85_3",607.039903297104
"BD86","BD86","BD86_3",590.884258200094
"BD87","BD87","BD87_3",601.974590052844
"BD88","BD88","BD88_3",570.618457810461
"BD89","BD89","BD89_3",569.112763459255
"BD90","BD90","BD90_3",586.916299292703
"BD91","BD91","BD91_3",584.987004995167
"BD92","BD92","BD92_3",589.552956024597
"BD93","BD93","BD93_3",596.907792690962
"BD94","BD94","BD94_3",615.794752992127
"BD95","BD95","BD95_3",589.164467722827
"BD96","BD96","BD96_3",597.281716039792
"BD97","BD97","BD97_3",597.411910849483
"BD98","BD98","BD98_3",572.544408731784
"BD99","BD99","BD99_3",587.387362415471
"BE02","BE02","BE02_3",604.434382835414
"BE03","BE03","BE03_3",609.647794650635
"BE04","BE04","BE04_3",605.756579407147
"BE05","BE05","BE05_3",611.472261950783
"BE06","BE06","BE06_3",617.17228471216
"BE07","BE07","BE07_3",613.953553702786
"BE08","BE08","BE08_3",608.810875300296
"BE09","BE09","BE09_3",618.60993120524
"BE10","BE10","BE10_3",613.978369905304
"BE11","BE11","BE11_3",615.308314907583
"BE12","BE12","BE12_3",621.32219967383
"BE13","BE13","BE13_3",626.366566000016
"BE14","BE14","BE14_3",631.625227028177
"BE15","BE15","BE15_3",631.809543946414
"BE16","BE16","BE16_3",638.529270933044
"BE17","BE17","BE17_3",627.362891442999
"BE18","BE18","BE18_3",623.56074832734
"BE19","BE19","BE19_3",632.668797208288
"BE20","BE20","BE20_3",637.989010570578
"BE21","BE21","BE21_3",655.770194033925
"BE22","BE22","BE22_3",671.127869852665
"BE23","BE23","BE23_3",659.45442478072
"BE24","BE24","BE24_3",659.744597958743
"BE25","BE25","BE25_3",664.944879217425
"BE26","BE26","BE26_3",662.611309039988
"BE27","BE27","BE27_3",655.310751721343
"BE28","BE28","BE28_3",640.317007581045
"BE29","BE29","BE29_3",635.164444468995
"BE30","BE30","BE30_3",653.288708789317
"BE31","BE31","BE31_3",669.065128853829
"BE32","BE32","BE32_3",684.128989889119
"BE33","BE33","BE33_3",670.561389706232
"BE34","BE34","BE34_3",657.499911886312
"BE35","BE35","BE35_3",640.806520154883
"BE36","BE36","BE36_3",666.855894463085
"BE37","BE37","BE37_3",654.83593541396
"BE38","BE38","BE38_3",652.62354850157
"BE39","BE39","BE39_3",641.822504092409
"BE40","BE40","BE40_3",668.310555934309
"BE41","BE41","BE41_3",671.639631007979
"BE42","BE42","BE42_3",658.179315621841
"BE43","BE43","BE43_3",665.122388613435
"BE44","BE44","BE44_3",677.245399010932
"BE45","BE45","BE45_3",678.790383197952
"BE46","BE46","BE46_3",668.611329226079
"BE47","BE47","BE47_3",663.336746299566
"BE48","BE48","BE48_3",646.654577734347
"BE49","BE49","BE49_3",647.109876421827
"BE50","BE50","BE50_3",683.540542410121
"BE51","BE51","BE51_3",680.959254470042
"BE52","BE52","BE52_3",657.553198514504
"BE53","BE53","BE53_3",642.935409678338
"BE54","BE54","BE54_3",659.102318231625
"BE55","BE55","BE55_3",694.924516152583
"BE56","BE56","BE56_3",680.013773640603
"BE57","BE57","BE57_3",646.352286542203
"BE58","BE58","BE58_3",645.162798537371
"BE59","BE59","BE59_3",661.724554647637
"BE60","BE60","BE60_3",680.271067230772
"BE61","BE61","BE61_3",667.860833344063
"BE62","BE62","BE62_3",671.559207700317
"BE63","BE63","BE63_3",664.487326461778
"BE64","BE64","BE64_3",662.445058571443
"BE65","BE65","BE65_3",640.859666736778
"BE66","BE66","BE66_3",645.182965532489
"BE67","BE67","BE67_3",663.966226052061
"BE68","BE68","BE68_3",640.317837611854
"BE69","BE69","BE69_3",655.319830723919
"BE70","BE70","BE70_3",692.062194460489
"BE71","BE71","BE71_3",695.577353937371
"BE72","BE72","BE72_3",703.195663695265
"BE73","BE73","BE73_3",691.742952385083
"BE74","BE74","BE74_3",692.363038247659
"BE75","BE75","BE75_3",666.056234898842
"BE76","BE76","BE76_3",649.608827670129
"BE77","BE77","BE77_3",639.183487383615
"BE78","BE78","BE78_3",634.999027408922
"BE79","BE79","BE79_3",644.706104342986
"BE80","BE80","BE80_3",684.678571355776
"BE81","BE81","BE81_3",697.21538376691
"BE82","BE82","BE82_3",697.359374701206
"BE83","BE83","BE83_3",666.867423714736
"BE84","BE84","BE84_3",658.968286432007
"BE85","BE85","BE85_3",650.438094578106
"BE86","BE86","BE86_3",636.372819655106
"BE87","BE87","BE87_3",634.435172703157
"BE88","BE88","BE88_3",637.554208428222
"BE89","BE89","BE89_3",651.973984236589
"BE90","BE90","BE90_3",684.245213475939
"BE91","BE91","BE91_3",670.300300200555
"BE92","BE92","BE92_3",667.994277238426
"BE93","BE93","BE93_3",658.488865943575
"BE94","BE94","BE94_3",647.318239984374
"BE95","BE95","BE95_3",642.741677850291
"BE96","BE96","BE96_3",643.021896547209
"BE97","BE97","BE97_3",644.38902442681
"BE98","BE98","BE98_3",633.392915772664
"BE99","BE99","BE99_3",621.39414033154
"BF00","BF00","BF00_3",591.189989699667
"BF01","BF01","BF01_3",587.383177615933
"BF02","BF02","BF02_3",593.446282710091
"BF03","BF03","BF03_3",610.707002796729
"BF04","BF04","BF04_3",588.048999712632
"BF05","BF05","BF05_3",612.124529085209
"BF06","BF06","BF06_3",594.541524582519
"BF07","BF07","BF07_3",595.960004314503
"BF08","BF08","BF08_3",599.307878710519
"BF10","BF10","BF10_3",610.721291316877
"BF11","BF11","BF11_3",623.341771370972
"BF12","BF12","BF12_3",606.460353105382
"BF13","BF13","BF13_3",604.428819824726
"BF14","BF14","BF14_3",623.320608609396
"BF15","BF15","BF15_3",619.770046764458
"BF16","BF16","BF16_3",612.582540023672
"BF17","BF17","BF17_3",616.983298129174
"BF18","BF18","BF18_3",612.142774879747
"BF20","BF20","BF20_3",632.866957705664
"BF21","BF21","BF21_3",625.178797865454
"BF22","BF22","BF22_3",612.148363414508
"BF23","BF23","BF23_3",628.878415484529
"BF24","BF24","BF24_3",642.866592644799
"BF25","BF25","BF25_3",643.035968542786
"BF26","BF26","BF26_3",635.909192826014
"BF27","BF27","BF27_3",636.328247178054
"BF28","BF28","BF28_3",633.678299328418
"BF29","BF29","BF29_3",623.753305057953
"BF30","BF30","BF30_3",651.220929095441
"BF31","BF31","BF31_3",633.06042623497
"BF32","BF32","BF32_3",647.059243888635
"BF33","BF33","BF33_3",650.042210691482
"BF34","BF34","BF34_3",658.27137852352
"BF35","BF35","BF35_3",658.447740821312
"BF36","BF36","BF36_3",660.2800930023
"BF37","BF37","BF37_3",664.65793370979
"BF38","BF38","BF38_3",652.61124185867
"BF39","BF39","BF39_3",637.216574069716
"BF40","BF40","BF40_3",654.913902911946
"BF41","BF41","BF41_3",649.485357598116
"BF42","BF42","BF42_3",657.715557958486
"BF43","BF43","BF43_3",634.235192305062
"BF44","BF44","BF44_3",641.024311905586
"BF45","BF45","BF45_3",655.136403445331
"BF46","BF46","BF46_3",672.705656500221
"BF47","BF47","BF47_3",661.80409055495
"BF48","BF48","BF48_3",646.324687587529
"BF49","BF49","BF49_3",650.70792354229
"BF50","BF50","BF50_3",647.326249633294
"BF51","BF51","BF51_3",664.13818968807
"BF52","BF52","BF52_3",657.573176736408
"BF53","BF53","BF53_3",660.147044768671
"BF54","BF54","BF54_3",667.757587730272
"BF55","BF55","BF55_3",669.13401526058
"BF56","BF56","BF56_3",657.766544631902
"BF57","BF57","BF57_3",671.676031583053
"BF58","BF58","BF58_3",655.067756369838
"BF59","BF59","BF59_3",664.37509532785
"BF60","BF60","BF60_3",662.299156733815
"BF61","BF61","BF61_3",664.143208150562
"BF62","BF62","BF62_3",678.688146388508
"BF63","BF63","BF63_3",675.46427976768
"BF64","BF64","BF64_3",675.368557100085
"BF65","BF65","BF65_3",671.547813412187
"BF66","BF66","BF66_3",669.828390025743
"BF67","BF67","BF67_3",659.328772398848
"BF68","BF68","BF68_3",661.853048573711
"BF69","BF69","BF69_3",677.587138134991
"BF70","BF70","BF70_3",693.309067842478
"BF71","BF71","BF71_3",683.934368368149
"BF72","BF72","BF72_3",685.72959945325
"BF73","BF73","BF73_3",689.914045487994
"BF74","BF74","BF74_3",684.640138865266
"BF75","BF75","BF75_3",683.157010682474
"BF76","BF76","BF76_3",677.146356042693
"BF77","BF77","BF77_3",673.815735383176
"BF78","BF78","BF78_3",687.586191088259
"BF79","BF79","BF79_3",678.854871282185
"BF80","BF80","BF80_3",696.442029339351
"BF81","BF81","BF81_3",713.792674167069
"BF82","BF82","BF82_3",709.508678569619
"BF83","BF83","BF83_3",699.464285352991
"BF84","BF84","BF84_3",696.119925356892
"BF85","BF85","BF85_3",699.304254786675
"BF86","BF86","BF86_3",695.802160320785
"BF87","BF87","BF87_3",693.453540396356
"BF88","BF88","BF88_3",703.427516429575
"BF89","BF89","BF89_3",686.335842455395
"BF90","BF90","BF90_3",713.652940464035
"BF91","BF91","BF91_3",722.921929950484
"BF92","BF92","BF92_3",707.67408862236
"BF93","BF93","BF93_3",709.185698161922
"BF94","BF94","BF94_3",723.254196903041
"BF95","BF95","BF95_3",703.784812550113
"BF96","BF96","BF96_3",701.455272711609
"BF97","BF97","BF97_3",695.360867664749
"BF98","BF98","BF98_3",689.037712312648
"BF99","BF99","BF99_3",677.080324532357
"BG09","BG09","BG09_3",594.462158884377
"BG19","BG19","BG19_3",600.318208795336
"BG26","BG26","BG26_3",624.432909221723
"BG27","BG27","BG27_3",624.717337019001
"BG28","BG28","BG28_3",615.686423012264
"BG29","BG29","BG29_3",618.941841474693
"BG30","BG30","BG30_3",611.735078827439
"BG31","BG31","BG31_3",615.355784988117
"BG32","BG32","BG32_3",614.319569894303
"BG33","BG33","BG33_3",614.108590465633
"BG36","BG36","BG36_3",620.262165845365
"BG37","BG37","BG37_3",610.522231700145
"BG38","BG38","BG38_3",610.308164028035
"BG39","BG39","BG39_3",645.880471268652
"BG40","BG40","BG40_3",618.129104936028
"BG41","BG41","BG41_3",622.361731521207
"BG42","BG42","BG42_3",619.868217265752
"BG43","BG43","BG43_3",620.020791961294
"BG45","BG45","BG45_3",624.829211226715
"BG48","BG48","BG48_3",636.383412492406
"BG49","BG49","BG49_3",643.07232005899
"BG50","BG50","BG50_3",649.105433991511
"BG51","BG51","BG51_3",636.531787112727
"BG52","BG52","BG52_3",636.72206913554
"BG53","BG53","BG53_3",639.207477811316
"BG54","BG54","BG54_3",640.362182413767
"BG55","BG55","BG55_3",643.458822326572
"BG56","BG56","BG56_3",643.160813159944
"BG57","BG57","BG57_3",645.739523450433
"BG58","BG58","BG58_3",652.211452436296
"BG59","BG59","BG59_3",645.597907657802
"BG60","BG60","BG60_3",641.430153325366
"BG61","BG61","BG61_3",644.100279083493
"BG62","BG62","BG62_3",654.789741144634
"BG63","BG63","BG63_3",655.187718725249
"BG64","BG64","BG64_3",660.616431580774
"BG65","BG65","BG65_3",660.663873422025
"BG66","BG66","BG66_3",652.421539467995
"BG67","BG67","BG67_3",661.371178330439
"BG68","BG68","BG68_3",677.058609376158
"BG69","BG69","BG69_3",669.770276104773
"BG70","BG70","BG70_3",658.731201185268
"BG71","BG71","BG71_3",665.068985006937
"BG72","BG72","BG72_3",685.535794522139
"BG73","BG73","BG73_3",676.09208865448
"BG74","BG74","BG74_3",682.519421450741
"BG75","BG75","BG75_3",674.72073950241
"BG76","BG76","BG76_3",664.413485332045
"BG77","BG77","BG77_3",676.477724926479
"BG78","BG78","BG78_3",683.309578294945
"BG79","BG79","BG79_3",687.083377268601
