"","kvadratkod","survey","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"AD90","AD90","AD90_3",0.56490884344611,5,0.536778303885711,0,0.0459864669930725,0.37857579152538,0,0.0143047705050037,0,0.0243546670908331
"AD91","AD91","AD91_3",0.46167590948259,4,0.244640381161782,0,0.688677928514806,0.0566317937602494,0,0.010049896563162,0,0
"AD92","AD92","AD92_3",0.35911557826827,2,0.234590484598112,0,0.765409515401888,0,0,0,0,0
"AD93","AD93","AD93_3",0.684781123399938,6,0.278690697757466,0.024354667090847,0.46262620628773,0.0928095473411112,0,0.024354667090847,0,0.117164214431999
"AD94","AD94","AD94_3",0.668016529420152,5,0.44468232871536,0,0.246145809869359,0.231498739138354,0,0,0.0730640012687884,0.00460912100813852
"AD95","AD95","AD95_3",0.504079734813482,4,0.674637801262838,0.0463856708146477,0.0090620297948388,0.106402818592705,0,0,0,0.16351167953497
"AD96","AD96","AD96_3",0.0163283093908955,2,0.991768080811018,0,0,0.00823191918898167,0,0,0,0
"AE81","AE81","AE81_3",0.0915714799067769,4,0.95260556118476,0.0262208637143578,0,0.00907438932891077,0,0,0,0.0120991857719719
"AE82","AE82","AE82_3",0.367862352395639,4,0.768428577842785,0.00100230426905763,0,0.194037115251317,0,0.03653200263684,0,0
"AE83","AE83","AE83_3",0.37958014656535,3,0.766411021571138,0,0,0.170423278251731,0,0,0,0.0631657001771302
"AE90","AE90","AE90_3",0.495336796858299,4,0.666455108232159,0.0487093341805405,0,0.23612622340676,0,0,0,0.0487093341805405
"AE91","AE91","AE91_3",0.328339060311492,4,0.807882877651956,0.123978250868203,0,0.00919161148600045,0,0,0,0.0589472599938402
"AE92","AE92","AE92_3",0.237529150542742,4,0.862828183756253,0.00101525194673075,0,0.134139008136207,0,0,0,0.00201755616080884
"AE93","AE93","AE93_3",0.615968298204112,5,0.527568902543729,0.0243546670910123,0.13312605706855,0.293714591308718,0,0,0,0.0212357819879909
"AE94","AE94","AE94_3",0.734302276751256,6,0.0695085987243568,0.0730640012684725,0.28908168772727,0.380133266656619,0,0.0243546670894908,0,0.163857778533791
