"","kvadratkod","survey","prec_year"
"AD90","AD90","AD90_2",774.100076061283
"AD91","AD91","AD91_2",779.068009645398
"AD92","AD92","AD92_2",812.422522144847
"AD93","AD93","AD93_2",790.240326865679
"AD94","AD94","AD94_2",763.210153353495
"AD95","AD95","AD95_2",763.267796070415
"AD96","AD96","AD96_2",765.115183623116
"AE81","AE81","AE81_2",758.390007445161
"AE82","AE82","AE82_2",764.468878468898
"AE83","AE83","AE83_2",765.677872126916
"AE90","AE90","AE90_2",746.603360059072
"AE91","AE91","AE91_2",748.238816287197
"AE92","AE92","AE92_2",749.048260064933
"AE93","AE93","AE93_2",756.574944857909
"AE94","AE94","AE94_2",762.746539571822
"AE95","AE95","AE95_2",764.073648485909
"AE96","AE96","AE96_2",771.084745924004
"AE97","AE97","AE97_2",789.632380550642
"AE98","AE98","AE98_2",776.073347875443
"AE99","AE99","AE99_2",773.608699814467
"AF81","AF81","AF81_2",720.235364063516
"AF82","AF82","AF82_2",722.831841034839
"AF90","AF90","AF90_2",717.88868921445
"AF91","AF91","AF91_2",729.539447357316
"AF92","AF92","AF92_2",729.920541528304
"AF93","AF93","AF93_2",737.857945014784
"AF94","AF94","AF94_2",741.190549760701
"AF95","AF95","AF95_2",753.065912523737
"AF96","AF96","AF96_2",759.400252725276
"AF97","AF97","AF97_2",745.029531494538
"AF98","AF98","AF98_2",742.657890120664
"AF99","AF99","AF99_2",745.518097961479
"BC10","BC10","BC10_2",803.586899325392
"BC11","BC11","BC11_2",798.655405890762
"BC20","BC20","BC20_2",770.782841033162
"BC21","BC21","BC21_2",788.701503123556
"BC22","BC22","BC22_2",798.718900843516
"BC23","BC23","BC23_2",790.87156672596
"BC30","BC30","BC30_2",786.44255871936
"BC31","BC31","BC31_2",775.602181552237
"BC32","BC32","BC32_2",787.497975360083
"BC33","BC33","BC33_2",803.822377623874
"BC34","BC34","BC34_2",791.529989166345
"BC40","BC40","BC40_2",801.093039441998
"BC41","BC41","BC41_2",790.915918926606
"BC42","BC42","BC42_2",786.020914940976
"BC43","BC43","BC43_2",803.348332059055
"BC44","BC44","BC44_2",789.635078158469
"BC45","BC45","BC45_2",798.558016579296
"BC50","BC50","BC50_2",775.118401567522
"BC51","BC51","BC51_2",771.75340063489
"BC52","BC52","BC52_2",794.157282605446
"BC53","BC53","BC53_2",791.5542067501
"BC54","BC54","BC54_2",793.677057285354
"BC55","BC55","BC55_2",810.966803142026
"BC56","BC56","BC56_2",810.871194080569
"BC60","BC60","BC60_2",814.791799381041
"BC61","BC61","BC61_2",748.746140172893
"BC62","BC62","BC62_2",776.367359433664
"BC63","BC63","BC63_2",767.548652568103
"BC64","BC64","BC64_2",749.208927895711
"BC65","BC65","BC65_2",775.91878726562
"BC70","BC70","BC70_2",764.9465569188
"BC71","BC71","BC71_2",767.070455798351
"BC72","BC72","BC72_2",772.833364394002
"BC73","BC73","BC73_2",767.892681610354
"BC74","BC74","BC74_2",776.972619357404
"BC75","BC75","BC75_2",769.911332951076
"BC80","BC80","BC80_2",749.593267148163
"BC81","BC81","BC81_2",785.171530305308
"BC82","BC82","BC82_2",765.987195347462
"BC83","BC83","BC83_2",758.303609460032
"BC84","BC84","BC84_2",781.131869883639
"BC85","BC85","BC85_2",781.865094401962
"BC86","BC86","BC86_2",771.843152929338
"BC91","BC91","BC91_2",750.748020611753
"BC92","BC92","BC92_2",751.931184911362
"BC93","BC93","BC93_2",764.446913283331
"BC94","BC94","BC94_2",759.605018985056
"BC95","BC95","BC95_2",765.486408181466
"BC96","BC96","BC96_2",773.212609001398
"BD00","BD00","BD00_2",788.686531373657
"BD01","BD01","BD01_2",797.475819082555
"BD02","BD02","BD02_2",820.365187384224
"BD03","BD03","BD03_2",785.939666334476
"BD04","BD04","BD04_2",768.896831123109
"BD05","BD05","BD05_2",763.647218079343
"BD06","BD06","BD06_2",766.760191740672
"BD07","BD07","BD07_2",765.477182752413
"BD08","BD08","BD08_2",766.241716621692
"BD09","BD09","BD09_2",783.774575829986
"BD10","BD10","BD10_2",806.984805730901
"BD11","BD11","BD11_2",817.155588508554
"BD12","BD12","BD12_2",815.186576712501
"BD13","BD13","BD13_2",799.17000682092
"BD14","BD14","BD14_2",763.094048476975
"BD16","BD16","BD16_2",815.745028608881
"BD17","BD17","BD17_2",855.04244982339
"BD18","BD18","BD18_2",795.134400803674
"BD19","BD19","BD19_2",780.049279168381
"BD20","BD20","BD20_2",832.6678648078
"BD21","BD21","BD21_2",842.877419773594
"BD22","BD22","BD22_2",819.344038248892
"BD23","BD23","BD23_2",832.849511473094
"BD24","BD24","BD24_2",762.253194931944
"BD26","BD26","BD26_2",803.772139779575
"BD27","BD27","BD27_2",842.49636686282
"BD28","BD28","BD28_2",797.74876788879
"BD29","BD29","BD29_2",783.044601224428
"BD30","BD30","BD30_2",862.828947013546
"BD31","BD31","BD31_2",844.278069531957
"BD32","BD32","BD32_2",819.213216396095
"BD33","BD33","BD33_2",769.499928080344
"BD34","BD34","BD34_2",808.372040607216
"BD35","BD35","BD35_2",817.368042501261
"BD36","BD36","BD36_2",797.919153243757
"BD37","BD37","BD37_2",759.354014172207
"BD38","BD38","BD38_2",743.596934926421
"BD39","BD39","BD39_2",774.222031903791
"BD40","BD40","BD40_2",865.643523473529
"BD41","BD41","BD41_2",823.748477860091
"BD42","BD42","BD42_2",792.961766987449
"BD43","BD43","BD43_2",795.992068304505
"BD44","BD44","BD44_2",810.267590363806
"BD45","BD45","BD45_2",822.344164214156
"BD46","BD46","BD46_2",778.524485309202
"BD47","BD47","BD47_2",777.833643434467
"BD48","BD48","BD48_2",765.154659300077
"BD49","BD49","BD49_2",777.40401354274
