"survey","site","atlas","period","warbler_richness"
"BE86_2","BE86","2","1990s",8
"BE65_1","BE65","1","1970s",7
"BE87_2","BE87","2","1990s",10
"BE88_2","BE88","2","1990s",10
"BE89_2","BE89","2","1990s",3
"BE90_2","BE90","2","1990s",5
"BE91_2","BE91","2","1990s",5
"BE92_2","BE92","2","1990s",10
"BE93_2","BE93","2","1990s",6
"BE94_2","BE94","2","1990s",10
"BE95_2","BE95","2","1990s",8
"BE96_2","BE96","2","1990s",7
"BE66_1","BE66","1","1970s",7
"BE97_2","BE97","2","1990s",7
"BE98_2","BE98","2","1990s",6
"BE99_2","BE99","2","1990s",10
"BF00_2","BF00","2","1990s",6
"BF01_2","BF01","2","1990s",10
"BF02_2","BF02","2","1990s",12
"BF03_2","BF03","2","1990s",9
"BF04_2","BF04","2","1990s",12
"BF05_2","BF05","2","1990s",12
"BF06_2","BF06","2","1990s",10
"BE67_1","BE67","1","1970s",4
"BF07_2","BF07","2","1990s",6
"BF08_2","BF08","2","1990s",7
"BF10_2","BF10","2","1990s",8
"BF11_2","BF11","2","1990s",10
"BF12_2","BF12","2","1990s",9
"BF13_2","BF13","2","1990s",9
"BF14_2","BF14","2","1990s",9
"BF15_2","BF15","2","1990s",6
"BF16_2","BF16","2","1990s",9
"BF17_2","BF17","2","1990s",9
"BE68_1","BE68","1","1970s",4
"BF18_2","BF18","2","1990s",8
"BF20_2","BF20","2","1990s",12
"BF21_2","BF21","2","1990s",9
"BF22_2","BF22","2","1990s",11
"BF23_2","BF23","2","1990s",7
"BF24_2","BF24","2","1990s",6
"BF25_2","BF25","2","1990s",9
"BF26_2","BF26","2","1990s",4
"BF27_2","BF27","2","1990s",9
"BF28_2","BF28","2","1990s",9
"BE69_1","BE69","1","1970s",6
"BF29_2","BF29","2","1990s",5
"BF30_2","BF30","2","1990s",8
"BF31_2","BF31","2","1990s",10
"BF32_2","BF32","2","1990s",12
"BF33_2","BF33","2","1990s",10
"BF34_2","BF34","2","1990s",9
"BF35_2","BF35","2","1990s",8
"BF36_2","BF36","2","1990s",8
"BF37_2","BF37","2","1990s",8
"BF38_2","BF38","2","1990s",9
"BE70_1","BE70","1","1970s",9
"BF39_2","BF39","2","1990s",8
"BF40_2","BF40","2","1990s",1
"BF41_2","BF41","2","1990s",5
"BF42_2","BF42","2","1990s",6
"BF43_2","BF43","2","1990s",3
"BF44_2","BF44","2","1990s",4
"BF45_2","BF45","2","1990s",7
"BF46_2","BF46","2","1990s",8
"BF47_2","BF47","2","1990s",7
"BF48_2","BF48","2","1990s",7
"BE71_1","BE71","1","1970s",8
"BF49_2","BF49","2","1990s",11
"BF50_2","BF50","2","1990s",7
"BF51_2","BF51","2","1990s",11
"BF52_2","BF52","2","1990s",7
"BF53_2","BF53","2","1990s",8
"BF54_2","BF54","2","1990s",6
"BF55_2","BF55","2","1990s",3
"BF56_2","BF56","2","1990s",8
"BF57_2","BF57","2","1990s",9
"BF58_2","BF58","2","1990s",5
"AF92_1","AF92","1","1970s",11
"BE72_1","BE72","1","1970s",6
"BF59_2","BF59","2","1990s",7
"BF60_2","BF60","2","1990s",11
"BF61_2","BF61","2","1990s",10
"BF62_2","BF62","2","1990s",6
"BF63_2","BF63","2","1990s",10
"BF64_2","BF64","2","1990s",3
"BF65_2","BF65","2","1990s",5
"BF66_2","BF66","2","1990s",6
"BF67_2","BF67","2","1990s",6
"BF68_2","BF68","2","1990s",5
"BE73_1","BE73","1","1970s",6
"BF69_2","BF69","2","1990s",4
"BF70_2","BF70","2","1990s",9
"BF71_2","BF71","2","1990s",6
"BF72_2","BF72","2","1990s",8
"BF73_2","BF73","2","1990s",9
"BF74_2","BF74","2","1990s",10
"BF75_2","BF75","2","1990s",2
"BF76_2","BF76","2","1990s",9
"BF77_2","BF77","2","1990s",5
"BF78_2","BF78","2","1990s",8
"BE74_1","BE74","1","1970s",6
"BF79_2","BF79","2","1990s",7
"BF80_2","BF80","2","1990s",8
"BF81_2","BF81","2","1990s",10
"BF82_2","BF82","2","1990s",5
"BF83_2","BF83","2","1990s",11
"BF84_2","BF84","2","1990s",7
"BF85_2","BF85","2","1990s",9
"BF86_2","BF86","2","1990s",11
"BF87_2","BF87","2","1990s",7
"BF88_2","BF88","2","1990s",6
"BE75_1","BE75","1","1970s",3
"BF89_2","BF89","2","1990s",7
"BF90_2","BF90","2","1990s",9
"BF91_2","BF91","2","1990s",5
"BF92_2","BF92","2","1990s",8
"BF93_2","BF93","2","1990s",10
"BF94_2","BF94","2","1990s",8
"BF95_2","BF95","2","1990s",7
"BF96_2","BF96","2","1990s",8
"BF97_2","BF97","2","1990s",9
"BF98_2","BF98","2","1990s",7
"BE76_1","BE76","1","1970s",6
"BF99_2","BF99","2","1990s",10
"BG09_2","BG09","2","1990s",0
"BG19_2","BG19","2","1990s",2
"BG26_2","BG26","2","1990s",3
"BG27_2","BG27","2","1990s",8
"BG28_2","BG28","2","1990s",9
"BG29_2","BG29","2","1990s",12
"BG30_2","BG30","2","1990s",2
"BG31_2","BG31","2","1990s",12
"BG32_2","BG32","2","1990s",12
"BE77_1","BE77","1","1970s",7
"BG33_2","BG33","2","1990s",0
"BG36_2","BG36","2","1990s",9
"BG37_2","BG37","2","1990s",7
"BG38_2","BG38","2","1990s",4
"BG39_2","BG39","2","1990s",6
"BG40_2","BG40","2","1990s",5
"BG41_2","BG41","2","1990s",9
"BG42_2","BG42","2","1990s",9
"BG43_2","BG43","2","1990s",3
"BG45_2","BG45","2","1990s",0
"BE78_1","BE78","1","1970s",6
"BG48_2","BG48","2","1990s",2
"BG49_2","BG49","2","1990s",8
"BG50_2","BG50","2","1990s",8
"BG51_2","BG51","2","1990s",9
"BG52_2","BG52","2","1990s",1
"BG53_2","BG53","2","1990s",3
"BG54_2","BG54","2","1990s",4
"BG55_2","BG55","2","1990s",9
"BG56_2","BG56","2","1990s",5
"BG57_2","BG57","2","1990s",7
"BE79_1","BE79","1","1970s",6
"BG58_2","BG58","2","1990s",11
"BG59_2","BG59","2","1990s",9
"BG60_2","BG60","2","1990s",10
"BG61_2","BG61","2","1990s",6
"BG62_2","BG62","2","1990s",9
"BG63_2","BG63","2","1990s",9
"BG64_2","BG64","2","1990s",10
"BG65_2","BG65","2","1990s",9
"BG66_2","BG66","2","1990s",10
"BG67_2","BG67","2","1990s",7
"BE80_1","BE80","1","1970s",8
"BG68_2","BG68","2","1990s",10
"BG69_2","BG69","2","1990s",8
"BG70_2","BG70","2","1990s",9
"BG71_2","BG71","2","1990s",7
"BG72_2","BG72","2","1990s",10
"BG73_2","BG73","2","1990s",10
"BG74_2","BG74","2","1990s",9
"BG75_2","BG75","2","1990s",8
"BG76_2","BG76","2","1990s",9
"BG77_2","BG77","2","1990s",9
"BE81_1","BE81","1","1970s",3
"BG78_2","BG78","2","1990s",6
"BG79_2","BG79","2","1990s",10
"BG80_2","BG80","2","1990s",7
"BG81_2","BG81","2","1990s",9
"BG82_2","BG82","2","1990s",9
"BG83_2","BG83","2","1990s",8
"BG84_2","BG84","2","1990s",8
"BG85_2","BG85","2","1990s",11
"BG86_2","BG86","2","1990s",7
"BG87_2","BG87","2","1990s",8
"AF93_1","AF93","1","1970s",11
"BE82_1","BE82","1","1970s",8
"BG88_2","BG88","2","1990s",3
"BG89_2","BG89","2","1990s",7
"BG90_2","BG90","2","1990s",11
"BG91_2","BG91","2","1990s",9
"BG92_2","BG92","2","1990s",10
"BG93_2","BG93","2","1990s",6
"BG94_2","BG94","2","1990s",7
"BG95_2","BG95","2","1990s",10
"BG96_2","BG96","2","1990s",8
"BG97_2","BG97","2","1990s",7
"BE83_1","BE83","1","1970s",6
"BG98_2","BG98","2","1990s",9
"BG99_2","BG99","2","1990s",8
"BH49_2","BH49","2","1990s",0
"BH57_2","BH57","2","1990s",6
"BH58_2","BH58","2","1990s",4
"BH59_2","BH59","2","1990s",6
"BH66_2","BH66","2","1990s",6
"BH67_2","BH67","2","1990s",11
"BH68_2","BH68","2","1990s",11
"BH69_2","BH69","2","1990s",11
"BE84_1","BE84","1","1970s",10
"BH76_2","BH76","2","1990s",5
"BH77_2","BH77","2","1990s",12
"BH78_2","BH78","2","1990s",10
"BH79_2","BH79","2","1990s",12
"BH86_2","BH86","2","1990s",12
"BH87_2","BH87","2","1990s",12
"BH88_2","BH88","2","1990s",8
"BH89_2","BH89","2","1990s",12
"BH96_2","BH96","2","1990s",8
"BH97_2","BH97","2","1990s",7
"BE85_1","BE85","1","1970s",8
"BH98_2","BH98","2","1990s",11
"BH99_2","BH99","2","1990s",12
"CC01_2","CC01","2","1990s",7
"CC03_2","CC03","2","1990s",3
"CC04_2","CC04","2","1990s",12
"CC05_2","CC05","2","1990s",13
"CC06_2","CC06","2","1990s",9
"CD00_2","CD00","2","1990s",5
"CD01_2","CD01","2","1990s",6
"CD02_2","CD02","2","1990s",3
"BE86_1","BE86","1","1970s",8
"CD03_2","CD03","2","1990s",11
"CD04_2","CD04","2","1990s",11
"CD05_2","CD05","2","1990s",7
"CD06_2","CD06","2","1990s",5
"CD07_2","CD07","2","1990s",6
"CD08_2","CD08","2","1990s",8
"CD09_2","CD09","2","1990s",8
"CE00_2","CE00","2","1990s",8
"CE01_2","CE01","2","1990s",5
"CE02_2","CE02","2","1990s",9
"BE87_1","BE87","1","1970s",8
"CE03_2","CE03","2","1990s",6
"CE04_2","CE04","2","1990s",8
"CE05_2","CE05","2","1990s",6
"CE06_2","CE06","2","1990s",8
"CE07_2","CE07","2","1990s",5
"CE08_2","CE08","2","1990s",2
"CE09_2","CE09","2","1990s",6
"CF01_2","CF01","2","1990s",6
"CF02_2","CF02","2","1990s",6
"CF03_2","CF03","2","1990s",4
"BE88_1","BE88","1","1970s",5
"CF04_2","CF04","2","1990s",6
"CF05_2","CF05","2","1990s",5
"CF06_2","CF06","2","1990s",8
"CF07_2","CF07","2","1990s",8
"CF08_2","CF08","2","1990s",8
"CF09_2","CF09","2","1990s",9
"CB70_2","CB70","2","1990s",7
"CB80_2","CB80","2","1990s",11
"CB81_2","CB81","2","1990s",2
"CB82_2","CB82","2","1990s",1
"BE89_1","BE89","1","1970s",9
"CB90_2","CB90","2","1990s",3
"CB91_2","CB91","2","1990s",8
"CB92_2","CB92","2","1990s",3
"CB93_2","CB93","2","1990s",6
"CB94_2","CB94","2","1990s",2
"CC10_2","CC10","2","1990s",2
"CC11_2","CC11","2","1990s",8
"CC14_2","CC14","2","1990s",9
"CC15_2","CC15","2","1990s",10
"CC16_2","CC16","2","1990s",8
"BE90_1","BE90","1","1970s",9
"CC20_2","CC20","2","1990s",7
"CC21_2","CC21","2","1990s",9
"CC22_2","CC22","2","1990s",8
"CC23_2","CC23","2","1990s",7
"CC24_2","CC24","2","1990s",9
"CC25_2","CC25","2","1990s",9
"CC26_2","CC26","2","1990s",8
"CC30_2","CC30","2","1990s",9
"CC31_2","CC31","2","1990s",5
"CC32_2","CC32","2","1990s",6
"BE91_1","BE91","1","1970s",9
"CC33_2","CC33","2","1990s",9
"CC34_2","CC34","2","1990s",9
"CC35_2","CC35","2","1990s",12
"CC36_2","CC36","2","1990s",9
"CC40_2","CC40","2","1990s",10
"CC41_2","CC41","2","1990s",7
"CC42_2","CC42","2","1990s",4
"CC43_2","CC43","2","1990s",6
"CC44_2","CC44","2","1990s",10
"CC45_2","CC45","2","1990s",9
"AF94_1","AF94","1","1970s",6
"BE92_1","BE92","1","1970s",9
"CC46_2","CC46","2","1990s",11
"CC47_2","CC47","2","1990s",1
"CC50_2","CC50","2","1990s",7
"CC51_2","CC51","2","1990s",7
"CC52_2","CC52","2","1990s",11
"CC53_2","CC53","2","1990s",10
"CC54_2","CC54","2","1990s",8
"CC55_2","CC55","2","1990s",10
"CC56_2","CC56","2","1990s",9
"CC57_2","CC57","2","1990s",4
"BE93_1","BE93","1","1970s",2
"CC60_2","CC60","2","1990s",7
"CC61_2","CC61","2","1990s",10
"CC62_2","CC62","2","1990s",11
"CC63_2","CC63","2","1990s",7
"CC64_2","CC64","2","1990s",11
"CC65_2","CC65","2","1990s",11
"CC66_2","CC66","2","1990s",9
"CC67_2","CC67","2","1990s",11
"CC68_2","CC68","2","1990s",6
"CC70_2","CC70","2","1990s",9
"BE94_1","BE94","1","1970s",10
"CC71_2","CC71","2","1990s",8
"CC72_2","CC72","2","1990s",9
"CC73_2","CC73","2","1990s",7
"CC74_2","CC74","2","1990s",11
"CC75_2","CC75","2","1990s",10
"CC76_2","CC76","2","1990s",10
"CC77_2","CC77","2","1990s",12
"CC78_2","CC78","2","1990s",6
"CC79_2","CC79","2","1990s",6
"CC80_2","CC80","2","1990s",11
"BE95_1","BE95","1","1970s",8
"CC81_2","CC81","2","1990s",5
"CC82_2","CC82","2","1990s",7
"CC83_2","CC83","2","1990s",8
"CC84_2","CC84","2","1990s",7
"CC85_2","CC85","2","1990s",11
"CC86_2","CC86","2","1990s",10
"CC87_2","CC87","2","1990s",7
"CC88_2","CC88","2","1990s",6
"CC89_2","CC89","2","1990s",7
"CC90_2","CC90","2","1990s",8
"BE96_1","BE96","1","1970s",6
"CC91_2","CC91","2","1990s",8
"CC92_2","CC92","2","1990s",10
"CC93_2","CC93","2","1990s",9
"CC94_2","CC94","2","1990s",9
"CC95_2","CC95","2","1990s",10
"CC96_2","CC96","2","1990s",10
"CC97_2","CC97","2","1990s",9
"CC98_2","CC98","2","1990s",10
"CC99_2","CC99","2","1990s",7
"CD10_2","CD10","2","1990s",6
"BE97_1","BE97","1","1970s",6
"CD11_2","CD11","2","1990s",9
"CD12_2","CD12","2","1990s",6
"CD13_2","CD13","2","1990s",8
"CD14_2","CD14","2","1990s",6
"CD15_2","CD15","2","1990s",5
"CD16_2","CD16","2","1990s",8
"CD17_2","CD17","2","1990s",10
"CD18_2","CD18","2","1990s",7
"CD20_2","CD20","2","1990s",4
"CD21_2","CD21","2","1990s",11
"BE98_1","BE98","1","1970s",3
"CD22_2","CD22","2","1990s",5
"CD23_2","CD23","2","1990s",10
"CD24_2","CD24","2","1990s",7
"CD25_2","CD25","2","1990s",8
"CD26_2","CD26","2","1990s",8
"CD27_2","CD27","2","1990s",3
"CD28_2","CD28","2","1990s",10
"CD29_2","CD29","2","1990s",9
"CD30_2","CD30","2","1990s",3
"CD31_2","CD31","2","1990s",11
"BE99_1","BE99","1","1970s",7
"CD32_2","CD32","2","1990s",10
"CD33_2","CD33","2","1990s",8
"CD34_2","CD34","2","1990s",10
"CD35_2","CD35","2","1990s",7
"CD36_2","CD36","2","1990s",2
"CD37_2","CD37","2","1990s",4
"CD38_2","CD38","2","1990s",9
"CD39_2","CD39","2","1990s",8
"CD40_2","CD40","2","1990s",9
"CD41_2","CD41","2","1990s",10
"BF00_1","BF00","1","1970s",8
"CD42_2","CD42","2","1990s",10
"CD43_2","CD43","2","1990s",9
"CD44_2","CD44","2","1990s",6
"CD45_2","CD45","2","1990s",4
"CD46_2","CD46","2","1990s",5
"CD47_2","CD47","2","1990s",9
"CD48_2","CD48","2","1990s",9
"CD49_2","CD49","2","1990s",10
"CD50_2","CD50","2","1990s",11
"CD51_2","CD51","2","1990s",10
"BF01_1","BF01","1","1970s",9
"CD52_2","CD52","2","1990s",11
"CD53_2","CD53","2","1990s",8
"CD54_2","CD54","2","1990s",8
"CD55_2","CD55","2","1990s",7
"CD56_2","CD56","2","1990s",10
"CD57_2","CD57","2","1990s",7
"CD58_2","CD58","2","1990s",6
"CD59_2","CD59","2","1990s",8
"CD60_2","CD60","2","1990s",13
"CD61_2","CD61","2","1990s",8
"AF95_1","AF95","1","1970s",0
"BF02_1","BF02","1","1970s",6
"CD62_2","CD62","2","1990s",8
"CD63_2","CD63","2","1990s",10
"CD64_2","CD64","2","1990s",5
"CD65_2","CD65","2","1990s",7
"CD66_2","CD66","2","1990s",7
"CD67_2","CD67","2","1990s",10
"CD68_2","CD68","2","1990s",8
"CD69_2","CD69","2","1990s",9
"CD70_2","CD70","2","1990s",6
"CD71_2","CD71","2","1990s",10
"BF03_1","BF03","1","1970s",6
"CD72_2","CD72","2","1990s",7
"CD73_2","CD73","2","1990s",8
"CD74_2","CD74","2","1990s",8
"CD75_2","CD75","2","1990s",6
"CD76_2","CD76","2","1990s",6
"CD77_2","CD77","2","1990s",5
"CD78_2","CD78","2","1990s",5
"CD79_2","CD79","2","1990s",4
"CD80_2","CD80","2","1990s",8
"CD81_2","CD81","2","1990s",11
"BF04_1","BF04","1","1970s",10
"CD82_2","CD82","2","1990s",8
"CD83_2","CD83","2","1990s",6
"CD84_2","CD84","2","1990s",9
"CD85_2","CD85","2","1990s",5
"CD86_2","CD86","2","1990s",9
"CD87_2","CD87","2","1990s",4
"CD88_2","CD88","2","1990s",6
"CD89_2","CD89","2","1990s",6
"CD90_2","CD90","2","1990s",8
"CD91_2","CD91","2","1990s",10
"BF05_1","BF05","1","1970s",10
"CD92_2","CD92","2","1990s",10
"CD93_2","CD93","2","1990s",9
"CD94_2","CD94","2","1990s",10
"CD95_2","CD95","2","1990s",12
"CD96_2","CD96","2","1990s",9
"CD97_2","CD97","2","1990s",7
"CD98_2","CD98","2","1990s",5
"CD99_2","CD99","2","1990s",9
"CE10_2","CE10","2","1990s",7
"CE11_2","CE11","2","1990s",7
"BF06_1","BF06","1","1970s",9
"CE12_2","CE12","2","1990s",2
"CE13_2","CE13","2","1990s",3
"CE14_2","CE14","2","1990s",7
"CE15_2","CE15","2","1990s",8
"CE16_2","CE16","2","1990s",7
"CE17_2","CE17","2","1990s",8
"CE18_2","CE18","2","1990s",7
"CE19_2","CE19","2","1990s",7
"CE20_2","CE20","2","1990s",9
"CE21_2","CE21","2","1990s",9
"BF07_1","BF07","1","1970s",6
"CE22_2","CE22","2","1990s",8
"CE23_2","CE23","2","1990s",7
"CE24_2","CE24","2","1990s",8
"CE25_2","CE25","2","1990s",4
"CE26_2","CE26","2","1990s",6
"CE27_2","CE27","2","1990s",5
"CE28_2","CE28","2","1990s",6
"CE29_2","CE29","2","1990s",5
"CE30_2","CE30","2","1990s",8
"CE31_2","CE31","2","1990s",9
"BF08_1","BF08","1","1970s",5
"CE32_2","CE32","2","1990s",6
"CE33_2","CE33","2","1990s",6
"CE34_2","CE34","2","1990s",6
"CE35_2","CE35","2","1990s",4
"CE36_2","CE36","2","1990s",6
"CE37_2","CE37","2","1990s",8
"CE38_2","CE38","2","1990s",8
"CE39_2","CE39","2","1990s",7
"CE40_2","CE40","2","1990s",5
"CE41_2","CE41","2","1990s",9
"BF10_1","BF10","1","1970s",5
"CE42_2","CE42","2","1990s",7
"CE43_2","CE43","2","1990s",4
"CE44_2","CE44","2","1990s",4
"CE45_2","CE45","2","1990s",7
"CE46_2","CE46","2","1990s",8
"CE47_2","CE47","2","1990s",6
"CE48_2","CE48","2","1990s",9
"CE49_2","CE49","2","1990s",9
"CE50_2","CE50","2","1990s",8
"CE51_2","CE51","2","1990s",6
"BF11_1","BF11","1","1970s",7
"CE52_2","CE52","2","1990s",9
"CE53_2","CE53","2","1990s",6
"CE54_2","CE54","2","1990s",10
"CE55_2","CE55","2","1990s",7
"CE56_2","CE56","2","1990s",8
"CE57_2","CE57","2","1990s",6
"CE58_2","CE58","2","1990s",6
"CE59_2","CE59","2","1990s",6
"CE60_2","CE60","2","1990s",10
"CE61_2","CE61","2","1990s",9
"BF12_1","BF12","1","1970s",9
"CE62_2","CE62","2","1990s",8
"CE63_2","CE63","2","1990s",7
"CE64_2","CE64","2","1990s",11
"CE65_2","CE65","2","1990s",10
"CE66_2","CE66","2","1990s",8
"CE67_2","CE67","2","1990s",9
"CE68_2","CE68","2","1990s",8
"CE69_2","CE69","2","1990s",10
"CE70_2","CE70","2","1990s",9
"CE71_2","CE71","2","1990s",7
"AF96_1","AF96","1","1970s",6
"BF13_1","BF13","1","1970s",0
"CE72_2","CE72","2","1990s",8
"CE73_2","CE73","2","1990s",9
"CE74_2","CE74","2","1990s",10
"CE75_2","CE75","2","1990s",10
"CE76_2","CE76","2","1990s",6
"CE77_2","CE77","2","1990s",11
"CE78_2","CE78","2","1990s",11
"CE79_2","CE79","2","1990s",1
"CE80_2","CE80","2","1990s",8
"CE81_2","CE81","2","1990s",9
"BF14_1","BF14","1","1970s",8
"CE82_2","CE82","2","1990s",12
"CE83_2","CE83","2","1990s",9
"CE84_2","CE84","2","1990s",10
"CE85_2","CE85","2","1990s",11
"CE86_2","CE86","2","1990s",8
"CE87_2","CE87","2","1990s",8
"CE88_2","CE88","2","1990s",10
"CE89_2","CE89","2","1990s",11
"CE90_2","CE90","2","1990s",11
"CE91_2","CE91","2","1990s",8
"BF15_1","BF15","1","1970s",9
"CE92_2","CE92","2","1990s",8
"CE93_2","CE93","2","1990s",12
"CE94_2","CE94","2","1990s",9
"CE95_2","CE95","2","1990s",8
"CE96_2","CE96","2","1990s",7
"CE97_2","CE97","2","1990s",3
"CE98_2","CE98","2","1990s",8
"CE99_2","CE99","2","1990s",12
"CF00_2","CF00","2","1990s",6
"CF10_2","CF10","2","1990s",8
"BF16_1","BF16","1","1970s",8
"CF11_2","CF11","2","1990s",7
"CF12_2","CF12","2","1990s",2
"CF13_2","CF13","2","1990s",7
"CF14_2","CF14","2","1990s",7
"CF15_2","CF15","2","1990s",6
"CF16_2","CF16","2","1990s",8
"CF17_2","CF17","2","1990s",6
"CF18_2","CF18","2","1990s",6
"CF19_2","CF19","2","1990s",8
"CF20_2","CF20","2","1990s",8
"BF17_1","BF17","1","1970s",0
"CF21_2","CF21","2","1990s",9
"CF22_2","CF22","2","1990s",8
"CF23_2","CF23","2","1990s",5
"CF24_2","CF24","2","1990s",4
"CF25_2","CF25","2","1990s",9
"CF26_2","CF26","2","1990s",9
"CF27_2","CF27","2","1990s",6
"CF28_2","CF28","2","1990s",8
"CF29_2","CF29","2","1990s",8
"CF30_2","CF30","2","1990s",8
"BF18_1","BF18","1","1970s",4
"CF31_2","CF31","2","1990s",7
"CF32_2","CF32","2","1990s",10
"CF33_2","CF33","2","1990s",11
"CF34_2","CF34","2","1990s",11
"CF35_2","CF35","2","1990s",7
"CF36_2","CF36","2","1990s",8
"CF37_2","CF37","2","1990s",7
"CF38_2","CF38","2","1990s",8
"CF39_2","CF39","2","1990s",8
"CF40_2","CF40","2","1990s",7
"BF20_1","BF20","1","1970s",5
"CF41_2","CF41","2","1990s",9
"CF42_2","CF42","2","1990s",8
"CF43_2","CF43","2","1990s",9
"CF44_2","CF44","2","1990s",12
"CF45_2","CF45","2","1990s",8
"CF46_2","CF46","2","1990s",8
"CF47_2","CF47","2","1990s",7
"CF48_2","CF48","2","1990s",4
"CF49_2","CF49","2","1990s",8
"CF50_2","CF50","2","1990s",11
"BF21_1","BF21","1","1970s",7
"CF51_2","CF51","2","1990s",11
"CF52_2","CF52","2","1990s",9
"CF53_2","CF53","2","1990s",9
"CF54_2","CF54","2","1990s",11
"CF55_2","CF55","2","1990s",11
"CF56_2","CF56","2","1990s",10
"CF57_2","CF57","2","1990s",9
"CF58_2","CF58","2","1990s",7
"CF59_2","CF59","2","1990s",8
"CF60_2","CF60","2","1990s",10
"BF22_1","BF22","1","1970s",8
"CF61_2","CF61","2","1990s",11
"CF62_2","CF62","2","1990s",10
"CF63_2","CF63","2","1990s",8
"CF64_2","CF64","2","1990s",9
"CF65_2","CF65","2","1990s",9
"CF66_2","CF66","2","1990s",9
"CF67_2","CF67","2","1990s",6
"CF68_2","CF68","2","1990s",11
"CF69_2","CF69","2","1990s",8
"CF70_2","CF70","2","1990s",11
"BF23_1","BF23","1","1970s",0
"CF71_2","CF71","2","1990s",9
"CF72_2","CF72","2","1990s",7
"CF73_2","CF73","2","1990s",9
"CF74_2","CF74","2","1990s",8
"CF75_2","CF75","2","1990s",7
"CF76_2","CF76","2","1990s",8
"CF77_2","CF77","2","1990s",8
"CF78_2","CF78","2","1990s",10
"CF79_2","CF79","2","1990s",8
"CF80_2","CF80","2","1990s",8
"AD92_1","AD92","1","1970s",6
"AF97_1","AF97","1","1970s",5
"BF24_1","BF24","1","1970s",4
"CF81_2","CF81","2","1990s",7
"CF82_2","CF82","2","1990s",12
"CF83_2","CF83","2","1990s",9
"CF84_2","CF84","2","1990s",7
"CF85_2","CF85","2","1990s",8
"CF86_2","CF86","2","1990s",9
"CF87_2","CF87","2","1990s",10
"CF88_2","CF88","2","1990s",7
"CF89_2","CF89","2","1990s",9
"CF90_2","CF90","2","1990s",9
"BF25_1","BF25","1","1970s",0
"CF91_2","CF91","2","1990s",9
"CF92_2","CF92","2","1990s",9
"CF93_2","CF93","2","1990s",11
"CF94_2","CF94","2","1990s",4
"CF95_2","CF95","2","1990s",9
"CF96_2","CF96","2","1990s",8
"CF97_2","CF97","2","1990s",8
"CF98_2","CF98","2","1990s",11
"CF99_2","CF99","2","1990s",9
"CG00_2","CG00","2","1990s",8
"BF26_1","BF26","1","1970s",0
"CG01_2","CG01","2","1990s",7
"CG02_2","CG02","2","1990s",5
"CG03_2","CG03","2","1990s",6
"CG04_2","CG04","2","1990s",6
"CG05_2","CG05","2","1990s",11
"CG06_2","CG06","2","1990s",9
"CG07_2","CG07","2","1990s",9
"CG08_2","CG08","2","1990s",6
"CG09_2","CG09","2","1990s",9
"CG10_2","CG10","2","1990s",8
"BF27_1","BF27","1","1970s",5
"CG11_2","CG11","2","1990s",8
"CG12_2","CG12","2","1990s",6
"CG13_2","CG13","2","1990s",9
"CG14_2","CG14","2","1990s",8
"CG15_2","CG15","2","1990s",9
"CG16_2","CG16","2","1990s",8
"CG17_2","CG17","2","1990s",10
"CG18_2","CG18","2","1990s",7
"CG19_2","CG19","2","1990s",7
"CG20_2","CG20","2","1990s",7
"BF28_1","BF28","1","1970s",5
"CG21_2","CG21","2","1990s",9
"CG22_2","CG22","2","1990s",6
"CG23_2","CG23","2","1990s",9
"CG24_2","CG24","2","1990s",9
"CG25_2","CG25","2","1990s",7
"CG26_2","CG26","2","1990s",6
"CG27_2","CG27","2","1990s",9
"CG28_2","CG28","2","1990s",7
"CG29_2","CG29","2","1990s",11
"CG30_2","CG30","2","1990s",9
"BF29_1","BF29","1","1970s",7
"CG31_2","CG31","2","1990s",8
"CG32_2","CG32","2","1990s",10
"CG33_2","CG33","2","1990s",3
"CG34_2","CG34","2","1990s",6
"CG35_2","CG35","2","1990s",8
"CG36_2","CG36","2","1990s",10
"CG37_2","CG37","2","1990s",9
"CG38_2","CG38","2","1990s",2
"CG39_2","CG39","2","1990s",11
"CG40_2","CG40","2","1990s",10
"BF30_1","BF30","1","1970s",0
"CG41_2","CG41","2","1990s",8
"CG42_2","CG42","2","1990s",10
"CG43_2","CG43","2","1990s",9
"CG44_2","CG44","2","1990s",11
"CG45_2","CG45","2","1990s",8
"CG46_2","CG46","2","1990s",10
"CG47_2","CG47","2","1990s",8
"CG48_2","CG48","2","1990s",10
"CG49_2","CG49","2","1990s",8
"CG50_2","CG50","2","1990s",10
"BF31_1","BF31","1","1970s",8
"CG51_2","CG51","2","1990s",11
"CG52_2","CG52","2","1990s",11
"CG53_2","CG53","2","1990s",11
"CG54_2","CG54","2","1990s",11
"CG55_2","CG55","2","1990s",8
"CG56_2","CG56","2","1990s",9
"CG57_2","CG57","2","1990s",9
"CG58_2","CG58","2","1990s",9
"CG59_2","CG59","2","1990s",12
"CG60_2","CG60","2","1990s",8
"BF32_1","BF32","1","1970s",11
"CG61_2","CG61","2","1990s",11
"CG62_2","CG62","2","1990s",9
"CG63_2","CG63","2","1990s",9
"CG64_2","CG64","2","1990s",8
"CG65_2","CG65","2","1990s",8
"CG66_2","CG66","2","1990s",9
"CG67_2","CG67","2","1990s",8
"CG68_2","CG68","2","1990s",9
"CG69_2","CG69","2","1990s",11
"CG71_2","CG71","2","1990s",0
"BF33_1","BF33","1","1970s",10
