"survey","site","atlas","period","warbler_richness"
"DD11_1","DD11","1","1970s",12
"BD35_1","BD35","1","1970s",4
"DD12_1","DD12","1","1970s",13
"DD13_1","DD13","1","1970s",9
"DD14_1","DD14","1","1970s",8
"DD15_1","DD15","1","1970s",9
"DD16_1","DD16","1","1970s",10
"DD17_1","DD17","1","1970s",11
"DD18_1","DD18","1","1970s",10
"DD19_1","DD19","1","1970s",8
"DD20_1","DD20","1","1970s",6
"DD21_1","DD21","1","1970s",9
"BD36_1","BD36","1","1970s",10
"DD22_1","DD22","1","1970s",7
"DD23_1","DD23","1","1970s",6
"DD24_1","DD24","1","1970s",3
"DD25_1","DD25","1","1970s",4
"DD26_1","DD26","1","1970s",12
"DD27_1","DD27","1","1970s",7
"DD28_1","DD28","1","1970s",7
"DD29_1","DD29","1","1970s",9
"DD30_1","DD30","1","1970s",12
"DD31_1","DD31","1","1970s",6
"BD37_1","BD37","1","1970s",10
"DD32_1","DD32","1","1970s",2
"DD33_1","DD33","1","1970s",3
"DD34_1","DD34","1","1970s",0
"DD35_1","DD35","1","1970s",8
"DD36_1","DD36","1","1970s",0
"DD37_1","DD37","1","1970s",10
"DD38_1","DD38","1","1970s",7
"DD39_1","DD39","1","1970s",6
"DD40_1","DD40","1","1970s",3
"DD41_1","DD41","1","1970s",11
"BD38_1","BD38","1","1970s",2
"DD42_1","DD42","1","1970s",7
"DD43_1","DD43","1","1970s",8
"DD44_1","DD44","1","1970s",1
"DD45_1","DD45","1","1970s",4
"DD46_1","DD46","1","1970s",9
"DD47_1","DD47","1","1970s",9
"DD48_1","DD48","1","1970s",8
"DD49_1","DD49","1","1970s",8
"DD50_1","DD50","1","1970s",10
"DD51_1","DD51","1","1970s",8
"BD39_1","BD39","1","1970s",8
"DD52_1","DD52","1","1970s",8
"DD53_1","DD53","1","1970s",11
"DD54_1","DD54","1","1970s",8
"DD55_1","DD55","1","1970s",8
"DD56_1","DD56","1","1970s",1
"DD57_1","DD57","1","1970s",10
"DD58_1","DD58","1","1970s",0
"DD59_1","DD59","1","1970s",3
"DD60_1","DD60","1","1970s",0
"DD61_1","DD61","1","1970s",8
"AE91_1","AE91","1","1970s",6
"BD40_1","BD40","1","1970s",5
"DD62_1","DD62","1","1970s",8
"DD63_1","DD63","1","1970s",8
"DD64_1","DD64","1","1970s",9
"DD65_1","DD65","1","1970s",8
"DD66_1","DD66","1","1970s",0
"DD67_1","DD67","1","1970s",8
"DD70_1","DD70","1","1970s",10
"DD71_1","DD71","1","1970s",2
"DD72_1","DD72","1","1970s",8
"DD73_1","DD73","1","1970s",7
"BD41_1","BD41","1","1970s",6
"DD80_1","DD80","1","1970s",11
"DD81_1","DD81","1","1970s",9
"DD82_1","DD82","1","1970s",5
"DD90_1","DD90","1","1970s",8
"DD91_1","DD91","1","1970s",7
"DD92_1","DD92","1","1970s",7
"DD93_1","DD93","1","1970s",4
"DE00_1","DE00","1","1970s",10
"DE01_1","DE01","1","1970s",11
"DE02_1","DE02","1","1970s",8
"BD42_1","BD42","1","1970s",8
"DE03_1","DE03","1","1970s",6
"DE04_1","DE04","1","1970s",6
"DE05_1","DE05","1","1970s",10
"DE06_1","DE06","1","1970s",0
"DE07_1","DE07","1","1970s",9
"DE08_1","DE08","1","1970s",0
"DE09_1","DE09","1","1970s",3
"DE10_1","DE10","1","1970s",7
"DE11_1","DE11","1","1970s",11
"DE12_1","DE12","1","1970s",0
"BD43_1","BD43","1","1970s",6
"DE13_1","DE13","1","1970s",5
"DE14_1","DE14","1","1970s",9
"DE15_1","DE15","1","1970s",8
"DE16_1","DE16","1","1970s",9
"DE17_1","DE17","1","1970s",8
"DE18_1","DE18","1","1970s",10
"DE19_1","DE19","1","1970s",7
"DE20_1","DE20","1","1970s",11
