"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"BF72_3","BF72","3","2010s",2014,52,201,"All model-included surveys"
"BF73_1","BF73","1","1970s",1971,41,201,"All model-included surveys"
"BF73_2","BF73","2","1990s",1992,54,201,"All model-included surveys"
"BF73_3","BF73","3","2010s",2014,64,201,"All model-included surveys"
"BF74_2","BF74","2","1990s",1992,56,201,"All model-included surveys"
"BF74_3","BF74","3","2010s",2014,49,201,"All model-included surveys"
"BF75_1","BF75","1","1970s",1971,40,201,"All model-included surveys"
"BF75_3","BF75","3","2010s",2014,55,201,"All model-included surveys"
"BF76_1","BF76","1","1970s",1971,45,201,"All model-included surveys"
"BF76_2","BF76","2","1990s",1992,59,201,"All model-included surveys"
"BF76_3","BF76","3","2010s",2014,41,201,"All model-included surveys"
"BF77_1","BF77","1","1970s",1971,51,201,"All model-included surveys"
"BF77_2","BF77","2","1990s",1992,49,201,"All model-included surveys"
"BF77_3","BF77","3","2010s",2014,62,201,"All model-included surveys"
"BF78_1","BF78","1","1970s",1971,53,201,"All model-included surveys"
"BF78_2","BF78","2","1990s",1992,44,201,"All model-included surveys"
"BF78_3","BF78","3","2010s",2014,47,201,"All model-included surveys"
"BF79_1","BF79","1","1970s",1971,53,201,"All model-included surveys"
"BF79_2","BF79","2","1990s",1992,50,201,"All model-included surveys"
"BF79_3","BF79","3","2010s",2014,60,201,"All model-included surveys"
"BF80_1","BF80","1","1970s",1971,52,201,"All model-included surveys"
"BF80_2","BF80","2","1990s",1992,56,201,"All model-included surveys"
"BF80_3","BF80","3","2010s",2014,50,201,"All model-included surveys"
"BF81_1","BF81","1","1970s",1971,55,201,"All model-included surveys"
"BF81_2","BF81","2","1990s",1992,60,201,"All model-included surveys"
"BF81_3","BF81","3","2010s",2014,51,201,"All model-included surveys"
"BF82_1","BF82","1","1970s",1971,65,201,"All model-included surveys"
"BF82_2","BF82","2","1990s",1992,61,201,"All model-included surveys"
"BF82_3","BF82","3","2010s",2014,65,201,"All model-included surveys"
"BF83_1","BF83","1","1970s",1971,60,201,"All model-included surveys"
"BF83_2","BF83","2","1990s",1992,69,201,"All model-included surveys"
"BF83_3","BF83","3","2010s",2014,58,201,"All model-included surveys"
"BF84_2","BF84","2","1990s",1992,48,201,"All model-included surveys"
"BF84_3","BF84","3","2010s",2014,53,201,"All model-included surveys"
"BF85_1","BF85","1","1970s",1971,43,201,"All model-included surveys"
"BF85_2","BF85","2","1990s",1992,59,201,"All model-included surveys"
"BF85_3","BF85","3","2010s",2014,57,201,"All model-included surveys"
"BF86_2","BF86","2","1990s",1992,63,201,"All model-included surveys"
"BF86_3","BF86","3","2010s",2014,46,201,"All model-included surveys"
"BF87_1","BF87","1","1970s",1971,32,201,"All model-included surveys"
"BF87_2","BF87","2","1990s",1992,51,201,"All model-included surveys"
"BF87_3","BF87","3","2010s",2014,57,201,"All model-included surveys"
"BF88_1","BF88","1","1970s",1971,53,201,"All model-included surveys"
"BF88_2","BF88","2","1990s",1992,42,201,"All model-included surveys"
"BF88_3","BF88","3","2010s",2014,51,201,"All model-included surveys"
"BF89_1","BF89","1","1970s",1971,53,201,"All model-included surveys"
"BF89_2","BF89","2","1990s",1992,38,201,"All model-included surveys"
"BF89_3","BF89","3","2010s",2014,58,201,"All model-included surveys"
"BF90_1","BF90","1","1970s",1971,52,201,"All model-included surveys"
"BF90_2","BF90","2","1990s",1992,71,201,"All model-included surveys"
"BF90_3","BF90","3","2010s",2014,47,201,"All model-included surveys"
"BF91_1","BF91","1","1970s",1971,43,201,"All model-included surveys"
"BF91_2","BF91","2","1990s",1992,58,201,"All model-included surveys"
"BF91_3","BF91","3","2010s",2014,48,201,"All model-included surveys"
"BF92_1","BF92","1","1970s",1971,47,201,"All model-included surveys"
"BF92_2","BF92","2","1990s",1992,68,201,"All model-included surveys"
"BF92_3","BF92","3","2010s",2014,66,201,"All model-included surveys"
"BF93_1","BF93","1","1970s",1971,41,201,"All model-included surveys"
"BF93_2","BF93","2","1990s",1992,64,201,"All model-included surveys"
"BF93_3","BF93","3","2010s",2014,52,201,"All model-included surveys"
"BF94_1","BF94","1","1970s",1971,50,201,"All model-included surveys"
"BF94_2","BF94","2","1990s",1992,46,201,"All model-included surveys"
"BF94_3","BF94","3","2010s",2014,57,201,"All model-included surveys"
"BF95_1","BF95","1","1970s",1971,48,201,"All model-included surveys"
"BF95_2","BF95","2","1990s",1992,53,201,"All model-included surveys"
"BF95_3","BF95","3","2010s",2014,63,201,"All model-included surveys"
"BF96_2","BF96","2","1990s",1992,60,201,"All model-included surveys"
"BF96_3","BF96","3","2010s",2014,60,201,"All model-included surveys"
"BF97_1","BF97","1","1970s",1971,48,201,"All model-included surveys"
"BF97_2","BF97","2","1990s",1992,64,201,"All model-included surveys"
"BF97_3","BF97","3","2010s",2014,52,201,"All model-included surveys"
"BF98_1","BF98","1","1970s",1971,28,201,"All model-included surveys"
"BF98_2","BF98","2","1990s",1992,54,201,"All model-included surveys"
"BF98_3","BF98","3","2010s",2014,50,201,"All model-included surveys"
"BF99_1","BF99","1","1970s",1971,36,201,"All model-included surveys"
"BF99_2","BF99","2","1990s",1992,63,201,"All model-included surveys"
"BF99_3","BF99","3","2010s",2014,53,201,"All model-included surveys"
"BG27_1","BG27","1","1970s",1971,64,201,"All model-included surveys"
"BG27_2","BG27","2","1990s",1992,61,201,"All model-included surveys"
"BG27_3","BG27","3","2010s",2014,59,201,"All model-included surveys"
"BG28_1","BG28","1","1970s",1971,59,201,"All model-included surveys"
"BG28_2","BG28","2","1990s",1992,69,201,"All model-included surveys"
"BG28_3","BG28","3","2010s",2014,60,201,"All model-included surveys"
"BG29_1","BG29","1","1970s",1971,90,201,"All model-included surveys"
"BG29_2","BG29","2","1990s",1992,77,201,"All model-included surveys"
"BG29_3","BG29","3","2010s",2014,88,201,"All model-included surveys"
"BG30_1","BG30","1","1970s",1971,37,201,"All model-included surveys"
"BG30_2","BG30","2","1990s",1992,28,201,"All model-included surveys"
"BG30_3","BG30","3","2010s",2014,38,201,"All model-included surveys"
"BG31_1","BG31","1","1970s",1971,85,201,"All model-included surveys"
"BG31_2","BG31","2","1990s",1992,102,201,"All model-included surveys"
"BG31_3","BG31","3","2010s",2014,75,201,"All model-included surveys"
"BG32_1","BG32","1","1970s",1971,94,201,"All model-included surveys"
"BG32_2","BG32","2","1990s",1992,88,201,"All model-included surveys"
"BG32_3","BG32","3","2010s",2014,70,201,"All model-included surveys"
"BG33_1","BG33","1","1970s",1971,17,201,"All model-included surveys"
"BG33_2","BG33","2","1990s",1992,23,201,"All model-included surveys"
"BG33_3","BG33","3","2010s",2014,16,201,"All model-included surveys"
"BG39_1","BG39","1","1970s",1971,55,201,"All model-included surveys"
"BG39_2","BG39","2","1990s",1992,40,201,"All model-included surveys"
"BG39_3","BG39","3","2010s",2014,77,201,"All model-included surveys"
"BG41_1","BG41","1","1970s",1971,62,201,"All model-included surveys"
"BG41_2","BG41","2","1990s",1992,68,201,"All model-included surveys"
"BG41_3","BG41","3","2010s",2014,52,201,"All model-included surveys"
"BG42_1","BG42","1","1970s",1971,72,201,"All model-included surveys"
"BG42_2","BG42","2","1990s",1992,65,201,"All model-included surveys"
"BG42_3","BG42","3","2010s",2014,59,201,"All model-included surveys"
"BG43_1","BG43","1","1970s",1971,40,201,"All model-included surveys"
"BG43_2","BG43","2","1990s",1992,39,201,"All model-included surveys"
"BG43_3","BG43","3","2010s",2014,44,201,"All model-included surveys"
"BG45_1","BG45","1","1970s",1971,35,201,"All model-included surveys"
"BG45_2","BG45","2","1990s",1992,45,201,"All model-included surveys"
"BG45_3","BG45","3","2010s",2014,79,201,"All model-included surveys"
"BG49_1","BG49","1","1970s",1971,67,201,"All model-included surveys"
"BG49_2","BG49","2","1990s",1992,64,201,"All model-included surveys"
"BG49_3","BG49","3","2010s",2014,73,201,"All model-included surveys"
"BG50_1","BG50","1","1970s",1971,47,201,"All model-included surveys"
"BG50_2","BG50","2","1990s",1992,54,201,"All model-included surveys"
"BG50_3","BG50","3","2010s",2014,63,201,"All model-included surveys"
"BG54_1","BG54","1","1970s",1971,41,201,"All model-included surveys"
"BG54_3","BG54","3","2010s",2014,49,201,"All model-included surveys"
"BG55_1","BG55","1","1970s",1971,73,201,"All model-included surveys"
"BG55_2","BG55","2","1990s",1992,79,201,"All model-included surveys"
"BG55_3","BG55","3","2010s",2014,68,201,"All model-included surveys"
"BG57_1","BG57","1","1970s",1971,25,201,"All model-included surveys"
"BG57_2","BG57","2","1990s",1992,44,201,"All model-included surveys"
"BG57_3","BG57","3","2010s",2014,52,201,"All model-included surveys"
"BG58_1","BG58","1","1970s",1971,41,201,"All model-included surveys"
"BG58_2","BG58","2","1990s",1992,78,201,"All model-included surveys"
"BG58_3","BG58","3","2010s",2014,75,201,"All model-included surveys"
"BG59_2","BG59","2","1990s",1992,47,201,"All model-included surveys"
"BG59_3","BG59","3","2010s",2014,54,201,"All model-included surveys"
