"site","richness_1970s","richness_1990s","richness_2010s","delta_1990s_minus_1970s","delta_2010s_minus_1990s","delta_2010s_minus_1970s"
"CG73",57,66,74,9,8,17
"CG74",38,53,69,15,16,31
"CG75",54,57,71,3,14,17
"CG77",80,66,64,-14,-2,-16
"CG78",54,72,69,18,-3,15
"CG79",72,73,63,1,-10,-9
"CG80",50,56,47,6,-9,-3
"CG83",60,63,72,3,9,12
"CG84",44,75,76,31,1,32
"CG85",35,68,67,33,-1,32
"CG89",75,74,60,-1,-14,-15
"CG90",38,68,59,30,-9,21
"CG99",56,49,56,-7,7,0
"CH06",54,60,63,6,3,9
"CH07",56,58,53,2,-5,-3
"CH08",45,63,50,18,-13,5
"CH09",53,45,51,-8,6,-2
"CH16",73,60,54,-13,-6,-19
"CH17",59,44,53,-15,9,-6
"CH18",55,54,52,-1,-2,-3
"CH19",39,50,56,11,6,17
"CH26",73,52,67,-21,15,-6
"CH27",80,59,46,-21,-13,-34
"CH28",55,50,52,-5,2,-3
"CH29",41,37,45,-4,8,4
"CH34",61,77,58,16,-19,-3
"CH35",60,83,82,23,-1,22
"CH36",69,49,50,-20,1,-19
"CH37",77,56,76,-21,20,-1
"CH38",44,61,57,17,-4,13
"CH39",45,35,44,-10,9,-1
"CH45",57,81,91,24,10,34
"CH46",78,68,73,-10,5,-5
"CH47",46,48,53,2,5,7
"CH48",71,76,80,5,4,9
"CH49",49,79,61,30,-18,12
"CH55",87,61,60,-26,-1,-27
"CH56",88,84,85,-4,1,-3
"CH57",69,94,87,25,-7,18
"CH58",73,85,73,12,-12,0
"CH59",63,81,70,18,-11,7
"CH65",44,46,25,2,-21,-19
"CH66",72,50,58,-22,8,-14
"CH67",71,48,52,-23,4,-19
"CH68",55,53,75,-2,22,20
"CH69",34,65,68,31,3,34
"CH76",49,33,50,-16,17,1
"CH77",104,77,85,-27,8,-19
"CH78",55,39,66,-16,27,11
"CH79",38,82,67,44,-15,29
"CH86",72,51,65,-21,14,-7
"CH87",49,58,62,9,4,13
"CH88",62,60,61,-2,1,-1
"CH89",45,78,49,33,-29,4
"CH95",77,37,61,-40,24,-16
"CH96",81,47,63,-34,16,-18
"CH97",75,79,72,4,-7,-3
"CH98",55,65,71,10,6,16
"CH99",46,67,59,21,-8,13
"DB00",43,36,48,-7,12,5
"DB01",46,49,50,3,1,4
"DB02",26,40,41,14,1,15
"DB03",54,40,57,-14,17,3
"DB04",18,68,63,50,-5,45
"DB05",36,71,71,35,0,35
"DB11",58,47,57,-11,10,-1
"DB13",34,75,75,41,0,41
"DB14",37,53,58,16,5,21
"DB15",40,63,71,23,8,31
"DB16",54,48,74,-6,26,20
"DB20",35,65,53,30,-12,18
"DB21",30,46,52,16,6,22
"DB22",33,67,68,34,1,35
"DB23",35,41,56,6,15,21
"DB24",52,63,62,11,-1,10
"DB25",49,45,51,-4,6,2
"DB26",48,50,70,2,20,22
"DB31",31,46,72,15,26,41
"DB32",44,53,74,9,21,30
"DB33",53,42,69,-11,27,16
"DB34",63,74,71,11,-3,8
"DB35",48,62,56,14,-6,8
"DB36",37,67,88,30,21,51
"DB40",64,72,55,8,-17,-9
"DB41",34,47,54,13,7,20
"DB42",49,66,80,17,14,31
"DB43",49,49,75,0,26,26
"DB44",60,57,80,-3,23,20
"DB45",47,54,80,7,26,33
"DB46",22,70,88,48,18,66
"DB52",37,59,64,22,5,27
"DB53",43,53,68,10,15,25
"DB54",53,70,76,17,6,23
"DB55",62,79,86,17,7,24
"DB56",53,51,76,-2,25,23
"DB57",43,51,86,8,35,43
"DB60",48,52,49,4,-3,1
"DB62",44,47,61,3,14,17
"DB63",44,72,62,28,-10,18
"DB64",54,79,71,25,-8,17
"DB65",46,62,71,16,9,25
"DB66",44,54,69,10,15,25
"DB67",53,61,86,8,25,33
"DB68",28,68,50,40,-18,22
"DB70",41,49,53,8,4,12
"DB72",55,66,63,11,-3,8
"DB73",48,77,64,29,-13,16
"DB74",46,57,66,11,9,20
"DB75",47,41,65,-6,24,18
"DB77",45,55,69,10,14,24
"DB78",50,69,74,19,5,24
"DB79",35,64,54,29,-10,19
"DB80",29,42,55,13,13,26
"DB81",38,47,51,9,4,13
"DB82",55,46,43,-9,-3,-12
"DB83",67,79,73,12,-6,6
"DB89",62,65,67,3,2,5
"DC00",74,93,105,19,12,31
"DC01",53,73,99,20,26,46
"DC02",51,46,79,-5,33,28
"DC03",43,41,74,-2,33,31
"DC04",68,72,81,4,9,13
"DC05",47,75,64,28,-11,17
"DC07",93,79,69,-14,-10,-24
"DC08",90,51,67,-39,16,-23
"DC09",46,58,75,12,17,29
"DC10",53,60,70,7,10,17
"DC11",72,68,78,-4,10,6
"DC12",43,48,65,5,17,22
"DC13",35,76,87,41,11,52
"DC14",50,77,85,27,8,35
"DC15",56,76,76,20,0,20
"DC16",44,62,62,18,0,18
"DC17",45,65,59,20,-6,14
"DC18",53,63,61,10,-2,8
"DC19",56,60,65,4,5,9
"DC20",41,42,56,1,14,15
"DC21",47,46,71,-1,25,24
"DC22",42,46,49,4,3,7
"DC23",76,68,66,-8,-2,-10
"DC24",40,50,80,10,30,40
"DC25",49,63,70,14,7,21
"DC26",74,71,78,-3,7,4
"DC27",54,63,60,9,-3,6
"DC28",66,61,59,-5,-2,-7
"DC30",42,58,66,16,8,24
"DC31",45,48,67,3,19,22
"DC32",57,51,55,-6,4,-2
"DC33",63,57,55,-6,-2,-8
"DC34",35,52,63,17,11,28
"DC35",39,68,66,29,-2,27
"DC36",41,71,72,30,1,31
"DC37",41,81,62,40,-19,21
"DC39",37,69,63,32,-6,26
"DC40",74,96,96,22,0,22
"DC41",58,71,97,13,26,39
"DC42",66,70,87,4,17,21
"DC43",38,60,57,22,-3,19
"DC45",35,52,56,17,4,21
"DC48",39,54,68,15,14,29
"DC49",42,68,76,26,8,34
"DC50",44,69,80,25,11,36
"DC51",37,58,78,21,20,41
"DC52",16,74,58,58,-16,42
"DC53",58,68,62,10,-6,4
"DC56",38,75,66,37,-9,28
"DC57",49,88,77,39,-11,28
"DC58",49,77,74,28,-3,25
"DC59",40,48,66,8,18,26
"DC64",26,80,81,54,1,55
"DC65",44,75,70,31,-5,26
"DC69",46,57,67,11,10,21
"DC79",41,46,53,5,7,12
"DC89",42,68,67,26,-1,25
"DD00",44,57,54,13,-3,10
"DD01",68,89,83,21,-6,15
"DD02",50,65,82,15,17,32
"DD03",49,81,67,32,-14,18
"DD04",46,54,58,8,4,12
"DD05",66,73,71,7,-2,5
"DD06",47,69,62,22,-7,15
"DD07",42,62,57,20,-5,15
"DD08",60,83,73,23,-10,13
"DD09",81,70,82,-11,12,1
"DD10",54,65,68,11,3,14
"DD11",78,73,72,-5,-1,-6
"DD12",69,69,63,0,-6,-6
"DD13",42,54,56,12,2,14
"DD14",44,67,63,23,-4,19
"DD16",66,59,75,-7,16,9
"DD17",65,62,70,-3,8,5
"DD18",69,97,85,28,-12,16
"DD19",64,74,69,10,-5,5
"DD20",52,48,63,-4,15,11
"DD21",54,81,86,27,5,32
"DD22",35,51,52,16,1,17
"DD24",34,73,69,39,-4,35
"DD26",70,69,76,-1,7,6
"DD27",36,55,70,19,15,34
"DD28",53,72,66,19,-6,13
"DD29",68,65,79,-3,14,11
"DD30",63,68,58,5,-10,-5
"DD31",55,81,80,26,-1,25
"DD35",44,61,82,17,21,38
"DD37",57,76,79,19,3,22
"DD38",45,76,77,31,1,32
"DD39",48,64,69,16,5,21
"DD40",40,75,68,35,-7,28
"DD41",49,80,76,31,-4,27
"DD42",46,77,63,31,-14,17
"DD43",55,75,68,20,-7,13
"DD46",41,71,71,30,0,30
"DD47",56,89,89,33,0,33
"DD48",52,75,74,23,-1,22
"DD49",48,77,73,29,-4,25
"DD50",43,63,56,20,-7,13
"DD51",67,78,66,11,-12,-1
"DD52",47,76,58,29,-18,11
"DD53",58,72,64,14,-8,6
"DD54",42,66,62,24,-4,20
"DD57",62,66,81,4,15,19
"DD59",38,74,75,36,1,37
"DD61",57,61,69,4,8,12
"DD62",55,47,54,-8,7,-1
"DD63",52,66,55,14,-11,3
"DD64",55,64,58,9,-6,3
"DD65",50,73,83,23,10,33
"DD70",63,78,76,15,-2,13
"DD71",48,52,50,4,-2,2
"DD72",48,60,52,12,-8,4
"DD80",63,76,73,13,-3,10
"DD81",49,53,51,4,-2,2
"DD90",40,79,75,39,-4,35
"DD91",59,72,55,13,-17,-4
"DD92",46,58,46,12,-12,0
"DE00",64,56,58,-8,2,-6
"DE01",79,64,65,-15,1,-14
"DE02",55,81,63,26,-18,8
"DE03",57,76,61,19,-15,4
"DE04",34,50,40,16,-10,6
"DE05",42,54,47,12,-7,5
"DE07",70,75,78,5,3,8
"DE10",60,49,62,-11,13,2
"DE11",60,90,78,30,-12,18
"DE12",27,88,71,61,-17,44
"DE13",35,73,67,38,-6,32
"DE14",44,78,67,34,-11,23
"DE15",55,69,58,14,-11,3
"DE16",53,86,81,33,-5,28
"DE17",53,75,51,22,-24,-2
"DE18",64,67,68,3,1,4
"DE19",39,82,74,43,-8,35
"DE20",65,51,57,-14,6,-8
"DE21",56,61,57,5,-4,1
"DE22",45,72,60,27,-12,15
"DE23",63,68,69,5,1,6
"DE24",83,76,74,-7,-2,-9
"DE25",64,68,79,4,11,15
"DE26",33,69,81,36,12,48
"DE27",40,72,44,32,-28,4
"DE29",50,51,67,1,16,17
"DE30",79,63,68,-16,5,-11
"DE31",53,57,52,4,-5,-1
"DE32",47,56,58,9,2,11
"DE33",38,54,56,16,2,18
"DE34",88,90,90,2,0,2
"DE35",42,66,59,24,-7,17
"DE36",59,79,74,20,-5,15
"DE37",69,76,73,7,-3,4
"DE38",60,71,49,11,-22,-11
"DE39",32,55,38,23,-17,6
"DE40",81,60,69,-21,9,-12
"DE41",48,55,58,7,3,10
"DE42",50,57,64,7,7,14
"DE43",55,55,61,0,6,6
"DE44",87,65,71,-22,6,-16
"DE45",37,49,48,12,-1,11
"DE46",37,52,65,15,13,28
"DE47",51,46,54,-5,8,3
"DE49",36,76,56,40,-20,20
"DE50",56,53,40,-3,-13,-16
"DE51",83,82,59,-1,-23,-24
"DE52",69,69,59,0,-10,-10
"DE53",70,75,69,5,-6,-1
"DE55",46,49,46,3,-3,0
"DE56",43,51,76,8,25,33
"DE57",46,65,58,19,-7,12
"DE66",67,37,48,-30,11,-19
"DE67",63,58,56,-5,-2,-7
"DE68",61,88,84,27,-4,23
"DE69",64,49,73,-15,24,9
"DE75",38,54,53,16,-1,15
"DE78",54,58,64,4,6,10
"DE79",75,79,75,4,-4,0
"DE84",62,74,66,12,-8,4
"DE85",36,65,72,29,7,36
"DE86",43,68,73,25,5,30
"DE87",84,83,71,-1,-12,-13
"DE88",37,77,81,40,4,44
"DE89",41,81,79,40,-2,38
"DE90",44,63,45,19,-18,1
"DE94",47,62,79,15,17,32
"DE96",64,90,74,26,-16,10
"DE97",75,85,82,10,-3,7
"DE98",62,75,75,13,0,13
"DE99",48,57,72,9,15,24
"DF00",57,25,61,-32,36,4
"DF01",49,41,61,-8,20,12
"DF04",45,63,64,18,1,19
"DF05",45,50,46,5,-4,1
"DF06",45,53,57,8,4,12
"DF07",72,48,70,-24,22,-2
"DF08",38,88,98,50,10,60
"DF09",37,66,68,29,2,31
"DF10",48,39,60,-9,21,12
"DF14",71,46,67,-25,21,-4
"DF15",65,54,73,-11,19,8
"DF16",68,69,82,1,13,14
"DF17",65,62,66,-3,4,1
"DF18",76,77,79,1,2,3
"DF19",56,49,52,-7,3,-4
"DF20",58,71,59,13,-12,1
"DF24",52,42,57,-10,15,5
"DF25",79,64,76,-15,12,-3
"DF26",46,51,57,5,6,11
"DF27",21,56,66,35,10,45
"DF28",77,78,91,1,13,14
"DF29",54,59,68,5,9,14
"DF30",60,63,46,3,-17,-14
"DF31",64,79,74,15,-5,10
"DF37",79,76,90,-3,14,11
"DF38",94,93,89,-1,-4,-5
"DF39",72,55,67,-17,12,-5
"DF40",62,61,52,-1,-9,-10
"DF41",55,81,93,26,12,38
"DF48",60,86,64,26,-22,4
"DF49",47,53,53,6,0,6
"DF51",54,58,74,4,16,20
"DF52",45,58,56,13,-2,11
"DF59",74,75,46,1,-29,-28
"DF60",42,42,51,0,9,9
"DF61",62,58,54,-4,-4,-8
"DF62",62,68,80,6,12,18
"DF70",42,56,56,14,0,14
"DF71",53,66,70,13,4,17
"DF72",29,60,48,31,-12,19
"DF80",63,71,78,8,7,15
"DF81",63,57,66,-6,9,3
"DF96",64,59,65,-5,6,1
"DF97",40,63,62,23,-1,22
"DF98",36,56,52,20,-4,16
"DG00",45,51,51,6,0,6
"DG07",74,61,83,-13,22,9
"DG08",49,72,73,23,1,24
"DG09",68,58,64,-10,6,-4
"DG14",60,44,76,-16,32,16
"DG15",51,46,78,-5,32,27
"DG16",55,53,58,-2,5,3
"DG17",40,83,64,43,-19,24
"DG18",37,45,56,8,11,19
"DG19",43,47,45,4,-2,2
"DG22",50,55,58,5,3,8
"DG23",58,64,81,6,17,23
"DG24",52,37,80,-15,43,28
"DG25",52,45,73,-7,28,21
"DG26",43,44,60,1,16,17
"DG27",51,67,61,16,-6,10
"DG28",63,71,60,8,-11,-3
"DG29",60,46,62,-14,16,2
"DG34",46,68,64,22,-4,18
"DG35",65,41,58,-24,17,-7
"DG36",38,50,59,12,9,21
"DG37",51,66,73,15,7,22
"DG38",52,53,70,1,17,18
"DG39",41,46,48,5,2,7
"DG41",44,68,58,24,-10,14
"DG42",73,64,66,-9,2,-7
"DG43",49,59,87,10,28,38
"DG44",54,62,58,8,-4,4
"DG45",41,65,56,24,-9,15
"DG46",61,54,60,-7,6,-1
"DG47",52,74,52,22,-22,0
"DG48",58,74,73,16,-1,15
"DG49",53,61,58,8,-3,5
"DG51",81,77,87,-4,10,6
"DG52",73,52,70,-21,18,-3
"DG53",56,49,65,-7,16,9
"DG54",40,47,52,7,5,12
"DG56",55,60,57,5,-3,2
"DG57",77,63,62,-14,-1,-15
"DG58",72,77,62,5,-15,-10
"DG59",60,45,56,-15,11,-4
"DG60",39,73,62,34,-11,23
"DG61",87,91,86,4,-5,-1
"DG62",89,96,101,7,5,12
"DG63",55,71,72,16,1,17
"DG64",70,57,73,-13,16,3
"DG65",48,45,64,-3,19,16
"DG66",42,46,53,4,7,11
"DG67",63,54,54,-9,0,-9
"DG68",43,61,61,18,0,18
"DG69",63,75,59,12,-16,-4
"DG70",49,59,83,10,24,34
"DG71",69,92,84,23,-8,15
"DG72",71,81,95,10,14,24
"DG73",66,74,69,8,-5,3
"DG74",49,66,60,17,-6,11
"DG75",74,55,65,-19,10,-9
"DG76",48,50,65,2,15,17
"DG77",55,52,56,-3,4,1
"DG78",69,51,70,-18,19,1
"DG79",51,66,59,15,-7,8
"DG81",48,56,82,8,26,34
"DG82",41,74,79,33,5,38
"DG83",49,66,86,17,20,37
"DG84",42,61,77,19,16,35
"DG85",55,42,62,-13,20,7
"DG86",57,49,63,-8,14,6
"DG87",55,62,83,7,21,28
"DG88",72,55,60,-17,5,-12
"DG89",67,58,66,-9,8,-1
"DG90",56,60,78,4,18,22
"DG91",55,64,77,9,13,22
"DG92",55,62,73,7,11,18
"DG93",51,62,63,11,1,12
"DG94",73,67,88,-6,21,15
"DG95",66,58,89,-8,31,23
"DG96",59,82,93,23,11,34
"DG97",72,64,72,-8,8,0
"DG98",62,53,73,-9,20,11
"DG99",43,50,52,7,2,9
"DH06",76,63,67,-13,4,-9
"DH07",73,73,70,0,-3,-3
"DH08",39,65,71,26,6,32
"DH09",42,50,59,8,9,17
"DH16",86,74,65,-12,-9,-21
"DH17",84,82,71,-2,-11,-13
"DH18",60,72,79,12,7,19
"DH19",64,70,63,6,-7,-1
"DH26",53,52,55,-1,3,2
"DH27",69,52,63,-17,11,-6
"DH28",61,57,65,-4,8,4
"DH36",68,53,55,-15,2,-13
"DH37",45,27,52,-18,25,7
"DH67",41,40,81,-1,41,40
"DH75",38,37,40,-1,3,2
"DH76",59,49,57,-10,8,-2
"DH85",44,43,63,-1,20,19
"DH86",67,61,66,-6,5,-1
"DH98",61,52,59,-9,7,-2
"DH99",65,68,72,3,4,7
"EB03",66,51,73,-15,22,7
"EB04",50,63,78,13,15,28
"EB06",30,52,46,22,-6,16
"EB07",63,70,76,7,6,13
"EB08",48,71,75,23,4,27
"EB10",50,71,65,21,-6,15
"ED00",72,69,74,-3,5,2
"ED01",93,86,61,-7,-25,-32
"ED02",41,65,61,24,-4,20
"ED03",42,65,46,23,-19,4
"ED12",41,58,62,17,4,21
"ED13",58,54,59,-4,5,1
"ED21",36,48,48,12,0,12
"ED22",48,72,71,24,-1,23
"ED23",64,89,70,25,-19,6
"ED30",56,76,66,20,-10,10
"ED31",39,58,45,19,-13,6
"EE05",55,64,72,9,8,17
"EE06",43,54,64,11,10,21
"EE07",57,86,75,29,-11,18
"EE08",59,59,57,0,-2,-2
"EE09",50,64,64,14,0,14
"EE15",37,67,66,30,-1,29
"EE16",67,74,76,7,2,9
"EE17",70,93,91,23,-2,21
"EE18",48,66,63,18,-3,15
"EE19",56,61,39,5,-22,-17
"EE27",63,82,69,19,-13,6
"EE28",49,77,76,28,-1,27
"EE29",35,57,46,22,-11,11
"EE39",55,73,75,18,2,20
"EF00",43,60,52,17,-8,9
"EF01",73,76,64,3,-12,-9
"EF02",72,83,83,11,0,11
"EF06",56,71,49,15,-22,-7
"EF07",53,46,48,-7,2,-5
"EF08",47,70,53,23,-17,6
"EF09",59,75,69,16,-6,10
"EF10",52,66,57,14,-9,5
"EF11",70,54,51,-16,-3,-19
"EF45",43,48,57,5,9,14
"EF54",52,57,49,5,-8,-3
"EF63",43,23,55,-20,32,12
"EF64",57,56,64,-1,8,7
"EF65",46,78,86,32,8,40
"EF69",42,64,54,22,-10,12
"EF70",55,65,64,10,-1,9
"EF71",72,80,74,8,-6,2
"EF72",41,54,60,13,6,19
"EF73",47,54,48,7,-6,1
"EF74",71,62,68,-9,6,-3
"EF75",83,80,76,-3,-4,-7
"EF80",42,59,52,17,-7,10
"EF81",70,84,73,14,-11,3
"EF82",56,80,66,24,-14,10
"EF83",61,49,40,-12,-9,-21
"EF84",71,38,55,-33,17,-16
"EF85",45,64,64,19,0,19
"EF90",58,81,49,23,-32,-9
"EF91",70,92,80,22,-12,10
"EF92",75,95,74,20,-21,-1
"EF93",80,103,115,23,12,35
"EF94",63,95,54,32,-41,-9
"EF95",63,42,48,-21,6,-15
"EF96",35,50,69,15,19,34
"EG00",62,55,64,-7,9,2
"EG01",50,58,70,8,12,20
"EG02",52,60,67,8,7,15
"EG03",53,50,64,-3,14,11
"EG04",89,81,84,-8,3,-5
"EG05",59,60,79,1,19,20
"EG06",57,60,67,3,7,10
"EG07",59,48,70,-11,22,11
"EG08",58,64,67,6,3,9
"EG09",51,49,60,-2,11,9
"EG10",52,63,87,11,24,35
"EG11",67,56,64,-11,8,-3
"EG12",39,63,80,24,17,41
"EG13",75,64,67,-11,3,-8
"EG14",47,68,67,21,-1,20
"EG15",54,69,76,15,7,22
"EG16",48,37,70,-11,33,22
"EG17",68,66,63,-2,-3,-5
"EG18",65,58,55,-7,-3,-10
"EG19",45,74,54,29,-20,9
"EG21",60,48,47,-12,-1,-13
"EG22",66,61,56,-5,-5,-10
"EG23",67,57,59,-10,2,-8
"EG24",64,62,72,-2,10,8
"EG25",90,73,82,-17,9,-8
"EG26",89,69,96,-20,27,7
"EG30",39,61,54,22,-7,15
"EG40",45,50,63,5,13,18
"EG41",65,42,67,-23,25,2
"EG42",59,66,70,7,4,11
"EG76",78,65,61,-13,-4,-17
"EG77",83,60,67,-23,7,-16
"EG84",76,80,88,4,8,12
"EG85",53,84,79,31,-5,26
"EG86",55,61,58,6,-3,3
"EG87",66,51,59,-15,8,-7
"EG88",66,79,61,13,-18,-5
"EG89",48,42,52,-6,10,4
"EG94",90,97,81,7,-16,-9
"EG95",51,66,75,15,9,24
"EG96",47,73,56,26,-17,9
"EG97",56,38,55,-18,17,-1
"EG98",48,54,59,6,5,11
"EG99",52,82,52,30,-30,0
"EH08",79,67,63,-12,-4,-16
"EH09",62,60,66,-2,6,4
"EH13",60,85,73,25,-12,13
"EH14",69,97,77,28,-20,8
"EH15",62,84,67,22,-17,5
"EH16",51,71,51,20,-20,0
"EH17",46,71,50,25,-21,4
"EH23",50,96,61,46,-35,11
"EH24",66,97,63,31,-34,-3
"EH25",54,98,69,44,-29,15
"EH26",61,85,61,24,-24,0
"EH27",81,57,60,-24,3,-21
"EH28",27,55,59,28,4,32
"EH37",37,31,63,-6,32,26
"EH38",63,59,59,-4,0,-4
"EH39",51,79,82,28,3,31
"EH49",39,44,60,5,16,21
"EH54",34,57,52,23,-5,18
"EH64",48,62,60,14,-2,12
"EH66",47,72,55,25,-17,8
"EH67",56,67,48,11,-19,-8
"EH73",48,63,56,15,-7,8
"EH74",39,52,44,13,-8,5
"EH75",50,88,81,38,-7,31
"EH77",44,65,43,21,-22,-1
"EH78",49,62,43,13,-19,-6
"EH83",51,67,43,16,-24,-8
"EH84",44,46,56,2,10,12
"EH85",34,68,46,34,-22,12
"EH87",43,58,42,15,-16,-1
"EH88",47,65,45,18,-20,-2
"EH92",32,65,89,33,24,57
"EH93",40,54,60,14,6,20
"EH94",31,48,52,17,4,21
"EH95",37,56,53,19,-3,16
"EH96",71,72,52,1,-20,-19
"EH97",54,71,60,17,-11,6
"FE00",51,35,56,-16,21,5
"FE10",82,65,66,-17,1,-16
"FE20",75,74,77,-1,3,2
"FE30",102,108,107,6,-1,5
"FE40",93,76,80,-17,4,-13
"FE60",71,95,81,24,-14,10
"FE61",59,88,72,29,-16,13
"FE71",61,62,79,1,17,18
"FE72",79,68,94,-11,26,15
"FE80",77,77,81,0,4,4
"FE81",69,69,84,0,15,15
"FE82",87,80,101,-7,21,14
"FE83",74,74,89,0,15,15
"FE90",47,69,74,22,5,27
"FE91",63,82,96,19,14,33
"FE92",52,63,66,11,3,14
"FE93",60,55,54,-5,-1,-6
"FE94",63,59,61,-4,2,-2
"FF00",59,51,55,-8,4,-4
"FF01",57,53,65,-4,12,8
"FF02",35,86,58,51,-28,23
"FF03",67,72,52,5,-20,-15
"FF04",52,57,65,5,8,13
"FF05",51,50,44,-1,-6,-7
"FF06",41,45,60,4,15,19
"FF07",36,55,61,19,6,25
"FF08",55,36,44,-19,8,-11
"FF10",83,99,66,16,-33,-17
"FF12",39,86,74,47,-12,35
"FF13",62,56,64,-6,8,2
"FF14",61,71,68,10,-3,7
"FF15",45,37,57,-8,20,12
"FF16",36,39,62,3,23,26
"FF17",36,63,46,27,-17,10
"FF18",73,71,80,-2,9,7
"FF19",67,55,57,-12,2,-10
"FF21",66,62,44,-4,-18,-22
"FF22",66,88,67,22,-21,1
"FF23",62,60,53,-2,-7,-9
"FF24",58,60,85,2,25,27
"FF25",51,57,72,6,15,21
"FF26",60,51,81,-9,30,21
"FF27",58,67,72,9,5,14
"FF29",55,56,67,1,11,12
"FF30",60,71,75,11,4,15
"FF31",63,65,62,2,-3,-1
"FF32",47,62,46,15,-16,-1
"FF33",62,54,63,-8,9,1
"FF34",35,45,58,10,13,23
"FF35",45,61,65,16,4,20
"FF36",53,58,66,5,8,13
"FF37",50,20,57,-30,37,7
"FF38",42,60,59,18,-1,17
"FF39",42,76,76,34,0,34
"FF40",71,76,79,5,3,8
"FF41",74,59,56,-15,-3,-18
"FF42",67,52,46,-15,-6,-21
"FF43",70,56,57,-14,1,-13
"FF44",65,47,55,-18,8,-10
"FF45",47,56,64,9,8,17
"FF46",53,52,69,-1,17,16
"FF50",63,66,75,3,9,12
"FF51",62,56,67,-6,11,5
"FF52",61,55,50,-6,-5,-11
"FF53",53,57,66,4,9,13
"FF54",70,90,83,20,-7,13
"FF55",53,54,63,1,9,10
"FF57",59,65,64,6,-1,5
"FF60",85,68,86,-17,18,1
"FF61",32,67,85,35,18,53
"FF62",78,81,91,3,10,13
"FF63",70,58,63,-12,5,-7
"FF64",72,67,65,-5,-2,-7
"FF65",45,46,37,1,-9,-8
"FF66",55,68,72,13,4,17
"FF67",48,89,72,41,-17,24
"FF69",54,85,75,31,-10,21
"FF70",92,78,83,-14,5,-9
"FF71",70,61,57,-9,-4,-13
"FF72",56,65,53,9,-12,-3
"FF73",76,69,78,-7,9,2
"FF74",67,71,74,4,3,7
"FF75",78,64,91,-14,27,13
"FF76",79,79,81,0,2,2
"FF77",51,55,58,4,3,7
"FF78",68,82,77,14,-5,9
"FF79",70,99,93,29,-6,23
"FF80",72,88,61,16,-27,-11
"FF81",62,73,74,11,1,12
"FF82",60,51,70,-9,19,10
"FF83",51,66,66,15,0,15
"FF84",57,81,89,24,8,32
"FF86",75,96,90,21,-6,15
"FF87",62,72,64,10,-8,2
"FF88",41,60,75,19,15,34
"FF89",71,59,64,-12,5,-7
"FF90",61,79,68,18,-11,7
"FF91",41,52,52,11,0,11
"FF92",37,50,59,13,9,22
"FF93",47,56,69,9,13,22
"FF94",41,45,62,4,17,21
"FF95",61,79,52,18,-27,-9
"FF96",68,68,63,0,-5,-5
"FF97",44,61,75,17,14,31
"FF98",48,67,62,19,-5,14
"FF99",47,65,60,18,-5,13
"FG04",68,61,71,-7,10,3
"FG06",29,39,59,10,20,30
"FG07",41,45,69,4,24,28
"FG08",69,75,83,6,8,14
"FG09",57,51,61,-6,10,4
"FG14",40,71,71,31,0,31
"FG18",65,71,68,6,-3,3
"FG19",56,72,65,16,-7,9
"FG24",38,48,46,10,-2,8
"FG26",52,49,58,-3,9,6
"FG27",68,67,73,-1,6,5
"FG28",81,82,86,1,4,5
"FG29",78,79,78,1,-1,0
"FG33",57,36,62,-21,26,5
"FG34",65,49,52,-16,3,-13
"FG35",44,39,45,-5,6,1
"FG37",80,83,81,3,-2,1
"FG38",46,76,59,30,-17,13
"FG39",40,51,55,11,4,15
"FG43",89,101,66,12,-35,-23
"FG44",74,75,64,1,-11,-10
"FG45",64,80,61,16,-19,-3
"FG47",66,70,78,4,8,12
"FG48",48,59,66,11,7,18
"FG49",46,51,56,5,5,10
"FG51",30,61,75,31,14,45
"FG52",40,40,81,0,41,41
"FG53",63,83,86,20,3,23
"FG54",64,75,66,11,-9,2
"FG55",72,55,60,-17,5,-12
"FG56",50,76,87,26,11,37
"FG57",38,58,63,20,5,25
"FG58",44,66,50,22,-16,6
"FG59",56,51,58,-5,7,2
"FG60",56,58,66,2,8,10
"FG62",42,59,56,17,-3,14
"FG63",47,66,80,19,14,33
"FG64",34,58,47,24,-11,13
"FG65",67,61,63,-6,2,-4
"FG66",80,75,88,-5,13,8
"FG68",50,67,47,17,-20,-3
"FG69",46,78,46,32,-32,0
"FG70",53,74,75,21,1,22
"FG71",58,15,47,-43,32,-11
"FG72",41,59,61,18,2,20
"FG73",48,38,40,-10,2,-8
"FG74",37,69,45,32,-24,8
"FG75",64,75,62,11,-13,-2
"FG76",72,80,67,8,-13,-5
"FG77",60,61,78,1,17,18
"FG78",63,50,57,-13,7,-6
"FG79",70,64,55,-6,-9,-15
"FG80",32,69,63,37,-6,31
"FG81",62,13,52,-49,39,-10
"FG82",59,55,52,-4,-3,-7
"FG83",46,37,41,-9,4,-5
"FG84",35,57,36,22,-21,1
"FG85",54,71,41,17,-30,-13
"FG86",73,88,60,15,-28,-13
"FG87",70,61,50,-9,-11,-20
"FG88",44,50,52,6,2,8
"FG89",69,64,59,-5,-5,-10
"FG90",38,48,62,10,14,24
"FG91",62,75,65,13,-10,3
"FG92",59,88,88,29,0,29
"FG93",84,78,59,-6,-19,-25
"FG94",43,16,69,-27,53,26
"FG95",60,51,42,-9,-9,-18
"FG97",51,77,42,26,-35,-9
"FG98",56,47,43,-9,-4,-13
"FG99",60,63,52,3,-11,-8
"FH01",32,69,79,37,10,47
